Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,MSPS,Game Score,Team Indicator,Play,Period
13:38,"GOOD JUMPER by HEATHSCOTT,NICK",29,,30 (+1),,HC 29-30 (+1),,"GOOD JUMPER by HEATHSCOTT,NICK",2
--,"ASSIST  by MARTIN,AMMON",,,,,,,"ASSIST  by MARTIN,AMMON",2
13:16,,29,,33 (+4),"GOOD 3PTR by CORTESE,NICK",MSPS 29-33 (+4),,"GOOD 3PTR by CORTESE,NICK",2
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",2
12:53,"TURNOVER  by GOODMAN,CHRIS",,,,,,,"TURNOVER  by GOODMAN,CHRIS",2
12:53,"SUB IN by MCCUBBIN,NATHAN",,,,,,,"SUB IN by MCCUBBIN,NATHAN",2
12:53,"SUB OUT by RILEY,JAREN",,,,,,,"SUB OUT by RILEY,JAREN",2
12:53,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",2
12:53,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
12:53,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
12:53,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
12:42,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",2
12:24,"GOOD JUMPER by MARTIN,AMMON",31,,33 (+2),,HC 31-33 (+2),,"GOOD JUMPER by MARTIN,AMMON",2
11:51,,,,,"MISS LAYUP by MERKEL,BRIAN",,,"MISS LAYUP by MERKEL,BRIAN",2
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",2
11:48,,31,,35 (+4),"GOOD LAYUP by BERGER,RYAN(in the paint)",MSPS 31-35 (+4),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
11:40,"MISS JUMPER by HEATHSCOTT,NICK",,,,,,,"MISS JUMPER by HEATHSCOTT,NICK",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
11:17,,,,,"MISS 3PTR by BROWN,JEFF",,,"MISS 3PTR by BROWN,JEFF",2
--,"REBOUND DEF by MARTIN,AMMON",,,,,,,"REBOUND DEF by MARTIN,AMMON",2
10:55,"GOOD JUMPER by MARTIN,AMMON",33,,35 (+2),,HC 33-35 (+2),,"GOOD JUMPER by MARTIN,AMMON",2
10:16,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",2
10:16,"BLOCK  by PRIMM,COLTON",,,,,,,"BLOCK  by PRIMM,COLTON",2
--,"REBOUND DEF by MARTIN,AMMON",,,,,,,"REBOUND DEF by MARTIN,AMMON",2
10:10,"GOOD 3PTR by GOODMAN,CHRIS",36 (+1),,35,,HC 36-35 (-1),,"GOOD 3PTR by GOODMAN,CHRIS",2
--,"ASSIST  by MARTIN,AMMON",,,,,,,"ASSIST  by MARTIN,AMMON",2
10:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:06,"SUB IN by GRAHAM,JOSH",,,,,,,"SUB IN by GRAHAM,JOSH",2
10:06,"SUB IN by SHERIDAN,DAYTON",,,,,,,"SUB IN by SHERIDAN,DAYTON",2
10:06,"SUB OUT by PRIMM,COLTON",,,,,,,"SUB OUT by PRIMM,COLTON",2
10:06,"SUB OUT by HEATHSCOTT,NICK",,,,,,,"SUB OUT by HEATHSCOTT,NICK",2
10:06,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
10:06,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
10:06,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
10:06,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",2
09:35,,,,,"MISS 3PTR by GILLIGAN,TULLY",,,"MISS 3PTR by GILLIGAN,TULLY",2
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",2
09:26,,36,,37 (+1),"GOOD LAYUP by WHITE,TIM(in the paint)",MSPS 36-37 (+1),,"GOOD LAYUP by WHITE,TIM(in the paint)",2
09:19,"MISS 3PTR by MARTIN,AMMON",,,,,,,"MISS 3PTR by MARTIN,AMMON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:14,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",2
09:14,"GOOD FT by MCCUBBIN,NATHAN",37,,37,,HC 37-37 (0),,"GOOD FT by MCCUBBIN,NATHAN",2
09:14,"GOOD FT by MCCUBBIN,NATHAN",38 (+1),,37,,HC 38-37 (-1),,"GOOD FT by MCCUBBIN,NATHAN",2
09:14,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
09:14,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
09:14,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
09:14,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
08:56,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by GOODMAN,CHRIS",,,,,,,"REBOUND DEF by GOODMAN,CHRIS",2
08:46,"MISS JUMPER by GOODMAN,CHRIS",,,,,,,"MISS JUMPER by GOODMAN,CHRIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:33,"FOUL  by SHERIDAN,DAYTON",,,,,,,"FOUL  by SHERIDAN,DAYTON",2
08:19,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",2
08:19,"BLOCK  by MARTIN,AMMON",,,,,,,"BLOCK  by MARTIN,AMMON",2
--,"REBOUND DEF by MCCUBBIN,NATHAN",,,,,,,"REBOUND DEF by MCCUBBIN,NATHAN",2
08:09,"MISS 3PTR by GOODMAN,CHRIS",,,,,,,"MISS 3PTR by GOODMAN,CHRIS",2
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",2
07:37,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",2
07:28,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",2
--,"REBOUND DEF by GRAHAM,JOSH",,,,,,,"REBOUND DEF by GRAHAM,JOSH",2
07:26,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:26,"MISS FT by MARTIN,AMMON",,,,,,,"MISS FT by MARTIN,AMMON",2
07:26,"GOOD FT by MARTIN,AMMON",39 (+2),,37,,HC 39-37 (-2),,"GOOD FT by MARTIN,AMMON",2
07:26,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
07:26,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
07:06,"FOUL  by MARTIN,AMMON",,,,,,,"FOUL  by MARTIN,AMMON",2
07:06,,39 (+1),,38,"GOOD FT by MEADES,TAYLOR",MSPS 39-38 (-1),,"GOOD FT by MEADES,TAYLOR",2
07:06,,39,,39,"GOOD FT by MEADES,TAYLOR",MSPS 39-39 (0),,"GOOD FT by MEADES,TAYLOR",2
06:50,"MISS 3PTR by MCCUBBIN,NATHAN",,,,,,,"MISS 3PTR by MCCUBBIN,NATHAN",2
--,"REBOUND OFF by GRAHAM,JOSH",,,,,,,"REBOUND OFF by GRAHAM,JOSH",2
06:40,"MISS JUMPER by MARTIN,AMMON",,,,,,,"MISS JUMPER by MARTIN,AMMON",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
06:33,,39,,41 (+2),"GOOD LAYUP by BROWN,JEFF(in the paint)",MSPS 39-41 (+2),,"GOOD LAYUP by BROWN,JEFF(in the paint)",2
--,,,,,"ASSIST  by MEADES,TAYLOR",,,"ASSIST  by MEADES,TAYLOR",2
06:24,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:24,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
06:24,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
06:10,"GOOD LAYUP by PRIMM,COLTON(in the paint)",41,,41,,HC 41-41 (0),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2
--,"ASSIST  by GOODMAN,CHRIS",,,,,,,"ASSIST  by GOODMAN,CHRIS",2
05:57,,41,,44 (+3),"GOOD 3PTR by MEADES,TAYLOR",MSPS 41-44 (+3),,"GOOD 3PTR by MEADES,TAYLOR",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
05:32,"GOOD 3PTR by GOODMAN,CHRIS",44,,44,,HC 44-44 (0),,"GOOD 3PTR by GOODMAN,CHRIS",2
--,"ASSIST  by MARTIN,AMMON",,,,,,,"ASSIST  by MARTIN,AMMON",2
05:05,,44,,46 (+2),"GOOD JUMPER by KINNEAR,KYLE",MSPS 44-46 (+2),,"GOOD JUMPER by KINNEAR,KYLE",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
04:28,"MISS JUMPER by MARTIN,AMMON",,,,,,,"MISS JUMPER by MARTIN,AMMON",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
04:11,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",2
04:11,"BLOCK  by PRIMM,COLTON",,,,,,,"BLOCK  by PRIMM,COLTON",2
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",2
03:57,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:44,"FOUL  by HEATHSCOTT,NICK",,,,,,,"FOUL  by HEATHSCOTT,NICK",2
03:24,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",2
03:23,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
03:23,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
03:06,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",46,,46,,HC 46-46 (0),,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",2
--,"ASSIST  by MCCUBBIN,NATHAN",,,,,,,"ASSIST  by MCCUBBIN,NATHAN",2
02:27,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
02:27,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
02:27,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
02:18,"GOOD LAYUP by GOODMAN,CHRIS(in the paint)",48 (+2),,46,,HC 48-46 (-2),,"GOOD LAYUP by GOODMAN,CHRIS(in the paint)",2
--,"ASSIST  by MCCUBBIN,NATHAN",,,,,,,"ASSIST  by MCCUBBIN,NATHAN",2
02:05,"SUB IN by PRIMM,COLTON",,,,,,,"SUB IN by PRIMM,COLTON",2
02:05,"SUB OUT by GRAHAM,JOSH",,,,,,,"SUB OUT by GRAHAM,JOSH",2
02:04,"SUB IN by HEATHSCOTT,NICK",,,,,,,"SUB IN by HEATHSCOTT,NICK",2
02:04,"SUB OUT by SHERIDAN,DAYTON",,,,,,,"SUB OUT by SHERIDAN,DAYTON",2
01:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:54,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",2
01:54,"BLOCK  by PRIMM,COLTON",,,,,,,"BLOCK  by PRIMM,COLTON",2
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",2
01:40,"TURNOVER  by GOODMAN,CHRIS",,,,,,,"TURNOVER  by GOODMAN,CHRIS",2
01:25,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:59,"MISS JUMPER by HEATHSCOTT,NICK",,,,,,,"MISS JUMPER by HEATHSCOTT,NICK",2
--,"REBOUND OFF by PRIMM,COLTON",,,,,,,"REBOUND OFF by PRIMM,COLTON",2
00:56,"TURNOVER  by PRIMM,COLTON",,,,,,,"TURNOVER  by PRIMM,COLTON",2
00:55,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
00:54,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",2
00:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:53,"SUB IN by RILEY,JAREN",,,,,,,"SUB IN by RILEY,JAREN",2
00:53,"SUB IN by MAINER,ZACH",,,,,,,"SUB IN by MAINER,ZACH",2
00:53,"SUB OUT by MARTIN,AMMON",,,,,,,"SUB OUT by MARTIN,AMMON",2
00:53,"SUB OUT by PRIMM,COLTON",,,,,,,"SUB OUT by PRIMM,COLTON",2
00:33,"TURNOVER  by MCCUBBIN,NATHAN",,,,,,,"TURNOVER  by MCCUBBIN,NATHAN",2
00:30,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
00:28,,48,,48,"GOOD LAYUP by BERGER,RYAN(in the paint)",MSPS 48-48 (0),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
00:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:15,"SUB IN by MARTIN,AMMON",,,,,,,"SUB IN by MARTIN,AMMON",2
00:15,"SUB IN by PRIMM,COLTON",,,,,,,"SUB IN by PRIMM,COLTON",2
00:15,"SUB OUT by MCCUBBIN,NATHAN",,,,,,,"SUB OUT by MCCUBBIN,NATHAN",2
00:15,"SUB OUT by MAINER,ZACH",,,,,,,"SUB OUT by MAINER,ZACH",2
00:00,"MISS JUMPER by RILEY,JAREN",,,,,,,"MISS JUMPER by RILEY,JAREN",2
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",2
05:00,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",3
05:00,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",3
04:48,"MISS 3PTR by GOODMAN,CHRIS",,,,,,,"MISS 3PTR by GOODMAN,CHRIS",3
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",3
04:28,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",3
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",3
04:21,"GOOD JUMPER by MARTIN,AMMON",50 (+2),,48,,HC 50-48 (-2),,"GOOD JUMPER by MARTIN,AMMON",3
03:46,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",3
--,"REBOUND DEF by GOODMAN,CHRIS",,,,,,,"REBOUND DEF by GOODMAN,CHRIS",3
03:41,"MISS 3PTR by RILEY,JAREN",,,,,,,"MISS 3PTR by RILEY,JAREN",3
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",3
03:26,,50,,50,"GOOD JUMPER by MEADES,TAYLOR",MSPS 50-50 (0),,"GOOD JUMPER by MEADES,TAYLOR",3
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",3
03:03,"MISS 3PTR by MARTIN,AMMON",,,,,,,"MISS 3PTR by MARTIN,AMMON",3
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",3
02:41,,50,,53 (+3),"GOOD 3PTR by MEADES,TAYLOR",MSPS 50-53 (+3),,"GOOD 3PTR by MEADES,TAYLOR",3
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",3
02:38,"FOUL  by MARTIN,AMMON",,,,,,,"FOUL  by MARTIN,AMMON",3
02:38,,50,,54 (+4),"GOOD FT by MEADES,TAYLOR",MSPS 50-54 (+4),,"GOOD FT by MEADES,TAYLOR",3
02:20,"MISS JUMPER by RILEY,JAREN",,,,,,,"MISS JUMPER by RILEY,JAREN",3
--,"REBOUND OFF by HEATHSCOTT,NICK",,,,,,,"REBOUND OFF by HEATHSCOTT,NICK",3
02:16,"MISS JUMPER by HEATHSCOTT,NICK",,,,,,,"MISS JUMPER by HEATHSCOTT,NICK",3
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",3
02:10,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",3
02:01,"GOOD 3PTR by GOODMAN,CHRIS",53,,54 (+1),,HC 53-54 (+1),,"GOOD 3PTR by GOODMAN,CHRIS",3
--,"ASSIST  by MARTIN,AMMON",,,,,,,"ASSIST  by MARTIN,AMMON",3
01:29,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",3
--,"REBOUND DEF by RILEY,JAREN",,,,,,,"REBOUND DEF by RILEY,JAREN",3
01:06,"GOOD 3PTR by RILEY,JAREN",56 (+2),,54,,HC 56-54 (-2),,"GOOD 3PTR by RILEY,JAREN",3
--,"ASSIST  by MARTIN,AMMON",,,,,,,"ASSIST  by MARTIN,AMMON",3
00:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:32,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",3
00:32,"SUB IN by RILEY,JAREN",,,,,,,"SUB IN by RILEY,JAREN",3
00:32,"SUB OUT by PRIMM,COLTON",,,,,,,"SUB OUT by PRIMM,COLTON",3
00:32,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",3
00:32,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",3
00:32,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",3
00:32,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",3
00:26,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:23,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",3
00:23,"GOOD FT by HEATHSCOTT,NICK",57 (+3),,54,,HC 57-54 (-3),,"GOOD FT by HEATHSCOTT,NICK",3
00:23,"GOOD FT by HEATHSCOTT,NICK",58 (+4),,54,,HC 58-54 (-4),,"GOOD FT by HEATHSCOTT,NICK",3
00:23,"SUB IN by PRIMM,COLTON",,,,,,,"SUB IN by PRIMM,COLTON",3
00:23,"SUB OUT by MCCUBBIN,NATHAN",,,,,,,"SUB OUT by MCCUBBIN,NATHAN",3
00:23,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",3
00:23,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",3
00:13,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",3
--,"REBOUND DEF by RILEY,JAREN",,,,,,,"REBOUND DEF by RILEY,JAREN",3
00:04,"FOUL  by MARTIN,AMMON",,,,,,,"FOUL  by MARTIN,AMMON",3
00:04,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",3
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",3
00:04,"SUB IN by MCCUBBIN,NATHAN",,,,,,,"SUB IN by MCCUBBIN,NATHAN",3
00:04,"SUB OUT by MARTIN,AMMON",,,,,,,"SUB OUT by MARTIN,AMMON",3
