Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,MSPS,Game Score,Team Indicator,Play,Period
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:53,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",2
00:53,"MISS FT by LEE,JERROD",,,,,,,"MISS FT by LEE,JERROD",2
00:53,"GOOD FT by LEE,JERROD",60,,74 (+14),,HCM 60-74 (+14),,"GOOD FT by LEE,JERROD",2
00:53,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
00:53,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",2
00:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:34,,,,,"SUB IN by BOTERO,NICHOLAS",,,"SUB IN by BOTERO,NICHOLAS",2
00:34,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",2
00:34,,,,,"SUB IN by PEARS,BRUCE",,,"SUB IN by PEARS,BRUCE",2
00:34,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
00:34,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
00:34,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
00:34,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
00:34,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
00:26,,,,,"MISS JUMPER by WILSON,KEVIN",,,"MISS JUMPER by WILSON,KEVIN",2
--,"REBOUND DEF by VARNEY,JASON",,,,,,,"REBOUND DEF by VARNEY,JASON",2
00:21,"MISS JUMPER by VARNEY,JASON",,,,,,,"MISS JUMPER by VARNEY,JASON",2
--,"REBOUND OFF by MCDOWELL,WILLIE",,,,,,,"REBOUND OFF by MCDOWELL,WILLIE",2
00:14,"GOOD LAYUP by MCDOWELL,WILLIE(in the paint)",62,,74 (+12),,HCM 62-74 (+12),,"GOOD LAYUP by MCDOWELL,WILLIE(in the paint)",2
00:06,,,,,"TURNOVER  by PEARS,BRUCE",,,"TURNOVER  by PEARS,BRUCE",2
00:03,"GOOD JUMPER by DOOLEY,JUSTIN",64,,74 (+10),,HCM 64-74 (+10),,"GOOD JUMPER by DOOLEY,JUSTIN",2
