Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
07:58,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
07:58,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
07:58,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
07:58,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
07:58,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
07:58,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
07:34,,,,,"FOUL  by MILLER,JOEY",,,"FOUL  by MILLER,JOEY",1
07:23,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",15 (+1),,14,,MSPSM 15-14 (+1),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1
07:02,,,,,"FOUL  by DRUMMOND,TRIPP",,,"FOUL  by DRUMMOND,TRIPP",1
06:44,"TURNOVER  by WHITE,TIM",,,,,,,"TURNOVER  by WHITE,TIM",1
06:26,,15,,16 (+1),"GOOD LAYUP by MILLER,JOEY(in the paint)",RCMBB12 15-16 (-1),,"GOOD LAYUP by MILLER,JOEY(in the paint)",1
--,,,,,"ASSIST  by DRUMMOND,TRIPP",,,"ASSIST  by DRUMMOND,TRIPP",1
06:00,"GOOD LAYUP by BROWN,JEFF(in the paint)",17 (+1),,16,,MSPSM 17-16 (+1),,"GOOD LAYUP by BROWN,JEFF(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
05:45,,,,,"MISS JUMPER by DUNAVANT,JOHN",,,"MISS JUMPER by DUNAVANT,JOHN",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
05:35,"GOOD LAYUP by BROWN,JEFF(in the paint)",19 (+3),,16,,MSPSM 19-16 (+3),,"GOOD LAYUP by BROWN,JEFF(in the paint)",1
05:24,,19 (+1),,18,"GOOD LAYUP by MILLER,JOEY(in the paint)",RCMBB12 19-18 (+1),,"GOOD LAYUP by MILLER,JOEY(in the paint)",1
05:15,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND OFF by WHITE,TIM",,,,,,,"REBOUND OFF by WHITE,TIM",1
05:04,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
05:04,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",1
05:04,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",1
05:04,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",1
05:04,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",1
05:04,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",1
05:04,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
05:04,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",1
04:42,"MISS JUMPER by THOMAS,STERLING",,,,,,,"MISS JUMPER by THOMAS,STERLING",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
04:17,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",1
04:17,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
04:17,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
04:17,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
04:17,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",1
04:17,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
04:17,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
04:17,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
04:17,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
04:17,,,,,"SUB OUT by DRUMMOND,TRIPP",,,"SUB OUT by DRUMMOND,TRIPP",1
04:17,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
04:17,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",1
04:17,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
03:54,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND OFF by THOMAS,STERLING",,,,,,,"REBOUND OFF by THOMAS,STERLING",1
