Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
01:45,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
01:45,"GOOD FT by GILLIGAN,TULLY",38,,48 (+10),,MC 38-48 (-10),,"GOOD FT by GILLIGAN,TULLY",1
01:45,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
01:45,"SUB IN by GRIFFON,JACKSON",,,,,,,"SUB IN by GRIFFON,JACKSON",1
01:45,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
01:11,,,,,"MISS JUMPER by WHITE,BLAISE",,,"MISS JUMPER by WHITE,BLAISE",1
01:11,"BLOCK  by GRIFFON,JACKSON",,,,,,,"BLOCK  by GRIFFON,JACKSON",1
--,"REBOUND DEF by GRIFFON,JACKSON",,,,,,,"REBOUND DEF by GRIFFON,JACKSON",1
00:46,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
00:32,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
00:30,"FOUL  by MONTGOMERY,JAYSON",,,,,,,"FOUL  by MONTGOMERY,JAYSON",1
00:30,,38,,49 (+11),"GOOD FT by RICHARDS,ZAC",BSC 38-49 (-11),,"GOOD FT by RICHARDS,ZAC",1
00:30,,38,,50 (+12),"GOOD FT by RICHARDS,ZAC",BSC 38-50 (-12),,"GOOD FT by RICHARDS,ZAC",1
00:30,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
00:30,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
00:03,"MISS LAYUP by MEADES,TAYLOR",,,,,,,"MISS LAYUP by MEADES,TAYLOR",1
00:03,,,,,"BLOCK  by THOMAS,LARRY",,,"BLOCK  by THOMAS,LARRY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:01,"GOOD JUMPER by BERGER,RYAN(in the paint)",40,,50 (+10),,MC 40-50 (-10),,"GOOD JUMPER by BERGER,RYAN(in the paint)",1
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",1
20:00,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
20:00,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
19:30,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",2
--,"REBOUND OFF by MERKEL,BRIAN",,,,,,,"REBOUND OFF by MERKEL,BRIAN",2
19:25,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",2
19:10,,40,,52 (+12),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 40-52 (-12),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",2
18:46,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",2
--,"REBOUND OFF by KINNEAR,KYLE",,,,,,,"REBOUND OFF by KINNEAR,KYLE",2
18:41,"MISS LAYUP by KINNEAR,KYLE",,,,,,,"MISS LAYUP by KINNEAR,KYLE",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
18:30,,,,,"TURNOVER  by JONUS,JASEN",,,"TURNOVER  by JONUS,JASEN",2
18:28,"STEAL  by KINNEAR,KYLE",,,,,,,"STEAL  by KINNEAR,KYLE",2
18:24,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",2
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",2
18:21,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",2
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",2
18:19,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",2
17:57,,,,,"TURNOVER  by KEGARISE,KEVIN",,,"TURNOVER  by KEGARISE,KEVIN",2
17:56,"STEAL  by WHITE,TIM",,,,,,,"STEAL  by WHITE,TIM",2
17:56,"TURNOVER  by WHITE,TIM",,,,,,,"TURNOVER  by WHITE,TIM",2
17:56,,,,,"STEAL  by RICHARDS,ZAC",,,"STEAL  by RICHARDS,ZAC",2
17:44,,40,,55 (+15),"GOOD 3PTR by WHITE,BLAISE",BSC 40-55 (-15),,"GOOD 3PTR by WHITE,BLAISE",2
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",2
17:36,"TURNOVER  by MERKEL,BRIAN",,,,,,,"TURNOVER  by MERKEL,BRIAN",2
17:35,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",2
17:33,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",2
17:26,"TURNOVER  by MERKEL,BRIAN",,,,,,,"TURNOVER  by MERKEL,BRIAN",2
17:25,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",2
17:12,,40,,58 (+18),"GOOD 3PTR by JONUS,JASEN",BSC 40-58 (-18),,"GOOD 3PTR by JONUS,JASEN",2
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",2
16:46,"MISS 3PTR by BROWN,JEFF",,,,,,,"MISS 3PTR by BROWN,JEFF",2
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",2
16:32,,40,,60 (+20),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 40-60 (-20),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",2
16:17,"MISS JUMPER by KINNEAR,KYLE",,,,,,,"MISS JUMPER by KINNEAR,KYLE",2
--,"REBOUND OFF by KINNEAR,KYLE",,,,,,,"REBOUND OFF by KINNEAR,KYLE",2
16:13,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",42,,60 (+18),,MC 42-60 (-18),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",2
15:43,,,,,"TURNOVER  by RICHARDS,ZAC",,,"TURNOVER  by RICHARDS,ZAC",2
15:42,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",2
15:36,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",2
15:36,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:36,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",2
15:36,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
15:36,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",2
15:36,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
15:36,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
15:36,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",2
15:36,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
15:36,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
15:36,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
15:36,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",2
15:36,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
15:36,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",2
15:36,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
15:36,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
15:36,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",2
15:36,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",2
15:36,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",2
15:36,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",2
15:20,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",2
15:02,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",2
15:02,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
15:02,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
14:45,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",2
14:33,,,,,"MISS LAYUP by HOLLAND,JASON",,,"MISS LAYUP by HOLLAND,JASON",2
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",2
14:26,"MISS LAYUP by THOMAS,STERLING",,,,,,,"MISS LAYUP by THOMAS,STERLING",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:11,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",2
14:03,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",2
13:57,,,,,"TURNOVER  by LEE,CALEB",,,"TURNOVER  by LEE,CALEB",2
13:56,"STEAL  by CORTESE,NICK",,,,,,,"STEAL  by CORTESE,NICK",2
13:55,"GOOD LAYUP by CORTESE,NICK(fastbreak)(in the paint)",44,,60 (+16),,MC 44-60 (-16),,"GOOD LAYUP by CORTESE,NICK(fastbreak)(in the paint)",2
13:55,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",2
13:55,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:55,"GOOD FT by CORTESE,NICK",45,,60 (+15),,MC 45-60 (-15),,"GOOD FT by CORTESE,NICK",2
13:55,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
13:55,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
13:46,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",2
13:46,,,,,"TURNOVER  by LEE,CALEB",,,"TURNOVER  by LEE,CALEB",2
13:27,"TURNOVER  by MERKEL,BRIAN",,,,,,,"TURNOVER  by MERKEL,BRIAN",2
13:26,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",2
13:18,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
13:05,"GOOD LAYUP by MONTGOMERY,JAYSON(in the paint)",47,,60 (+13),,MC 47-60 (-13),,"GOOD LAYUP by MONTGOMERY,JAYSON(in the paint)",2
12:54,,47,,62 (+15),"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 47-62 (-15),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",2
12:37,"MISS JUMPER by MONTGOMERY,JAYSON",,,,,,,"MISS JUMPER by MONTGOMERY,JAYSON",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
12:33,"GOOD TIPIN by BERGER,RYAN(in the paint)",47,,62 (+15),,MC 47-62 (-15),,"GOOD TIPIN by BERGER,RYAN(in the paint)",2
12:19,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",,,"MISS JUMPER by SCHAMP,GRIFFIN",2
12:18,"BLOCK  by THOMAS,STERLING",,,,,,,"BLOCK  by THOMAS,STERLING",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
11:44,"MISS JUMPER by THOMAS,STERLING",,,,,,,"MISS JUMPER by THOMAS,STERLING",2
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",2
11:37,"FOUL  by MONTGOMERY,JAYSON",,,,,,,"FOUL  by MONTGOMERY,JAYSON",2
11:37,,47,,63 (+16),"GOOD FT by LEE,CALEB",BSC 47-63 (-16),,"GOOD FT by LEE,CALEB",2
11:37,,,,,"MISS FT by LEE,CALEB",,,"MISS FT by LEE,CALEB",2
--,"REBOUND DEF by WHITE,TIM",,,,,,,"REBOUND DEF by WHITE,TIM",2
11:32,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
11:32,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
11:32,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",2
11:32,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
11:32,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
11:32,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",2
11:32,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",2
11:32,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",2
11:32,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
11:32,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
11:32,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",2
11:32,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
11:12,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",2
11:04,,47,,66 (+19),"GOOD 3PTR by WHITE,BLAISE",BSC 47-66 (-19),,"GOOD 3PTR by WHITE,BLAISE",2
10:48,"MISS LAYUP by WHITE,TIM",,,,,,,"MISS LAYUP by WHITE,TIM",2
--,"REBOUND OFF by MONTGOMERY,JAYSON",,,,,,,"REBOUND OFF by MONTGOMERY,JAYSON",2
10:41,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
10:35,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",2
10:28,,47,,68 (+21),"GOOD DUNK by LEE,CALEB(in the paint)",BSC 47-68 (-21),,"GOOD DUNK by LEE,CALEB(in the paint)",2
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",2
10:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:21,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",2
10:21,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
10:01,"GOOD 3PTR by MEADES,TAYLOR",50,,68 (+18),,MC 50-68 (-18),,"GOOD 3PTR by MEADES,TAYLOR",2
--,"ASSIST  by WHITE,TIM",,,,,,,"ASSIST  by WHITE,TIM",2
09:36,,,,,"TURNOVER  by RICHARDS,ZAC",,,"TURNOVER  by RICHARDS,ZAC",2
09:35,"STEAL  by WHITE,TIM",,,,,,,"STEAL  by WHITE,TIM",2
09:33,"GOOD LAYUP by WHITE,TIM(fastbreak)(in the paint)",52,,68 (+16),,MC 52-68 (-16),,"GOOD LAYUP by WHITE,TIM(fastbreak)(in the paint)",2
09:28,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",2
09:26,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",2
09:22,"MISS JUMPER by MEADES,TAYLOR",,,,,,,"MISS JUMPER by MEADES,TAYLOR",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
09:19,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",2
09:19,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
09:19,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",2
09:19,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
09:16,"MISS LAYUP by KINNEAR,KYLE",,,,,,,"MISS LAYUP by KINNEAR,KYLE",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
09:06,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",2
09:06,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",2
09:05,,,,,"MISS JUMPER by KEGARISE,KEVIN",,,"MISS JUMPER by KEGARISE,KEVIN",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
09:01,"GOOD LAYUP by BROWN,JEFF(fastbreak)(in the paint)",54,,68 (+14),,MC 54-68 (-14),,"GOOD LAYUP by BROWN,JEFF(fastbreak)(in the paint)",2
--,"ASSIST  by KINNEAR,KYLE",,,,,,,"ASSIST  by KINNEAR,KYLE",2
08:11,,54,,70 (+16),"GOOD LAYUP by WHITE,BLAISE(in the paint)",BSC 54-70 (-16),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",2
07:59,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",2
07:59,"MISS LAYUP by THOMAS,STERLING",,,,,,,"MISS LAYUP by THOMAS,STERLING",2
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",2
07:59,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",2
07:59,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
07:59,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
07:59,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
07:26,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",2
07:26,,54,,71 (+17),"GOOD FT by RICHARDS,ZAC",BSC 54-71 (-17),,"GOOD FT by RICHARDS,ZAC",2
07:26,,,,,"MISS FT by RICHARDS,ZAC",,,"MISS FT by RICHARDS,ZAC",2
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",2
07:26,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
07:26,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",2
07:26,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
07:26,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
07:26,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",2
07:26,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",2
07:26,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
07:26,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",2
07:26,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",2
07:26,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",2
07:02,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",2
07:02,"MISS FT by CORTESE,NICK",,,,,,,"MISS FT by CORTESE,NICK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:02,"GOOD FT by CORTESE,NICK",55,,71 (+16),,MC 55-71 (-16),,"GOOD FT by CORTESE,NICK",2
07:02,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
07:02,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",2
06:42,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",2
06:42,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",2
06:42,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
06:28,,,,,"MISS JUMPER by MURPHY,NICK",,,"MISS JUMPER by MURPHY,NICK",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
06:18,"MISS LAYUP by MERKEL,BRIAN",,,,,,,"MISS LAYUP by MERKEL,BRIAN",2
06:18,,,,,"BLOCK  by LEE,CALEB",,,"BLOCK  by LEE,CALEB",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
05:58,"FOUL  by MONTGOMERY,JAYSON",,,,,,,"FOUL  by MONTGOMERY,JAYSON",2
05:58,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
05:58,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
05:36,,55,,73 (+18),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 55-73 (-18),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
05:36,"FOUL  by MONTGOMERY,JAYSON",,,,,,,"FOUL  by MONTGOMERY,JAYSON",2
05:36,,55,,74 (+19),"GOOD FT by LEE,CALEB",BSC 55-74 (-19),,"GOOD FT by LEE,CALEB",2
05:28,"TURNOVER  by WHITE,TIM",,,,,,,"TURNOVER  by WHITE,TIM",2
05:26,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",2
05:23,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",2
--,"REBOUND DEF by MONTGOMERY,JAYSON",,,,,,,"REBOUND DEF by MONTGOMERY,JAYSON",2
05:14,"MISS LAYUP by THOMAS,STERLING",,,,,,,"MISS LAYUP by THOMAS,STERLING",2
--,"REBOUND OFF by MONTGOMERY,JAYSON",,,,,,,"REBOUND OFF by MONTGOMERY,JAYSON",2
05:10,"MISS LAYUP by MONTGOMERY,JAYSON",,,,,,,"MISS LAYUP by MONTGOMERY,JAYSON",2
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",2
04:54,,55,,76 (+21),"GOOD JUMPER by SCHAMP,GRIFFIN",BSC 55-76 (-21),,"GOOD JUMPER by SCHAMP,GRIFFIN",2
--,,,,,"ASSIST  by LEE,CALEB",,,"ASSIST  by LEE,CALEB",2
04:26,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",2
04:26,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
04:26,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
04:26,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
04:26,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",2
04:26,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",2
04:26,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
04:26,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
04:26,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
04:26,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",2
04:26,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",2
04:26,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",2
04:26,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",2
04:26,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
04:26,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",2
04:26,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
04:26,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",2
04:26,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
04:20,"GOOD 3PTR by CORTESE,NICK",58,,76 (+18),,MC 58-76 (-18),,"GOOD 3PTR by CORTESE,NICK",2
04:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:46,,58,,79 (+21),"GOOD 3PTR by WHITE,BLAISE",BSC 58-79 (-21),,"GOOD 3PTR by WHITE,BLAISE",2
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",2
03:34,"MISS JUMPER by MEADES,TAYLOR",,,,,,,"MISS JUMPER by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",2
03:02,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",2
03:02,"SUB IN by GRIFFON,JACKSON",,,,,,,"SUB IN by GRIFFON,JACKSON",2
03:02,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",2
03:02,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
03:02,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
02:35,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",2
02:33,"STEAL  by CORTESE,NICK",,,,,,,"STEAL  by CORTESE,NICK",2
02:33,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",2
