Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
14:15,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
14:15,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
14:15,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
14:15,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
14:04,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",2
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",2
13:43,"GOOD JUMPER by SMITH,PRESTON",40,,42 (+2),,HC 40-42 (-2),,"GOOD JUMPER by SMITH,PRESTON",2
--,"ASSIST  by NOTLEY,CHANDLER",,,,,,,"ASSIST  by NOTLEY,CHANDLER",2
13:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:35,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
13:35,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
13:16,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
13:00,"GOOD LAYUP by OGLE,JOHN(in the paint)",42,,42,,HC 42-42 (0),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
13:00,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
13:00,"MISS FT by OGLE,JOHN",,,,,,,"MISS FT by OGLE,JOHN",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
12:51,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
12:51,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
12:50,,42,,44 (+2),"GOOD JUMPER by WESLEY,TYLER(in the paint)",CENTRE 42-44 (-2),,"GOOD JUMPER by WESLEY,TYLER(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
12:50,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
12:50,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
12:41,"MISS LAYUP by GARRETT,TRAVIS",,,,,,,"MISS LAYUP by GARRETT,TRAVIS",2
12:41,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:41,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
12:41,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",2
12:34,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
11:57,,42,,46 (+4),"GOOD JUMPER by SCINTA,BLAKE",CENTRE 42-46 (-4),,"GOOD JUMPER by SCINTA,BLAKE",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
11:30,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",44,,46 (+2),,HC 44-46 (-2),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",2
11:05,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",2
11:03,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",2
10:33,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
10:33,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
10:33,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
10:33,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
10:33,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
10:25,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",2
10:25,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
10:25,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
10:25,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",2
10:14,,44,,48 (+4),"GOOD LAYUP by GRUBER,SAM(in the paint)",CENTRE 44-48 (-4),,"GOOD LAYUP by GRUBER,SAM(in the paint)",2
09:55,"GOOD 3PTR by GARRETT,TRAVIS",47,,48 (+1),,HC 47-48 (-1),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
09:35,,47,,50 (+3),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 47-50 (-3),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
09:26,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:26,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",2
09:26,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
09:26,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
09:26,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
09:13,"GOOD JUMPER by OGLE,JOHN",49,,50 (+1),,HC 49-50 (-1),,"GOOD JUMPER by OGLE,JOHN",2
--,"ASSIST  by LITTLEFIELD,GEAREN",,,,,,,"ASSIST  by LITTLEFIELD,GEAREN",2
08:49,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
08:49,,49,,51 (+2),"GOOD FT by WESLEY,TYLER",CENTRE 49-51 (-2),,"GOOD FT by WESLEY,TYLER",2
08:49,,49,,52 (+3),"GOOD FT by WESLEY,TYLER",CENTRE 49-52 (-3),,"GOOD FT by WESLEY,TYLER",2
08:49,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
08:49,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
08:49,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
08:49,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
08:36,"GOOD 3PTR by PARKER,BRYCE",52,,52,,HC 52-52 (0),,"GOOD 3PTR by PARKER,BRYCE",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
08:15,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
08:09,,52,,55 (+3),"GOOD 3PTR by SINE,TUCKER",CENTRE 52-55 (-3),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",2
08:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:02,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",2
08:02,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
08:02,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
08:02,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
08:02,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
07:47,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
07:47,,52,,56 (+4),"GOOD FT by SCINTA,BLAKE",CENTRE 52-56 (-4),,"GOOD FT by SCINTA,BLAKE",2
07:47,,52,,57 (+5),"GOOD FT by SCINTA,BLAKE",CENTRE 52-57 (-5),,"GOOD FT by SCINTA,BLAKE",2
07:47,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",2
07:47,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
07:47,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
07:47,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
07:47,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
07:47,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
07:22,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
07:22,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:22,"GOOD FT by SMITH,PRESTON",53,,57 (+4),,HC 53-57 (-4),,"GOOD FT by SMITH,PRESTON",2
07:22,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
07:22,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
07:03,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",2
06:52,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",2
--,"REBOUND OFF by GARRETT,TRAVIS",,,,,,,"REBOUND OFF by GARRETT,TRAVIS",2
06:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
06:37,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
06:37,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",2
06:37,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
06:37,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
06:37,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
06:37,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
06:22,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
06:22,"GOOD FT by SMITH,PRESTON",54,,57 (+3),,HC 54-57 (-3),,"GOOD FT by SMITH,PRESTON",2
06:22,"GOOD FT by SMITH,PRESTON",55,,57 (+2),,HC 55-57 (-2),,"GOOD FT by SMITH,PRESTON",2
06:22,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
05:57,,55,,59 (+4),"GOOD JUMPER by SINE,TUCKER(in the paint)",CENTRE 55-59 (-4),,"GOOD JUMPER by SINE,TUCKER(in the paint)",2
05:46,"MISS 3PTR by OGLE,JOHN",,,,,,,"MISS 3PTR by OGLE,JOHN",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
05:25,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
05:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:54,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",2
04:54,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
04:43,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
04:43,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
04:37,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",2
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",2
04:20,"GOOD JUMPER by OGLE,JOHN",57,,59 (+2),,HC 57-59 (-2),,"GOOD JUMPER by OGLE,JOHN",2
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",2
03:56,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
03:41,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
03:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:32,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
03:32,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
03:23,,57,,61 (+4),"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE 57-61 (-4),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",2
03:01,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
03:01,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
03:01,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
02:55,"MISS JUMPER by OGLE,JOHN",,,,,,,"MISS JUMPER by OGLE,JOHN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
02:35,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
02:28,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:14,"MISS JUMPER by OGLE,JOHN",,,,,,,"MISS JUMPER by OGLE,JOHN",2
--,"REBOUND OFF by NIKOLOVSKI,DREW",,,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",2
02:09,"GOOD TIPIN by NIKOLOVSKI,DREW(in the paint)",59,,61 (+2),,HC 59-61 (-2),,"GOOD TIPIN by NIKOLOVSKI,DREW(in the paint)",2
01:55,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
01:55,,59,,62 (+3),"GOOD FT by WESLEY,TYLER",CENTRE 59-62 (-3),,"GOOD FT by WESLEY,TYLER",2
01:55,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
01:55,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
01:55,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
01:46,"GOOD 3PTR by OGLE,JOHN",62,,62,,HC 62-62 (0),,"GOOD 3PTR by OGLE,JOHN",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
01:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:19,,62,,65 (+3),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE 62-65 (-3),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
01:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:08,"GOOD 3PTR by SMITH,PRESTON",65,,65,,HC 65-65 (0),,"GOOD 3PTR by SMITH,PRESTON",2
00:41,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
00:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:16,"MISS LAYUP by OGLE,JOHN",,,,,,,"MISS LAYUP by OGLE,JOHN",2
00:16,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:10,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
00:02,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",2
00:01,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:00,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",3
05:00,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",3
04:37,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",3
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",3
04:13,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",3
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",3
03:54,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",3
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",3
03:42,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",3
03:42,,65,,66 (+1),"GOOD FT by SCINTA,BLAKE",CENTRE 65-66 (-1),,"GOOD FT by SCINTA,BLAKE",3
03:42,,65,,67 (+2),"GOOD FT by SCINTA,BLAKE",CENTRE 65-67 (-2),,"GOOD FT by SCINTA,BLAKE",3
03:42,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",3
03:42,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",3
03:19,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",3
03:19,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",3
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,3
03:17,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",3
03:16,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",3
02:56,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",3
02:56,"BLOCK  by OGLE,JOHN",,,,,,,"BLOCK  by OGLE,JOHN",3
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",3
02:39,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",3
02:39,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",3
02:39,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",3
02:39,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",3
02:27,"GOOD JUMPER by SMITH,PRESTON(in the paint)",67,,67,,HC 67-67 (0),,"GOOD JUMPER by SMITH,PRESTON(in the paint)",3
02:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
02:15,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",3
02:15,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",3
01:52,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,3
01:39,"MISS LAYUP by OGLE,JOHN",,,,,,,"MISS LAYUP by OGLE,JOHN",3
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",3
01:13,,67,,70 (+3),"GOOD 3PTR by SINE,TUCKER",CENTRE 67-70 (-3),,"GOOD 3PTR by SINE,TUCKER",3
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",3
01:09,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",3
01:09,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",3
01:03,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",3
01:03,"GOOD FT by GARRETT,TRAVIS",68,,70 (+2),,HC 68-70 (-2),,"GOOD FT by GARRETT,TRAVIS",3
01:03,"MISS FT by GARRETT,TRAVIS",,,,,,,"MISS FT by GARRETT,TRAVIS",3
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",3
00:36,,68,,72 (+4),"GOOD JUMPER by SCINTA,BLAKE",CENTRE 68-72 (-4),,"GOOD JUMPER by SCINTA,BLAKE",3
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",3
00:30,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:22,"GOOD 3PTR by GARRETT,TRAVIS",71,,72 (+1),,HC 71-72 (-1),,"GOOD 3PTR by GARRETT,TRAVIS",3
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",3
00:12,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",3
00:12,,71,,73 (+2),"GOOD FT by GUMP,MATT",CENTRE 71-73 (-2),,"GOOD FT by GUMP,MATT",3
00:12,,71,,74 (+3),"GOOD FT by GUMP,MATT",CENTRE 71-74 (-3),,"GOOD FT by GUMP,MATT",3
00:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
00:06,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",3
00:06,"GOOD FT by SMITH,PRESTON",72,,74 (+2),,HC 72-74 (-2),,"GOOD FT by SMITH,PRESTON",3
00:06,"GOOD FT by SMITH,PRESTON",73,,74 (+1),,HC 73-74 (-1),,"GOOD FT by SMITH,PRESTON",3
00:06,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",3
00:06,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",3
00:05,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",3
00:05,,73,,75 (+2),"GOOD FT by SCINTA,BLAKE",CENTRE 73-75 (-2),,"GOOD FT by SCINTA,BLAKE",3
00:05,,73,,76 (+3),"GOOD FT by SCINTA,BLAKE",CENTRE 73-76 (-3),,"GOOD FT by SCINTA,BLAKE",3
00:05,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",3
00:05,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",3
00:03,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",3
00:03,"GOOD FT by SMITH,PRESTON",74,,76 (+2),,HC 74-76 (-2),,"GOOD FT by SMITH,PRESTON",3
00:03,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",3
00:03,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",3
00:03,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",3
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",3
00:01,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",3
00:01,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
00:01,,74,,77 (+3),"GOOD FT by SCINTA,BLAKE",CENTRE 74-77 (-3),,"GOOD FT by SCINTA,BLAKE",3
00:01,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",3
00:01,"MISS FT by GARRETT,TRAVIS",,,,,,,"MISS FT by GARRETT,TRAVIS",3
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,3
00:01,"MISS FT by GARRETT,TRAVIS",,,,,,,"MISS FT by GARRETT,TRAVIS",3
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",3
00:01,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",3
00:01,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",3
00:01,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",3
00:01,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",3
