Time Remaining,UDMBB,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by SARRAT,MICHAEL",,,,,,,"REBOUND DEF by SARRAT,MICHAEL",1
--,"ASSIST  by GARATE,VICTOR",,,,,,,"ASSIST  by GARATE,VICTOR",1
02:44,,,,,"FOUL  by VRANA,MAXWELL",,,"FOUL  by VRANA,MAXWELL",1
02:44,"GOOD LAYUP by COOKS,TJ(in the paint)",29,,31 (+2),,UDMBB 29-31 (+2),,"GOOD LAYUP by COOKS,TJ(in the paint)",1
02:44,"GOOD FT by COOKS,TJ",30,,31 (+1),,UDMBB 30-31 (+1),,"GOOD FT by COOKS,TJ",1
02:34,"FOUL  by DICAMBIO,AUSTIN",,,,,,,"FOUL  by DICAMBIO,AUSTIN",1
02:34,,30,,32 (+2),"GOOD FT by BATCHELOR,BRYCE",HC 30-32 (+2),,"GOOD FT by BATCHELOR,BRYCE",1
02:34,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",1
--,"REBOUND DEF by MACCALLUM,RORY",,,,,,,"REBOUND DEF by MACCALLUM,RORY",1
02:34,"SUB IN by WHITNEY,SEAN",,,,,,,"SUB IN by WHITNEY,SEAN",1
02:34,"SUB OUT by DICAMBIO,AUSTIN",,,,,,,"SUB OUT by DICAMBIO,AUSTIN",1
02:20,"TURNOVER  by WHITNEY,SEAN",,,,,,,"TURNOVER  by WHITNEY,SEAN",1
02:19,,,,,"STEAL  by STEELE,AARON",,,"STEAL  by STEELE,AARON",1
02:13,,30,,35 (+5),"GOOD 3PTR by VRANA,MAXWELL(fastbreak)",HC 30-35 (+5),,"GOOD 3PTR by VRANA,MAXWELL(fastbreak)",1
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",1
01:51,"MISS LAYUP by COOKS,TJ",,,,,,,"MISS LAYUP by COOKS,TJ",1
--,"REBOUND OFF by COOKS,TJ",,,,,,,"REBOUND OFF by COOKS,TJ",1
01:38,"TURNOVER  by COOKS,TJ",,,,,,,"TURNOVER  by COOKS,TJ",1
01:30,,,,,"MISS JUMPER by VRANA,MAXWELL",,,"MISS JUMPER by VRANA,MAXWELL",1
--,"REBOUND DEF by MACCALLUM,RORY",,,,,,,"REBOUND DEF by MACCALLUM,RORY",1
01:11,"FOUL  by COOKS,TJ",,,,,,,"FOUL  by COOKS,TJ",1
01:11,,,,,"FOUL  by MURPHEY,LUKE",,,"FOUL  by MURPHEY,LUKE",1
01:11,"MISS FT by MACCALLUM,RORY",,,,,,,"MISS FT by MACCALLUM,RORY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:11,"MISS FT by MACCALLUM,RORY",,,,,,,"MISS FT by MACCALLUM,RORY",1
--,,,,,"REBOUND DEF by MURPHEY,LUKE",,,"REBOUND DEF by MURPHEY,LUKE",1
01:11,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",1
01:11,"SUB OUT by GARATE,VICTOR",,,,,,,"SUB OUT by GARATE,VICTOR",1
00:43,,,,,"TURNOVER  by VRANA,MAXWELL",,,"TURNOVER  by VRANA,MAXWELL",1
00:42,"STEAL  by CALTON,EMMANUEL",,,,,,,"STEAL  by CALTON,EMMANUEL",1
00:38,"MISS LAYUP by COOKS,TJ",,,,,,,"MISS LAYUP by COOKS,TJ",1
--,"REBOUND OFF by HORNER,RONNIE",,,,,,,"REBOUND OFF by HORNER,RONNIE",1
00:36,"GOOD LAYUP by HORNER,RONNIE(in the paint)",32,,35 (+3),,UDMBB 32-35 (+3),,"GOOD LAYUP by HORNER,RONNIE(in the paint)",1
00:03,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:03,,32,,36 (+4),"GOOD FT by BATCHELOR,BRYCE",HC 32-36 (+4),,"GOOD FT by BATCHELOR,BRYCE",1
00:03,"SUB IN by GARATE,VICTOR",,,,,,,"SUB IN by GARATE,VICTOR",1
00:03,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",1
00:00,"MISS 3PTR by SARRAT,MICHAEL",,,,,,,"MISS 3PTR by SARRAT,MICHAEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:32,"MISS LAYUP by KAISER,TOM",,,,,,,"MISS LAYUP by KAISER,TOM",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
19:17,"FOUL  by KAISER,TOM",,,,,,,"FOUL  by KAISER,TOM",2
19:17,,32,,37 (+5),"GOOD FT by LITTLEFIELD,GEAREN",HC 32-37 (+5),,"GOOD FT by LITTLEFIELD,GEAREN",2
19:17,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by CALTON,EMMANUEL",,,,,,,"REBOUND DEF by CALTON,EMMANUEL",2
19:17,"SUB IN by MACCALLUM,RORY",,,,,,,"SUB IN by MACCALLUM,RORY",2
19:17,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",2
19:01,"TURNOVER  by MACCALLUM,RORY",,,,,,,"TURNOVER  by MACCALLUM,RORY",2
19:01,"FOUL  by MACCALLUM,RORY",,,,,,,"FOUL  by MACCALLUM,RORY",2
18:49,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",2
18:38,"MISS JUMPER by GONZALEZ,LORENZO",,,,,,,"MISS JUMPER by GONZALEZ,LORENZO",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
18:30,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",2
--,"REBOUND DEF by CALTON,EMMANUEL",,,,,,,"REBOUND DEF by CALTON,EMMANUEL",2
18:17,"TURNOVER  by SARRAT,MICHAEL",,,,,,,"TURNOVER  by SARRAT,MICHAEL",2
18:16,,,,,"STEAL  by NIKOLOVSKI,DREW",,,"STEAL  by NIKOLOVSKI,DREW",2
18:14,,32,,39 (+7),"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",HC 32-39 (+7),,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",2
17:55,"GOOD LAYUP by MACCALLUM,RORY(in the paint)",34,,39 (+5),,UDMBB 34-39 (+5),,"GOOD LAYUP by MACCALLUM,RORY(in the paint)",2
--,"ASSIST  by SARRAT,MICHAEL",,,,,,,"ASSIST  by SARRAT,MICHAEL",2
17:38,"FOUL  by MACCALLUM,RORY",,,,,,,"FOUL  by MACCALLUM,RORY",2
17:38,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",2
17:38,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
17:38,"SUB IN by DICAMBIO,AUSTIN",,,,,,,"SUB IN by DICAMBIO,AUSTIN",2
17:38,"SUB OUT by MACCALLUM,RORY",,,,,,,"SUB OUT by MACCALLUM,RORY",2
17:38,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
17:38,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
17:30,"TURNOVER  by DICAMBIO,AUSTIN",,,,,,,"TURNOVER  by DICAMBIO,AUSTIN",2
17:29,,,,,"STEAL  by LITTLEFIELD,GEAREN",,,"STEAL  by LITTLEFIELD,GEAREN",2
17:27,,34,,41 (+7),"GOOD LAYUP by LITTLEFIELD,GEAREN(fastbreak)(in the paint)",HC 34-41 (+7),,"GOOD LAYUP by LITTLEFIELD,GEAREN(fastbreak)(in the paint)",2
17:03,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",2
17:03,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
17:03,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
17:01,"GOOD JUMPER by GONZALEZ,LORENZO",36,,41 (+5),,UDMBB 36-41 (+5),,"GOOD JUMPER by GONZALEZ,LORENZO",2
--,"ASSIST  by WHITNEY,SEAN",,,,,,,"ASSIST  by WHITNEY,SEAN",2
16:48,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",2
16:48,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
16:48,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",2
16:48,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
16:41,"MISS 3PTR by GONZALEZ,LORENZO",,,,,,,"MISS 3PTR by GONZALEZ,LORENZO",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
16:26,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",2
16:22,"STEAL  by DICAMBIO,AUSTIN",,,,,,,"STEAL  by DICAMBIO,AUSTIN",2
16:18,"MISS JUMPER by SARRAT,MICHAEL",,,,,,,"MISS JUMPER by SARRAT,MICHAEL",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
15:54,,36,,44 (+8),"GOOD 3PTR by SMITH,PRESTON",HC 36-44 (+8),,"GOOD 3PTR by SMITH,PRESTON",2
--,,,,,"ASSIST  by NOTLEY,CHANDLER",,,"ASSIST  by NOTLEY,CHANDLER",2
15:32,"FOUL  by WHITNEY,SEAN",,,,,,,"FOUL  by WHITNEY,SEAN",2
15:32,"TURNOVER  by WHITNEY,SEAN",,,,,,,"TURNOVER  by WHITNEY,SEAN",2
15:29,,,,,"MISS 3PTR by OGLE,JOHN",,,"MISS 3PTR by OGLE,JOHN",2
--,"REBOUND DEF by SARRAT,MICHAEL",,,,,,,"REBOUND DEF by SARRAT,MICHAEL",2
15:19,"TURNOVER  by DICAMBIO,AUSTIN",,,,,,,"TURNOVER  by DICAMBIO,AUSTIN",2
15:19,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",2
15:19,"FOUL  by DICAMBIO,AUSTIN",,,,,,,"FOUL  by DICAMBIO,AUSTIN",2
15:05,,36,,46 (+10),"GOOD JUMPER by STEELE,AARON(in the paint)",HC 36-46 (+10),,"GOOD JUMPER by STEELE,AARON(in the paint)",2
--,,,,,"ASSIST  by OGLE,JOHN",,,"ASSIST  by OGLE,JOHN",2
14:39,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
14:39,"GOOD FT by SARRAT,MICHAEL",37,,46 (+9),,UDMBB 37-46 (+9),,"GOOD FT by SARRAT,MICHAEL",2
14:39,"GOOD FT by SARRAT,MICHAEL",38,,46 (+8),,UDMBB 38-46 (+8),,"GOOD FT by SARRAT,MICHAEL",2
14:39,"SUB IN by GLADOLOR,PRINCE",,,,,,,"SUB IN by GLADOLOR,PRINCE",2
14:39,"SUB OUT by WHITNEY,SEAN",,,,,,,"SUB OUT by WHITNEY,SEAN",2
14:17,,,,,"MISS JUMPER by OGLE,JOHN",,,"MISS JUMPER by OGLE,JOHN",2
--,,,,,"REBOUND OFF by NOTLEY,CHANDLER",,,"REBOUND OFF by NOTLEY,CHANDLER",2
14:13,,,,,"MISS LAYUP by NOTLEY,CHANDLER",,,"MISS LAYUP by NOTLEY,CHANDLER",2
--,"REBOUND DEF by DICAMBIO,AUSTIN",,,,,,,"REBOUND DEF by DICAMBIO,AUSTIN",2
13:59,"SUB IN by COLVIN,DARRIUS",,,,,,,"SUB IN by COLVIN,DARRIUS",2
13:59,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",2
13:59,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
13:59,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
13:51,"MISS LAYUP by DICAMBIO,AUSTIN",,,,,,,"MISS LAYUP by DICAMBIO,AUSTIN",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
13:37,,38,,48 (+10),"GOOD JUMPER by GARRETT,TRAVIS",HC 38-48 (+10),,"GOOD JUMPER by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
13:19,"MISS 3PTR by GONZALEZ,LORENZO",,,,,,,"MISS 3PTR by GONZALEZ,LORENZO",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
13:01,"FOUL  by GLADOLOR,PRINCE",,,,,,,"FOUL  by GLADOLOR,PRINCE",2
13:01,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",2
13:01,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
13:00,,,,,"MISS LAYUP by BATCHELOR,BRYCE",,,"MISS LAYUP by BATCHELOR,BRYCE",2
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",2
12:51,"GOOD LAYUP by GLADOLOR,PRINCE(fastbreak)(in the paint)",40,,48 (+8),,UDMBB 40-48 (+8),,"GOOD LAYUP by GLADOLOR,PRINCE(fastbreak)(in the paint)",2
--,"ASSIST  by GONZALEZ,LORENZO",,,,,,,"ASSIST  by GONZALEZ,LORENZO",2
12:36,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,"REBOUND DEF by GLADOLOR,PRINCE",,,,,,,"REBOUND DEF by GLADOLOR,PRINCE",2
12:32,"TURNOVER  by GLADOLOR,PRINCE",,,,,,,"TURNOVER  by GLADOLOR,PRINCE",2
12:23,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",2
12:09,"GOOD LAYUP by GONZALEZ,LORENZO(fastbreak)(in the paint)",42,,48 (+6),,UDMBB 42-48 (+6),,"GOOD LAYUP by GONZALEZ,LORENZO(fastbreak)(in the paint)",2
11:55,,42,,50 (+8),"GOOD LAYUP by NOTLEY,CHANDLER(in the paint)",HC 42-50 (+8),,"GOOD LAYUP by NOTLEY,CHANDLER(in the paint)",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
11:51,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:38,"TURNOVER  by SARRAT,MICHAEL",,,,,,,"TURNOVER  by SARRAT,MICHAEL",2
11:37,,,,,"STEAL  by STEELE,AARON",,,"STEAL  by STEELE,AARON",2
11:35,,,,,"MISS LAYUP by STEELE,AARON",,,"MISS LAYUP by STEELE,AARON",2
11:35,"BLOCK  by COLVIN,DARRIUS",,,,,,,"BLOCK  by COLVIN,DARRIUS",2
--,"REBOUND DEF by SARRAT,MICHAEL",,,,,,,"REBOUND DEF by SARRAT,MICHAEL",2
11:24,"MISS 3PTR by COLVIN,DARRIUS",,,,,,,"MISS 3PTR by COLVIN,DARRIUS",2
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",2
11:11,"SUB IN by KAISER,TOM",,,,,,,"SUB IN by KAISER,TOM",2
11:11,"SUB OUT by DICAMBIO,AUSTIN",,,,,,,"SUB OUT by DICAMBIO,AUSTIN",2
11:11,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
11:11,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
11:11,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
11:11,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
11:11,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",2
11:11,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
10:57,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",2
10:57,"BLOCK  by KAISER,TOM",,,,,,,"BLOCK  by KAISER,TOM",2
--,,,,,"REBOUND OFF by OGLE,JOHN",,,"REBOUND OFF by OGLE,JOHN",2
10:53,,42,,52 (+10),"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 42-52 (+10),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
10:36,"MISS LAYUP by SARRAT,MICHAEL",,,,,,,"MISS LAYUP by SARRAT,MICHAEL",2
--,"REBOUND OFF by GLADOLOR,PRINCE",,,,,,,"REBOUND OFF by GLADOLOR,PRINCE",2
10:33,"GOOD LAYUP by GLADOLOR,PRINCE(in the paint)",44,,52 (+8),,UDMBB 44-52 (+8),,"GOOD LAYUP by GLADOLOR,PRINCE(in the paint)",2
10:33,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
10:33,"GOOD FT by GLADOLOR,PRINCE",45,,52 (+7),,UDMBB 45-52 (+7),,"GOOD FT by GLADOLOR,PRINCE",2
10:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:33,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",2
10:33,,45,,53 (+8),"GOOD FT by BARRETT,JORDAN",HC 45-53 (+8),,"GOOD FT by BARRETT,JORDAN",2
10:33,,45,,54 (+9),"GOOD FT by BARRETT,JORDAN",HC 45-54 (+9),,"GOOD FT by BARRETT,JORDAN",2
10:33,"SUB IN by GARATE,VICTOR",,,,,,,"SUB IN by GARATE,VICTOR",2
10:33,"SUB OUT by COLVIN,DARRIUS",,,,,,,"SUB OUT by COLVIN,DARRIUS",2
10:33,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",2
10:33,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
10:16,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
10:16,,,,,"SUB IN by MURPHEY,LUKE",,,"SUB IN by MURPHEY,LUKE",2
10:16,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
10:13,"MISS 3PTR by GONZALEZ,LORENZO",,,,,,,"MISS 3PTR by GONZALEZ,LORENZO",2
--,,,,,"REBOUND DEF by BARRETT,JORDAN",,,"REBOUND DEF by BARRETT,JORDAN",2
09:51,,45,,57 (+12),"GOOD 3PTR by SMITH,PRESTON",HC 45-57 (+12),,"GOOD 3PTR by SMITH,PRESTON",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
09:41,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
09:41,"GOOD FT by GLADOLOR,PRINCE",46,,57 (+11),,UDMBB 46-57 (+11),,"GOOD FT by GLADOLOR,PRINCE",2
09:41,"GOOD FT by GLADOLOR,PRINCE",47,,57 (+10),,UDMBB 47-57 (+10),,"GOOD FT by GLADOLOR,PRINCE",2
09:41,"SUB IN by DICAMBIO,AUSTIN",,,,,,,"SUB IN by DICAMBIO,AUSTIN",2
09:41,"SUB OUT by SARRAT,MICHAEL",,,,,,,"SUB OUT by SARRAT,MICHAEL",2
09:37,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by GLADOLOR,PRINCE",,,,,,,"REBOUND DEF by GLADOLOR,PRINCE",2
09:19,"MISS 3PTR by GLADOLOR,PRINCE",,,,,,,"MISS 3PTR by GLADOLOR,PRINCE",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
09:07,,47,,59 (+12),"GOOD LAYUP by MURPHEY,LUKE(in the paint)",HC 47-59 (+12),,"GOOD LAYUP by MURPHEY,LUKE(in the paint)",2
--,,,,,"ASSIST  by BARRETT,JORDAN",,,"ASSIST  by BARRETT,JORDAN",2
08:50,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
08:50,"GOOD FT by DICAMBIO,AUSTIN",48,,59 (+11),,UDMBB 48-59 (+11),,"GOOD FT by DICAMBIO,AUSTIN",2
08:50,"GOOD FT by DICAMBIO,AUSTIN",49,,59 (+10),,UDMBB 49-59 (+10),,"GOOD FT by DICAMBIO,AUSTIN",2
08:50,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",2
08:50,"SUB OUT by GLADOLOR,PRINCE",,,,,,,"SUB OUT by GLADOLOR,PRINCE",2
08:50,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
08:50,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
08:41,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",2
--,"REBOUND DEF by DICAMBIO,AUSTIN",,,,,,,"REBOUND DEF by DICAMBIO,AUSTIN",2
08:31,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
08:31,"GOOD FT by KAISER,TOM",50,,59 (+9),,UDMBB 50-59 (+9),,"GOOD FT by KAISER,TOM",2
08:31,"GOOD FT by KAISER,TOM",51,,59 (+8),,UDMBB 51-59 (+8),,"GOOD FT by KAISER,TOM",2
08:28,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",2
08:27,"STEAL  by GONZALEZ,LORENZO",,,,,,,"STEAL  by GONZALEZ,LORENZO",2
08:24,"GOOD LAYUP by CALTON,EMMANUEL(fastbreak)(in the paint)",53,,59 (+6),,UDMBB 53-59 (+6),,"GOOD LAYUP by CALTON,EMMANUEL(fastbreak)(in the paint)",2
--,"ASSIST  by GONZALEZ,LORENZO",,,,,,,"ASSIST  by GONZALEZ,LORENZO",2
08:12,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:56,"FOUL  by GARATE,VICTOR",,,,,,,"FOUL  by GARATE,VICTOR",2
07:56,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",2
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",2
07:53,,53,,61 (+8),"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",HC 53-61 (+8),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",2
07:36,"TURNOVER  by GONZALEZ,LORENZO",,,,,,,"TURNOVER  by GONZALEZ,LORENZO",2
07:36,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",2
07:36,"SUB IN by SARRAT,MICHAEL",,,,,,,"SUB IN by SARRAT,MICHAEL",2
07:36,"SUB OUT by GARATE,VICTOR",,,,,,,"SUB OUT by GARATE,VICTOR",2
07:35,"FOUL  by GONZALEZ,LORENZO",,,,,,,"FOUL  by GONZALEZ,LORENZO",2
07:35,,53,,62 (+9),"GOOD FT by BARRETT,JORDAN",HC 53-62 (+9),,"GOOD FT by BARRETT,JORDAN",2
07:35,,53,,63 (+10),"GOOD FT by BARRETT,JORDAN",HC 53-63 (+10),,"GOOD FT by BARRETT,JORDAN",2
07:22,"MISS LAYUP by SARRAT,MICHAEL",,,,,,,"MISS LAYUP by SARRAT,MICHAEL",2
07:22,,,,,"BLOCK  by MURPHEY,LUKE",,,"BLOCK  by MURPHEY,LUKE",2
--,"REBOUND OFF by KAISER,TOM",,,,,,,"REBOUND OFF by KAISER,TOM",2
07:19,"GOOD LAYUP by KAISER,TOM(in the paint)",55,,63 (+8),,UDMBB 55-63 (+8),,"GOOD LAYUP by KAISER,TOM(in the paint)",2
07:19,,55,,66 (+11),"GOOD 3PTR by BARRETT,JORDAN",HC 55-66 (+11),,"GOOD 3PTR by BARRETT,JORDAN",2
--,,,,,"ASSIST  by MURPHEY,LUKE",,,"ASSIST  by MURPHEY,LUKE",2
06:45,"GOOD LAYUP by GONZALEZ,LORENZO(in the paint)",57,,66 (+9),,UDMBB 57-66 (+9),,"GOOD LAYUP by GONZALEZ,LORENZO(in the paint)",2
06:45,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
06:45,"GOOD FT by GONZALEZ,LORENZO",58,,66 (+8),,UDMBB 58-66 (+8),,"GOOD FT by GONZALEZ,LORENZO",2
06:45,"SUB IN by GLADOLOR,PRINCE",,,,,,,"SUB IN by GLADOLOR,PRINCE",2
06:45,"SUB OUT by DICAMBIO,AUSTIN",,,,,,,"SUB OUT by DICAMBIO,AUSTIN",2
06:45,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
06:45,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
06:41,"SUB IN by DICAMBIO,AUSTIN",,,,,,,"SUB IN by DICAMBIO,AUSTIN",2
06:41,"SUB OUT by SARRAT,MICHAEL",,,,,,,"SUB OUT by SARRAT,MICHAEL",2
06:31,,58,,69 (+11),"GOOD 3PTR by MURPHEY,LUKE",HC 58-69 (+11),,"GOOD 3PTR by MURPHEY,LUKE",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
06:25,,,,,"FOUL  by MURPHEY,LUKE",,,"FOUL  by MURPHEY,LUKE",2
06:25,"MISS FT by CALTON,EMMANUEL",,,,,,,"MISS FT by CALTON,EMMANUEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:25,"GOOD FT by CALTON,EMMANUEL",59,,69 (+10),,UDMBB 59-69 (+10),,"GOOD FT by CALTON,EMMANUEL",2
06:09,,59,,71 (+12),"GOOD LAYUP by BARRETT,JORDAN(in the paint)",HC 59-71 (+12),,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
05:57,"MISS LAYUP by CALTON,EMMANUEL",,,,,,,"MISS LAYUP by CALTON,EMMANUEL",2
--,"REBOUND OFF by KAISER,TOM",,,,,,,"REBOUND OFF by KAISER,TOM",2
05:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:56,"GOOD LAYUP by KAISER,TOM(in the paint)",61,,71 (+10),,UDMBB 61-71 (+10),,"GOOD LAYUP by KAISER,TOM(in the paint)",2
05:54,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",2
05:54,"BLOCK  by DICAMBIO,AUSTIN",,,,,,,"BLOCK  by DICAMBIO,AUSTIN",2
--,"REBOUND DEF by DICAMBIO,AUSTIN",,,,,,,"REBOUND DEF by DICAMBIO,AUSTIN",2
05:49,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
05:49,"GOOD FT by GLADOLOR,PRINCE",62,,71 (+9),,UDMBB 62-71 (+9),,"GOOD FT by GLADOLOR,PRINCE",2
