Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
01:37,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
01:37,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",1
01:18,"TURNOVER  by KRAMER,KORBIN",,,,,,,"TURNOVER  by KRAMER,KORBIN",1
00:55,,35 (+10),,25,"GOOD LAYUP by FORTE,MCCARTY(in the paint)",BCM 35-25 (+10),,"GOOD LAYUP by FORTE,MCCARTY(in the paint)",1
--,,,,,"ASSIST  by MARDER,NICK",,,"ASSIST  by MARDER,NICK",1
00:40,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND OFF by SMITH,PRESTON",,,,,,,"REBOUND OFF by SMITH,PRESTON",1
00:24,,35 (+9),,26,"GOOD FT by MARDER,NICK",BCM 35-26 (+9),,"GOOD FT by MARDER,NICK",1
00:24,,,,,"MISS FT by MARDER,NICK",,,"MISS FT by MARDER,NICK",1
--,"REBOUND DEF by KRAMER,KORBIN",,,,,,,"REBOUND DEF by KRAMER,KORBIN",1
00:20,"TURNOVER  by KRAMER,KORBIN",,,,,,,"TURNOVER  by KRAMER,KORBIN",1
00:19,,,,,"STEAL  by FENTON,CLINT",,,"STEAL  by FENTON,CLINT",1
00:07,,,,,"MISS 3PTR by FORTE,MCCARTY",,,"MISS 3PTR by FORTE,MCCARTY",1
--,,,,,"REBOUND OFF by FENTON,CLINT",,,"REBOUND OFF by FENTON,CLINT",1
00:03,,,,,"MISS LAYUP by FENTON,CLINT",,,"MISS LAYUP by FENTON,CLINT",1
--,,,,,"REBOUND OFF by MARDER,NICK",,,"REBOUND OFF by MARDER,NICK",1
00:01,"SUB IN by BRADY,RYAN",,,,,,,"SUB IN by BRADY,RYAN",1
00:00,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",1
--,,,,,"REBOUND OFF by MCCLOUD,LEE",,,"REBOUND OFF by MCCLOUD,LEE",1
00:00,,35 (+7),,28,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 35-28 (+7),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1
00:00,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",1
00:00,,35 (+6),,29,"GOOD FT by MCCLOUD,LEE",BCM 35-29 (+6),,"GOOD FT by MCCLOUD,LEE",1
20:00,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",2
20:00,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",2
19:50,,35 (+4),,31,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",BCM 35-31 (+4),,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",2
19:19,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
19:16,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",37 (+6),,31,,HC 37-31 (+6),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
19:04,,,,,"TURNOVER  by JOHNSON,CALEB",,,"TURNOVER  by JOHNSON,CALEB",2
18:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
18:34,"GOOD LAYUP by OGLE,JOHN(in the paint)",39 (+8),,31,,HC 39-31 (+8),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
18:21,,39 (+6),,33,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BCM 39-33 (+6),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",2
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",2
17:59,,,,,"FOUL  by JOHNSON,CALEB",,,"FOUL  by JOHNSON,CALEB",2
17:42,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",2
17:42,"SUB IN by BRADY,RYAN",,,,,,,"SUB IN by BRADY,RYAN",2
17:42,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",2
17:42,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",2
17:42,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",2
17:33,"FOUL  by BRADY,RYAN",,,,,,,"FOUL  by BRADY,RYAN",2
17:26,,,,,"TURNOVER  by KORN,LUKAS",,,"TURNOVER  by KORN,LUKAS",2
17:25,"STEAL  by OGLE,JOHN",,,,,,,"STEAL  by OGLE,JOHN",2
17:17,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",2
17:17,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",2
17:07,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",2
17:07,"GOOD FT by OGLE,JOHN",40 (+7),,33,,HC 40-33 (+7),,"GOOD FT by OGLE,JOHN",2
17:07,"MISS FT by OGLE,JOHN",,,,,,,"MISS FT by OGLE,JOHN",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
17:02,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",2
16:59,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",2
16:47,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,"REBOUND OFF by OGLE,JOHN",,,,,,,"REBOUND OFF by OGLE,JOHN",2
16:44,"GOOD LAYUP by OGLE,JOHN(in the paint)",42 (+9),,33,,HC 42-33 (+9),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
16:38,"FOUL  by BRADY,RYAN",,,,,,,"FOUL  by BRADY,RYAN",2
16:29,,,,,"MISS LAYUP by MARDER,NICK",,,"MISS LAYUP by MARDER,NICK",2
--,,,,,"REBOUND OFF by MARDER,NICK",,,"REBOUND OFF by MARDER,NICK",2
16:26,,42 (+6),,36,"GOOD 3PTR by MCCLOUD,ALTON",BCM 42-36 (+6),,"GOOD 3PTR by MCCLOUD,ALTON",2
--,,,,,"ASSIST  by MARDER,NICK",,,"ASSIST  by MARDER,NICK",2
16:13,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
16:13,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
16:10,"TURNOVER  by BRADY,RYAN",,,,,,,"TURNOVER  by BRADY,RYAN",2
16:09,,,,,"STEAL  by SCHERRMAN,BLAKE",,,"STEAL  by SCHERRMAN,BLAKE",2
16:03,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",2
--,,,,,"REBOUND OFF by MCCLOUD,ALTON",,,"REBOUND OFF by MCCLOUD,ALTON",2
16:02,,42 (+4),,38,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",BCM 42-38 (+4),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",2
16:02,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",2
16:02,,,,,"MISS FT by MCCLOUD,ALTON",,,"MISS FT by MCCLOUD,ALTON",2
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",2
15:48,"MISS 3PTR by BRADY,RYAN",,,,,,,"MISS 3PTR by BRADY,RYAN",2
--,"REBOUND OFF by OGLE,JOHN",,,,,,,"REBOUND OFF by OGLE,JOHN",2
15:46,"GOOD LAYUP by OGLE,JOHN(in the paint)",44 (+6),,38,,HC 44-38 (+6),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
15:46,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",2
15:46,"GOOD FT by OGLE,JOHN",45 (+7),,38,,HC 45-38 (+7),,"GOOD FT by OGLE,JOHN",2
15:36,,,,,"MISS LAYUP by SCHERRMAN,BLAKE",,,"MISS LAYUP by SCHERRMAN,BLAKE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:18,,45 (+5),,40,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 45-40 (+5),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",2
15:01,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",2
15:01,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",2
15:01,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
15:01,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",2
14:44,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",2
14:44,"BLOCK  by BATCHELOR,BRYCE",,,,,,,"BLOCK  by BATCHELOR,BRYCE",2
--,,,,,"REBOUND OFF by MCCLOUD,LEE",,,"REBOUND OFF by MCCLOUD,LEE",2
14:32,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",2
--,"REBOUND DEF by BRADY,RYAN",,,,,,,"REBOUND DEF by BRADY,RYAN",2
14:24,"GOOD LAYUP by PARKER,BRYCE(fastbreak)(in the paint)",47 (+7),,40,,HC 47-40 (+7),,"GOOD LAYUP by PARKER,BRYCE(fastbreak)(in the paint)",2
--,"ASSIST  by BRADY,RYAN",,,,,,,"ASSIST  by BRADY,RYAN",2
14:11,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",2
--,,,,,"REBOUND OFF by MCCLOUD,ALTON",,,"REBOUND OFF by MCCLOUD,ALTON",2
13:54,,47 (+5),,42,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",BCM 47-42 (+5),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",2
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",2
13:37,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",2
13:37,"SUB IN by MURPHEY,LUKE",,,,,,,"SUB IN by MURPHEY,LUKE",2
13:37,"SUB OUT by BRADY,RYAN",,,,,,,"SUB OUT by BRADY,RYAN",2
13:37,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
13:28,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
13:16,,47 (+3),,44,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 47-44 (+3),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
12:57,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND DEF by MARDER,NICK",,,"REBOUND DEF by MARDER,NICK",2
12:41,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",2
--,"REBOUND DEF by MURPHEY,LUKE",,,,,,,"REBOUND DEF by MURPHEY,LUKE",2
12:36,,,,,"FOUL  by JACOBS,OWEN",,,"FOUL  by JACOBS,OWEN",2
12:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
12:36,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
12:36,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
12:36,,,,,"SUB IN by FENTON,CLINT",,,"SUB IN by FENTON,CLINT",2
12:36,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",2
12:24,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",2
12:07,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
12:07,"TURNOVER  by BATCHELOR,BRYCE",,,,,,,"TURNOVER  by BATCHELOR,BRYCE",2
12:07,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
12:07,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
11:39,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
11:36,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",2
11:27,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",2
11:27,,47 (+2),,45,"GOOD FT by MCCLOUD,LEE",BCM 47-45 (+2),,"GOOD FT by MCCLOUD,LEE",2
11:27,,,,,"MISS FT by MCCLOUD,LEE",,,"MISS FT by MCCLOUD,LEE",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
11:21,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by FENTON,CLINT",,,"REBOUND DEF by FENTON,CLINT",2
11:15,,,,,"MISS 3PTR by MCCLOUD,ALTON",,,"MISS 3PTR by MCCLOUD,ALTON",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
10:58,"GOOD 3PTR by MURPHEY,LUKE",50 (+5),,45,,HC 50-45 (+5),,"GOOD 3PTR by MURPHEY,LUKE",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
10:46,,50 (+2),,48,"GOOD 3PTR by SCHERRMAN,BLAKE",BCM 50-48 (+2),,"GOOD 3PTR by SCHERRMAN,BLAKE",2
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",2
10:34,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",2
10:34,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
10:34,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",2
10:34,,,,,"SUB OUT by FENTON,CLINT",,,"SUB OUT by FENTON,CLINT",2
10:09,,,,,"TURNOVER  by SCHERRMAN,BLAKE",,,"TURNOVER  by SCHERRMAN,BLAKE",2
10:09,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",2
10:09,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",2
09:55,"MISS JUMPER by STEELE,AARON",,,,,,,"MISS JUMPER by STEELE,AARON",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
09:50,,50,,51 (+1),"GOOD 3PTR by SCHERRMAN,BLAKE",BCM 50-51 (-1),,"GOOD 3PTR by SCHERRMAN,BLAKE",2
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",2
09:10,"GOOD JUMPER by STEELE,AARON",52 (+1),,51,,HC 52-51 (+1),,"GOOD JUMPER by STEELE,AARON",2
09:07,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",2
--,,,,,"REBOUND OFF by MARDER,NICK",,,"REBOUND OFF by MARDER,NICK",2
08:57,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
08:40,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
08:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:34,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",2
08:34,"SUB OUT by MURPHEY,LUKE",,,,,,,"SUB OUT by MURPHEY,LUKE",2
08:14,,52,,53 (+1),"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 52-53 (-1),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",2
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",2
07:43,"TURNOVER  by PARKER,BRYCE",,,,,,,"TURNOVER  by PARKER,BRYCE",2
07:42,,,,,"STEAL  by JACOBS,OWEN",,,"STEAL  by JACOBS,OWEN",2
07:29,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
07:14,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND DEF by SCHERRMAN,BLAKE",,,"REBOUND DEF by SCHERRMAN,BLAKE",2
07:09,,,,,"TURNOVER  by SCHERRMAN,BLAKE",,,"TURNOVER  by SCHERRMAN,BLAKE",2
07:07,"STEAL  by OGLE,JOHN",,,,,,,"STEAL  by OGLE,JOHN",2
07:03,"GOOD LAYUP by NIKOLOVSKI,DREW(fastbreak)(in the paint)",54 (+1),,53,,HC 54-53 (+1),,"GOOD LAYUP by NIKOLOVSKI,DREW(fastbreak)(in the paint)",2
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",2
06:46,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",2
06:46,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
06:46,,54,,54,"GOOD FT by MARDER,NICK",BCM 54-54 (0),,"GOOD FT by MARDER,NICK",2
06:46,,,,,"MISS FT by MARDER,NICK",,,"MISS FT by MARDER,NICK",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
06:46,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",2
06:46,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",2
06:30,"GOOD JUMPER by OGLE,JOHN",56 (+2),,54,,HC 56-54 (+2),,"GOOD JUMPER by OGLE,JOHN",2
06:18,,56,,56,"GOOD LAYUP by MARDER,NICK(in the paint)",BCM 56-56 (0),,"GOOD LAYUP by MARDER,NICK(in the paint)",2
06:18,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
06:18,,,,,"MISS FT by MARDER,NICK",,,"MISS FT by MARDER,NICK",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
06:04,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
05:56,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
05:56,,56,,57 (+1),"GOOD FT by MCCLOUD,ALTON",BCM 56-57 (-1),,"GOOD FT by MCCLOUD,ALTON",2
05:56,,56,,58 (+2),"GOOD FT by MCCLOUD,ALTON",BCM 56-58 (-2),,"GOOD FT by MCCLOUD,ALTON",2
05:56,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",2
05:56,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",2
05:47,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",2
05:26,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",2
05:26,,,,,"MISS FT by MCCLOUD,ALTON",,,"MISS FT by MCCLOUD,ALTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:26,,,,,"MISS FT by MCCLOUD,ALTON",,,"MISS FT by MCCLOUD,ALTON",2
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",2
05:26,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
05:26,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",2
05:02,,,,,"FOUL  by JACOBS,OWEN",,,"FOUL  by JACOBS,OWEN",2
05:02,"MISS FT by LITTLEFIELD,GEAREN",,,,,,,"MISS FT by LITTLEFIELD,GEAREN",2
--,"REBOUND OFF by NIKOLOVSKI,DREW",,,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",2
04:55,"MISS LAYUP by GARRETT,TRAVIS",,,,,,,"MISS LAYUP by GARRETT,TRAVIS",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
04:41,,,,,"MISS JUMPER by SCHERRMAN,BLAKE",,,"MISS JUMPER by SCHERRMAN,BLAKE",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
04:13,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",2
04:09,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
04:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:01,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
04:01,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
04:01,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",2
04:01,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
04:01,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",2
04:01,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",2
03:53,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",2
03:53,"TURNOVER  by PARKER,BRYCE",,,,,,,"TURNOVER  by PARKER,BRYCE",2
03:40,,,,,"TURNOVER  by MCCLOUD,ALTON",,,"TURNOVER  by MCCLOUD,ALTON",2
03:38,"STEAL  by GARRETT,TRAVIS",,,,,,,"STEAL  by GARRETT,TRAVIS",2
03:34,"GOOD LAYUP by PARKER,BRYCE(fastbreak)(in the paint)",58,,58,,HC 58-58 (0),,"GOOD LAYUP by PARKER,BRYCE(fastbreak)(in the paint)",2
--,"ASSIST  by LITTLEFIELD,GEAREN",,,,,,,"ASSIST  by LITTLEFIELD,GEAREN",2
03:19,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",2
03:19,"BLOCK  by GARRETT,TRAVIS",,,,,,,"BLOCK  by GARRETT,TRAVIS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:19,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",2
03:19,,,,,"SUB OUT by SCHERRMAN,BLAKE",,,"SUB OUT by SCHERRMAN,BLAKE",2
03:01,,58,,60 (+2),"GOOD JUMPER by JOHNSON,CALEB",BCM 58-60 (-2),,"GOOD JUMPER by JOHNSON,CALEB",2
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",2
02:42,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",2
02:42,"MISS FT by STEELE,AARON",,,,,,,"MISS FT by STEELE,AARON",2
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",2
02:42,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",2
02:16,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:14,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:14,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",2
02:14,,,,,"SUB IN by SCHERRMAN,BLAKE",,,"SUB IN by SCHERRMAN,BLAKE",2
02:14,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",2
02:02,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
01:47,"GOOD JUMPER by OGLE,JOHN",60,,60,,HC 60-60 (0),,"GOOD JUMPER by OGLE,JOHN",2
01:22,,60,,62 (+2),"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 60-62 (-2),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",2
01:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:49,"GOOD 3PTR by SMITH,PRESTON",63 (+1),,62,,HC 63-62 (+1),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by OGLE,JOHN",,,,,,,"ASSIST  by OGLE,JOHN",2
00:46,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:46,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",2
00:46,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",2
00:46,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",2
00:46,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",2
00:23,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
00:20,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",2
00:20,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:20,"GOOD FT by NIKOLOVSKI,DREW",64 (+2),,62,,HC 64-62 (+2),,"GOOD FT by NIKOLOVSKI,DREW",2
00:20,"GOOD FT by NIKOLOVSKI,DREW",65 (+3),,62,,HC 65-62 (+3),,"GOOD FT by NIKOLOVSKI,DREW",2
