Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,WCM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",1
01:20,,,,,"MISS 3PTR by LOUDER,KENYATTA",,,"MISS 3PTR by LOUDER,KENYATTA",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
01:00,"MISS LAYUP by NESTLEHUTT,JAKE",,,,,,,"MISS LAYUP by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by YOUNG,AHMAD",,,"REBOUND DEF by YOUNG,AHMAD",1
00:55,,21,,44 (+23),"GOOD LAYUP by LONGMIRE,CONNER(in the paint)",WCM 21-44 (-23),,"GOOD LAYUP by LONGMIRE,CONNER(in the paint)",1
--,,,,,"ASSIST  by SHANK,JOURNEY",,,"ASSIST  by SHANK,JOURNEY",1
00:55,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",1
00:55,,21,,45 (+24),"GOOD FT by LONGMIRE,CONNER",WCM 21-45 (-24),,"GOOD FT by LONGMIRE,CONNER",1
00:55,,,,,"SUB IN by BLACK,NOLAN",,,"SUB IN by BLACK,NOLAN",1
00:55,,,,,"SUB IN by MENDEZ,RYAN",,,"SUB IN by MENDEZ,RYAN",1
00:55,,,,,"SUB IN by ARUTA,JACOB",,,"SUB IN by ARUTA,JACOB",1
00:55,,,,,"SUB OUT by PRICE,KYLE",,,"SUB OUT by PRICE,KYLE",1
00:55,,,,,"SUB OUT by LONGMIRE,CONNER",,,"SUB OUT by LONGMIRE,CONNER",1
00:55,,,,,"SUB OUT by YOUNG,AHMAD",,,"SUB OUT by YOUNG,AHMAD",1
00:14,,21,,48 (+27),"GOOD 3PTR by SHANK,JOURNEY",WCM 21-48 (-27),,"GOOD 3PTR by SHANK,JOURNEY",1
00:00,"MISS LAYUP by WEATHERFORD,MITCH",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by BLACK,NOLAN",,,"REBOUND DEF by BLACK,NOLAN",1
20:00,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",2
20:00,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",2
20:00,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",2
20:00,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
19:49,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",2
--,"REBOUND OFF by SHEN,KEVIN",,,,,,,"REBOUND OFF by SHEN,KEVIN",2
19:32,"GOOD 3PTR by SAMSON,VAUGHN",24,,48 (+24),,RHODES 24-48 (-24),,"GOOD 3PTR by SAMSON,VAUGHN",2
19:30,,,,,"FOUL  by LOUDER,KENYATTA",,,"FOUL  by LOUDER,KENYATTA",2
19:24,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",2
19:17,,,,,"FOUL  by SHANK,JOURNEY",,,"FOUL  by SHANK,JOURNEY",2
19:17,,,,,"TURNOVER  by SHANK,JOURNEY",,,"TURNOVER  by SHANK,JOURNEY",2
18:57,"MISS JUMPER by JAMES,MAC",,,,,,,"MISS JUMPER by JAMES,MAC",2
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",2
18:46,,24,,50 (+26),"GOOD JUMPER by LOUDER,KENYATTA",WCM 24-50 (-26),,"GOOD JUMPER by LOUDER,KENYATTA",2
--,,,,,"ASSIST  by POTTHOFF,NICK",,,"ASSIST  by POTTHOFF,NICK",2
18:34,"GOOD 3PTR by SHEN,KEVIN",27,,50 (+23),,RHODES 27-50 (-23),,"GOOD 3PTR by SHEN,KEVIN",2
--,"ASSIST  by BERRY,BRYCE",,,,,,,"ASSIST  by BERRY,BRYCE",2
18:12,,,,,"MISS JUMPER by YOUNG,AHMAD",,,"MISS JUMPER by YOUNG,AHMAD",2
--,,,,,"REBOUND OFF by YOUNG,AHMAD",,,"REBOUND OFF by YOUNG,AHMAD",2
18:12,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",2
18:12,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
17:59,"MISS 3PTR by SAMSON,VAUGHN",,,,,,,"MISS 3PTR by SAMSON,VAUGHN",2
--,"REBOUND OFF by BERRY,BRYCE",,,,,,,"REBOUND OFF by BERRY,BRYCE",2
17:54,"MISS JUMPER by JAMES,MAC",,,,,,,"MISS JUMPER by JAMES,MAC",2
--,,,,,"REBOUND DEF by POTTHOFF,NICK",,,"REBOUND DEF by POTTHOFF,NICK",2
17:28,,,,,"MISS 3PTR by YOUNG,AHMAD",,,"MISS 3PTR by YOUNG,AHMAD",2
--,,,,,"REBOUND OFF by SHANK,JOURNEY",,,"REBOUND OFF by SHANK,JOURNEY",2
17:23,,,,,"TURNOVER  by LOUDER,KENYATTA",,,"TURNOVER  by LOUDER,KENYATTA",2
17:17,"STEAL  by JAMES,MAC",,,,,,,"STEAL  by JAMES,MAC",2
17:15,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",2
--,,,,,"REBOUND DEF by POTTHOFF,NICK",,,"REBOUND DEF by POTTHOFF,NICK",2
17:10,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",2
17:10,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",2
17:10,,,,,"SUB IN by TOYAMA,JOEY",,,"SUB IN by TOYAMA,JOEY",2
17:10,,,,,"SUB IN by COLOSI,NICK",,,"SUB IN by COLOSI,NICK",2
17:10,,,,,"SUB OUT by TOYAMA,JOEY",,,"SUB OUT by TOYAMA,JOEY",2
17:10,,,,,"SUB OUT by COLOSI,NICK",,,"SUB OUT by COLOSI,NICK",2
17:05,,,,,"MISS LAYUP by LOUDER,KENYATTA",,,"MISS LAYUP by LOUDER,KENYATTA",2
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",2
16:55,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",2
--,,,,,"REBOUND DEF by YOUNG,AHMAD",,,"REBOUND DEF by YOUNG,AHMAD",2
16:51,,27,,52 (+25),"GOOD LAYUP by POTTHOFF,NICK(in the paint)",WCM 27-52 (-25),,"GOOD LAYUP by POTTHOFF,NICK(in the paint)",2
--,,,,,"ASSIST  by YOUNG,AHMAD",,,"ASSIST  by YOUNG,AHMAD",2
16:31,"MISS 3PTR by SAMSON,VAUGHN",,,,,,,"MISS 3PTR by SAMSON,VAUGHN",2
--,,,,,"REBOUND DEF by SHANK,JOURNEY",,,"REBOUND DEF by SHANK,JOURNEY",2
16:23,,,,,"MISS 3PTR by YOUNG,AHMAD",,,"MISS 3PTR by YOUNG,AHMAD",2
--,,,,,"REBOUND OFF by LOUDER,KENYATTA",,,"REBOUND OFF by LOUDER,KENYATTA",2
16:16,,27,,55 (+28),"GOOD 3PTR by POTTHOFF,NICK",WCM 27-55 (-28),,"GOOD 3PTR by POTTHOFF,NICK",2
--,,,,,"ASSIST  by BLACK,NOLAN",,,"ASSIST  by BLACK,NOLAN",2
16:16,"SUB IN by GUEST,TYLER",,,,,,,"SUB IN by GUEST,TYLER",2
16:16,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",2
16:16,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",2
16:16,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",2
16:05,"TURNOVER  by SHEN,KEVIN",,,,,,,"TURNOVER  by SHEN,KEVIN",2
16:05,,,,,"SUB IN by LONGMIRE,CONNER",,,"SUB IN by LONGMIRE,CONNER",2
16:05,,,,,"SUB OUT by LOUDER,KENYATTA",,,"SUB OUT by LOUDER,KENYATTA",2
15:52,,,,,"MISS JUMPER by POTTHOFF,NICK",,,"MISS JUMPER by POTTHOFF,NICK",2
--,"REBOUND DEF by SAMSON,VAUGHN",,,,,,,"REBOUND DEF by SAMSON,VAUGHN",2
15:39,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:35,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:35,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",2
15:35,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",2
15:35,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",2
15:35,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",2
15:21,,,,,"TURNOVER  by SHANK,JOURNEY",,,"TURNOVER  by SHANK,JOURNEY",2
15:16,"STEAL  by FERIA,NICK DE",,,,,,,"STEAL  by FERIA,NICK DE",2
14:56,,27,,57 (+30),"GOOD LAYUP by LONGMIRE,CONNER(in the paint)",WCM 27-57 (-30),,"GOOD LAYUP by LONGMIRE,CONNER(in the paint)",2
14:54,"GOOD LAYUP by GALVIN,OWEN(in the paint)",29,,57 (+28),,RHODES 29-57 (-28),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",2
14:48,"GOOD 3PTR by NESTLEHUTT,JAKE",32,,57 (+25),,RHODES 32-57 (-25),,"GOOD 3PTR by NESTLEHUTT,JAKE",2
14:39,,,,,"MISS 3PTR by POTTHOFF,NICK",,,"MISS 3PTR by POTTHOFF,NICK",2
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",2
14:30,"GOOD 3PTR by GALVIN,OWEN",35,,57 (+22),,RHODES 35-57 (-22),,"GOOD 3PTR by GALVIN,OWEN",2
14:20,,35,,59 (+24),"GOOD LAYUP by BLACK,NOLAN(in the paint)",WCM 35-59 (-24),,"GOOD LAYUP by BLACK,NOLAN(in the paint)",2
--,,,,,"ASSIST  by SHANK,JOURNEY",,,"ASSIST  by SHANK,JOURNEY",2
13:50,"MISS LAYUP by GALVIN,OWEN",,,,,,,"MISS LAYUP by GALVIN,OWEN",2
13:50,,,,,"BLOCK  by BLACK,NOLAN",,,"BLOCK  by BLACK,NOLAN",2
--,"REBOUND DEF by GUEST,TYLER",,,,,,,"REBOUND DEF by GUEST,TYLER",2
13:43,"MISS 3PTR by GUEST,TYLER",,,,,,,"MISS 3PTR by GUEST,TYLER",2
--,,,,,"REBOUND DEF by LONGMIRE,CONNER",,,"REBOUND DEF by LONGMIRE,CONNER",2
13:31,,35,,61 (+26),"GOOD LAYUP by SHANK,JOURNEY(in the paint)",WCM 35-61 (-26),,"GOOD LAYUP by SHANK,JOURNEY(in the paint)",2
13:16,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",2
13:13,,35,,62 (+27),"GOOD FT by SHANK,JOURNEY",WCM 35-62 (-27),,"GOOD FT by SHANK,JOURNEY",2
13:13,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",2
13:13,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",2
13:13,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",2
13:13,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
13:13,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",2
13:13,"SUB OUT by GUEST,TYLER",,,,,,,"SUB OUT by GUEST,TYLER",2
13:13,,,,,"SUB IN by PRICE,KYLE",,,"SUB IN by PRICE,KYLE",2
13:13,,,,,"SUB IN by LOUDER,KENYATTA",,,"SUB IN by LOUDER,KENYATTA",2
13:13,,,,,"SUB IN by ARUTA,JACOB",,,"SUB IN by ARUTA,JACOB",2
13:13,,,,,"SUB OUT by BLACK,NOLAN",,,"SUB OUT by BLACK,NOLAN",2
13:13,,,,,"SUB OUT by POTTHOFF,NICK",,,"SUB OUT by POTTHOFF,NICK",2
13:13,,,,,"SUB OUT by YOUNG,AHMAD",,,"SUB OUT by YOUNG,AHMAD",2
13:08,"TURNOVER  by NESTLEHUTT,JAKE",,,,,,,"TURNOVER  by NESTLEHUTT,JAKE",2
13:08,,,,,"STEAL  by LONGMIRE,CONNER",,,"STEAL  by LONGMIRE,CONNER",2
12:55,,,,,"MISS JUMPER by SHANK,JOURNEY",,,"MISS JUMPER by SHANK,JOURNEY",2
--,,,,,"REBOUND OFF by PRICE,KYLE",,,"REBOUND OFF by PRICE,KYLE",2
12:55,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",2
12:55,,35,,63 (+28),"GOOD FT by PRICE,KYLE",WCM 35-63 (-28),,"GOOD FT by PRICE,KYLE",2
12:41,,,,,"FOUL  by PRICE,KYLE",,,"FOUL  by PRICE,KYLE",2
12:29,,35,,65 (+30),"GOOD JUMPER by PRICE,KYLE",WCM 35-65 (-30),,"GOOD JUMPER by PRICE,KYLE",2
12:29,,,,,"FOUL  by SHANK,JOURNEY",,,"FOUL  by SHANK,JOURNEY",2
12:29,"MISS JUMPER by GIROUX,PRESTON",,,,,,,"MISS JUMPER by GIROUX,PRESTON",2
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",2
12:23,"MISS LAYUP by BERRY,BRYCE",,,,,,,"MISS LAYUP by BERRY,BRYCE",2
--,,,,,"REBOUND DEF by ARUTA,JACOB",,,"REBOUND DEF by ARUTA,JACOB",2
12:15,,,,,"FOUL  by PRICE,KYLE",,,"FOUL  by PRICE,KYLE",2
12:15,,,,,"TURNOVER  by PRICE,KYLE",,,"TURNOVER  by PRICE,KYLE",2
12:15,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",2
12:15,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",2
12:15,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",2
12:15,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",2
12:15,,,,,"SUB IN by TOYAMA,JOEY",,,"SUB IN by TOYAMA,JOEY",2
12:15,,,,,"SUB OUT by SHANK,JOURNEY",,,"SUB OUT by SHANK,JOURNEY",2
12:10,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",2
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",2
11:56,,,,,"MISS JUMPER by POTTHOFF,NICK",,,"MISS JUMPER by POTTHOFF,NICK",2
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",2
11:36,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",2
11:36,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",2
11:36,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
11:36,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",2
11:36,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",2
11:36,,,,,"SUB IN by MENDEZ,RYAN",,,"SUB IN by MENDEZ,RYAN",2
11:36,,,,,"SUB OUT by LONGMIRE,CONNER",,,"SUB OUT by LONGMIRE,CONNER",2
11:14,,35,,67 (+32),"GOOD JUMPER by LOUDER,KENYATTA",WCM 35-67 (-32),,"GOOD JUMPER by LOUDER,KENYATTA",2
11:05,,,,,"FOUL  by ARUTA,JACOB",,,"FOUL  by ARUTA,JACOB",2
11:05,"MISS FT by GIROUX,PRESTON",,,,,,,"MISS FT by GIROUX,PRESTON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:05,"MISS FT by GIROUX,PRESTON",,,,,,,"MISS FT by GIROUX,PRESTON",2
--,,,,,"REBOUND DEF by PRICE,KYLE",,,"REBOUND DEF by PRICE,KYLE",2
11:05,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",2
11:05,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
10:50,,35,,69 (+34),"GOOD LAYUP by LOUDER,KENYATTA(in the paint)",WCM 35-69 (-34),,"GOOD LAYUP by LOUDER,KENYATTA(in the paint)",2
10:34,"GOOD LAYUP by SHEN,KEVIN(in the paint)",37,,69 (+32),,RHODES 37-69 (-32),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",2
10:23,,37,,72 (+35),"GOOD 3PTR by TOYAMA,JOEY",WCM 37-72 (-35),,"GOOD 3PTR by TOYAMA,JOEY",2
10:12,"MISS 3PTR by SAMSON,VAUGHN",,,,,,,"MISS 3PTR by SAMSON,VAUGHN",2
--,,,,,"REBOUND DEF by ARUTA,JACOB",,,"REBOUND DEF by ARUTA,JACOB",2
10:04,,,,,"MISS LAYUP by LOUDER,KENYATTA",,,"MISS LAYUP by LOUDER,KENYATTA",2
10:04,"BLOCK  by GIROUX,PRESTON",,,,,,,"BLOCK  by GIROUX,PRESTON",2
--,,,,,"REBOUND OFF by MENDEZ,RYAN",,,"REBOUND OFF by MENDEZ,RYAN",2
09:58,,,,,"MISS JUMPER by MENDEZ,RYAN",,,"MISS JUMPER by MENDEZ,RYAN",2
--,"REBOUND DEF by JAMES,MAC",,,,,,,"REBOUND DEF by JAMES,MAC",2
09:54,"TURNOVER  by JAMES,MAC",,,,,,,"TURNOVER  by JAMES,MAC",2
09:54,,,,,"STEAL  by MENDEZ,RYAN",,,"STEAL  by MENDEZ,RYAN",2
09:54,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",2
09:54,,,,,"MISS FT by LOUDER,KENYATTA",,,"MISS FT by LOUDER,KENYATTA",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:54,,37,,73 (+36),"GOOD FT by LOUDER,KENYATTA",WCM 37-73 (-36),,"GOOD FT by LOUDER,KENYATTA",2
09:54,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",2
09:54,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",2
09:45,"GOOD LAYUP by SHEN,KEVIN(in the paint)",39,,73 (+34),,RHODES 39-73 (-34),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",2
09:45,,,,,"FOUL  by ARUTA,JACOB",,,"FOUL  by ARUTA,JACOB",2
09:45,"GOOD FT by SHEN,KEVIN",40,,73 (+33),,RHODES 40-73 (-33),,"GOOD FT by SHEN,KEVIN",2
09:45,,,,,"SUB IN by COLOSI,NICK",,,"SUB IN by COLOSI,NICK",2
09:45,,,,,"SUB OUT by LOUDER,KENYATTA",,,"SUB OUT by LOUDER,KENYATTA",2
09:31,,40,,76 (+36),"GOOD 3PTR by COLOSI,NICK",WCM 40-76 (-36),,"GOOD 3PTR by COLOSI,NICK",2
--,,,,,"ASSIST  by ARUTA,JACOB",,,"ASSIST  by ARUTA,JACOB",2
09:05,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",42,,76 (+34),,RHODES 42-76 (-34),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",2
09:04,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
09:01,"SUB IN by DIXON,TADDEUS",,,,,,,"SUB IN by DIXON,TADDEUS",2
09:01,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",2
09:01,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",2
09:01,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",2
09:01,,,,,"SUB IN by BLACK,NOLAN",,,"SUB IN by BLACK,NOLAN",2
09:01,,,,,"SUB OUT by PRICE,KYLE",,,"SUB OUT by PRICE,KYLE",2
08:55,,,,,"TURNOVER  by TOYAMA,JOEY",,,"TURNOVER  by TOYAMA,JOEY",2
08:52,"STEAL  by LOVE,KERRY",,,,,,,"STEAL  by LOVE,KERRY",2
08:50,,,,,"FOUL  by BLACK,NOLAN",,,"FOUL  by BLACK,NOLAN",2
08:50,"MISS FT by LOVE,KERRY",,,,,,,"MISS FT by LOVE,KERRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:50,"GOOD FT by LOVE,KERRY",43,,76 (+33),,RHODES 43-76 (-33),,"GOOD FT by LOVE,KERRY",2
08:31,,43,,78 (+35),"GOOD JUMPER by BLACK,NOLAN",WCM 43-78 (-35),,"GOOD JUMPER by BLACK,NOLAN",2
08:04,,,,,"FOUL  by BLACK,NOLAN",,,"FOUL  by BLACK,NOLAN",2
08:04,"GOOD FT by SHEN,KEVIN",44,,78 (+34),,RHODES 44-78 (-34),,"GOOD FT by SHEN,KEVIN",2
08:04,"GOOD FT by SHEN,KEVIN",45,,78 (+33),,RHODES 45-78 (-33),,"GOOD FT by SHEN,KEVIN",2
08:04,"SUB IN by GRUBBS,COBY",,,,,,,"SUB IN by GRUBBS,COBY",2
08:04,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",2
07:53,,,,,"TURNOVER  by ARUTA,JACOB",,,"TURNOVER  by ARUTA,JACOB",2
07:53,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:40,"MISS 3PTR by GRUBBS,COBY",,,,,,,"MISS 3PTR by GRUBBS,COBY",2
--,"REBOUND OFF by LOVE,KERRY",,,,,,,"REBOUND OFF by LOVE,KERRY",2
07:30,"MISS 3PTR by GALVIN,OWEN",,,,,,,"MISS 3PTR by GALVIN,OWEN",2
--,,,,,"REBOUND DEF by BLACK,NOLAN",,,"REBOUND DEF by BLACK,NOLAN",2
07:20,,45,,80 (+35),"GOOD LAYUP by COLOSI,NICK(in the paint)",WCM 45-80 (-35),,"GOOD LAYUP by COLOSI,NICK(in the paint)",2
07:09,,,,,"FOUL  by COLOSI,NICK",,,"FOUL  by COLOSI,NICK",2
07:09,"MISS FT by DIXON,TADDEUS",,,,,,,"MISS FT by DIXON,TADDEUS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:09,"MISS FT by DIXON,TADDEUS",,,,,,,"MISS FT by DIXON,TADDEUS",2
--,,,,,"REBOUND DEF by COLOSI,NICK",,,"REBOUND DEF by COLOSI,NICK",2
07:09,,,,,"SUB IN by LEWIS,CHESTER",,,"SUB IN by LEWIS,CHESTER",2
07:09,,,,,"SUB IN by ZESATI,JESUS",,,"SUB IN by ZESATI,JESUS",2
07:09,,,,,"SUB OUT by BLACK,NOLAN",,,"SUB OUT by BLACK,NOLAN",2
07:09,,,,,"SUB OUT by TOYAMA,JOEY",,,"SUB OUT by TOYAMA,JOEY",2
06:50,,,,,"MISS 3PTR by ZESATI,JESUS",,,"MISS 3PTR by ZESATI,JESUS",2
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",2
06:44,"GOOD LAYUP by SHEN,KEVIN(in the paint)",47,,80 (+33),,RHODES 47-80 (-33),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",2
06:22,,,,,"MISS LAYUP by ARUTA,JACOB",,,"MISS LAYUP by ARUTA,JACOB",2
--,,,,,"REBOUND OFF by ARUTA,JACOB",,,"REBOUND OFF by ARUTA,JACOB",2
06:22,"FOUL  by GRUBBS,COBY",,,,,,,"FOUL  by GRUBBS,COBY",2
06:22,,47,,81 (+34),"GOOD FT by ARUTA,JACOB",WCM 47-81 (-34),,"GOOD FT by ARUTA,JACOB",2
06:22,,47,,82 (+35),"GOOD FT by ARUTA,JACOB",WCM 47-82 (-35),,"GOOD FT by ARUTA,JACOB",2
06:22,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",2
06:22,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",2
06:22,"SUB IN by GUEST,TYLER",,,,,,,"SUB IN by GUEST,TYLER",2
06:22,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",2
06:22,"SUB OUT by DIXON,TADDEUS",,,,,,,"SUB OUT by DIXON,TADDEUS",2
06:22,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",2
06:04,,,,,"FOUL  by MENDEZ,RYAN",,,"FOUL  by MENDEZ,RYAN",2
06:04,"GOOD FT by JAMES,MAC",48,,82 (+34),,RHODES 48-82 (-34),,"GOOD FT by JAMES,MAC",2
06:04,"MISS FT by JAMES,MAC",,,,,,,"MISS FT by JAMES,MAC",2
--,,,,,"REBOUND DEF by LEWIS,CHESTER",,,"REBOUND DEF by LEWIS,CHESTER",2
05:51,,,,,"MISS 3PTR by COLOSI,NICK",,,"MISS 3PTR by COLOSI,NICK",2
--,,,,,"REBOUND OFF by ZESATI,JESUS",,,"REBOUND OFF by ZESATI,JESUS",2
05:40,,,,,"MISS LAYUP by COLOSI,NICK",,,"MISS LAYUP by COLOSI,NICK",2
--,"REBOUND DEF by GUEST,TYLER",,,,,,,"REBOUND DEF by GUEST,TYLER",2
05:29,"TURNOVER  by FERIA,NICK DE",,,,,,,"TURNOVER  by FERIA,NICK DE",2
05:29,,,,,"STEAL  by MENDEZ,RYAN",,,"STEAL  by MENDEZ,RYAN",2
05:14,,,,,"MISS 3PTR by ARUTA,JACOB",,,"MISS 3PTR by ARUTA,JACOB",2
--,"REBOUND DEF by FERIA,NICK DE",,,,,,,"REBOUND DEF by FERIA,NICK DE",2
05:07,"MISS 3PTR by GRUBBS,COBY",,,,,,,"MISS 3PTR by GRUBBS,COBY",2
--,,,,,"REBOUND DEF by ARUTA,JACOB",,,"REBOUND DEF by ARUTA,JACOB",2
04:57,"FOUL  by GRUBBS,COBY",,,,,,,"FOUL  by GRUBBS,COBY",2
04:57,,48,,83 (+35),"GOOD FT by COLOSI,NICK",WCM 48-83 (-35),,"GOOD FT by COLOSI,NICK",2
04:57,,48,,84 (+36),"GOOD FT by COLOSI,NICK",WCM 48-84 (-36),,"GOOD FT by COLOSI,NICK",2
04:57,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",2
04:57,"SUB OUT by GRUBBS,COBY",,,,,,,"SUB OUT by GRUBBS,COBY",2
04:35,"MISS LAYUP by JAMES,MAC",,,,,,,"MISS LAYUP by JAMES,MAC",2
--,,,,,"REBOUND DEF by ZESATI,JESUS",,,"REBOUND DEF by ZESATI,JESUS",2
04:20,,,,,"MISS 3PTR by MENDEZ,RYAN",,,"MISS 3PTR by MENDEZ,RYAN",2
--,"REBOUND DEF by GUEST,TYLER",,,,,,,"REBOUND DEF by GUEST,TYLER",2
04:02,"GOOD LAYUP by GUEST,TYLER(in the paint)",50,,84 (+34),,RHODES 50-84 (-34),,"GOOD LAYUP by GUEST,TYLER(in the paint)",2
03:42,,,,,"FOUL  by ZESATI,JESUS",,,"FOUL  by ZESATI,JESUS",2
03:42,,,,,"TURNOVER  by ZESATI,JESUS",,,"TURNOVER  by ZESATI,JESUS",2
