Time Remaining,DEPAUWM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
00:16,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by AFFRONTI,LEWIS",,,"REBOUND OFF by AFFRONTI,LEWIS",2
00:11,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",2
00:10,"STEAL  by BERGFELD,JOE",,,,,,,"STEAL  by BERGFELD,JOE",2
00:10,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
00:10,"GOOD FT by WILKISON,MICHAEL",57 (+5),,52,,DEPAUWM 57-52 (-5),,"GOOD FT by WILKISON,MICHAEL",2
00:10,"GOOD FT by WILKISON,MICHAEL",58 (+6),,52,,DEPAUWM 58-52 (-6),,"GOOD FT by WILKISON,MICHAEL",2
00:10,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
00:05,,58 (+3),,55,"GOOD 3PTR by NELSON,ANVIL",SEWANEE 58-55 (-3),,"GOOD 3PTR by NELSON,ANVIL",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
00:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:02,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
00:02,"GOOD FT by WILLS,DREW",59 (+4),,55,,DEPAUWM 59-55 (-4),,"GOOD FT by WILLS,DREW",2
00:02,"GOOD FT by WILLS,DREW",60 (+5),,55,,DEPAUWM 60-55 (-5),,"GOOD FT by WILLS,DREW",2
