Time Remaining,BERRY-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
03:12,"FOUL  by SMOAK,HUNTER",,,,,,,"FOUL  by SMOAK,HUNTER",1
03:12,,23,,23,"GOOD FT by MARELLE,TONY",SEWANEE 23-23 (0),,"GOOD FT by MARELLE,TONY",1
03:12,,,,,"MISS FT by MARELLE,TONY",,,"MISS FT by MARELLE,TONY",1
--,"REBOUND DEF by MILES,TIM",,,,,,,"REBOUND DEF by MILES,TIM",1
02:49,"MISS LAYUP by WOODS,STEFAN",,,,,,,"MISS LAYUP by WOODS,STEFAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:48,"FOUL  by WOODS,STEFAN",,,,,,,"FOUL  by WOODS,STEFAN",1
02:48,,23,,24 (+1),"GOOD FT by BROWN,TYLER",SEWANEE 23-24 (+1),,"GOOD FT by BROWN,TYLER",1
02:48,,,,,"MISS FT by BROWN,TYLER",,,"MISS FT by BROWN,TYLER",1
--,"REBOUND DEF by LEBLANC,CASS",,,,,,,"REBOUND DEF by LEBLANC,CASS",1
02:26,"MISS JUMPER by GADIE,KENDALL",,,,,,,"MISS JUMPER by GADIE,KENDALL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:50,,,,,"MISS JUMPER by MARELLE,TONY",,,"MISS JUMPER by MARELLE,TONY",1
--,"REBOUND DEF by SMOAK,HUNTER",,,,,,,"REBOUND DEF by SMOAK,HUNTER",1
01:28,"GOOD JUMPER by GADIE,KENDALL",25 (+1),,24,,BERRY-M 25-24 (-1),,"GOOD JUMPER by GADIE,KENDALL",1
--,"ASSIST  by HOLLOMAN,DAVID",,,,,,,"ASSIST  by HOLLOMAN,DAVID",1
01:08,,25,,26 (+1),"GOOD JUMPER by BRYANT,VALENTINO",SEWANEE 25-26 (+1),,"GOOD JUMPER by BRYANT,VALENTINO",1
01:02,"GOOD TIPIN by GADIE,KENDALL(in the paint)",27 (+1),,26,,BERRY-M 27-26 (-1),,"GOOD TIPIN by GADIE,KENDALL(in the paint)",1
00:33,,27,,28 (+1),"GOOD JUMPER by NELSON,ANVIL",SEWANEE 27-28 (+1),,"GOOD JUMPER by NELSON,ANVIL",1
--,,,,,"ASSIST  by WILLIAMS,TRENT",,,"ASSIST  by WILLIAMS,TRENT",1
00:06,"MISS LAYUP by HOLLOMAN,DAVID",,,,,,,"MISS LAYUP by HOLLOMAN,DAVID",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
00:00,,27,,30 (+3),"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",SEWANEE 27-30 (+3),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
19:42,"MISS LAYUP by HOLLOMAN,DAVID",,,,,,,"MISS LAYUP by HOLLOMAN,DAVID",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
19:05,,27,,33 (+6),"GOOD 3PTR by COWAN,MATT",SEWANEE 27-33 (+6),,"GOOD 3PTR by COWAN,MATT",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
18:44,"GOOD LAYUP by HOLLOMAN,DAVID(in the paint)",29,,33 (+4),,BERRY-M 29-33 (+4),,"GOOD LAYUP by HOLLOMAN,DAVID(in the paint)",2
18:41,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
18:41,"GOOD FT by HOLLOMAN,DAVID",30,,33 (+3),,BERRY-M 30-33 (+3),,"GOOD FT by HOLLOMAN,DAVID",2
18:30,,,,,"MISS 3PTR by COWAN,MATT",,,"MISS 3PTR by COWAN,MATT",2
