Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,DEPAUW,Game Score,Team Indicator,Play,Period
01:30,,36,,41 (+5),"GOOD FT by SEVER,RYAN",DEPAUW 36-41 (-5),,"GOOD FT by SEVER,RYAN",1
01:07,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",38,,41 (+3),,SEWANEE 38-41 (-3),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
00:51,,38,,44 (+6),"GOOD 3PTR by SIMPSON,ROSS",DEPAUW 38-44 (-6),,"GOOD 3PTR by SIMPSON,ROSS",1
--,,,,,"ASSIST  by HASELEY,SEAN",,,"ASSIST  by HASELEY,SEAN",1
00:29,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
00:08,,,,,"MISS 3PTR by HASELEY,SEAN",,,"MISS 3PTR by HASELEY,SEAN",1
--,,,,,"REBOUND OFF by SEVER,RYAN",,,"REBOUND OFF by SEVER,RYAN",1
00:05,,38,,46 (+8),"GOOD LAYUP by SEVER,RYAN(in the paint)",DEPAUW 38-46 (-8),,"GOOD LAYUP by SEVER,RYAN(in the paint)",1
20:00,,,,,"SUB IN by WILKISON,MICHAEL",,,"SUB IN by WILKISON,MICHAEL",2
20:00,,,,,"SUB OUT by WILLS,DREW",,,"SUB OUT by WILLS,DREW",2
19:49,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by SEVER,RYAN",,,"REBOUND DEF by SEVER,RYAN",2
19:14,,38,,49 (+11),"GOOD 3PTR by LEMASTERS,STEVE",DEPAUW 38-49 (-11),,"GOOD 3PTR by LEMASTERS,STEVE",2
--,,,,,"ASSIST  by WILKISON,MICHAEL",,,"ASSIST  by WILKISON,MICHAEL",2
18:49,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by SEVER,RYAN",,,"REBOUND DEF by SEVER,RYAN",2
18:37,,38,,51 (+13),"GOOD LAYUP by SEVER,RYAN(in the paint)",DEPAUW 38-51 (-13),,"GOOD LAYUP by SEVER,RYAN(in the paint)",2
--,,,,,"ASSIST  by WILKISON,MICHAEL",,,"ASSIST  by WILKISON,MICHAEL",2
18:18,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by SIMPSON,ROSS",,,"REBOUND DEF by SIMPSON,ROSS",2
17:54,,38,,53 (+15),"GOOD JUMPER by HASELEY,SEAN(in the paint)",DEPAUW 38-53 (-15),,"GOOD JUMPER by HASELEY,SEAN(in the paint)",2
17:33,"GOOD JUMPER by BRYANT,VALENTINO",40,,53 (+13),,SEWANEE 40-53 (-13),,"GOOD JUMPER by BRYANT,VALENTINO",2
17:06,,40,,55 (+15),"GOOD LAYUP by SEVER,RYAN(in the paint)",DEPAUW 40-55 (-15),,"GOOD LAYUP by SEVER,RYAN(in the paint)",2
--,,,,,"ASSIST  by WILKISON,MICHAEL",,,"ASSIST  by WILKISON,MICHAEL",2
16:32,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",2
16:32,,,,,"BLOCK  by HASELEY,SEAN",,,"BLOCK  by HASELEY,SEAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:31,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",2
16:31,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
