Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,WCMBK,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by STEWART,JACK",,,"REBOUND OFF by STEWART,JACK",2
03:12,,51,,85 (+34),"GOOD 3PTR by STEWART,JACK",WCMBK 51-85 (-34),,"GOOD 3PTR by STEWART,JACK",2
02:57,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
02:56,,,,,"STEAL  by WHITE,MONTEZ",,,"STEAL  by WHITE,MONTEZ",2
02:51,,,,,"MISS LAYUP by KENNEY,JEFF",,,"MISS LAYUP by KENNEY,JEFF",2
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",2
02:42,"MISS JUMPER by MASON,ROBERT WADE",,,,,,,"MISS JUMPER by MASON,ROBERT WADE",2
--,,,,,"REBOUND DEF by WHITE,MONTEZ",,,"REBOUND DEF by WHITE,MONTEZ",2
02:29,,51,,88 (+37),"GOOD 3PTR by HEWITT,JOEY",WCMBK 51-88 (-37),,"GOOD 3PTR by HEWITT,JOEY",2
--,,,,,"ASSIST  by WHITE,MONTEZ",,,"ASSIST  by WHITE,MONTEZ",2
02:16,"FOUL  by MANCUSO,LOGAN",,,,,,,"FOUL  by MANCUSO,LOGAN",2
02:16,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",2
02:16,"SUB IN by SMITH,BAILEY",,,,,,,"SUB IN by SMITH,BAILEY",2
02:16,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",2
02:16,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",2
02:16,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",2
02:16,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
02:16,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
02:16,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",2
02:15,"FOUL  by COLEMAN,DANIEL",,,,,,,"FOUL  by COLEMAN,DANIEL",2
02:15,,51,,89 (+38),"GOOD FT by KENNEY,JEFF",WCMBK 51-89 (-38),,"GOOD FT by KENNEY,JEFF",2
02:10,,51,,90 (+39),"GOOD FT by KENNEY,JEFF",WCMBK 51-90 (-39),,"GOOD FT by KENNEY,JEFF",2
01:45,"MISS 3PTR by MANNING,JOHNATHAN",,,,,,,"MISS 3PTR by MANNING,JOHNATHAN",2
--,,,,,"REBOUND DEF by HEWITT,JOEY",,,"REBOUND DEF by HEWITT,JOEY",2
01:26,,51,,93 (+42),"GOOD 3PTR by STEWART,JACK",WCMBK 51-93 (-42),,"GOOD 3PTR by STEWART,JACK",2
--,,,,,"ASSIST  by WHITE,MONTEZ",,,"ASSIST  by WHITE,MONTEZ",2
01:07,"TURNOVER  by MANNING,JOHNATHAN",,,,,,,"TURNOVER  by MANNING,JOHNATHAN",2
01:06,,,,,"STEAL  by WHITE,MONTEZ",,,"STEAL  by WHITE,MONTEZ",2
00:52,,51,,95 (+44),"GOOD JUMPER by STEWART,RYAN",WCMBK 51-95 (-44),,"GOOD JUMPER by STEWART,RYAN",2
--,,,,,"ASSIST  by STEWART,JACK",,,"ASSIST  by STEWART,JACK",2
00:44,,,,,"FOUL  by KENNEY,JEFF",,,"FOUL  by KENNEY,JEFF",2
00:44,"MISS FT by COLEMAN,DANIEL",,,,,,,"MISS FT by COLEMAN,DANIEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:44,"GOOD FT by COLEMAN,DANIEL",52,,95 (+43),,MILLMBB 52-95 (-43),,"GOOD FT by COLEMAN,DANIEL",2
00:17,,,,,"MISS 3PTR by STEWART,JACK",,,"MISS 3PTR by STEWART,JACK",2
--,,,,,"REBOUND OFF by STEWART,JACK",,,"REBOUND OFF by STEWART,JACK",2
00:11,,,,,"TURNOVER  by STEWART,RYAN",,,"TURNOVER  by STEWART,RYAN",2
