Time Remaining,MCM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
00:04,,22,,58 (+36),"GOOD LAYUP by ROMAGUERA,COLE(fastbreak)(in the paint)",OUM 22-58 (-36),,"GOOD LAYUP by ROMAGUERA,COLE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WARDLAW,CHASE",,,"ASSIST  by WARDLAW,CHASE",1
20:00,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",2
20:00,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",2
19:41,,,,,"TURNOVER  by SIGRIST,CONNOR",,,"TURNOVER  by SIGRIST,CONNOR",2
19:41,"STEAL  by ATKINSON,QUINN",,,,,,,"STEAL  by ATKINSON,QUINN",2
19:30,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",24,,58 (+34),,MCM 24-58 (-34),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
19:05,,,,,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",2
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",2
18:55,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",2
--,,,,,"REBOUND DEF by EDWARDS,JUSTIN",,,"REBOUND DEF by EDWARDS,JUSTIN",2
18:47,,,,,"MISS LAYUP by EDWARDS,JUSTIN",,,"MISS LAYUP by EDWARDS,JUSTIN",2
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",2
18:41,"GOOD JUMPER by ATKINSON,QUINN(fastbreak)",26,,58 (+32),,MCM 26-58 (-32),,"GOOD JUMPER by ATKINSON,QUINN(fastbreak)",2
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",2
18:12,,26,,61 (+35),"GOOD 3PTR by PERRY,WILL",OUM 26-61 (-35),,"GOOD 3PTR by PERRY,WILL",2
--,,,,,"ASSIST  by SIGRIST,CONNOR",,,"ASSIST  by SIGRIST,CONNOR",2
17:52,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",2
--,,,,,"REBOUND DEF by SIGRIST,CONNOR",,,"REBOUND DEF by SIGRIST,CONNOR",2
17:37,,,,,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",2
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",2
17:17,,,,,"FOUL  by SIGRIST,CONNOR",,,"FOUL  by SIGRIST,CONNOR",2
17:17,,,,,"SUB IN by BRITVAR,STEFAN",,,"SUB IN by BRITVAR,STEFAN",2
17:17,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",2
17:10,,,,,"FOUL  by BRITVAR,STEFAN",,,"FOUL  by BRITVAR,STEFAN",2
17:10,"GOOD FT by MARKWITH,TRENT",27,,61 (+34),,MCM 27-61 (-34),,"GOOD FT by MARKWITH,TRENT",2
