Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,WHTW-M,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by JONES,BLAKE",,,,,,,"REBOUND DEF by JONES,BLAKE",2
16:11,"MISS 3PTR by ATKINSON,QUINN",,,,,,,"MISS 3PTR by ATKINSON,QUINN",2
--,,,,,"REBOUND DEF by VALLE,GEORGE",,,"REBOUND DEF by VALLE,GEORGE",2
15:56,,,,,"MISS 3PTR by JURLINA,CHRISTIAN",,,"MISS 3PTR by JURLINA,CHRISTIAN",2
--,,,,,"REBOUND OFF by LOVE,KENNY",,,"REBOUND OFF by LOVE,KENNY",2
15:53,,,,,"MISS LAYUP by STAUDACHER,MATT",,,"MISS LAYUP by STAUDACHER,MATT",2
15:53,"BLOCK  by GERCHOW,ALEX",,,,,,,"BLOCK  by GERCHOW,ALEX",2
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",2
15:29,,,,,"FOUL  by STAUDACHER,MATT",,,"FOUL  by STAUDACHER,MATT",2
15:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:29,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
15:29,"SUB IN by SMITH,BAILEY",,,,,,,"SUB IN by SMITH,BAILEY",2
15:29,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
15:29,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",2
15:29,,,,,"SUB IN by ROACH,KYLE",,,"SUB IN by ROACH,KYLE",2
15:29,,,,,"SUB IN by GRANT,AJ",,,"SUB IN by GRANT,AJ",2
15:29,,,,,"SUB IN by ISAAK,DEREK",,,"SUB IN by ISAAK,DEREK",2
15:29,,,,,"SUB OUT by STAUDACHER,MATT",,,"SUB OUT by STAUDACHER,MATT",2
15:29,,,,,"SUB OUT by LOVE,KENNY",,,"SUB OUT by LOVE,KENNY",2
15:29,,,,,"SUB OUT by VALLE,GEORGE",,,"SUB OUT by VALLE,GEORGE",2
15:25,"MISS 3PTR by SMITH,BAILEY",,,,,,,"MISS 3PTR by SMITH,BAILEY",2
--,,,,,"REBOUND DEF by SEARS,DREW",,,"REBOUND DEF by SEARS,DREW",2
15:12,,,,,"MISS 3PTR by ISAAK,DEREK",,,"MISS 3PTR by ISAAK,DEREK",2
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",2
14:41,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",2
14:41,,,,,"BLOCK  by SEARS,DREW",,,"BLOCK  by SEARS,DREW",2
--,,,,,"REBOUND DEF by ROACH,KYLE",,,"REBOUND DEF by ROACH,KYLE",2
14:35,,26,,54 (+28),"GOOD 3PTR by ISAAK,DEREK",WHTW-M 26-54 (-28),,"GOOD 3PTR by ISAAK,DEREK",2
--,,,,,"ASSIST  by ROACH,KYLE",,,"ASSIST  by ROACH,KYLE",2
14:11,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",2
--,,,,,"REBOUND DEF by ROACH,KYLE",,,"REBOUND DEF by ROACH,KYLE",2
13:57,,26,,57 (+31),"GOOD 3PTR by ISAAK,DEREK",WHTW-M 26-57 (-31),,"GOOD 3PTR by ISAAK,DEREK",2
--,,,,,"ASSIST  by JURLINA,CHRISTIAN",,,"ASSIST  by JURLINA,CHRISTIAN",2
13:55,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",2
13:55,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",2
13:55,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
13:55,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",2
13:55,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
13:55,"SUB OUT by SMITH,BAILEY",,,,,,,"SUB OUT by SMITH,BAILEY",2
13:45,,,,,"TURNOVER  by SEARS,DREW",,,"TURNOVER  by SEARS,DREW",2
13:45,,,,,"SUB IN by BAKER,FOREST",,,"SUB IN by BAKER,FOREST",2
13:45,,,,,"SUB IN by BISHOP,BEN",,,"SUB IN by BISHOP,BEN",2
13:45,,,,,"SUB OUT by JURLINA,CHRISTIAN",,,"SUB OUT by JURLINA,CHRISTIAN",2
13:45,,,,,"SUB OUT by SEARS,DREW",,,"SUB OUT by SEARS,DREW",2
13:37,"MISS 3PTR by JONES,BLAKE",,,,,,,"MISS 3PTR by JONES,BLAKE",2
--,,,,,"REBOUND DEF by BISHOP,BEN",,,"REBOUND DEF by BISHOP,BEN",2
13:26,,,,,"MISS 3PTR by ROACH,KYLE",,,"MISS 3PTR by ROACH,KYLE",2
--,,,,,"REBOUND OFF by BAKER,FOREST",,,"REBOUND OFF by BAKER,FOREST",2
13:21,,,,,"TURNOVER  by BAKER,FOREST",,,"TURNOVER  by BAKER,FOREST",2
13:20,"STEAL  by HANSTAD,RAJAN",,,,,,,"STEAL  by HANSTAD,RAJAN",2
13:00,"GOOD JUMPER by MANCUSO,LOGAN(in the paint)",28,,57 (+29),,MILLMBB 28-57 (-29),,"GOOD JUMPER by MANCUSO,LOGAN(in the paint)",2
12:48,,,,,"MISS 3PTR by GRANT,AJ",,,"MISS 3PTR by GRANT,AJ",2
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",2
12:30,,,,,"FOUL  by BAKER,FOREST",,,"FOUL  by BAKER,FOREST",2
12:30,"SUB IN by SPENCE,JACOB",,,,,,,"SUB IN by SPENCE,JACOB",2
12:30,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
12:30,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",2
12:30,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",2
12:20,"MISS JUMPER by SPENCE,JACOB",,,,,,,"MISS JUMPER by SPENCE,JACOB",2
--,,,,,"REBOUND DEF by BAKER,FOREST",,,"REBOUND DEF by BAKER,FOREST",2
12:06,,,,,"TURNOVER  by ROACH,KYLE",,,"TURNOVER  by ROACH,KYLE",2
12:05,"STEAL  by MANCUSO,LOGAN",,,,,,,"STEAL  by MANCUSO,LOGAN",2
11:40,"MISS LAYUP by MANCUSO,LOGAN",,,,,,,"MISS LAYUP by MANCUSO,LOGAN",2
11:40,,,,,"BLOCK  by BISHOP,BEN",,,"BLOCK  by BISHOP,BEN",2
--,,,,,"REBOUND DEF by BAKER,FOREST",,,"REBOUND DEF by BAKER,FOREST",2
11:31,,,,,"TURNOVER  by BISHOP,BEN",,,"TURNOVER  by BISHOP,BEN",2
11:29,"STEAL  by MANCUSO,LOGAN",,,,,,,"STEAL  by MANCUSO,LOGAN",2
11:26,"MISS LAYUP by ROBERTSON,MARC",,,,,,,"MISS LAYUP by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by GRANT,AJ",,,"REBOUND DEF by GRANT,AJ",2
11:12,,28,,60 (+32),"GOOD 3PTR by GRANT,AJ",WHTW-M 28-60 (-32),,"GOOD 3PTR by GRANT,AJ",2
--,,,,,"ASSIST  by BAKER,FOREST",,,"ASSIST  by BAKER,FOREST",2
11:11,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",2
11:11,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
11:02,,28,,61 (+33),"GOOD FT by GRANT,AJ",WHTW-M 28-61 (-33),,"GOOD FT by GRANT,AJ",2
11:01,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",2
10:59,,,,,"STEAL  by ROACH,KYLE",,,"STEAL  by ROACH,KYLE",2
10:57,,,,,"TURNOVER  by BAKER,FOREST",,,"TURNOVER  by BAKER,FOREST",2
10:56,"STEAL  by GAGEN,BRENNAN",,,,,,,"STEAL  by GAGEN,BRENNAN",2
10:52,,,,,"FOUL  by BAKER,FOREST",,,"FOUL  by BAKER,FOREST",2
10:52,"GOOD FT by GAGEN,BRENNAN",29,,61 (+32),,MILLMBB 29-61 (-32),,"GOOD FT by GAGEN,BRENNAN",2
10:52,"GOOD FT by GAGEN,BRENNAN",30,,61 (+31),,MILLMBB 30-61 (-31),,"GOOD FT by GAGEN,BRENNAN",2
10:50,,,,,"MISS JUMPER by JOHNSON,CJ",,,"MISS JUMPER by JOHNSON,CJ",2
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",2
10:40,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",2
10:36,"FOUL  by SPENCE,JACOB",,,,,,,"FOUL  by SPENCE,JACOB",2
10:36,,30,,62 (+32),"GOOD FT by JOHNSON,CJ",WHTW-M 30-62 (-32),,"GOOD FT by JOHNSON,CJ",2
10:36,,30,,63 (+33),"GOOD FT by JOHNSON,CJ",WHTW-M 30-63 (-33),,"GOOD FT by JOHNSON,CJ",2
10:31,"MISS LAYUP by GERCHOW,ALEX",,,,,,,"MISS LAYUP by GERCHOW,ALEX",2
--,,,,,"REBOUND DEF by JOHNSON,CJ",,,"REBOUND DEF by JOHNSON,CJ",2
10:31,,,,,"MISS LAYUP by ROACH,KYLE",,,"MISS LAYUP by ROACH,KYLE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:21,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",2
09:21,,,,,"MISS FT by ROACH,KYLE",,,"MISS FT by ROACH,KYLE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:21,,30,,64 (+34),"GOOD FT by ROACH,KYLE",WHTW-M 30-64 (-34),,"GOOD FT by ROACH,KYLE",2
09:21,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
09:21,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",2
09:21,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",2
09:21,"SUB OUT by SPENCE,JACOB",,,,,,,"SUB OUT by SPENCE,JACOB",2
09:21,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",2
09:21,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
09:21,,,,,"SUB IN by JOHNSON,CJ",,,"SUB IN by JOHNSON,CJ",2
09:21,,,,,"SUB IN by NOTTINSON-NYAAKU,E",,,"SUB IN by NOTTINSON-NYAAKU,E",2
09:21,,,,,"SUB IN by VALLE,GEORGE",,,"SUB IN by VALLE,GEORGE",2
09:21,,,,,"SUB OUT by GRANT,AJ",,,"SUB OUT by GRANT,AJ",2
09:21,,,,,"SUB OUT by BAKER,FOREST",,,"SUB OUT by BAKER,FOREST",2
09:21,,,,,"SUB OUT by BISHOP,BEN",,,"SUB OUT by BISHOP,BEN",2
09:05,"MISS LAYUP by MARKWITH,TRENT",,,,,,,"MISS LAYUP by MARKWITH,TRENT",2
09:05,,,,,"BLOCK  by ROACH,KYLE",,,"BLOCK  by ROACH,KYLE",2
--,,,,,"REBOUND DEF by ROACH,KYLE",,,"REBOUND DEF by ROACH,KYLE",2
08:59,,30,,66 (+36),"GOOD LAYUP by NOTTINSON-NYAAKU,E(in the paint)",WHTW-M 30-66 (-36),,"GOOD LAYUP by NOTTINSON-NYAAKU,E(in the paint)",2
--,,,,,"ASSIST  by JOHNSON,CJ",,,"ASSIST  by JOHNSON,CJ",2
08:41,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
08:40,,,,,"STEAL  by ROACH,KYLE",,,"STEAL  by ROACH,KYLE",2
08:38,,,,,"MISS LAYUP by ROACH,KYLE",,,"MISS LAYUP by ROACH,KYLE",2
--,,,,,"REBOUND OFF by ISAAK,DEREK",,,"REBOUND OFF by ISAAK,DEREK",2
08:28,,,,,"SUB IN by DE MIGUEL,ALBERTO",,,"SUB IN by DE MIGUEL,ALBERTO",2
08:28,,,,,"SUB OUT by VALLE,GEORGE",,,"SUB OUT by VALLE,GEORGE",2
08:27,,30,,69 (+39),"GOOD 3PTR by ISAAK,DEREK",WHTW-M 30-69 (-39),,"GOOD 3PTR by ISAAK,DEREK",2
--,,,,,"ASSIST  by JOHNSON,CJ",,,"ASSIST  by JOHNSON,CJ",2
08:05,"MISS LAYUP by MARKWITH,TRENT",,,,,,,"MISS LAYUP by MARKWITH,TRENT",2
--,"REBOUND OFF by HANSTAD,RAJAN",,,,,,,"REBOUND OFF by HANSTAD,RAJAN",2
08:02,"GOOD LAYUP by HANSTAD,RAJAN(in the paint)",32,,69 (+37),,MILLMBB 32-69 (-37),,"GOOD LAYUP by HANSTAD,RAJAN(in the paint)",2
07:40,,,,,"MISS 3PTR by JOHNSON,CJ",,,"MISS 3PTR by JOHNSON,CJ",2
--,,,,,"REBOUND OFF by JOHNSON,CJ",,,"REBOUND OFF by JOHNSON,CJ",2
07:33,,,,,"TURNOVER  by ROACH,KYLE",,,"TURNOVER  by ROACH,KYLE",2
07:32,"STEAL  by MCSWAIN,JOSHUA",,,,,,,"STEAL  by MCSWAIN,JOSHUA",2
07:32,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
07:32,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
07:32,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",2
07:32,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
07:32,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",2
07:32,,,,,"SUB IN by BAKER,FOREST",,,"SUB IN by BAKER,FOREST",2
07:32,,,,,"SUB IN by GRANT,AJ",,,"SUB IN by GRANT,AJ",2
07:32,,,,,"SUB OUT by ROACH,KYLE",,,"SUB OUT by ROACH,KYLE",2
07:32,,,,,"SUB OUT by DE MIGUEL,ALBERTO",,,"SUB OUT by DE MIGUEL,ALBERTO",2
07:17,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by NOTTINSON-NYAAKU,E",,,"REBOUND DEF by NOTTINSON-NYAAKU,E",2
06:50,,32,,71 (+39),"GOOD LAYUP by JOHNSON,CJ(in the paint)",WHTW-M 32-71 (-39),,"GOOD LAYUP by JOHNSON,CJ(in the paint)",2
--,,,,,"ASSIST  by NOTTINSON-NYAAKU,E",,,"ASSIST  by NOTTINSON-NYAAKU,E",2
06:37,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by GRANT,AJ",,,"REBOUND DEF by GRANT,AJ",2
06:18,,,,,"SUB IN by BISHOP,BEN",,,"SUB IN by BISHOP,BEN",2
06:18,,,,,"SUB OUT by NOTTINSON-NYAAKU,E",,,"SUB OUT by NOTTINSON-NYAAKU,E",2
06:14,,32,,74 (+42),"GOOD 3PTR by ISAAK,DEREK",WHTW-M 32-74 (-42),,"GOOD 3PTR by ISAAK,DEREK",2
--,,,,,"ASSIST  by GRANT,AJ",,,"ASSIST  by GRANT,AJ",2
05:53,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",34,,74 (+40),,MILLMBB 34-74 (-40),,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",2
05:37,,,,,"MISS 3PTR by GRANT,AJ",,,"MISS 3PTR by GRANT,AJ",2
--,"REBOUND DEF by JONES,BLAKE",,,,,,,"REBOUND DEF by JONES,BLAKE",2
05:27,"GOOD JUMPER by MARKWITH,TRENT",36,,74 (+38),,MILLMBB 36-74 (-38),,"GOOD JUMPER by MARKWITH,TRENT",2
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",2
05:12,,,,,"MISS 3PTR by GRANT,AJ",,,"MISS 3PTR by GRANT,AJ",2
--,"REBOUND DEF by JONES,BLAKE",,,,,,,"REBOUND DEF by JONES,BLAKE",2
05:01,"GOOD JUMPER by MARKWITH,TRENT",38,,74 (+36),,MILLMBB 38-74 (-36),,"GOOD JUMPER by MARKWITH,TRENT",2
04:44,,,,,"FOUL  by BISHOP,BEN",,,"FOUL  by BISHOP,BEN",2
04:44,,,,,"TURNOVER  by BISHOP,BEN",,,"TURNOVER  by BISHOP,BEN",2
04:44,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
04:44,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
04:44,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",2
04:44,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",2
04:44,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",2
04:44,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
04:44,,,,,"SUB IN by DE MIGUEL,ALBERTO",,,"SUB IN by DE MIGUEL,ALBERTO",2
04:44,,,,,"SUB OUT by BAKER,FOREST",,,"SUB OUT by BAKER,FOREST",2
04:31,,,,,"FOUL  by BISHOP,BEN",,,"FOUL  by BISHOP,BEN",2
04:31,"MISS FT by GERCHOW,ALEX",,,,,,,"MISS FT by GERCHOW,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:31,"GOOD FT by GERCHOW,ALEX",39,,74 (+35),,MILLMBB 39-74 (-35),,"GOOD FT by GERCHOW,ALEX",2
04:16,,,,,"TURNOVER  by JOHNSON,CJ",,,"TURNOVER  by JOHNSON,CJ",2
04:15,"STEAL  by HANSTAD,RAJAN",,,,,,,"STEAL  by HANSTAD,RAJAN",2
04:12,"TURNOVER  by HANSTAD,RAJAN",,,,,,,"TURNOVER  by HANSTAD,RAJAN",2
04:03,,39,,77 (+38),"GOOD 3PTR by GRANT,AJ",WHTW-M 39-77 (-38),,"GOOD 3PTR by GRANT,AJ",2
03:46,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",2
03:45,,,,,"STEAL  by ISAAK,DEREK",,,"STEAL  by ISAAK,DEREK",2
03:43,,39,,79 (+40),"GOOD LAYUP by ISAAK,DEREK(fastbreak)(in the paint)",WHTW-M 39-79 (-40),,"GOOD LAYUP by ISAAK,DEREK(fastbreak)(in the paint)",2
03:25,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",2
03:25,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
03:10,"FOUL  by HANSTAD,RAJAN",,,,,,,"FOUL  by HANSTAD,RAJAN",2
02:43,,,,,"MISS 3PTR by DE MIGUEL,ALBERTO",,,"MISS 3PTR by DE MIGUEL,ALBERTO",2
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",2
02:32,"TURNOVER  by GERCHOW,ALEX",,,,,,,"TURNOVER  by GERCHOW,ALEX",2
02:30,,,,,"STEAL  by BISHOP,BEN",,,"STEAL  by BISHOP,BEN",2
02:27,,39,,81 (+42),"GOOD LAYUP by JOHNSON,CJ(in the paint)",WHTW-M 39-81 (-42),,"GOOD LAYUP by JOHNSON,CJ(in the paint)",2
--,,,,,"ASSIST  by ISAAK,DEREK",,,"ASSIST  by ISAAK,DEREK",2
02:05,"GOOD JUMPER by HANSTAD,RAJAN",41,,81 (+40),,MILLMBB 41-81 (-40),,"GOOD JUMPER by HANSTAD,RAJAN",2
02:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:03,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",2
02:03,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",2
02:03,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
02:03,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
02:03,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
02:03,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",2
02:03,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",2
02:03,,,,,"SUB IN by ATHERTON,LUKE",,,"SUB IN by ATHERTON,LUKE",2
02:03,,,,,"SUB IN by GABRIELE,JOEL",,,"SUB IN by GABRIELE,JOEL",2
02:03,,,,,"SUB IN by FORD,BRODIE",,,"SUB IN by FORD,BRODIE",2
02:03,,,,,"SUB IN by NOTTINSON-NYAAKU,E",,,"SUB IN by NOTTINSON-NYAAKU,E",2
02:03,,,,,"SUB OUT by BISHOP,BEN",,,"SUB OUT by BISHOP,BEN",2
02:03,,,,,"SUB OUT by GRANT,AJ",,,"SUB OUT by GRANT,AJ",2
02:03,,,,,"SUB OUT by DE MIGUEL,ALBERTO",,,"SUB OUT by DE MIGUEL,ALBERTO",2
02:03,,,,,"SUB OUT by ISAAK,DEREK",,,"SUB OUT by ISAAK,DEREK",2
01:58,,41,,84 (+43),"GOOD 3PTR by FORD,BRODIE",WHTW-M 41-84 (-43),,"GOOD 3PTR by FORD,BRODIE",2
--,,,,,"ASSIST  by JOHNSON,CJ",,,"ASSIST  by JOHNSON,CJ",2
01:54,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",2
01:31,,,,,"FOUL  by ATHERTON,LUKE",,,"FOUL  by ATHERTON,LUKE",2
01:14,,,,,"FOUL  by JOHNSON,CJ",,,"FOUL  by JOHNSON,CJ",2
01:14,"GOOD FT by ATKINSON,QUINN",42,,84 (+42),,MILLMBB 42-84 (-42),,"GOOD FT by ATKINSON,QUINN",2
01:14,"MISS FT by ATKINSON,QUINN",,,,,,,"MISS FT by ATKINSON,QUINN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:14,"MISS FT by ATKINSON,QUINN",,,,,,,"MISS FT by ATKINSON,QUINN",2
--,,,,,"REBOUND DEF by NOTTINSON-NYAAKU,E",,,"REBOUND DEF by NOTTINSON-NYAAKU,E",2
01:14,"SUB IN by MANNING,JOHNATHAN",,,,,,,"SUB IN by MANNING,JOHNATHAN",2
01:14,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",2
01:11,"FOUL  by ATKINSON,QUINN",,,,,,,"FOUL  by ATKINSON,QUINN",2
01:11,,42,,85 (+43),"GOOD FT by NOTTINSON-NYAAKU,E",WHTW-M 42-85 (-43),,"GOOD FT by NOTTINSON-NYAAKU,E",2
01:11,,42,,86 (+44),"GOOD FT by NOTTINSON-NYAAKU,E",WHTW-M 42-86 (-44),,"GOOD FT by NOTTINSON-NYAAKU,E",2
01:11,"SUB IN by SMITH,BAILEY",,,,,,,"SUB IN by SMITH,BAILEY",2
01:11,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",2
01:03,,,,,"FOUL  by FORD,BRODIE",,,"FOUL  by FORD,BRODIE",2
01:03,"GOOD FT by SMITH,BAILEY",43,,86 (+43),,MILLMBB 43-86 (-43),,"GOOD FT by SMITH,BAILEY",2
01:03,"GOOD FT by SMITH,BAILEY",44,,86 (+42),,MILLMBB 44-86 (-42),,"GOOD FT by SMITH,BAILEY",2
00:51,,,,,"MISS JUMPER by ATHERTON,LUKE",,,"MISS JUMPER by ATHERTON,LUKE",2
--,"REBOUND DEF by MASON,ROBERT WADE",,,,,,,"REBOUND DEF by MASON,ROBERT WADE",2
00:34,"GOOD 3PTR by MASON,ROBERT WADE",47,,86 (+39),,MILLMBB 47-86 (-39),,"GOOD 3PTR by MASON,ROBERT WADE",2
--,"ASSIST  by MANNING,JOHNATHAN",,,,,,,"ASSIST  by MANNING,JOHNATHAN",2
00:22,,,,,"MISS JUMPER by GABRIELE,JOEL",,,"MISS JUMPER by GABRIELE,JOEL",2
--,"REBOUND DEF by SMITH,BAILEY",,,,,,,"REBOUND DEF by SMITH,BAILEY",2
00:10,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",2
00:09,,,,,"STEAL  by GABRIELE,JOEL",,,"STEAL  by GABRIELE,JOEL",2
00:04,,,,,"MISS 3PTR by FORD,BRODIE",,,"MISS 3PTR by FORD,BRODIE",2
--,"REBOUND DEF by SMITH,BAILEY",,,,,,,"REBOUND DEF by SMITH,BAILEY",2
