Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
15:57,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
15:41,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",2
15:38,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
15:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:34,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",2
15:34,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,"REBOUND OFF by ATKINSON,QUINN",,,,,,,"REBOUND OFF by ATKINSON,QUINN",2
15:28,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:18,,28,,57 (+29),"GOOD 3PTR by GUMP,MATT",CENTRE 28-57 (-29),,"GOOD 3PTR by GUMP,MATT",2
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",2
14:53,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
14:45,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",2
14:19,"TURNOVER  by HANSTAD,RAJAN",,,,,,,"TURNOVER  by HANSTAD,RAJAN",2
14:18,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",2
14:05,"FOUL  by HANSTAD,RAJAN",,,,,,,"FOUL  by HANSTAD,RAJAN",2
14:05,,28,,58 (+30),"GOOD FT by GRUBER,SAM",CENTRE 28-58 (-30),,"GOOD FT by GRUBER,SAM",2
14:05,,28,,59 (+31),"GOOD FT by GRUBER,SAM",CENTRE 28-59 (-31),,"GOOD FT by GRUBER,SAM",2
14:05,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
14:05,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",2
14:05,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
14:05,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
14:05,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
14:05,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
14:05,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
14:05,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
14:05,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
14:05,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
13:45,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
13:33,,,,,"MISS LAYUP by ARNETT,MICHAEL",,,"MISS LAYUP by ARNETT,MICHAEL",2
13:33,"BLOCK  by MANCUSO,LOGAN",,,,,,,"BLOCK  by MANCUSO,LOGAN",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
13:27,,28,,62 (+34),"GOOD 3PTR by EBERT,CARSON",CENTRE 28-62 (-34),,"GOOD 3PTR by EBERT,CARSON",2
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",2
12:58,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",2
--,,,,,"REBOUND DEF by ARNETT,MICHAEL",,,"REBOUND DEF by ARNETT,MICHAEL",2
12:41,,28,,65 (+37),"GOOD 3PTR by EBERT,CARSON",CENTRE 28-65 (-37),,"GOOD 3PTR by EBERT,CARSON",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
12:11,"MISS 3PTR by JONES,BLAKE",,,,,,,"MISS 3PTR by JONES,BLAKE",2
--,,,,,"REBOUND DEF by ARNETT,MICHAEL",,,"REBOUND DEF by ARNETT,MICHAEL",2
11:58,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by HANSTAD,RAJAN",,,,,,,"REBOUND DEF by HANSTAD,RAJAN",2
11:47,"MISS JUMPER by MASON,ROBERT WADE",,,,,,,"MISS JUMPER by MASON,ROBERT WADE",2
--,,,,,"REBOUND DEF by ARNETT,MICHAEL",,,"REBOUND DEF by ARNETT,MICHAEL",2
11:27,,28,,68 (+40),"GOOD 3PTR by EBERT,CARSON",CENTRE 28-68 (-40),,"GOOD 3PTR by EBERT,CARSON",2
--,,,,,"ASSIST  by MAGUIRE,WILL",,,"ASSIST  by MAGUIRE,WILL",2
11:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
11:19,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
11:19,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:19,"GOOD FT by MANCUSO,LOGAN",29,,68 (+39),,MILLMBB 29-68 (-39),,"GOOD FT by MANCUSO,LOGAN",2
11:19,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
11:19,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
11:19,"SUB IN by SPENCE,JACOB",,,,,,,"SUB IN by SPENCE,JACOB",2
11:19,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",2
11:19,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",2
11:19,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",2
11:19,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
11:19,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
11:06,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",2
11:05,"STEAL  by ROBERTSON,MARC",,,,,,,"STEAL  by ROBERTSON,MARC",2
10:59,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",2
--,"REBOUND OFF by GAGEN,BRENNAN",,,,,,,"REBOUND OFF by GAGEN,BRENNAN",2
10:55,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",31,,68 (+37),,MILLMBB 31-68 (-37),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",2
10:41,,31,,71 (+40),"GOOD 3PTR by EBERT,CARSON",CENTRE 31-71 (-40),,"GOOD 3PTR by EBERT,CARSON",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
10:27,"GOOD JUMPER by SPENCE,JACOB(in the paint)",33,,71 (+38),,MILLMBB 33-71 (-38),,"GOOD JUMPER by SPENCE,JACOB(in the paint)",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
10:04,,33,,74 (+41),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE 33-74 (-41),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,,,,,"ASSIST  by MAGUIRE,WILL",,,"ASSIST  by MAGUIRE,WILL",2
09:48,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",2
09:48,,,,,"FOUL  by MAGUIRE,WILL",,,"FOUL  by MAGUIRE,WILL",2
09:48,"GOOD FT by ATKINSON,QUINN",34,,74 (+40),,MILLMBB 34-74 (-40),,"GOOD FT by ATKINSON,QUINN",2
09:48,"GOOD FT by ATKINSON,QUINN",35,,74 (+39),,MILLMBB 35-74 (-39),,"GOOD FT by ATKINSON,QUINN",2
09:48,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",2
09:48,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",2
09:48,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",2
09:48,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",2
09:48,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",2
09:48,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",2
09:48,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
09:48,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
09:09,,,,,"MISS JUMPER by MAGUIRE,WILL",,,"MISS JUMPER by MAGUIRE,WILL",2
--,"REBOUND DEF by MASON,ROBERT WADE",,,,,,,"REBOUND DEF by MASON,ROBERT WADE",2
08:56,,,,,"FOUL  by MAGUIRE,WILL",,,"FOUL  by MAGUIRE,WILL",2
08:56,"GOOD FT by ATKINSON,QUINN",36,,74 (+38),,MILLMBB 36-74 (-38),,"GOOD FT by ATKINSON,QUINN",2
08:56,"MISS FT by ATKINSON,QUINN",,,,,,,"MISS FT by ATKINSON,QUINN",2
--,"REBOUND OFF by ROBERTSON,MARC",,,,,,,"REBOUND OFF by ROBERTSON,MARC",2
08:56,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
08:56,"SUB OUT by SPENCE,JACOB",,,,,,,"SUB OUT by SPENCE,JACOB",2
08:54,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",2
08:48,,36,,76 (+40),"GOOD LAYUP by BURNS,DREW(fastbreak)(in the paint)",CENTRE 36-76 (-40),,"GOOD LAYUP by BURNS,DREW(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by EBERT,CARSON",,,"ASSIST  by EBERT,CARSON",2
08:33,"MISS 3PTR by ATKINSON,QUINN",,,,,,,"MISS 3PTR by ATKINSON,QUINN",2
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",2
08:20,,36,,79 (+43),"GOOD 3PTR by SCHMUCKER,ZACH",CENTRE 36-79 (-43),,"GOOD 3PTR by SCHMUCKER,ZACH",2
--,,,,,"ASSIST  by MAGUIRE,WILL",,,"ASSIST  by MAGUIRE,WILL",2
08:04,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",38,,79 (+41),,MILLMBB 38-79 (-41),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
08:04,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",2
08:04,"MISS FT by GERCHOW,ALEX",,,,,,,"MISS FT by GERCHOW,ALEX",2
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",2
07:50,,,,,"TURNOVER  by REPISHTI,BRYAN",,,"TURNOVER  by REPISHTI,BRYAN",2
07:48,"STEAL  by ATKINSON,QUINN",,,,,,,"STEAL  by ATKINSON,QUINN",2
07:45,"MISS LAYUP by GAGEN,BRENNAN",,,,,,,"MISS LAYUP by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",2
07:35,,,,,"TURNOVER  by REPISHTI,BRYAN",,,"TURNOVER  by REPISHTI,BRYAN",2
07:33,"STEAL  by MASON,ROBERT WADE",,,,,,,"STEAL  by MASON,ROBERT WADE",2
07:28,"GOOD FT by ATKINSON,QUINN",39,,79 (+40),,MILLMBB 39-79 (-40),,"GOOD FT by ATKINSON,QUINN",2
07:28,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",2
07:28,"GOOD FT by ATKINSON,QUINN",40,,79 (+39),,MILLMBB 40-79 (-39),,"GOOD FT by ATKINSON,QUINN",2
07:28,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
07:28,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
07:28,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
07:28,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
07:07,,,,,"MISS JUMPER by MAGUIRE,WILL",,,"MISS JUMPER by MAGUIRE,WILL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:07,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
07:00,"TURNOVER  by MANCUSO,LOGAN",,,,,,,"TURNOVER  by MANCUSO,LOGAN",2
06:59,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",2
06:50,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",2
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",2
06:42,"GOOD JUMPER by ROBERTSON,MARC",42,,79 (+37),,MILLMBB 42-79 (-37),,"GOOD JUMPER by ROBERTSON,MARC",2
06:18,"FOUL  by MANCUSO,LOGAN",,,,,,,"FOUL  by MANCUSO,LOGAN",2
06:18,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
06:18,,42,,80 (+38),"GOOD FT by GRIFFIN,JAROD",CENTRE 42-80 (-38),,"GOOD FT by GRIFFIN,JAROD",2
06:18,,,,,"MISS FT by GRIFFIN,JAROD",,,"MISS FT by GRIFFIN,JAROD",2
--,"REBOUND DEF by MASON,ROBERT WADE",,,,,,,"REBOUND DEF by MASON,ROBERT WADE",2
06:02,"MISS JUMPER by MASON,ROBERT WADE",,,,,,,"MISS JUMPER by MASON,ROBERT WADE",2
--,,,,,"REBOUND DEF by BURNS,DREW",,,"REBOUND DEF by BURNS,DREW",2
05:48,,,,,"MISS 3PTR by MAGUIRE,WILL",,,"MISS 3PTR by MAGUIRE,WILL",2
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",2
05:37,"GOOD JUMPER by MANCUSO,LOGAN",44,,80 (+36),,MILLMBB 44-80 (-36),,"GOOD JUMPER by MANCUSO,LOGAN",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
05:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:28,,,,,"SUB IN by JONES,BRETT",,,"SUB IN by JONES,BRETT",2
05:28,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
05:22,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",2
--,,,,,"REBOUND OFF by BURNS,DREW",,,"REBOUND OFF by BURNS,DREW",2
05:17,,,,,"TURNOVER  by BURNS,DREW",,,"TURNOVER  by BURNS,DREW",2
05:17,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",2
05:17,"SUB IN by SPENCE,JACOB",,,,,,,"SUB IN by SPENCE,JACOB",2
05:17,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",2
05:17,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",2
05:17,,,,,"SUB IN by PERGANDE,QUINN",,,"SUB IN by PERGANDE,QUINN",2
05:17,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",2
05:03,"TURNOVER  by SPENCE,JACOB",,,,,,,"TURNOVER  by SPENCE,JACOB",2
05:03,"FOUL  by SPENCE,JACOB",,,,,,,"FOUL  by SPENCE,JACOB",2
04:45,,,,,"MISS JUMPER by REPISHTI,BRYAN",,,"MISS JUMPER by REPISHTI,BRYAN",2
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",2
04:39,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",2
04:39,"MISS FT by SPENCE,JACOB",,,,,,,"MISS FT by SPENCE,JACOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:39,"GOOD FT by SPENCE,JACOB",45,,80 (+35),,MILLMBB 45-80 (-35),,"GOOD FT by SPENCE,JACOB",2
04:31,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",2
--,"REBOUND DEF by SPENCE,JACOB",,,,,,,"REBOUND DEF by SPENCE,JACOB",2
04:16,"MISS LAYUP by GAGEN,BRENNAN",,,,,,,"MISS LAYUP by GAGEN,BRENNAN",2
--,"REBOUND OFF by GAGEN,BRENNAN",,,,,,,"REBOUND OFF by GAGEN,BRENNAN",2
04:13,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",47,,80 (+33),,MILLMBB 47-80 (-33),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",2
03:50,,47,,82 (+35),"GOOD LAYUP by PERGANDE,QUINN(in the paint)",CENTRE 47-82 (-35),,"GOOD LAYUP by PERGANDE,QUINN(in the paint)",2
03:34,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",2
03:34,"GOOD FT by ATKINSON,QUINN",48,,82 (+34),,MILLMBB 48-82 (-34),,"GOOD FT by ATKINSON,QUINN",2
03:34,"GOOD FT by ATKINSON,QUINN",49,,82 (+33),,MILLMBB 49-82 (-33),,"GOOD FT by ATKINSON,QUINN",2
03:34,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",2
03:34,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",2
03:34,,,,,"SUB IN by SPRICK,PAUL",,,"SUB IN by SPRICK,PAUL",2
03:34,,,,,"SUB IN by KIDWELL,BRENT",,,"SUB IN by KIDWELL,BRENT",2
03:34,,,,,"SUB IN by MAYFIELD,DEE",,,"SUB IN by MAYFIELD,DEE",2
03:34,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
03:34,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",2
03:11,,,,,"MISS JUMPER by JONES,BRETT",,,"MISS JUMPER by JONES,BRETT",2
--,"REBOUND DEF by SPENCE,JACOB",,,,,,,"REBOUND DEF by SPENCE,JACOB",2
03:03,,,,,"FOUL  by SPRICK,PAUL",,,"FOUL  by SPRICK,PAUL",2
03:03,"GOOD FT by ATKINSON,QUINN",50,,82 (+32),,MILLMBB 50-82 (-32),,"GOOD FT by ATKINSON,QUINN",2
03:03,"MISS FT by ATKINSON,QUINN",,,,,,,"MISS FT by ATKINSON,QUINN",2
--,,,,,"REBOUND DEF by PERGANDE,QUINN",,,"REBOUND DEF by PERGANDE,QUINN",2
03:03,"SUB IN by MANNING,JOHNATHAN",,,,,,,"SUB IN by MANNING,JOHNATHAN",2
03:03,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
02:49,,50,,85 (+35),"GOOD 3PTR by JONES,BRETT",CENTRE 50-85 (-35),,"GOOD 3PTR by JONES,BRETT",2
--,,,,,"ASSIST  by KIDWELL,BRENT",,,"ASSIST  by KIDWELL,BRENT",2
02:37,,,,,"FOUL  by SPRICK,PAUL",,,"FOUL  by SPRICK,PAUL",2
02:37,"GOOD FT by GAGEN,BRENNAN",51,,85 (+34),,MILLMBB 51-85 (-34),,"GOOD FT by GAGEN,BRENNAN",2
02:37,"MISS FT by GAGEN,BRENNAN",,,,,,,"MISS FT by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by MAYFIELD,DEE",,,"REBOUND DEF by MAYFIELD,DEE",2
02:33,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",2
02:33,,51,,86 (+35),"GOOD FT by PERGANDE,QUINN",CENTRE 51-86 (-35),,"GOOD FT by PERGANDE,QUINN",2
02:33,,,,,"MISS FT by PERGANDE,QUINN",,,"MISS FT by PERGANDE,QUINN",2
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",2
02:33,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",2
02:33,"SUB OUT by SPENCE,JACOB",,,,,,,"SUB OUT by SPENCE,JACOB",2
02:27,"GOOD 3PTR by ATKINSON,QUINN",54,,86 (+32),,MILLMBB 54-86 (-32),,"GOOD 3PTR by ATKINSON,QUINN",2
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",2
02:13,,,,,"MISS LAYUP by SPRICK,PAUL",,,"MISS LAYUP by SPRICK,PAUL",2
--,"REBOUND DEF by MASON,ROBERT WADE",,,,,,,"REBOUND DEF by MASON,ROBERT WADE",2
02:02,"MISS JUMPER by MASON,ROBERT WADE",,,,,,,"MISS JUMPER by MASON,ROBERT WADE",2
--,,,,,"REBOUND DEF by KIDWELL,BRENT",,,"REBOUND DEF by KIDWELL,BRENT",2
01:56,,54,,89 (+35),"GOOD 3PTR by JONES,BRETT",CENTRE 54-89 (-35),,"GOOD 3PTR by JONES,BRETT",2
--,,,,,"ASSIST  by SPRICK,PAUL",,,"ASSIST  by SPRICK,PAUL",2
01:39,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by PERGANDE,QUINN",,,"REBOUND DEF by PERGANDE,QUINN",2
01:29,,54,,91 (+37),"GOOD LAYUP by MAYFIELD,DEE(in the paint)",CENTRE 54-91 (-37),,"GOOD LAYUP by MAYFIELD,DEE(in the paint)",2
--,,,,,"ASSIST  by KIDWELL,BRENT",,,"ASSIST  by KIDWELL,BRENT",2
01:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:59,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",2
00:58,,,,,"STEAL  by MAYFIELD,DEE",,,"STEAL  by MAYFIELD,DEE",2
00:48,,54,,93 (+39),"GOOD DUNK by PERGANDE,QUINN(in the paint)",CENTRE 54-93 (-39),,"GOOD DUNK by PERGANDE,QUINN(in the paint)",2
--,,,,,"ASSIST  by SPRICK,PAUL",,,"ASSIST  by SPRICK,PAUL",2
00:38,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",2
00:36,,,,,"STEAL  by KIDWELL,BRENT",,,"STEAL  by KIDWELL,BRENT",2
00:33,"FOUL  by MASON,ROBERT WADE",,,,,,,"FOUL  by MASON,ROBERT WADE",2
00:33,,,,,"MISS FT by PERGANDE,QUINN",,,"MISS FT by PERGANDE,QUINN",2
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",2
00:22,"TURNOVER  by HANSTAD,RAJAN",,,,,,,"TURNOVER  by HANSTAD,RAJAN",2
00:20,,,,,"STEAL  by KIDWELL,BRENT",,,"STEAL  by KIDWELL,BRENT",2
