Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
03:17,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
03:17,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",1
03:02,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",1
--,"REBOUND DEF by LOGGINS,CALEB",,,,,,,"REBOUND DEF by LOGGINS,CALEB",1
02:46,"MISS LAYUP by LOGGINS,CALEB",,,,,,,"MISS LAYUP by LOGGINS,CALEB",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
02:28,,,,,"MISS 3PTR by JONES,BLAKE",,,"MISS 3PTR by JONES,BLAKE",1
--,"REBOUND DEF by COLHOFF,ALEC",,,,,,,"REBOUND DEF by COLHOFF,ALEC",1
02:21,"GOOD 3PTR by MATTSON,SETH",26 (+2),,24,,LETU 26-24 (-2),,"GOOD 3PTR by MATTSON,SETH",1
--,"ASSIST  by ERBY,BRYSON",,,,,,,"ASSIST  by ERBY,BRYSON",1
02:07,,,,,"MISS 3PTR by JONES,BLAKE",,,"MISS 3PTR by JONES,BLAKE",1
--,"REBOUND DEF by LOGGINS,CALEB",,,,,,,"REBOUND DEF by LOGGINS,CALEB",1
01:55,"MISS 3PTR by MATTSON,SETH",,,,,,,"MISS 3PTR by MATTSON,SETH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:51,"SUB IN by SCHEXNAYDER,GREG",,,,,,,"SUB IN by SCHEXNAYDER,GREG",1
01:51,"SUB OUT by COLHOFF,ALEC",,,,,,,"SUB OUT by COLHOFF,ALEC",1
01:51,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
01:51,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",1
01:51,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
