Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
02:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:02,,27 (+1),,26,"GOOD JUMPER by ROBERTSON,MARC",MILLMBB 27-26 (-1),,"GOOD JUMPER by ROBERTSON,MARC",1
01:47,"TURNOVER  by DICKERMAN,JOSH",,,,,,,"TURNOVER  by DICKERMAN,JOSH",1
01:46,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",1
01:38,"FOUL  by DICKERMAN,JOSH",,,,,,,"FOUL  by DICKERMAN,JOSH",1
01:38,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:38,,27,,27,"GOOD FT by GERCHOW,ALEX",MILLMBB 27-27 (0),,"GOOD FT by GERCHOW,ALEX",1
01:38,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",1
01:38,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
01:15,"MISS LAYUP by HUDSON,CEDRIC",,,,,,,"MISS LAYUP by HUDSON,CEDRIC",1
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",1
01:07,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",1
01:05,"STEAL  by BAEHL,BRIAN",,,,,,,"STEAL  by BAEHL,BRIAN",1
01:03,"GOOD LAYUP by HUDSON,CEDRIC(fastbreak)(in the paint)",29 (+2),,27,,ACM 29-27 (-2),,"GOOD LAYUP by HUDSON,CEDRIC(fastbreak)(in the paint)",1
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",1
00:54,,,,,"MISS LAYUP by MCSWAIN,JOSHUA",,,"MISS LAYUP by MCSWAIN,JOSHUA",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
00:46,"GOOD 3PTR by SWISHER,JEREMY",32 (+5),,27,,ACM 32-27 (-5),,"GOOD 3PTR by SWISHER,JEREMY",1
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",1
00:38,,,,,"MISS LAYUP by ROBERTSON,MARC",,,"MISS LAYUP by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",,,"REBOUND OFF by MCSWAIN,JOSHUA",1
00:34,,32 (+3),,29,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",MILLMBB 32-29 (-3),,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",1
00:05,"MISS 3PTR by HUDSON,CEDRIC",,,,,,,"MISS 3PTR by HUDSON,CEDRIC",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
20:00,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
20:00,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",2
19:34,"GOOD 3PTR by FREET,AUSTIN",35 (+6),,29,,ACM 35-29 (-6),,"GOOD 3PTR by FREET,AUSTIN",2
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",2
19:19,,35 (+4),,31,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",MILLMBB 35-31 (-4),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
19:02,"MISS JUMPER by HUDSON,CEDRIC",,,,,,,"MISS JUMPER by HUDSON,CEDRIC",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
18:48,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",2
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",2
18:20,"MISS 3PTR by FREET,AUSTIN",,,,,,,"MISS 3PTR by FREET,AUSTIN",2
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",2
18:15,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",2
18:15,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
18:15,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",2
18:13,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",2
--,"REBOUND OFF by FREET,AUSTIN",,,,,,,"REBOUND OFF by FREET,AUSTIN",2
17:49,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
17:37,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",2
17:19,"MISS 3PTR by SULLIVAN,ALAN",,,,,,,"MISS 3PTR by SULLIVAN,ALAN",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
17:03,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",2
16:49,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",2
16:49,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",2
16:49,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",2
16:49,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
16:49,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
16:35,"MISS LAYUP by SULLIVAN,ALAN",,,,,,,"MISS LAYUP by SULLIVAN,ALAN",2
16:35,,,,,"BLOCK  by MCSWAIN,JOSHUA",,,"BLOCK  by MCSWAIN,JOSHUA",2
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",2
16:24,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",2
16:15,"GOOD LAYUP by HUDSON,CEDRIC(fastbreak)(in the paint)",37 (+6),,31,,ACM 37-31 (-6),,"GOOD LAYUP by HUDSON,CEDRIC(fastbreak)(in the paint)",2
15:57,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",2
--,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",,,"REBOUND OFF by MCSWAIN,JOSHUA",2
15:53,,37 (+4),,33,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",MILLMBB 37-33 (-4),,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",2
15:31,"GOOD 3PTR by SULLIVAN,ALAN",40 (+7),,33,,ACM 40-33 (-7),,"GOOD 3PTR by SULLIVAN,ALAN",2
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",2
15:12,,40 (+5),,35,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",MILLMBB 40-35 (-5),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",2
15:02,"GOOD LAYUP by HUDSON,CEDRIC(in the paint)",42 (+7),,35,,ACM 42-35 (-7),,"GOOD LAYUP by HUDSON,CEDRIC(in the paint)",2
14:52,,,,,"MISS 3PTR by SPENCE,JACOB",,,"MISS 3PTR by SPENCE,JACOB",2
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",2
14:46,,42 (+5),,37,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",MILLMBB 42-37 (-5),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
14:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
14:43,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",2
14:43,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",2
14:43,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
14:43,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
14:43,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",2
14:43,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
14:43,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",2
14:43,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",2
14:30,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",2
14:30,"GOOD FT by HUDSON,CEDRIC",43 (+6),,37,,ACM 43-37 (-6),,"GOOD FT by HUDSON,CEDRIC",2
14:30,"GOOD FT by HUDSON,CEDRIC",44 (+7),,37,,ACM 44-37 (-7),,"GOOD FT by HUDSON,CEDRIC",2
14:20,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",2
14:12,"GOOD JUMPER by IGBINOSA,STEPHEN",46 (+9),,37,,ACM 46-37 (-9),,"GOOD JUMPER by IGBINOSA,STEPHEN",2
--,"ASSIST  by FREET,AUSTIN",,,,,,,"ASSIST  by FREET,AUSTIN",2
13:56,"FOUL  by IGBINOSA,STEPHEN",,,,,,,"FOUL  by IGBINOSA,STEPHEN",2
13:56,,46 (+8),,38,"GOOD FT by ATKINSON,QUINN",MILLMBB 46-38 (-8),,"GOOD FT by ATKINSON,QUINN",2
13:56,,,,,"MISS FT by ATKINSON,QUINN",,,"MISS FT by ATKINSON,QUINN",2
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",2
13:56,"SUB IN by WADE,JUSTIN",,,,,,,"SUB IN by WADE,JUSTIN",2
13:56,"SUB OUT by IGBINOSA,STEPHEN",,,,,,,"SUB OUT by IGBINOSA,STEPHEN",2
13:56,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
13:56,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
13:41,,46 (+6),,40,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",MILLMBB 46-40 (-6),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
--,,,,,"ASSIST  by ATKINSON,QUINN",,,"ASSIST  by ATKINSON,QUINN",2
13:41,"FOUL  by SWISHER,JEREMY",,,,,,,"FOUL  by SWISHER,JEREMY",2
13:41,,46 (+5),,41,"GOOD FT by MARKWITH,TRENT",MILLMBB 46-41 (-5),,"GOOD FT by MARKWITH,TRENT",2
13:27,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:25,,,,,"FOUL  by ATKINSON,QUINN",,,"FOUL  by ATKINSON,QUINN",2
13:12,"GOOD JUMPER by HUDSON,CEDRIC",48 (+7),,41,,ACM 48-41 (-7),,"GOOD JUMPER by HUDSON,CEDRIC",2
12:53,,,,,"MISS JUMPER by GAGEN,BRENNAN",,,"MISS JUMPER by GAGEN,BRENNAN",2
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",2
12:37,"GOOD 3PTR by SWISHER,JEREMY",51 (+10),,41,,ACM 51-41 (-10),,"GOOD 3PTR by SWISHER,JEREMY",2
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",2
12:27,,51 (+8),,43,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",MILLMBB 51-43 (-8),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",2
12:15,"TURNOVER  by SWISHER,JEREMY",,,,,,,"TURNOVER  by SWISHER,JEREMY",2
12:14,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
12:14,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",2
12:14,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",2
12:14,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",2
11:57,,,,,"MISS 3PTR by JONES,BLAKE",,,"MISS 3PTR by JONES,BLAKE",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
11:52,,,,,"MISS LAYUP by ROBERTSON,MARC",,,"MISS LAYUP by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
11:50,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",2
11:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
11:41,"MISS 3PTR by SWISHER,JEREMY",,,,,,,"MISS 3PTR by SWISHER,JEREMY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:32,,,,,"FOUL  by ATKINSON,QUINN",,,"FOUL  by ATKINSON,QUINN",2
11:25,"MISS JUMPER by HUDSON,CEDRIC",,,,,,,"MISS JUMPER by HUDSON,CEDRIC",2
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",2
11:13,,,,,"TURNOVER  by MCSWAIN,JOSHUA",,,"TURNOVER  by MCSWAIN,JOSHUA",2
11:12,"STEAL  by BAEHL,BRIAN",,,,,,,"STEAL  by BAEHL,BRIAN",2
10:57,"TURNOVER  by FREET,AUSTIN",,,,,,,"TURNOVER  by FREET,AUSTIN",2
10:57,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",2
10:57,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",2
10:48,"FOUL  by BAEHL,BRIAN",,,,,,,"FOUL  by BAEHL,BRIAN",2
10:48,,,,,"MISS FT by JONES,BLAKE",,,"MISS FT by JONES,BLAKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:48,,51 (+7),,44,"GOOD FT by JONES,BLAKE",MILLMBB 51-44 (-7),,"GOOD FT by JONES,BLAKE",2
10:35,"MISS JUMPER by SWISHER,JEREMY",,,,,,,"MISS JUMPER by SWISHER,JEREMY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:32,,,,,"FOUL  by SPENCE,JACOB",,,"FOUL  by SPENCE,JACOB",2
10:32,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",2
10:32,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",2
10:24,"TURNOVER  by HUDSON,CEDRIC",,,,,,,"TURNOVER  by HUDSON,CEDRIC",2
10:12,,51 (+5),,46,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",MILLMBB 51-46 (-5),,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",2
10:01,"GOOD JUMPER by BAEHL,BRIAN",53 (+7),,46,,ACM 53-46 (-7),,"GOOD JUMPER by BAEHL,BRIAN",2
09:39,,53 (+5),,48,"GOOD JUMPER by JONES,BLAKE",MILLMBB 53-48 (-5),,"GOOD JUMPER by JONES,BLAKE",2
09:22,"TURNOVER  by BAEHL,BRIAN",,,,,,,"TURNOVER  by BAEHL,BRIAN",2
09:20,,,,,"STEAL  by GAGEN,BRENNAN",,,"STEAL  by GAGEN,BRENNAN",2
09:18,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",2
--,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",,,"REBOUND OFF by MCSWAIN,JOSHUA",2
09:13,,53 (+3),,50,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",MILLMBB 53-50 (-3),,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",2
09:03,"MISS JUMPER by HUDSON,CEDRIC",,,,,,,"MISS JUMPER by HUDSON,CEDRIC",2
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",2
08:58,"FOUL  by WADE,JUSTIN",,,,,,,"FOUL  by WADE,JUSTIN",2
08:58,"SUB IN by IGBINOSA,STEPHEN",,,,,,,"SUB IN by IGBINOSA,STEPHEN",2
08:58,"SUB IN by SULLIVAN,ALAN",,,,,,,"SUB IN by SULLIVAN,ALAN",2
08:58,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",2
08:58,"SUB OUT by WADE,JUSTIN",,,,,,,"SUB OUT by WADE,JUSTIN",2
08:58,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
08:58,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",2
08:49,,,,,"MISS JUMPER by JONES,BLAKE",,,"MISS JUMPER by JONES,BLAKE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:46,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
08:46,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",2
08:18,"GOOD JUMPER by IGBINOSA,STEPHEN",55 (+5),,50,,ACM 55-50 (-5),,"GOOD JUMPER by IGBINOSA,STEPHEN",2
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",2
08:10,,55 (+3),,52,"GOOD LAYUP by GAGEN,BRENNAN(fastbreak)(in the paint)",MILLMBB 55-52 (-3),,"GOOD LAYUP by GAGEN,BRENNAN(fastbreak)(in the paint)",2
07:58,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",57 (+5),,52,,ACM 57-52 (-5),,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",2
--,"ASSIST  by SULLIVAN,ALAN",,,,,,,"ASSIST  by SULLIVAN,ALAN",2
07:47,,57 (+3),,54,"GOOD JUMPER by GAGEN,BRENNAN",MILLMBB 57-54 (-3),,"GOOD JUMPER by GAGEN,BRENNAN",2
07:42,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:18,"MISS JUMPER by SULLIVAN,ALAN",,,,,,,"MISS JUMPER by SULLIVAN,ALAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:03,,57,,57,"GOOD 3PTR by ROBERTSON,MARC",MILLMBB 57-57 (0),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",2
06:46,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
06:40,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",2
06:37,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",59 (+2),,57,,ACM 59-57 (-2),,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",2
--,"ASSIST  by SULLIVAN,ALAN",,,,,,,"ASSIST  by SULLIVAN,ALAN",2
06:19,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",2
06:12,"FOUL  by IGBINOSA,STEPHEN",,,,,,,"FOUL  by IGBINOSA,STEPHEN",2
06:12,,59 (+1),,58,"GOOD FT by MARKWITH,TRENT",MILLMBB 59-58 (-1),,"GOOD FT by MARKWITH,TRENT",2
06:12,,59,,59,"GOOD FT by MARKWITH,TRENT",MILLMBB 59-59 (0),,"GOOD FT by MARKWITH,TRENT",2
06:12,"SUB IN by DICKERMAN,JOSH",,,,,,,"SUB IN by DICKERMAN,JOSH",2
06:12,"SUB OUT by IGBINOSA,STEPHEN",,,,,,,"SUB OUT by IGBINOSA,STEPHEN",2
06:00,"FOUL  by HUDSON,CEDRIC",,,,,,,"FOUL  by HUDSON,CEDRIC",2
06:00,"TURNOVER  by HUDSON,CEDRIC",,,,,,,"TURNOVER  by HUDSON,CEDRIC",2
05:46,"FOUL  by SULLIVAN,ALAN",,,,,,,"FOUL  by SULLIVAN,ALAN",2
05:46,,59,,60 (+1),"GOOD FT by ROBERTSON,MARC",MILLMBB 59-60 (+1),,"GOOD FT by ROBERTSON,MARC",2
05:46,,59,,61 (+2),"GOOD FT by ROBERTSON,MARC",MILLMBB 59-61 (+2),,"GOOD FT by ROBERTSON,MARC",2
05:46,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",2
05:46,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",2
05:46,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
05:46,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
05:33,"MISS JUMPER by DICKERMAN,JOSH",,,,,,,"MISS JUMPER by DICKERMAN,JOSH",2
--,"REBOUND OFF by FREET,AUSTIN",,,,,,,"REBOUND OFF by FREET,AUSTIN",2
05:28,"MISS 3PTR by SULLIVAN,ALAN",,,,,,,"MISS 3PTR by SULLIVAN,ALAN",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
05:17,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",2
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",2
05:13,,59,,63 (+4),"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",MILLMBB 59-63 (+4),,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
04:48,,,,,"FOUL  by MCSWAIN,JOSHUA",,,"FOUL  by MCSWAIN,JOSHUA",2
04:48,"GOOD FT by SULLIVAN,ALAN",60,,63 (+3),,ACM 60-63 (+3),,"GOOD FT by SULLIVAN,ALAN",2
04:48,"GOOD FT by SULLIVAN,ALAN",61,,63 (+2),,ACM 61-63 (+2),,"GOOD FT by SULLIVAN,ALAN",2
04:48,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",2
04:48,"SUB IN by IGBINOSA,STEPHEN",,,,,,,"SUB IN by IGBINOSA,STEPHEN",2
04:48,"SUB OUT by DICKERMAN,JOSH",,,,,,,"SUB OUT by DICKERMAN,JOSH",2
04:48,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",2
04:48,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
04:48,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
04:24,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",2
04:24,"BLOCK  by IGBINOSA,STEPHEN",,,,,,,"BLOCK  by IGBINOSA,STEPHEN",2
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",2
04:03,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",2
--,"REBOUND OFF by HUDSON,CEDRIC",,,,,,,"REBOUND OFF by HUDSON,CEDRIC",2
03:53,"MISS JUMPER by FREET,AUSTIN",,,,,,,"MISS JUMPER by FREET,AUSTIN",2
--,"REBOUND OFF by BAEHL,BRIAN",,,,,,,"REBOUND OFF by BAEHL,BRIAN",2
03:47,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",2
03:47,"MISS FT by HUDSON,CEDRIC",,,,,,,"MISS FT by HUDSON,CEDRIC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:47,"MISS FT by HUDSON,CEDRIC",,,,,,,"MISS FT by HUDSON,CEDRIC",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
03:47,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
03:47,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
03:47,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",2
03:47,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",2
03:44,"FOUL  by RIVERA,ANDRES",,,,,,,"FOUL  by RIVERA,ANDRES",2
03:44,,,,,"MISS FT by MARKWITH,TRENT",,,"MISS FT by MARKWITH,TRENT",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:44,"SUB IN by SULLIVAN,ALAN",,,,,,,"SUB IN by SULLIVAN,ALAN",2
03:44,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",2
03:35,"GOOD LAYUP by HUDSON,CEDRIC(in the paint)",63,,63,,ACM 63-63 (0),,"GOOD LAYUP by HUDSON,CEDRIC(in the paint)",2
--,"ASSIST  by IGBINOSA,STEPHEN",,,,,,,"ASSIST  by IGBINOSA,STEPHEN",2
03:11,"FOUL  by SULLIVAN,ALAN",,,,,,,"FOUL  by SULLIVAN,ALAN",2
03:11,,,,,"MISS FT by MARKWITH,TRENT",,,"MISS FT by MARKWITH,TRENT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:11,,63,,64 (+1),"GOOD FT by MARKWITH,TRENT",MILLMBB 63-64 (+1),,"GOOD FT by MARKWITH,TRENT",2
02:59,"MISS 3PTR by SULLIVAN,ALAN",,,,,,,"MISS 3PTR by SULLIVAN,ALAN",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
02:40,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",2
02:38,"STEAL  by SULLIVAN,ALAN",,,,,,,"STEAL  by SULLIVAN,ALAN",2
02:35,"GOOD LAYUP by HUDSON,CEDRIC(fastbreak)(in the paint)",65 (+1),,64,,ACM 65-64 (-1),,"GOOD LAYUP by HUDSON,CEDRIC(fastbreak)(in the paint)",2
02:15,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",2
--,"REBOUND DEF by SULLIVAN,ALAN",,,,,,,"REBOUND DEF by SULLIVAN,ALAN",2
01:53,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
