Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
12:33,"MISS 3PTR by EVANS,ANDREW",,,,,,,"MISS 3PTR by EVANS,ANDREW",1
--,,,,,"REBOUND DEF by ALLISON,ZACH",,,"REBOUND DEF by ALLISON,ZACH",1
11:25,,23 (+4),,19,"GOOD 3PTR by GONDA,MATT",17BSC-M 23-19 (+4),,"GOOD 3PTR by GONDA,MATT",1
11:25,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:10,,23 (+2),,21,"GOOD DUNK by LOVING,JIBRI(fastbreak)(in the paint)",17BSC-M 23-21 (+2),,"GOOD DUNK by LOVING,JIBRI(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
11:10,"MISS 3PTR by MCINTYRE,WILLIAM",,,,,,,"MISS 3PTR by MCINTYRE,WILLIAM",1
--,,,,,"REBOUND DEF by LOVING,JIBRI",,,"REBOUND DEF by LOVING,JIBRI",1
11:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:10,"MISS 3PTR by ASHBY,KENDRICK",,,,,,,"MISS 3PTR by ASHBY,KENDRICK",1
--,,,,,"REBOUND DEF by LOVING,JIBRI",,,"REBOUND DEF by LOVING,JIBRI",1
10:18,,23,,23,"GOOD LAYUP by LOVING,JIBRI(in the paint)",17BSC-M 23-23 (0),,"GOOD LAYUP by LOVING,JIBRI(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
10:18,"MISS 3PTR by ASHBY,KENDRICK",,,,,,,"MISS 3PTR by ASHBY,KENDRICK",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
09:48,,23,,25 (+2),"GOOD LAYUP by YANCEY,RICH(fastbreak)(in the paint)",17BSC-M 23-25 (-2),,"GOOD LAYUP by YANCEY,RICH(fastbreak)(in the paint)",1
09:31,"GOOD 3PTR by BERRY,BRYCE",26 (+1),,25,,RHODES 26-25 (+1),,"GOOD 3PTR by BERRY,BRYCE",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
09:20,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:20,,,,,"FOUL  by LOVING,JIBRI",,,"FOUL  by LOVING,JIBRI",1
09:09,"GOOD 3PTR by SAMSON,VAUGHN",29 (+4),,25,,RHODES 29-25 (+4),,"GOOD 3PTR by SAMSON,VAUGHN",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
09:09,,,,,"TURNOVER  by DENBESTEN,COLE",,,"TURNOVER  by DENBESTEN,COLE",1
09:09,"STEAL  by SAMSON,VAUGHN",,,,,,,"STEAL  by SAMSON,VAUGHN",1
08:52,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",1
08:52,"MISS 3PTR by MCINTYRE,WILLIAM",,,,,,,"MISS 3PTR by MCINTYRE,WILLIAM",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
08:52,,29 (+2),,27,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",17BSC-M 29-27 (+2),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by ALLISON,ZACH",,,"ASSIST  by ALLISON,ZACH",1
08:52,,29,,29,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",17BSC-M 29-29 (0),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
07:55,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",1
07:55,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
07:38,"GOOD JUMPER by DARST,DANIEL",31 (+2),,29,,RHODES 31-29 (+2),,"GOOD JUMPER by DARST,DANIEL",1
--,"ASSIST  by SWIFT,DJ",,,,,,,"ASSIST  by SWIFT,DJ",1
07:18,,31,,32 (+1),"GOOD 3PTR by BAK,CALVIN",17BSC-M 31-32 (-1),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
07:18,"MISS JUMPER by SWIFT,DJ",,,,,,,"MISS JUMPER by SWIFT,DJ",1
--,"REBOUND OFF by SWIFT,DJ",,,,,,,"REBOUND OFF by SWIFT,DJ",1
07:18,"MISS JUMPER by SWIFT,DJ",,,,,,,"MISS JUMPER by SWIFT,DJ",1
--,"REBOUND OFF by BERRY,BRYCE",,,,,,,"REBOUND OFF by BERRY,BRYCE",1
07:18,"GOOD 3PTR by DARST,DANIEL",34 (+2),,32,,RHODES 34-32 (+2),,"GOOD 3PTR by DARST,DANIEL",1
--,"ASSIST  by BERRY,BRYCE",,,,,,,"ASSIST  by BERRY,BRYCE",1
07:18,,34,,34,"GOOD JUMPER by BAK,CALVIN(in the paint)",17BSC-M 34-34 (0),,"GOOD JUMPER by BAK,CALVIN(in the paint)",1
06:27,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
06:27,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",1
06:27,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
06:27,"STEAL  by NYAWATA,ANESU",,,,,,,"STEAL  by NYAWATA,ANESU",1
06:27,"MISS 3PTR by SAMSON,VAUGHN",,,,,,,"MISS 3PTR by SAMSON,VAUGHN",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
06:27,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",1
06:27,"STEAL  by WEATHERFORD,MITCH",,,,,,,"STEAL  by WEATHERFORD,MITCH",1
05:46,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",36 (+2),,34,,RHODES 36-34 (+2),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
05:46,,36,,36,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",17BSC-M 36-36 (0),,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",1
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",1
05:46,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
05:21,"MISS FT by GIROUX,PRESTON",,,,,,,"MISS FT by GIROUX,PRESTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:21,"GOOD FT by EVANS,ANDREW",37 (+1),,36,,RHODES 37-36 (+1),,"GOOD FT by EVANS,ANDREW",1
05:12,,37,,38 (+1),"GOOD LAYUP by DENBESTEN,COLE(in the paint)",17BSC-M 37-38 (-1),,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",1
04:56,"GOOD 3PTR by FERIA,NICK DE",40 (+2),,38,,RHODES 40-38 (+2),,"GOOD 3PTR by FERIA,NICK DE",1
04:56,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",1
04:56,,40 (+1),,39,"GOOD FT by LOVING,JIBRI",17BSC-M 40-39 (+1),,"GOOD FT by LOVING,JIBRI",1
04:56,,,,,"MISS FT by LOVING,JIBRI",,,"MISS FT by LOVING,JIBRI",1
--,,,,,"REBOUND OFF by YANCEY,RICH",,,"REBOUND OFF by YANCEY,RICH",1
04:56,,40,,41 (+1),"GOOD LAYUP by YANCEY,RICH(in the paint)",17BSC-M 40-41 (-1),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1
04:42,"MISS LAYUP by DARST,DANIEL",,,,,,,"MISS LAYUP by DARST,DANIEL",1
04:42,,,,,"BLOCK  by ALLISON,ZACH",,,"BLOCK  by ALLISON,ZACH",1
--,,,,,"REBOUND DEF by DENBESTEN,COLE",,,"REBOUND DEF by DENBESTEN,COLE",1
04:42,,,,,"MISS 3PTR by YANCEY,RICH",,,"MISS 3PTR by YANCEY,RICH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:07,,,,,"MISS 3PTR by GONDA,MATT",,,"MISS 3PTR by GONDA,MATT",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
04:07,"GOOD LAYUP by GIROUX,PRESTON(fastbreak)(in the paint)",42 (+1),,41,,RHODES 42-41 (+1),,"GOOD LAYUP by GIROUX,PRESTON(fastbreak)(in the paint)",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
04:07,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
04:07,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
03:38,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:38,,42,,43 (+1),"GOOD JUMPER by ALLISON,ZACH(in the paint)",17BSC-M 42-43 (-1),,"GOOD JUMPER by ALLISON,ZACH(in the paint)",1
03:18,"MISS JUMPER by SWIFT,DJ",,,,,,,"MISS JUMPER by SWIFT,DJ",1
--,,,,,"REBOUND DEF by BAK,CALVIN",,,"REBOUND DEF by BAK,CALVIN",1
03:18,,,,,"MISS JUMPER by GONDA,MATT",,,"MISS JUMPER by GONDA,MATT",1
--,,,,,"REBOUND OFF by RUDAK,MATEUSZ",,,"REBOUND OFF by RUDAK,MATEUSZ",1
03:18,,42,,45 (+3),"GOOD JUMPER by RUDAK,MATEUSZ(in the paint)",17BSC-M 42-45 (-3),,"GOOD JUMPER by RUDAK,MATEUSZ(in the paint)",1
02:22,"GOOD 3PTR by GALVIN,OWEN",45,,45,,RHODES 45-45 (0),,"GOOD 3PTR by GALVIN,OWEN",1
02:22,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by RUDAK,MATEUSZ",,,"REBOUND OFF by RUDAK,MATEUSZ",1
02:22,,45,,48 (+3),"GOOD 3PTR by BAK,CALVIN",17BSC-M 45-48 (-3),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by ALLISON,ZACH",,,"ASSIST  by ALLISON,ZACH",1
