Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
--,"ASSIST  by DALTON,PRICE",,,,,,,"ASSIST  by DALTON,PRICE",1
10:41,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",1
10:41,,24 (+7),,17,"GOOD FT by RAKES,BAILEY",CENTRE-M 24-17 (+7),,"GOOD FT by RAKES,BAILEY",1
10:41,,24 (+6),,18,"GOOD FT by RAKES,BAILEY",CENTRE-M 24-18 (+6),,"GOOD FT by RAKES,BAILEY",1
10:41,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
10:41,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
10:22,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
10:22,"SUB IN by EVANS,ANDREW",,,,,,,"SUB IN by EVANS,ANDREW",1
10:22,"SUB IN by MCINTYRE,WILLIAM",,,,,,,"SUB IN by MCINTYRE,WILLIAM",1
10:22,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
10:22,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
10:22,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
10:22,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
10:22,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
10:22,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
10:22,"SUB OUT by ROTEMAN,EVAN",,,,,,,"SUB OUT by ROTEMAN,EVAN",1
10:22,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
10:09,,,,,"MISS LAYUP by WALKER,ART",,,"MISS LAYUP by WALKER,ART",1
--,"REBOUND DEF by MCINTYRE,WILLIAM",,,,,,,"REBOUND DEF by MCINTYRE,WILLIAM",1
09:59,"MISS 3PTR by MCINTYRE,WILLIAM",,,,,,,"MISS 3PTR by MCINTYRE,WILLIAM",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
09:48,"FOUL  by MCINTYRE,WILLIAM",,,,,,,"FOUL  by MCINTYRE,WILLIAM",1
09:48,,24 (+5),,19,"GOOD FT by AYERS,PERRY",CENTRE-M 24-19 (+5),,"GOOD FT by AYERS,PERRY",1
09:48,,24 (+4),,20,"GOOD FT by AYERS,PERRY",CENTRE-M 24-20 (+4),,"GOOD FT by AYERS,PERRY",1
09:48,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
09:48,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
09:48,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
09:48,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
09:48,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
09:48,"SUB OUT by EVANS,ANDREW",,,,,,,"SUB OUT by EVANS,ANDREW",1
09:48,"SUB OUT by MCINTYRE,WILLIAM",,,,,,,"SUB OUT by MCINTYRE,WILLIAM",1
