Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",2
18:34,,70 (+11),,59,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 70-59 (-11),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",2
18:18,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",72 (+13),,59,,UTD 72-59 (-13),,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",2
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",2
18:01,,72 (+11),,61,"GOOD LAYUP by GALVIN,OWEN(in the paint)",RHODES 72-61 (-11),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",2
17:53,"MISS JUMPER by BANKS,CALEB",,,,,,,"MISS JUMPER by BANKS,CALEB",2
17:53,,,,,"BLOCK  by GIROUX,PRESTON",,,"BLOCK  by GIROUX,PRESTON",2
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",2
17:42,,72 (+9),,63,"GOOD JUMPER by SAMSON,VAUGHN(in the paint)",RHODES 72-63 (-9),,"GOOD JUMPER by SAMSON,VAUGHN(in the paint)",2
17:19,"TURNOVER  by KEOGH,REAGAN",,,,,,,"TURNOVER  by KEOGH,REAGAN",2
17:19,"FOUL  by KEOGH,REAGAN",,,,,,,"FOUL  by KEOGH,REAGAN",2
17:19,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",2
17:19,"SUB OUT by KEOGH,REAGAN",,,,,,,"SUB OUT by KEOGH,REAGAN",2
17:19,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",2
17:19,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",2
17:19,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",2
17:19,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",2
17:19,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",2
17:19,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",2
17:19,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",2
17:19,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",2
17:19,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",2
17:19,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",2
16:52,,,,,"MISS 3PTR by EVANS,ANDREW",,,"MISS 3PTR by EVANS,ANDREW",2
--,,,,,"REBOUND OFF by DALTON,PRICE",,,"REBOUND OFF by DALTON,PRICE",2
16:48,,,,,"MISS JUMPER by DALTON,PRICE",,,"MISS JUMPER by DALTON,PRICE",2
--,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",2
16:42,,,,,"FOUL  by SWIFT,DJ",,,"FOUL  by SWIFT,DJ",2
16:42,"GOOD FT by BURWITZ,HANS",73 (+10),,63,,UTD 73-63 (-10),,"GOOD FT by BURWITZ,HANS",2
16:42,"MISS FT by BURWITZ,HANS",,,,,,,"MISS FT by BURWITZ,HANS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
16:42,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",2
16:42,,,,,"SUB IN by MINX,COLIN",,,"SUB IN by MINX,COLIN",2
16:42,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",2
16:42,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",2
16:42,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
16:42,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",2
16:42,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",2
16:42,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",2
16:42,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",2
16:42,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",2
16:20,,73 (+8),,65,"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 73-65 (-8),,"GOOD LAYUP by DARST,DANIEL(in the paint)",2
16:12,"GOOD LAYUP by UNDERWOOD,DIMITRIUS(fastbreak)(in the paint)",75 (+10),,65,,UTD 75-65 (-10),,"GOOD LAYUP by UNDERWOOD,DIMITRIUS(fastbreak)(in the paint)",2
16:12,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",2
16:12,"GOOD FT by UNDERWOOD,DIMITRIUS",76 (+11),,65,,UTD 76-65 (-11),,"GOOD FT by UNDERWOOD,DIMITRIUS",2
16:05,,76 (+8),,68,"GOOD 3PTR by BERRY,BRYCE",RHODES 76-68 (-8),,"GOOD 3PTR by BERRY,BRYCE",2
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",2
15:50,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",78 (+10),,68,,UTD 78-68 (-10),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",2
--,"ASSIST  by BANKS,CALEB",,,,,,,"ASSIST  by BANKS,CALEB",2
15:40,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",2
--,"REBOUND DEF by PRUITT,KELDEN",,,,,,,"REBOUND DEF by PRUITT,KELDEN",2
15:35,"GOOD LAYUP by UNDERWOOD,DIMITRIUS(fastbreak)(in the paint)",80 (+12),,68,,UTD 80-68 (-12),,"GOOD LAYUP by UNDERWOOD,DIMITRIUS(fastbreak)(in the paint)",2
15:10,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",2
--,"REBOUND DEF by PRUITT,KELDEN",,,,,,,"REBOUND DEF by PRUITT,KELDEN",2
15:01,"TURNOVER  by PRUITT,KELDEN",,,,,,,"TURNOVER  by PRUITT,KELDEN",2
14:59,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",2
14:56,,80 (+10),,70,"GOOD LAYUP by DARST,DANIEL(fastbreak)(in the paint)",RHODES 80-70 (-10),,"GOOD LAYUP by DARST,DANIEL(fastbreak)(in the paint)",2
14:53,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:53,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",2
14:53,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",2
14:53,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",2
14:53,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",2
14:53,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",2
14:53,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",2
14:53,,,,,"SUB OUT by MINX,COLIN",,,"SUB OUT by MINX,COLIN",2
14:53,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",2
14:53,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",2
14:53,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
14:43,"GOOD LAYUP by UNDERWOOD,DIMITRIUS(in the paint)",82 (+12),,70,,UTD 82-70 (-12),,"GOOD LAYUP by UNDERWOOD,DIMITRIUS(in the paint)",2
--,"ASSIST  by BANKS,CALEB",,,,,,,"ASSIST  by BANKS,CALEB",2
14:32,,82 (+9),,73,"GOOD 3PTR by WEATHERFORD,MITCH",RHODES 82-73 (-9),,"GOOD 3PTR by WEATHERFORD,MITCH",2
14:23,"MISS 3PTR by ALLEN,CURTIS",,,,,,,"MISS 3PTR by ALLEN,CURTIS",2
--,,,,,"REBOUND DEF by SAMSON,VAUGHN",,,"REBOUND DEF by SAMSON,VAUGHN",2
14:09,,,,,"MISS LAYUP by FERIA,NICK DE",,,"MISS LAYUP by FERIA,NICK DE",2
--,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",2
14:02,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",84 (+11),,73,,UTD 84-73 (-11),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",2
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",2
13:37,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:37,"SUB IN by FORSTER,MICHAEL",,,,,,,"SUB IN by FORSTER,MICHAEL",2
13:37,"SUB IN by ALLEN,CURTIS",,,,,,,"SUB IN by ALLEN,CURTIS",2
13:37,"SUB OUT by UNDERWOOD,DIMITRIUS",,,,,,,"SUB OUT by UNDERWOOD,DIMITRIUS",2
13:37,"SUB OUT by PRUITT,KELDEN",,,,,,,"SUB OUT by PRUITT,KELDEN",2
13:37,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",2
13:37,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
13:37,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",2
13:37,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",2
13:37,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",2
13:37,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",2
13:37,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",2
13:37,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",2
13:37,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",2
13:37,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",2
13:37,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",2
13:37,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",2
13:37,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",2
13:37,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",2
13:37,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",2
13:29,,,,,"MISS JUMPER by DARST,DANIEL",,,"MISS JUMPER by DARST,DANIEL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:27,"TURNOVER  by FORSTER,MICHAEL",,,,,,,"TURNOVER  by FORSTER,MICHAEL",2
13:17,,84 (+9),,75,"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 84-75 (-9),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",2
13:05,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",86 (+11),,75,,UTD 86-75 (-11),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",2
12:56,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",2
--,,,,,"REBOUND OFF by BERRY,BRYCE",,,"REBOUND OFF by BERRY,BRYCE",2
12:53,,86 (+9),,77,"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 86-77 (-9),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",2
12:35,,,,,"FOUL  by BERRY,BRYCE",,,"FOUL  by BERRY,BRYCE",2
12:35,"GOOD FT by BANKS,CALEB",87 (+10),,77,,UTD 87-77 (-10),,"GOOD FT by BANKS,CALEB",2
12:35,"GOOD FT by BANKS,CALEB",88 (+11),,77,,UTD 88-77 (-11),,"GOOD FT by BANKS,CALEB",2
12:35,"SUB IN by UNDERWOOD,DIMITRIUS",,,,,,,"SUB IN by UNDERWOOD,DIMITRIUS",2
12:35,"SUB IN by KEOGH,REAGAN",,,,,,,"SUB IN by KEOGH,REAGAN",2
12:35,"SUB IN by FERRELL,XAVIER",,,,,,,"SUB IN by FERRELL,XAVIER",2
12:35,"SUB OUT by HATCHER,JON",,,,,,,"SUB OUT by HATCHER,JON",2
12:35,"SUB OUT by BANKS,CALEB",,,,,,,"SUB OUT by BANKS,CALEB",2
12:35,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",2
12:35,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",2
12:35,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",2
12:35,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",2
12:35,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",2
12:35,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",2
12:35,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",2
12:35,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
12:35,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",2
12:35,,,,,"SUB OUT by GRUBBS,COBY",,,"SUB OUT by GRUBBS,COBY",2
12:35,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",2
12:26,,,,,"MISS JUMPER by SAMSON,VAUGHN",,,"MISS JUMPER by SAMSON,VAUGHN",2
--,"REBOUND DEF by KEOGH,REAGAN",,,,,,,"REBOUND DEF by KEOGH,REAGAN",2
12:15,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",2
12:15,"MISS FT by ALLEN,CURTIS",,,,,,,"MISS FT by ALLEN,CURTIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:15,"GOOD FT by ALLEN,CURTIS",89 (+12),,77,,UTD 89-77 (-12),,"GOOD FT by ALLEN,CURTIS",2
11:55,,,,,"MISS JUMPER by SAMSON,VAUGHN",,,"MISS JUMPER by SAMSON,VAUGHN",2
--,"REBOUND DEF by FORSTER,MICHAEL",,,,,,,"REBOUND DEF by FORSTER,MICHAEL",2
11:50,"TURNOVER  by FORSTER,MICHAEL",,,,,,,"TURNOVER  by FORSTER,MICHAEL",2
11:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:50,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",2
11:50,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",2
11:50,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",2
11:50,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
11:50,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",2
11:50,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",2
11:50,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",2
11:50,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",2
11:50,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",2
11:46,,,,,"TURNOVER  by LOVE,KERRY",,,"TURNOVER  by LOVE,KERRY",2
11:45,"STEAL  by FORSTER,MICHAEL",,,,,,,"STEAL  by FORSTER,MICHAEL",2
11:44,"GOOD DUNK by FORSTER,MICHAEL(fastbreak)(in the paint)",91 (+14),,77,,UTD 91-77 (-14),,"GOOD DUNK by FORSTER,MICHAEL(fastbreak)(in the paint)",2
11:33,,91 (+11),,80,"GOOD 3PTR by BERRY,BRYCE",RHODES 91-80 (-11),,"GOOD 3PTR by BERRY,BRYCE",2
--,,,,,"ASSIST  by LOVE,KERRY",,,"ASSIST  by LOVE,KERRY",2
11:15,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",93 (+13),,80,,UTD 93-80 (-13),,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",2
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",2
10:55,,,,,"MISS JUMPER by BERRY,BRYCE",,,"MISS JUMPER by BERRY,BRYCE",2
--,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",2
10:47,"GOOD LAYUP by FORSTER,MICHAEL(fastbreak)(in the paint)",95 (+15),,80,,UTD 95-80 (-15),,"GOOD LAYUP by FORSTER,MICHAEL(fastbreak)(in the paint)",2
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",2
10:20,"FOUL  by UNDERWOOD,DIMITRIUS",,,,,,,"FOUL  by UNDERWOOD,DIMITRIUS",2
10:20,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",2
10:20,"SUB OUT by KEOGH,REAGAN",,,,,,,"SUB OUT by KEOGH,REAGAN",2
10:20,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",2
10:20,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",2
10:20,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",2
10:20,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",2
10:20,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",2
10:20,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",2
10:20,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",2
10:20,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",2
10:20,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",2
10:20,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
10:06,,95 (+13),,82,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 95-82 (-13),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",2
09:51,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",97 (+15),,82,,UTD 97-82 (-15),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",2
--,"ASSIST  by FERRELL,XAVIER",,,,,,,"ASSIST  by FERRELL,XAVIER",2
09:35,,,,,"MISS 3PTR by GIROUX,PRESTON",,,"MISS 3PTR by GIROUX,PRESTON",2
--,"REBOUND DEF by FORSTER,MICHAEL",,,,,,,"REBOUND DEF by FORSTER,MICHAEL",2
09:22,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",99 (+17),,82,,UTD 99-82 (-17),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",2
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",2
09:10,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",2
--,,,,,"REBOUND OFF by GALVIN,OWEN",,,"REBOUND OFF by GALVIN,OWEN",2
09:00,"SUB IN by BANKS,CALEB",,,,,,,"SUB IN by BANKS,CALEB",2
09:00,"SUB IN by HATCHER,JON",,,,,,,"SUB IN by HATCHER,JON",2
09:00,"SUB IN by KEOGH,REAGAN",,,,,,,"SUB IN by KEOGH,REAGAN",2
09:00,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",2
09:00,"SUB OUT by ALLEN,CURTIS",,,,,,,"SUB OUT by ALLEN,CURTIS",2
09:00,"SUB OUT by FERRELL,XAVIER",,,,,,,"SUB OUT by FERRELL,XAVIER",2
09:00,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",2
09:00,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",2
09:00,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",2
09:00,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
09:00,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",2
09:00,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",2
09:00,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",2
09:00,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",2
09:00,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",2
08:48,,99 (+15),,84,"GOOD JUMPER by BERRY,BRYCE(in the paint)",RHODES 99-84 (-15),,"GOOD JUMPER by BERRY,BRYCE(in the paint)",2
08:37,"MISS JUMPER by KEOGH,REAGAN",,,,,,,"MISS JUMPER by KEOGH,REAGAN",2
08:37,,,,,"BLOCK  by DARST,DANIEL",,,"BLOCK  by DARST,DANIEL",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
08:32,,,,,"TURNOVER  by DALTON,PRICE",,,"TURNOVER  by DALTON,PRICE",2
08:32,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",2
08:32,,,,,"FOUL  by SWIFT,DJ",,,"FOUL  by SWIFT,DJ",2
08:32,"MISS FT by BANKS,CALEB",,,,,,,"MISS FT by BANKS,CALEB",2
--,"REBOUND OFF by FORSTER,MICHAEL",,,,,,,"REBOUND OFF by FORSTER,MICHAEL",2
08:29,"SUB IN by PRUITT,KELDEN",,,,,,,"SUB IN by PRUITT,KELDEN",2
08:29,"SUB OUT by FORSTER,MICHAEL",,,,,,,"SUB OUT by FORSTER,MICHAEL",2
08:26,"GOOD LAYUP by HATCHER,JON(in the paint)",101 (+17),,84,,UTD 101-84 (-17),,"GOOD LAYUP by HATCHER,JON(in the paint)",2
--,"ASSIST  by BANKS,CALEB",,,,,,,"ASSIST  by BANKS,CALEB",2
08:20,,101 (+14),,87,"GOOD 3PTR by NYAWATA,ANESU",RHODES 101-87 (-14),,"GOOD 3PTR by NYAWATA,ANESU",2
08:09,"MISS JUMPER by KEOGH,REAGAN",,,,,,,"MISS JUMPER by KEOGH,REAGAN",2
--,"REBOUND OFF by BANKS,CALEB",,,,,,,"REBOUND OFF by BANKS,CALEB",2
08:04,"TURNOVER  by HATCHER,JON",,,,,,,"TURNOVER  by HATCHER,JON",2
08:02,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",2
07:58,,101 (+12),,89,"GOOD LAYUP by SWIFT,DJ(fastbreak)(in the paint)",RHODES 101-89 (-12),,"GOOD LAYUP by SWIFT,DJ(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",2
07:50,"MISS LAYUP by UNDERWOOD,DIMITRIUS",,,,,,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
07:48,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:48,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",2
07:48,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",2
07:48,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",2
07:48,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",2
07:48,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",2
07:48,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",2
07:48,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",2
07:48,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",2
07:48,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",2
07:48,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
07:40,"GOOD LAYUP by KEOGH,REAGAN(in the paint)",103 (+14),,89,,UTD 103-89 (-14),,"GOOD LAYUP by KEOGH,REAGAN(in the paint)",2
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",2
07:29,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",2
--,"REBOUND DEF by PRUITT,KELDEN",,,,,,,"REBOUND DEF by PRUITT,KELDEN",2
07:15,"TURNOVER  by HATCHER,JON",,,,,,,"TURNOVER  by HATCHER,JON",2
06:52,"FOUL  by KEOGH,REAGAN",,,,,,,"FOUL  by KEOGH,REAGAN",2
06:52,,103 (+13),,90,"GOOD FT by GIROUX,PRESTON",RHODES 103-90 (-13),,"GOOD FT by GIROUX,PRESTON",2
06:52,,103 (+12),,91,"GOOD FT by GIROUX,PRESTON",RHODES 103-91 (-12),,"GOOD FT by GIROUX,PRESTON",2
06:52,"SUB IN by ALLEN,CURTIS",,,,,,,"SUB IN by ALLEN,CURTIS",2
06:52,"SUB OUT by PRUITT,KELDEN",,,,,,,"SUB OUT by PRUITT,KELDEN",2
06:52,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",2
06:52,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",2
06:52,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",2
06:52,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",2
06:52,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
06:52,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",2
06:52,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",2
06:52,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",2
06:52,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",2
06:52,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",2
06:45,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",105 (+14),,91,,UTD 105-91 (-14),,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",2
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",2
