Time Remaining,HPU,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
08:36,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
08:36,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
08:36,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
08:36,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
08:36,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
08:36,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
08:36,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
08:36,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
08:34,,24,,43 (+19),"GOOD 3PTR by NYAWATA,ANESU",RHODES 24-43 (+19),,"GOOD 3PTR by NYAWATA,ANESU",1
--,,,,,"ASSIST  by ASHBY,KENDRICK",,,"ASSIST  by ASHBY,KENDRICK",1
08:16,,,,,"FOUL  by NYAWATA,ANESU",,,"FOUL  by NYAWATA,ANESU",1
08:14,"TURNOVER  by DAVIS,TALEN",,,,,,,"TURNOVER  by DAVIS,TALEN",1
08:14,,,,,"STEAL  by SWIFT,DJ",,,"STEAL  by SWIFT,DJ",1
08:07,,24,,46 (+22),"GOOD 3PTR by NYAWATA,ANESU",RHODES 24-46 (+22),,"GOOD 3PTR by NYAWATA,ANESU",1
07:51,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",26,,46 (+20),,HPU 26-46 (+20),,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",1
--,"ASSIST  by COLE,SHADD",,,,,,,"ASSIST  by COLE,SHADD",1
07:41,"FOUL  by DAVIS,TALEN",,,,,,,"FOUL  by DAVIS,TALEN",1
07:41,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:41,"SUB IN by HASTINGS,CODY",,,,,,,"SUB IN by HASTINGS,CODY",1
07:41,"SUB OUT by FARMER,DARREN",,,,,,,"SUB OUT by FARMER,DARREN",1
07:37,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:33,"SUB IN by AGUERO,TIMOTHY",,,,,,,"SUB IN by AGUERO,TIMOTHY",1
07:33,"SUB OUT by HURD,DE'MARCUS",,,,,,,"SUB OUT by HURD,DE'MARCUS",1
07:32,"GOOD LAYUP by AGUERO,TIMOTHY(fastbreak)(in the paint)",28,,46 (+18),,HPU 28-46 (+18),,"GOOD LAYUP by AGUERO,TIMOTHY(fastbreak)(in the paint)",1
--,"ASSIST  by RANDALL,KHYCE",,,,,,,"ASSIST  by RANDALL,KHYCE",1
07:22,,28,,49 (+21),"GOOD 3PTR by BERRY,BRYCE",RHODES 28-49 (+21),,"GOOD 3PTR by BERRY,BRYCE",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
07:03,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",30,,49 (+19),,HPU 30-49 (+19),,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",1
--,"ASSIST  by HASTINGS,CODY",,,,,,,"ASSIST  by HASTINGS,CODY",1
06:50,,,,,"MISS JUMPER by BERRY,BRYCE",,,"MISS JUMPER by BERRY,BRYCE",1
--,"REBOUND DEF by DAVIS,TALEN",,,,,,,"REBOUND DEF by DAVIS,TALEN",1
06:34,"MISS JUMPER by DAVIS,TALEN",,,,,,,"MISS JUMPER by DAVIS,TALEN",1
--,"REBOUND OFF by RANDALL,KHYCE",,,,,,,"REBOUND OFF by RANDALL,KHYCE",1
06:32,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
06:32,"GOOD FT by RANDALL,KHYCE",31,,49 (+18),,HPU 31-49 (+18),,"GOOD FT by RANDALL,KHYCE",1
06:32,"GOOD FT by RANDALL,KHYCE",32,,49 (+17),,HPU 32-49 (+17),,"GOOD FT by RANDALL,KHYCE",1
06:32,"SUB IN by COOPER,DRAKE",,,,,,,"SUB IN by COOPER,DRAKE",1
06:32,"SUB OUT by DAVIS,TALEN",,,,,,,"SUB OUT by DAVIS,TALEN",1
06:32,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
06:32,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
06:32,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
06:32,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
06:32,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
06:32,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
06:32,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
06:32,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
06:32,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
06:32,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
06:16,,,,,"MISS 3PTR by LOVE,KERRY",,,"MISS 3PTR by LOVE,KERRY",1
--,"REBOUND DEF by HASTINGS,CODY",,,,,,,"REBOUND DEF by HASTINGS,CODY",1
06:05,"MISS JUMPER by AGUERO,TIMOTHY",,,,,,,"MISS JUMPER by AGUERO,TIMOTHY",1
--,"REBOUND OFF by RANDALL,KHYCE",,,,,,,"REBOUND OFF by RANDALL,KHYCE",1
06:03,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
06:03,"GOOD FT by RANDALL,KHYCE",33,,49 (+16),,HPU 33-49 (+16),,"GOOD FT by RANDALL,KHYCE",1
06:03,"MISS FT by RANDALL,KHYCE",,,,,,,"MISS FT by RANDALL,KHYCE",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
06:03,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
06:03,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
06:03,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
06:03,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
06:03,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
06:03,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
06:03,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
06:03,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
06:03,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
06:03,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
05:50,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
05:46,"MISS JUMPER by COOPER,DRAKE",,,,,,,"MISS JUMPER by COOPER,DRAKE",1
--,"REBOUND OFF by RANDALL,KHYCE",,,,,,,"REBOUND OFF by RANDALL,KHYCE",1
05:42,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
05:42,"GOOD FT by RANDALL,KHYCE",34,,49 (+15),,HPU 34-49 (+15),,"GOOD FT by RANDALL,KHYCE",1
05:42,"MISS FT by RANDALL,KHYCE",,,,,,,"MISS FT by RANDALL,KHYCE",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
05:38,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
05:36,"STEAL  by AGUERO,TIMOTHY",,,,,,,"STEAL  by AGUERO,TIMOTHY",1
05:34,"GOOD LAYUP by COLE,SHADD(fastbreak)(in the paint)",36,,49 (+13),,HPU 36-49 (+13),,"GOOD LAYUP by COLE,SHADD(fastbreak)(in the paint)",1
05:34,,,,,"FOUL  by GALVIN,OWEN",,,"FOUL  by GALVIN,OWEN",1
05:34,"GOOD FT by COLE,SHADD",37,,49 (+12),,HPU 37-49 (+12),,"GOOD FT by COLE,SHADD",1
05:18,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
05:18,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
05:18,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
05:18,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
05:18,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
05:18,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
05:18,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
05:18,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
05:18,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
05:18,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
05:07,"FOUL  by AGUERO,TIMOTHY",,,,,,,"FOUL  by AGUERO,TIMOTHY",1
05:07,,37,,50 (+13),"GOOD FT by NYAWATA,ANESU",RHODES 37-50 (+13),,"GOOD FT by NYAWATA,ANESU",1
05:07,,37,,51 (+14),"GOOD FT by NYAWATA,ANESU",RHODES 37-51 (+14),,"GOOD FT by NYAWATA,ANESU",1
04:58,"MISS 3PTR by RANDALL,KHYCE",,,,,,,"MISS 3PTR by RANDALL,KHYCE",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
04:50,,,,,"MISS JUMPER by NYAWATA,ANESU",,,"MISS JUMPER by NYAWATA,ANESU",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:47,"SUB IN by HURD,DE'MARCUS",,,,,,,"SUB IN by HURD,DE'MARCUS",1
04:47,"SUB OUT by RANDALL,KHYCE",,,,,,,"SUB OUT by RANDALL,KHYCE",1
04:39,,37,,53 (+16),"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHODES 37-53 (+16),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
04:24,"GOOD LAYUP by AGUERO,TIMOTHY(in the paint)",39,,53 (+14),,HPU 39-53 (+14),,"GOOD LAYUP by AGUERO,TIMOTHY(in the paint)",1
--,"ASSIST  by COOPER,DRAKE",,,,,,,"ASSIST  by COOPER,DRAKE",1
04:17,,39,,56 (+17),"GOOD 3PTR by BERRY,BRYCE",RHODES 39-56 (+17),,"GOOD 3PTR by BERRY,BRYCE",1
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",1
04:07,"MISS JUMPER by HASTINGS,CODY",,,,,,,"MISS JUMPER by HASTINGS,CODY",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
04:00,,39,,58 (+19),"GOOD JUMPER by NYAWATA,ANESU(in the paint)",RHODES 39-58 (+19),,"GOOD JUMPER by NYAWATA,ANESU(in the paint)",1
03:49,"GOOD LAYUP by AGUERO,TIMOTHY(in the paint)",41,,58 (+17),,HPU 41-58 (+17),,"GOOD LAYUP by AGUERO,TIMOTHY(in the paint)",1
03:49,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
03:49,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
03:49,"GOOD FT by AGUERO,TIMOTHY",42,,58 (+16),,HPU 42-58 (+16),,"GOOD FT by AGUERO,TIMOTHY",1
03:49,"SUB IN by FARMER,DARREN",,,,,,,"SUB IN by FARMER,DARREN",1
03:49,"SUB IN by JONES,JAVARIS",,,,,,,"SUB IN by JONES,JAVARIS",1
03:49,"SUB OUT by HASTINGS,CODY",,,,,,,"SUB OUT by HASTINGS,CODY",1
03:49,"SUB OUT by AGUERO,TIMOTHY",,,,,,,"SUB OUT by AGUERO,TIMOTHY",1
03:49,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
03:49,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
03:49,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
03:49,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
03:49,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
03:49,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
03:49,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
03:49,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
03:49,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
03:49,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
03:39,,,,,"MISS 3PTR by FERIA,NICK DE",,,"MISS 3PTR by FERIA,NICK DE",1
--,,,,,"REBOUND OFF by MCINTYRE,WILLIAM",,,"REBOUND OFF by MCINTYRE,WILLIAM",1
03:25,,,,,"TURNOVER  by MCINTYRE,WILLIAM",,,"TURNOVER  by MCINTYRE,WILLIAM",1
03:17,,,,,"FOUL  by MCINTYRE,WILLIAM",,,"FOUL  by MCINTYRE,WILLIAM",1
03:17,"GOOD FT by HURD,DE'MARCUS",43,,58 (+15),,HPU 43-58 (+15),,"GOOD FT by HURD,DE'MARCUS",1
03:17,"GOOD FT by HURD,DE'MARCUS",44,,58 (+14),,HPU 44-58 (+14),,"GOOD FT by HURD,DE'MARCUS",1
03:08,,44,,61 (+17),"GOOD 3PTR by EVANS,ANDREW",RHODES 44-61 (+17),,"GOOD 3PTR by EVANS,ANDREW",1
--,,,,,"ASSIST  by LOVE,KERRY",,,"ASSIST  by LOVE,KERRY",1
02:55,"GOOD LAYUP by FARMER,DARREN(fastbreak)(in the paint)",46,,61 (+15),,HPU 46-61 (+15),,"GOOD LAYUP by FARMER,DARREN(fastbreak)(in the paint)",1
--,"ASSIST  by AGUERO,TIMOTHY",,,,,,,"ASSIST  by AGUERO,TIMOTHY",1
02:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:52,"SUB IN by DAVIS,TALEN",,,,,,,"SUB IN by DAVIS,TALEN",1
02:52,"SUB OUT by FARMER,DARREN",,,,,,,"SUB OUT by FARMER,DARREN",1
02:52,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
02:52,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
02:52,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
02:52,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
02:52,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
02:52,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
02:52,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
02:52,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
02:52,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
02:52,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
02:50,,46,,63 (+17),"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",RHODES 46-63 (+17),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
02:37,"TURNOVER  by COOPER,DRAKE",,,,,,,"TURNOVER  by COOPER,DRAKE",1
02:19,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
02:15,"MISS JUMPER by RANDALL,KHYCE",,,,,,,"MISS JUMPER by RANDALL,KHYCE",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
02:12,"FOUL  by COOPER,DRAKE",,,,,,,"FOUL  by COOPER,DRAKE",1
02:12,,46,,64 (+18),"GOOD FT by WEATHERFORD,MITCH",RHODES 46-64 (+18),,"GOOD FT by WEATHERFORD,MITCH",1
02:12,,46,,65 (+19),"GOOD FT by WEATHERFORD,MITCH",RHODES 46-65 (+19),,"GOOD FT by WEATHERFORD,MITCH",1
01:58,"GOOD LAYUP by COOPER,DRAKE(in the paint)",48,,65 (+17),,HPU 48-65 (+17),,"GOOD LAYUP by COOPER,DRAKE(in the paint)",1
01:58,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
01:58,"GOOD FT by COOPER,DRAKE",49,,65 (+16),,HPU 49-65 (+16),,"GOOD FT by COOPER,DRAKE",1
01:58,"SUB IN by TAYLOR,JOSHUA",,,,,,,"SUB IN by TAYLOR,JOSHUA",1
01:58,"SUB OUT by COOPER,DRAKE",,,,,,,"SUB OUT by COOPER,DRAKE",1
01:58,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
01:58,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
01:58,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
01:58,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",1
01:58,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
01:58,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
01:58,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
01:58,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
01:58,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
01:58,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
01:39,,,,,"MISS 3PTR by ROTEMAN,EVAN",,,"MISS 3PTR by ROTEMAN,EVAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:27,"GOOD LAYUP by JONES,JAVARIS(in the paint)",51,,65 (+14),,HPU 51-65 (+14),,"GOOD LAYUP by JONES,JAVARIS(in the paint)",1
--,"ASSIST  by RANDALL,KHYCE",,,,,,,"ASSIST  by RANDALL,KHYCE",1
01:18,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
01:18,,,,,"FOUL  by NYAWATA,ANESU",,,"FOUL  by NYAWATA,ANESU",1
01:16,"TURNOVER  by DAVIS,TALEN",,,,,,,"TURNOVER  by DAVIS,TALEN",1
01:10,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
01:09,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
01:09,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
01:09,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
01:09,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
01:09,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
01:09,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
01:09,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
01:09,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
01:09,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",1
01:09,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
01:01,"TURNOVER  by HURD,DE'MARCUS",,,,,,,"TURNOVER  by HURD,DE'MARCUS",1
01:00,,,,,"STEAL  by SAMSON,VAUGHN",,,"STEAL  by SAMSON,VAUGHN",1
00:49,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
00:48,"STEAL  by JONES,JAVARIS",,,,,,,"STEAL  by JONES,JAVARIS",1
00:45,"TURNOVER  by RANDALL,KHYCE",,,,,,,"TURNOVER  by RANDALL,KHYCE",1
00:36,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
00:36,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
00:36,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
00:36,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
00:36,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
00:36,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
00:36,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
00:32,"MISS JUMPER by HURD,DE'MARCUS",,,,,,,"MISS JUMPER by HURD,DE'MARCUS",1
00:32,,,,,"BLOCK  by FERIA,NICK DE",,,"BLOCK  by FERIA,NICK DE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:27,"MISS JUMPER by HURD,DE'MARCUS",,,,,,,"MISS JUMPER by HURD,DE'MARCUS",1
--,"REBOUND OFF by RANDALL,KHYCE",,,,,,,"REBOUND OFF by RANDALL,KHYCE",1
00:24,"GOOD LAYUP by RANDALL,KHYCE(in the paint)",53,,65 (+12),,HPU 53-65 (+12),,"GOOD LAYUP by RANDALL,KHYCE(in the paint)",1
20:00,"SUB IN by AGUERO,TIMOTHY",,,,,,,"SUB IN by AGUERO,TIMOTHY",2
20:00,"SUB OUT by BINGHAM,THOMAS",,,,,,,"SUB OUT by BINGHAM,THOMAS",2
19:54,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",2
--,"REBOUND DEF by DAVIS,TALEN",,,,,,,"REBOUND DEF by DAVIS,TALEN",2
19:45,"MISS JUMPER by COLE,SHADD",,,,,,,"MISS JUMPER by COLE,SHADD",2
--,"REBOUND OFF by HURD,DE'MARCUS",,,,,,,"REBOUND OFF by HURD,DE'MARCUS",2
19:42,"MISS JUMPER by HURD,DE'MARCUS",,,,,,,"MISS JUMPER by HURD,DE'MARCUS",2
--,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",,,"REBOUND DEF by NESTLEHUTT,JAKE",2
19:37,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",2
19:24,"MISS JUMPER by HURD,DE'MARCUS",,,,,,,"MISS JUMPER by HURD,DE'MARCUS",2
--,"REBOUND OFF by RANDALL,KHYCE",,,,,,,"REBOUND OFF by RANDALL,KHYCE",2
19:22,"GOOD LAYUP by RANDALL,KHYCE(in the paint)",55,,65 (+10),,HPU 55-65 (+10),,"GOOD LAYUP by RANDALL,KHYCE(in the paint)",2
19:03,,,,,"MISS LAYUP by DALTON,PRICE",,,"MISS LAYUP by DALTON,PRICE",2
--,"REBOUND DEF by DAVIS,TALEN",,,,,,,"REBOUND DEF by DAVIS,TALEN",2
18:52,"GOOD LAYUP by AGUERO,TIMOTHY(in the paint)",57,,65 (+8),,HPU 57-65 (+8),,"GOOD LAYUP by AGUERO,TIMOTHY(in the paint)",2
--,"ASSIST  by DAVIS,TALEN",,,,,,,"ASSIST  by DAVIS,TALEN",2
18:45,"FOUL  by AGUERO,TIMOTHY",,,,,,,"FOUL  by AGUERO,TIMOTHY",2
18:45,,57,,66 (+9),"GOOD FT by WEATHERFORD,MITCH",RHODES 57-66 (+9),,"GOOD FT by WEATHERFORD,MITCH",2
18:45,,,,,"MISS FT by WEATHERFORD,MITCH",,,"MISS FT by WEATHERFORD,MITCH",2
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",2
18:45,,57,,68 (+11),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 57-68 (+11),,"GOOD LAYUP by DARST,DANIEL(in the paint)",2
18:45,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",2
18:45,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
18:45,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",2
18:45,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",2
18:45,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",2
18:45,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",2
18:45,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",2
18:45,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",2
18:39,"TURNOVER  by COLE,SHADD",,,,,,,"TURNOVER  by COLE,SHADD",2
18:38,,,,,"STEAL  by ASHBY,KENDRICK",,,"STEAL  by ASHBY,KENDRICK",2
18:21,,57,,70 (+13),"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",RHODES 57-70 (+13),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",2
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",2
18:07,"MISS DUNK by RANDALL,KHYCE",,,,,,,"MISS DUNK by RANDALL,KHYCE",2
--,,,,,"REBOUND DEF by BERRY,BRYCE",,,"REBOUND DEF by BERRY,BRYCE",2
18:00,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",2
--,"REBOUND DEF by DAVIS,TALEN",,,,,,,"REBOUND DEF by DAVIS,TALEN",2
17:56,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",2
17:56,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",2
17:56,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",2
17:52,,,,,"FOUL  by SWIFT,DJ",,,"FOUL  by SWIFT,DJ",2
17:50,"TURNOVER  by DAVIS,TALEN",,,,,,,"TURNOVER  by DAVIS,TALEN",2
17:49,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",2
17:44,,57,,72 (+15),"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 57-72 (+15),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",2
