Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,UTT,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",1
14:17,,,,,"SUB IN by HADDEN,SKYLER",,,"SUB IN by HADDEN,SKYLER",1
14:17,,,,,"SUB IN by ANTHONY,MELVIN",,,"SUB IN by ANTHONY,MELVIN",1
14:17,,,,,"SUB IN by OBUKWELU,EMEKA",,,"SUB IN by OBUKWELU,EMEKA",1
14:17,,,,,"SUB IN by FRANK,CAMERON",,,"SUB IN by FRANK,CAMERON",1
14:17,,,,,"SUB OUT by LANE,JOHNELL",,,"SUB OUT by LANE,JOHNELL",1
14:17,,,,,"SUB OUT by MASON,CHASE",,,"SUB OUT by MASON,CHASE",1
14:17,,,,,"SUB OUT by GREEN-GASKIN,JAMAL",,,"SUB OUT by GREEN-GASKIN,JAMAL",1
14:17,,,,,"SUB OUT by MOHAMED,OMAR",,,"SUB OUT by MOHAMED,OMAR",1
14:13,"GOOD LAYUP by DARST,DANIEL(in the paint)",14 (+3),,11,,RHODES 14-11 (+3),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
14:13,,,,,"FOUL  by HADDEN,SKYLER",,,"FOUL  by HADDEN,SKYLER",1
14:13,"GOOD FT by DARST,DANIEL",15 (+4),,11,,RHODES 15-11 (+4),,"GOOD FT by DARST,DANIEL",1
14:08,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
14:08,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
14:08,"SUB IN by MCINTYRE,WILLIAM",,,,,,,"SUB IN by MCINTYRE,WILLIAM",1
14:08,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
14:08,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
14:08,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
14:08,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",1
14:08,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
