Time Remaining,FUM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
08:19,"SUB IN by MCDOWELL,GARRETT",,,,,,,"SUB IN by MCDOWELL,GARRETT",1
08:19,"SUB OUT by BAKIS,ORKAN",,,,,,,"SUB OUT by BAKIS,ORKAN",1
08:15,"TURNOVER  by SCHIRMER,COLIN",,,,,,,"TURNOVER  by SCHIRMER,COLIN",1
08:07,"FOUL  by DJONA,LELIS",,,,,,,"FOUL  by DJONA,LELIS",1
08:02,,13,,22 (+9),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 13-22 (+9),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
07:33,"TURNOVER  by DORHAUER,RICHARD",,,,,,,"TURNOVER  by DORHAUER,RICHARD",1
07:30,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
07:12,,13,,25 (+12),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 13-25 (+12),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
07:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:40,"SUB IN by JOHNSON,EVAN",,,,,,,"SUB IN by JOHNSON,EVAN",1
06:40,"SUB OUT by WELCH,BLAKE",,,,,,,"SUB OUT by WELCH,BLAKE",1
06:35,"SUB IN by WELCH,BLAKE",,,,,,,"SUB IN by WELCH,BLAKE",1
06:35,"SUB OUT by JOHNSON,EVAN",,,,,,,"SUB OUT by JOHNSON,EVAN",1
06:35,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
06:35,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
06:32,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
06:26,"MISS JUMPER by SCHIRMER,COLIN",,,,,,,"MISS JUMPER by SCHIRMER,COLIN",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
06:17,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by SCHIRMER,COLIN",,,,,,,"REBOUND DEF by SCHIRMER,COLIN",1
05:59,"GOOD LAYUP by SCHIRMER,COLIN(in the paint)",15,,25 (+10),,FUM 15-25 (+10),,"GOOD LAYUP by SCHIRMER,COLIN(in the paint)",1
--,"ASSIST  by DORHAUER,RICHARD",,,,,,,"ASSIST  by DORHAUER,RICHARD",1
05:29,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by SCHIRMER,COLIN",,,,,,,"REBOUND DEF by SCHIRMER,COLIN",1
05:09,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
05:09,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
05:09,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",1
05:09,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
05:09,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
05:09,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
05:09,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
05:09,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
05:09,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
05:03,"GOOD JUMPER by SCHIRMER,COLIN",17,,25 (+8),,FUM 17-25 (+8),,"GOOD JUMPER by SCHIRMER,COLIN",1
--,"ASSIST  by DORHAUER,RICHARD",,,,,,,"ASSIST  by DORHAUER,RICHARD",1
04:54,,17,,27 (+10),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODES 17-27 (+10),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",1
04:37,"MISS LAYUP by DJONA,LELIS",,,,,,,"MISS LAYUP by DJONA,LELIS",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
04:29,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:26,"SUB IN by BAKIS,ORKAN",,,,,,,"SUB IN by BAKIS,ORKAN",1
04:26,"SUB IN by RUCKER,DARIUS",,,,,,,"SUB IN by RUCKER,DARIUS",1
04:26,"SUB OUT by SCHIRMER,COLIN",,,,,,,"SUB OUT by SCHIRMER,COLIN",1
04:26,"SUB OUT by DJONA,LELIS",,,,,,,"SUB OUT by DJONA,LELIS",1
04:09,"GOOD 3PTR by MCDOWELL,GARRETT",20,,27 (+7),,FUM 20-27 (+7),,"GOOD 3PTR by MCDOWELL,GARRETT",1
--,"ASSIST  by RUCKER,DARIUS",,,,,,,"ASSIST  by RUCKER,DARIUS",1
03:46,,20,,30 (+10),"GOOD 3PTR by BLISS,DYLAN",RHODES 20-30 (+10),,"GOOD 3PTR by BLISS,DYLAN",1
03:17,"MISS JUMPER by BAKIS,ORKAN",,,,,,,"MISS JUMPER by BAKIS,ORKAN",1
--,,,,,"REBOUND DEF by BLISS,DYLAN",,,"REBOUND DEF by BLISS,DYLAN",1
03:05,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",1
--,"REBOUND DEF by BAKIS,ORKAN",,,,,,,"REBOUND DEF by BAKIS,ORKAN",1
02:52,"MISS JUMPER by WELCH,BLAKE",,,,,,,"MISS JUMPER by WELCH,BLAKE",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
02:48,"FOUL  by BAKIS,ORKAN",,,,,,,"FOUL  by BAKIS,ORKAN",1
02:48,,20,,31 (+11),"GOOD FT by GEE,TYLER",RHODES 20-31 (+11),,"GOOD FT by GEE,TYLER",1
02:48,,20,,32 (+12),"GOOD FT by GEE,TYLER",RHODES 20-32 (+12),,"GOOD FT by GEE,TYLER",1
02:48,"SUB IN by LAKE,JACK",,,,,,,"SUB IN by LAKE,JACK",1
02:48,"SUB IN by JOHNSON,EVAN",,,,,,,"SUB IN by JOHNSON,EVAN",1
02:48,"SUB OUT by RUCKER,DARIUS",,,,,,,"SUB OUT by RUCKER,DARIUS",1
02:48,"SUB OUT by WELCH,BLAKE",,,,,,,"SUB OUT by WELCH,BLAKE",1
02:48,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
