Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
02:21,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",1
02:21,"GOOD FT by BUTTS,KEYSHAWN",22 (+6),,16,,RHODES 22-16 (+6),,"GOOD FT by BUTTS,KEYSHAWN",1
02:21,"MISS FT by BUTTS,KEYSHAWN",,,,,,,"MISS FT by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
02:21,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
02:21,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
02:21,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
02:21,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
02:06,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
02:06,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
02:06,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
01:55,"GOOD 3PTR by SULLIVAN,BRENNAN",25 (+9),,16,,RHODES 25-16 (+9),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by BUTTS,KEYSHAWN",,,,,,,"ASSIST  by BUTTS,KEYSHAWN",1
01:18,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by BUTTS,KEYSHAWN",,,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",1
00:56,"GOOD LAYUP by GEE,TYLER(in the paint)",27 (+11),,16,,RHODES 27-16 (+11),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
