Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
12:49,"GOOD JUMPER by MOORE,MYLES",32,,42 (+10),,MILLSAPS 32-42 (+10),,"GOOD JUMPER by MOORE,MYLES",2
12:32,"FOUL  by PRATER,DALLAS",,,,,,,"FOUL  by PRATER,DALLAS",2
12:32,,32,,43 (+11),"GOOD FT by MILLER,DREW",RHODES 32-43 (+11),,"GOOD FT by MILLER,DREW",2
12:32,,32,,44 (+12),"GOOD FT by MILLER,DREW",RHODES 32-44 (+12),,"GOOD FT by MILLER,DREW",2
12:32,"SUB IN by DETILLIEU,RYAN",,,,,,,"SUB IN by DETILLIEU,RYAN",2
12:32,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",2
12:32,"SUB OUT by PRATER,DALLAS",,,,,,,"SUB OUT by PRATER,DALLAS",2
12:32,"SUB OUT by MOORE,MYLES",,,,,,,"SUB OUT by MOORE,MYLES",2
12:32,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",2
12:32,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
12:09,"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",34,,44 (+10),,MILLSAPS 34-44 (+10),,"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",2
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",2
11:46,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",2
11:46,"BLOCK  by MANCUSO,LOGAN",,,,,,,"BLOCK  by MANCUSO,LOGAN",2
