Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,LIP,Game Score,Team Indicator,Play,Period
02:54,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",2
02:54,,,,,"SUB IN by BRAMMEIER,GEORGE",,,"SUB IN by BRAMMEIER,GEORGE",2
02:54,,,,,"SUB IN by JOHNSON,CHAD",,,"SUB IN by JOHNSON,CHAD",2
02:54,,,,,"SUB IN by DUVALL,ASA",,,"SUB IN by DUVALL,ASA",2
02:54,,,,,"SUB IN by GREENE,DYLAN",,,"SUB IN by GREENE,DYLAN",2
02:54,,,,,"SUB OUT by WISHON,BRETT",,,"SUB OUT by WISHON,BRETT",2
02:54,,,,,"SUB OUT by DENNY,TALBOTT",,,"SUB OUT by DENNY,TALBOTT",2
02:54,,,,,"SUB OUT by KORN,AARON",,,"SUB OUT by KORN,AARON",2
02:54,,,,,"SUB OUT by HAMPTON,JC",,,"SUB OUT by HAMPTON,JC",2
02:51,,,,,"TURNOVER  by GREENE,DYLAN",,,"TURNOVER  by GREENE,DYLAN",2
02:51,,,,,"SUB IN by SMITH,CHARLES",,,"SUB IN by SMITH,CHARLES",2
02:51,,,,,"SUB OUT by WILLIAMS,JOSH",,,"SUB OUT by WILLIAMS,JOSH",2
02:38,"MISS 3PTR by BLISS,DYLAN",,,,,,,"MISS 3PTR by BLISS,DYLAN",2
--,,,,,"REBOUND DEF by BRAMMEIER,GEORGE",,,"REBOUND DEF by BRAMMEIER,GEORGE",2
02:03,"FOUL  by BUTTS,KEYSHAWN",,,,,,,"FOUL  by BUTTS,KEYSHAWN",2
02:03,,50,,82 (+32),"GOOD FT by DUVALL,ASA",LIP 50-82 (-32),,"GOOD FT by DUVALL,ASA",2
02:03,,50,,83 (+33),"GOOD FT by DUVALL,ASA",LIP 50-83 (-33),,"GOOD FT by DUVALL,ASA",2
02:03,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",2
02:03,"SUB IN by HECHINGER,GRANT",,,,,,,"SUB IN by HECHINGER,GRANT",2
02:03,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
02:03,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
01:50,"GOOD LAYUP by HARRISON,IAN(in the paint)",52,,83 (+31),,RHODES 52-83 (-31),,"GOOD LAYUP by HARRISON,IAN(in the paint)",2
--,"ASSIST  by HECHINGER,GRANT",,,,,,,"ASSIST  by HECHINGER,GRANT",2
01:27,"FOUL  by HARRISON,IAN",,,,,,,"FOUL  by HARRISON,IAN",2
01:27,,52,,84 (+32),"GOOD FT by GREENE,DYLAN",LIP 52-84 (-32),,"GOOD FT by GREENE,DYLAN",2
01:27,,,,,"MISS FT by GREENE,DYLAN",,,"MISS FT by GREENE,DYLAN",2
--,,,,,"REBOUND OFF by BRAMMEIER,GEORGE",,,"REBOUND OFF by BRAMMEIER,GEORGE",2
01:26,,52,,86 (+34),"GOOD LAYUP by BRAMMEIER,GEORGE(in the paint)",LIP 52-86 (-34),,"GOOD LAYUP by BRAMMEIER,GEORGE(in the paint)",2
01:12,"MISS 3PTR by BLISS,DYLAN",,,,,,,"MISS 3PTR by BLISS,DYLAN",2
--,"REBOUND OFF by LOWRIE,ANDREW",,,,,,,"REBOUND OFF by LOWRIE,ANDREW",2
01:06,"MISS LAYUP by HARRISON,IAN",,,,,,,"MISS LAYUP by HARRISON,IAN",2
01:06,,,,,"BLOCK  by SMITH,CHARLES",,,"BLOCK  by SMITH,CHARLES",2
--,,,,,"REBOUND DEF by BRAMMEIER,GEORGE",,,"REBOUND DEF by BRAMMEIER,GEORGE",2
01:04,"FOUL  by BLISS,DYLAN",,,,,,,"FOUL  by BLISS,DYLAN",2
01:04,,52,,87 (+35),"GOOD FT by JOHNSON,CHAD",LIP 52-87 (-35),,"GOOD FT by JOHNSON,CHAD",2
01:04,,52,,88 (+36),"GOOD FT by JOHNSON,CHAD",LIP 52-88 (-36),,"GOOD FT by JOHNSON,CHAD",2
00:45,"TURNOVER  by HARRISON,IAN",,,,,,,"TURNOVER  by HARRISON,IAN",2
00:44,,,,,"STEAL  by DUVALL,ASA",,,"STEAL  by DUVALL,ASA",2
00:42,,52,,90 (+38),"GOOD LAYUP by JOHNSON,CHAD(fastbreak)(in the paint)",LIP 52-90 (-38),,"GOOD LAYUP by JOHNSON,CHAD(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by DUVALL,ASA",,,"ASSIST  by DUVALL,ASA",2
00:27,,,,,"FOUL  by BRAMMEIER,GEORGE",,,"FOUL  by BRAMMEIER,GEORGE",2
00:27,"MISS FT by HECHINGER,GRANT",,,,,,,"MISS FT by HECHINGER,GRANT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:27,"GOOD FT by HECHINGER,GRANT",53,,90 (+37),,RHODES 53-90 (-37),,"GOOD FT by HECHINGER,GRANT",2
