Time Remaining,UTTMEN,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
16:39,"MISS 3PTR by RIOS,CHRIS",,,,,,,"MISS 3PTR by RIOS,CHRIS",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
16:22,,25,,35 (+10),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 25-35 (+10),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
16:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:04,"SUB IN by LEISSNER,BRADY",,,,,,,"SUB IN by LEISSNER,BRADY",2
16:04,"SUB IN by COLLINS,LATIGO",,,,,,,"SUB IN by COLLINS,LATIGO",2
16:04,"SUB IN by SUMMERVILLE,CALEB",,,,,,,"SUB IN by SUMMERVILLE,CALEB",2
16:04,"SUB IN by HALL,STEPHON",,,,,,,"SUB IN by HALL,STEPHON",2
16:04,"SUB OUT by RIOS,CHRIS",,,,,,,"SUB OUT by RIOS,CHRIS",2
16:04,"SUB OUT by ROSS,NICK",,,,,,,"SUB OUT by ROSS,NICK",2
16:04,"SUB OUT by JACOBS,TYLER",,,,,,,"SUB OUT by JACOBS,TYLER",2
16:04,"SUB OUT by GONZALES,ANTHONY",,,,,,,"SUB OUT by GONZALES,ANTHONY",2
16:04,"SUB OUT by SUMMERVILLE,JOSIAH",,,,,,,"SUB OUT by SUMMERVILLE,JOSIAH",2
16:04,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
16:04,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
16:04,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
16:04,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
15:53,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
15:30,,25,,37 (+12),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODES 25-37 (+12),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
15:30,"FOUL  by COLLINS,LATIGO",,,,,,,"FOUL  by COLLINS,LATIGO",2
15:30,,25,,38 (+13),"GOOD FT by SLEDGE,TATE",RHODES 25-38 (+13),,"GOOD FT by SLEDGE,TATE",2
15:11,"MISS 3PTR by LEISSNER,BRADY",,,,,,,"MISS 3PTR by LEISSNER,BRADY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:05,"GOOD LAYUP by LEISSNER,BRADY(in the paint)",27,,38 (+11),,UTTMEN 27-38 (+11),,"GOOD LAYUP by LEISSNER,BRADY(in the paint)",2
14:36,"FOUL  by SUMMERVILLE,CALEB",,,,,,,"FOUL  by SUMMERVILLE,CALEB",2
14:36,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:36,,27,,39 (+12),"GOOD FT by WAGNER,MATT",RHODES 27-39 (+12),,"GOOD FT by WAGNER,MATT",2
14:26,"TURNOVER  by LEISSNER,BRADY",,,,,,,"TURNOVER  by LEISSNER,BRADY",2
14:25,,,,,"STEAL  by COLLINS,LUKE",,,"STEAL  by COLLINS,LUKE",2
14:16,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",2
--,"REBOUND DEF by SUMMERVILLE,CALEB",,,,,,,"REBOUND DEF by SUMMERVILLE,CALEB",2
14:13,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
13:53,"MISS 3PTR by SUMMERVILLE,CALEB",,,,,,,"MISS 3PTR by SUMMERVILLE,CALEB",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
13:36,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",2
13:36,"BLOCK  by JACOBS,TYLER",,,,,,,"BLOCK  by JACOBS,TYLER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:36,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
13:36,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",2
13:36,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
13:36,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
13:34,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND OFF by SULLIVAN,BRENNAN",,,"REBOUND OFF by SULLIVAN,BRENNAN",2
13:20,,,,,"MISS 3PTR by BLISS,DYLAN",,,"MISS 3PTR by BLISS,DYLAN",2
--,"REBOUND DEF by LEISSNER,BRADY",,,,,,,"REBOUND DEF by LEISSNER,BRADY",2
13:18,"TURNOVER  by LEISSNER,BRADY",,,,,,,"TURNOVER  by LEISSNER,BRADY",2
13:18,"FOUL  by LEISSNER,BRADY",,,,,,,"FOUL  by LEISSNER,BRADY",2
13:16,,,,,"MISS 3PTR by BLISS,DYLAN",,,"MISS 3PTR by BLISS,DYLAN",2
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",2
13:09,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",2
13:08,"STEAL  by LEISSNER,BRADY",,,,,,,"STEAL  by LEISSNER,BRADY",2
13:02,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
12:56,"MISS JUMPER by SUMMERVILLE,CALEB",,,,,,,"MISS JUMPER by SUMMERVILLE,CALEB",2
--,,,,,"REBOUND DEF by BLISS,DYLAN",,,"REBOUND DEF by BLISS,DYLAN",2
12:37,"FOUL  by SUMMERVILLE,CALEB",,,,,,,"FOUL  by SUMMERVILLE,CALEB",2
12:37,"SUB IN by SUMMERVILLE,JOSIAH",,,,,,,"SUB IN by SUMMERVILLE,JOSIAH",2
12:37,"SUB IN by FLYNN,MIKE",,,,,,,"SUB IN by FLYNN,MIKE",2
12:37,"SUB OUT by SUMMERVILLE,CALEB",,,,,,,"SUB OUT by SUMMERVILLE,CALEB",2
12:37,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
12:37,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",2
12:30,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,"REBOUND DEF by FLYNN,MIKE",,,,,,,"REBOUND DEF by FLYNN,MIKE",2
12:18,"MISS 3PTR by LEISSNER,BRADY",,,,,,,"MISS 3PTR by LEISSNER,BRADY",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
11:59,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",2
11:59,"BLOCK  by LEISSNER,BRADY",,,,,,,"BLOCK  by LEISSNER,BRADY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:59,"FOUL  by LEISSNER,BRADY",,,,,,,"FOUL  by LEISSNER,BRADY",2
11:59,,27,,40 (+13),"GOOD FT by SULLIVAN,BRENNAN",RHODES 27-40 (+13),,"GOOD FT by SULLIVAN,BRENNAN",2
11:59,,27,,41 (+14),"GOOD FT by SULLIVAN,BRENNAN",RHODES 27-41 (+14),,"GOOD FT by SULLIVAN,BRENNAN",2
11:50,"MISS LAYUP by HALL,STEPHON",,,,,,,"MISS LAYUP by HALL,STEPHON",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
11:26,"FOUL  by FLYNN,MIKE",,,,,,,"FOUL  by FLYNN,MIKE",2
11:26,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:26,,27,,42 (+15),"GOOD FT by WAGNER,MATT",RHODES 27-42 (+15),,"GOOD FT by WAGNER,MATT",2
11:26,"SUB IN by LUKE,D'YONNE",,,,,,,"SUB IN by LUKE,D'YONNE",2
11:26,"SUB IN by ALI,CEDDRECK",,,,,,,"SUB IN by ALI,CEDDRECK",2
11:26,"SUB IN by HARPER,CHRIS",,,,,,,"SUB IN by HARPER,CHRIS",2
11:26,"SUB OUT by LEISSNER,BRADY",,,,,,,"SUB OUT by LEISSNER,BRADY",2
11:26,"SUB OUT by COLLINS,LATIGO",,,,,,,"SUB OUT by COLLINS,LATIGO",2
11:26,"SUB OUT by HALL,STEPHON",,,,,,,"SUB OUT by HALL,STEPHON",2
11:26,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
11:26,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
11:26,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
11:26,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
11:26,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
11:26,,,,,"SUB OUT by BLISS,DYLAN",,,"SUB OUT by BLISS,DYLAN",2
11:07,"MISS 3PTR by ALI,CEDDRECK",,,,,,,"MISS 3PTR by ALI,CEDDRECK",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
10:44,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",2
--,"REBOUND DEF by HARPER,CHRIS",,,,,,,"REBOUND DEF by HARPER,CHRIS",2
10:42,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
10:32,"MISS JUMPER by FLYNN,MIKE",,,,,,,"MISS JUMPER by FLYNN,MIKE",2
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",2
10:13,,27,,44 (+17),"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",RHODES 27-44 (+17),,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",2
10:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:07,"SUB IN by JACOBS,TYLER",,,,,,,"SUB IN by JACOBS,TYLER",2
10:07,"SUB OUT by FLYNN,MIKE",,,,,,,"SUB OUT by FLYNN,MIKE",2
09:54,"MISS JUMPER by ALI,CEDDRECK",,,,,,,"MISS JUMPER by ALI,CEDDRECK",2
--,"REBOUND OFF by JACOBS,TYLER",,,,,,,"REBOUND OFF by JACOBS,TYLER",2
09:50,"MISS JUMPER by JACOBS,TYLER",,,,,,,"MISS JUMPER by JACOBS,TYLER",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
09:31,,27,,46 (+19),"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",RHODES 27-46 (+19),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",2
09:13,"TURNOVER  by HARPER,CHRIS",,,,,,,"TURNOVER  by HARPER,CHRIS",2
09:01,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",2
09:01,"BLOCK  by SUMMERVILLE,JOSIAH",,,,,,,"BLOCK  by SUMMERVILLE,JOSIAH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:01,"FOUL  by SUMMERVILLE,JOSIAH",,,,,,,"FOUL  by SUMMERVILLE,JOSIAH",2
09:01,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:01,,27,,47 (+20),"GOOD FT by HOECK,RYAN VAN",RHODES 27-47 (+20),,"GOOD FT by HOECK,RYAN VAN",2
09:01,"SUB IN by HALL,STEPHON",,,,,,,"SUB IN by HALL,STEPHON",2
09:01,"SUB IN by GONZALES,ANTHONY",,,,,,,"SUB IN by GONZALES,ANTHONY",2
09:01,"SUB IN by RIOS,CHRIS",,,,,,,"SUB IN by RIOS,CHRIS",2
09:01,"SUB OUT by LUKE,D'YONNE",,,,,,,"SUB OUT by LUKE,D'YONNE",2
09:01,"SUB OUT by ALI,CEDDRECK",,,,,,,"SUB OUT by ALI,CEDDRECK",2
09:01,"SUB OUT by HARPER,CHRIS",,,,,,,"SUB OUT by HARPER,CHRIS",2
09:01,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
09:01,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
08:44,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
08:41,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
08:29,"GOOD JUMPER by RIOS,CHRIS",29,,47 (+18),,UTTMEN 29-47 (+18),,"GOOD JUMPER by RIOS,CHRIS",2
08:16,,29,,49 (+20),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 29-49 (+20),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",2
08:02,"MISS JUMPER by RIOS,CHRIS",,,,,,,"MISS JUMPER by RIOS,CHRIS",2
--,"REBOUND OFF by JACOBS,TYLER",,,,,,,"REBOUND OFF by JACOBS,TYLER",2
07:54,"GOOD 3PTR by HALL,STEPHON",32,,49 (+17),,UTTMEN 32-49 (+17),,"GOOD 3PTR by HALL,STEPHON",2
07:40,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
07:40,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
07:40,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
07:40,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
07:40,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",2
07:29,"GOOD 3PTR by RIOS,CHRIS",35,,49 (+14),,UTTMEN 35-49 (+14),,"GOOD 3PTR by RIOS,CHRIS",2
--,"ASSIST  by HALL,STEPHON",,,,,,,"ASSIST  by HALL,STEPHON",2
07:11,"FOUL  by JACOBS,TYLER",,,,,,,"FOUL  by JACOBS,TYLER",2
07:11,,35,,50 (+15),"GOOD FT by HOECK,RYAN VAN",RHODES 35-50 (+15),,"GOOD FT by HOECK,RYAN VAN",2
07:11,,35,,51 (+16),"GOOD FT by HOECK,RYAN VAN",RHODES 35-51 (+16),,"GOOD FT by HOECK,RYAN VAN",2
06:45,"MISS 3PTR by GONZALES,ANTHONY",,,,,,,"MISS 3PTR by GONZALES,ANTHONY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
06:44,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
06:44,"GOOD FT by JACOBS,TYLER",36,,51 (+15),,UTTMEN 36-51 (+15),,"GOOD FT by JACOBS,TYLER",2
06:44,"GOOD FT by JACOBS,TYLER",37,,51 (+14),,UTTMEN 37-51 (+14),,"GOOD FT by JACOBS,TYLER",2
06:37,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",2
06:36,"STEAL  by HALL,STEPHON",,,,,,,"STEAL  by HALL,STEPHON",2
06:27,"MISS 3PTR by RIOS,CHRIS",,,,,,,"MISS 3PTR by RIOS,CHRIS",2
--,"REBOUND OFF by HALL,STEPHON",,,,,,,"REBOUND OFF by HALL,STEPHON",2
06:15,"TURNOVER  by RIOS,CHRIS",,,,,,,"TURNOVER  by RIOS,CHRIS",2
06:14,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
05:49,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",2
--,"REBOUND DEF by JACOBS,TYLER",,,,,,,"REBOUND DEF by JACOBS,TYLER",2
05:20,"MISS JUMPER by HALL,STEPHON",,,,,,,"MISS JUMPER by HALL,STEPHON",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
04:59,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
04:55,"SUB IN by TAYLOR,DADRIAN",,,,,,,"SUB IN by TAYLOR,DADRIAN",2
04:55,"SUB IN by STRAUTHER,TRE'VAUGHN",,,,,,,"SUB IN by STRAUTHER,TRE'VAUGHN",2
04:55,"SUB OUT by SUMMERVILLE,JOSIAH",,,,,,,"SUB OUT by SUMMERVILLE,JOSIAH",2
04:55,"SUB OUT by HALL,STEPHON",,,,,,,"SUB OUT by HALL,STEPHON",2
04:55,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
04:55,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
04:39,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
04:39,"GOOD FT by RIOS,CHRIS",38,,51 (+13),,UTTMEN 38-51 (+13),,"GOOD FT by RIOS,CHRIS",2
04:39,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
04:39,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
04:36,"GOOD FT by RIOS,CHRIS",39,,51 (+12),,UTTMEN 39-51 (+12),,"GOOD FT by RIOS,CHRIS",2
04:17,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
04:15,"STEAL  by RIOS,CHRIS",,,,,,,"STEAL  by RIOS,CHRIS",2
04:13,"GOOD LAYUP by RIOS,CHRIS(fastbreak)(in the paint)",41,,51 (+10),,UTTMEN 41-51 (+10),,"GOOD LAYUP by RIOS,CHRIS(fastbreak)(in the paint)",2
04:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:10,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
04:10,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
04:03,"FOUL  by STRAUTHER,TRE'VAUGHN",,,,,,,"FOUL  by STRAUTHER,TRE'VAUGHN",2
04:03,,41,,52 (+11),"GOOD FT by COLLINS,LUKE",RHODES 41-52 (+11),,"GOOD FT by COLLINS,LUKE",2
04:03,,41,,53 (+12),"GOOD FT by COLLINS,LUKE",RHODES 41-53 (+12),,"GOOD FT by COLLINS,LUKE",2
03:53,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
03:53,"MISS FT by STRAUTHER,TRE'VAUGHN",,,,,,,"MISS FT by STRAUTHER,TRE'VAUGHN",2
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",2
03:32,,41,,55 (+14),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RHODES 41-55 (+14),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",2
03:25,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
03:25,"GOOD FT by JACOBS,TYLER",42,,55 (+13),,UTTMEN 42-55 (+13),,"GOOD FT by JACOBS,TYLER",2
03:25,"MISS FT by JACOBS,TYLER",,,,,,,"MISS FT by JACOBS,TYLER",2
--,"REBOUND OFF by TAYLOR,DADRIAN",,,,,,,"REBOUND OFF by TAYLOR,DADRIAN",2
03:20,"MISS 3PTR by STRAUTHER,TRE'VAUGHN",,,,,,,"MISS 3PTR by STRAUTHER,TRE'VAUGHN",2
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",2
03:05,"FOUL  by STRAUTHER,TRE'VAUGHN",,,,,,,"FOUL  by STRAUTHER,TRE'VAUGHN",2
03:04,,42,,56 (+14),"GOOD FT by COLLINS,LUKE",RHODES 42-56 (+14),,"GOOD FT by COLLINS,LUKE",2
03:04,,42,,57 (+15),"GOOD FT by COLLINS,LUKE",RHODES 42-57 (+15),,"GOOD FT by COLLINS,LUKE",2
02:47,"MISS 3PTR by RIOS,CHRIS",,,,,,,"MISS 3PTR by RIOS,CHRIS",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
02:32,,42,,59 (+17),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RHODES 42-59 (+17),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",2
02:12,"GOOD JUMPER by GONZALES,ANTHONY",44,,59 (+15),,UTTMEN 44-59 (+15),,"GOOD JUMPER by GONZALES,ANTHONY",2
02:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:09,"SUB IN by HALL,STEPHON",,,,,,,"SUB IN by HALL,STEPHON",2
02:09,"SUB IN by LUKE,D'YONNE",,,,,,,"SUB IN by LUKE,D'YONNE",2
02:09,"SUB IN by FLYNN,MIKE",,,,,,,"SUB IN by FLYNN,MIKE",2
02:09,"SUB IN by SUMMERVILLE,JOSIAH",,,,,,,"SUB IN by SUMMERVILLE,JOSIAH",2
02:09,"SUB OUT by TAYLOR,DADRIAN",,,,,,,"SUB OUT by TAYLOR,DADRIAN",2
02:09,"SUB OUT by STRAUTHER,TRE'VAUGHN",,,,,,,"SUB OUT by STRAUTHER,TRE'VAUGHN",2
02:09,"SUB OUT by GONZALES,ANTHONY",,,,,,,"SUB OUT by GONZALES,ANTHONY",2
02:09,"SUB OUT by JACOBS,TYLER",,,,,,,"SUB OUT by JACOBS,TYLER",2
02:04,"FOUL  by HALL,STEPHON",,,,,,,"FOUL  by HALL,STEPHON",2
02:04,,44,,60 (+16),"GOOD FT by COLLINS,LUKE",RHODES 44-60 (+16),,"GOOD FT by COLLINS,LUKE",2
02:03,,44,,61 (+17),"GOOD FT by COLLINS,LUKE",RHODES 44-61 (+17),,"GOOD FT by COLLINS,LUKE",2
01:50,"MISS 3PTR by LUKE,D'YONNE",,,,,,,"MISS 3PTR by LUKE,D'YONNE",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
01:30,,44,,63 (+19),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 44-63 (+19),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
01:02,"TURNOVER  by HALL,STEPHON",,,,,,,"TURNOVER  by HALL,STEPHON",2
01:01,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",2
00:41,"FOUL  by LUKE,D'YONNE",,,,,,,"FOUL  by LUKE,D'YONNE",2
00:41,,,,,"MISS FT by COLLINS,LUKE",,,"MISS FT by COLLINS,LUKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:41,,44,,64 (+20),"GOOD FT by COLLINS,LUKE",RHODES 44-64 (+20),,"GOOD FT by COLLINS,LUKE",2
00:41,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
00:41,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
00:41,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
00:41,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",2
00:41,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
00:41,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
00:41,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
00:41,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
00:41,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
00:41,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
00:27,"TURNOVER  by FLYNN,MIKE",,,,,,,"TURNOVER  by FLYNN,MIKE",2
00:25,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",2
00:08,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",2
00:07,"STEAL  by HALL,STEPHON",,,,,,,"STEAL  by HALL,STEPHON",2
00:04,"GOOD LAYUP by LUKE,D'YONNE(fastbreak)(in the paint)",46,,64 (+18),,UTTMEN 46-64 (+18),,"GOOD LAYUP by LUKE,D'YONNE(fastbreak)(in the paint)",2
--,"ASSIST  by HALL,STEPHON",,,,,,,"ASSIST  by HALL,STEPHON",2
