Time Remaining,Black,Away Team Score,Play Team Indicator,Home Team Score,Sewanee,Game Score,Team Indicator,Play,Period
15:19,"SUB OUT by JR,DAMON GOODLOE",,,,,,,"SUB OUT by JR,DAMON GOODLOE",2
15:19,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",2
15:19,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
15:19,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",2
15:19,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
15:19,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
15:19,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",2
15:10,"GOOD JUMPER by HICKS,HENRY(in the paint)",30,,43 (+13),,Black 30-43 (+13),,"GOOD JUMPER by HICKS,HENRY(in the paint)",2
15:00,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",,,"MISS JUMPER by MCCULLOUGH,JACOB",2
--,"REBOUND DEF by LOCHHEAD,JAKE",,,,,,,"REBOUND DEF by LOCHHEAD,JAKE",2
14:47,"MISS JUMPER by MAESTRANZI,JAKE",,,,,,,"MISS JUMPER by MAESTRANZI,JAKE",2
--,"REBOUND OFF by LOCHHEAD,JAKE",,,,,,,"REBOUND OFF by LOCHHEAD,JAKE",2
14:44,"MISS 3PTR by HICKS,HENRY",,,,,,,"MISS 3PTR by HICKS,HENRY",2
--,,,,,"REBOUND DEF by LEE,MATTHEW",,,"REBOUND DEF by LEE,MATTHEW",2
14:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
14:30,"SUB IN by MANUEL,DEANDRE",,,,,,,"SUB IN by MANUEL,DEANDRE",2
14:30,"SUB OUT by HICKS,HENRY",,,,,,,"SUB OUT by HICKS,HENRY",2
14:24,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",2
14:24,,,,,"TURNOVER  by BROWN,SETH",,,"TURNOVER  by BROWN,SETH",2
14:06,"MISS 3PTR by DAVIS,CHRIS",,,,,,,"MISS 3PTR by DAVIS,CHRIS",2
--,,,,,"REBOUND DEF by LEE,MATTHEW",,,"REBOUND DEF by LEE,MATTHEW",2
13:58,,,,,"TURNOVER  by JONES,CODY",,,"TURNOVER  by JONES,CODY",2
13:58,"STEAL  by MAESTRANZI,JAKE",,,,,,,"STEAL  by MAESTRANZI,JAKE",2
13:58,,,,,"FOUL  by JONES,CODY",,,"FOUL  by JONES,CODY",2
13:58,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
13:58,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",2
13:45,"MISS 3PTR by LOCHHEAD,JAKE",,,,,,,"MISS 3PTR by LOCHHEAD,JAKE",2
--,,,,,"REBOUND DEF by JONES,CODY",,,"REBOUND DEF by JONES,CODY",2
13:25,"FOUL  by MAESTRANZI,JAKE",,,,,,,"FOUL  by MAESTRANZI,JAKE",2
13:25,,30,,44 (+14),"GOOD FT by JONES,CODY",Sewanee 30-44 (+14),,"GOOD FT by JONES,CODY",2
13:25,,30,,45 (+15),"GOOD FT by JONES,CODY",Sewanee 30-45 (+15),,"GOOD FT by JONES,CODY",2
13:13,"MISS JUMPER by MANUEL,DEANDRE",,,,,,,"MISS JUMPER by MANUEL,DEANDRE",2
--,,,,,"REBOUND DEF by JONES,CODY",,,"REBOUND DEF by JONES,CODY",2
13:09,"FOUL  by LOCHHEAD,JAKE",,,,,,,"FOUL  by LOCHHEAD,JAKE",2
13:09,"SUB IN by SCOTT,MALCOLM",,,,,,,"SUB IN by SCOTT,MALCOLM",2
13:09,"SUB OUT by MCMILLEN,JORDAN",,,,,,,"SUB OUT by MCMILLEN,JORDAN",2
12:55,,30,,47 (+17),"GOOD JUMPER by MCCULLOUGH,JACOB",Sewanee 30-47 (+17),,"GOOD JUMPER by MCCULLOUGH,JACOB",2
12:47,"MISS JUMPER by DAVIS,CHRIS",,,,,,,"MISS JUMPER by DAVIS,CHRIS",2
12:47,,,,,"BLOCK  by BROWN,SETH",,,"BLOCK  by BROWN,SETH",2
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",2
12:32,,,,,"TURNOVER  by BROWN,SETH",,,"TURNOVER  by BROWN,SETH",2
12:22,"MISS 3PTR by LOCHHEAD,JAKE",,,,,,,"MISS 3PTR by LOCHHEAD,JAKE",2
--,"REBOUND OFF by DAVIS,CHRIS",,,,,,,"REBOUND OFF by DAVIS,CHRIS",2
12:16,"TURNOVER  by DAVIS,CHRIS",,,,,,,"TURNOVER  by DAVIS,CHRIS",2
12:16,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",2
12:16,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
12:16,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
12:16,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",2
12:09,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",2
12:06,"STEAL  by MANUEL,DEANDRE",,,,,,,"STEAL  by MANUEL,DEANDRE",2
11:50,"GOOD JUMPER by LOCHHEAD,JAKE",32,,47 (+15),,Black 32-47 (+15),,"GOOD JUMPER by LOCHHEAD,JAKE",2
11:44,,,,,"FOUL  by LEE,MATTHEW",,,"FOUL  by LEE,MATTHEW",2
11:44,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",2
11:44,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
11:44,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",2
11:44,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",2
11:34,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
11:11,"FOUL  by MANUEL,DEANDRE",,,,,,,"FOUL  by MANUEL,DEANDRE",2
11:11,"SUB IN by KINCAID,TAIVON",,,,,,,"SUB IN by KINCAID,TAIVON",2
11:11,"SUB OUT by MAESTRANZI,JAKE",,,,,,,"SUB OUT by MAESTRANZI,JAKE",2
11:06,,32,,50 (+18),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 32-50 (+18),,"GOOD 3PTR by WILLIAMS,JORDEN",2
10:52,"GOOD 3PTR by MANUEL,DEANDRE",35,,50 (+15),,Black 35-50 (+15),,"GOOD 3PTR by MANUEL,DEANDRE",2
10:30,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
10:27,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
10:25,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND DEF by DAVIS,CHRIS",,,,,,,"REBOUND DEF by DAVIS,CHRIS",2
10:17,"MISS 3PTR by DAVIS,CHRIS",,,,,,,"MISS 3PTR by DAVIS,CHRIS",2
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",2
10:07,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",2
10:07,"STEAL  by MANUEL,DEANDRE",,,,,,,"STEAL  by MANUEL,DEANDRE",2
10:00,"SUB IN by MOORE,JAMIE",,,,,,,"SUB IN by MOORE,JAMIE",2
10:00,"SUB IN by JR,DAMON GOODLOE",,,,,,,"SUB IN by JR,DAMON GOODLOE",2
10:00,"SUB OUT by SCOTT,MALCOLM",,,,,,,"SUB OUT by SCOTT,MALCOLM",2
10:00,"SUB OUT by DAVIS,CHRIS",,,,,,,"SUB OUT by DAVIS,CHRIS",2
10:00,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
10:00,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
09:43,"TURNOVER  by LOCHHEAD,JAKE",,,,,,,"TURNOVER  by LOCHHEAD,JAKE",2
09:43,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",2
09:43,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
09:14,,,,,"MISS 3PTR by MCCULLOUGH,JACOB",,,"MISS 3PTR by MCCULLOUGH,JACOB",2
--,"REBOUND DEF by KINCAID,TAIVON",,,,,,,"REBOUND DEF by KINCAID,TAIVON",2
09:04,"MISS 3PTR by LOCHHEAD,JAKE",,,,,,,"MISS 3PTR by LOCHHEAD,JAKE",2
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",2
08:59,,,,,"TURNOVER  by MCCULLOUGH,JACOB",,,"TURNOVER  by MCCULLOUGH,JACOB",2
08:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:59,"SUB IN by MCMILLEN,JORDAN",,,,,,,"SUB IN by MCMILLEN,JORDAN",2
08:59,"SUB OUT by JR,DAMON GOODLOE",,,,,,,"SUB OUT by JR,DAMON GOODLOE",2
08:46,"SUB IN by JR,DAMON GOODLOE",,,,,,,"SUB IN by JR,DAMON GOODLOE",2
08:46,"SUB OUT by LOCHHEAD,JAKE",,,,,,,"SUB OUT by LOCHHEAD,JAKE",2
08:37,"MISS 3PTR by MCMILLEN,JORDAN",,,,,,,"MISS 3PTR by MCMILLEN,JORDAN",2
--,"REBOUND OFF by JR,DAMON GOODLOE",,,,,,,"REBOUND OFF by JR,DAMON GOODLOE",2
08:34,"MISS JUMPER by JR,DAMON GOODLOE",,,,,,,"MISS JUMPER by JR,DAMON GOODLOE",2
08:34,,,,,"BLOCK  by BROWN,SETH",,,"BLOCK  by BROWN,SETH",2
--,"REBOUND OFF by JR,DAMON GOODLOE",,,,,,,"REBOUND OFF by JR,DAMON GOODLOE",2
08:30,"GOOD JUMPER by JR,DAMON GOODLOE(in the paint)",37,,50 (+13),,Black 37-50 (+13),,"GOOD JUMPER by JR,DAMON GOODLOE(in the paint)",2
08:16,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND DEF by MCMILLEN,JORDAN",,,,,,,"REBOUND DEF by MCMILLEN,JORDAN",2
08:07,"MISS 3PTR by MANUEL,DEANDRE",,,,,,,"MISS 3PTR by MANUEL,DEANDRE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:05,,37,,51 (+14),"GOOD FT by WILLIAMS,JORDEN",Sewanee 37-51 (+14),,"GOOD FT by WILLIAMS,JORDEN",2
08:01,"FOUL TECH by MANUEL,DEANDRE",,,,,,,"FOUL TECH by MANUEL,DEANDRE",2
08:01,,37,,52 (+15),"GOOD FT by WILLIAMS,JORDEN",Sewanee 37-52 (+15),,"GOOD FT by WILLIAMS,JORDEN",2
08:01,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",2
08:01,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
08:01,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
08:01,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
07:47,,,,,"TURNOVER  by JONES,CODY",,,"TURNOVER  by JONES,CODY",2
07:46,"STEAL  by KINCAID,TAIVON",,,,,,,"STEAL  by KINCAID,TAIVON",2
07:30,"TURNOVER  by MOORE,JAMIE",,,,,,,"TURNOVER  by MOORE,JAMIE",2
07:29,,,,,"STEAL  by MCCULLOUGH,JACOB",,,"STEAL  by MCCULLOUGH,JACOB",2
07:20,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND DEF by MOORE,JAMIE",,,,,,,"REBOUND DEF by MOORE,JAMIE",2
07:08,,,,,"MISS 3PTR by HOWELL,TAYLOR",,,"MISS 3PTR by HOWELL,TAYLOR",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:01,"SUB IN by MAESTRANZI,JAKE",,,,,,,"SUB IN by MAESTRANZI,JAKE",2
07:01,"SUB OUT by KINCAID,TAIVON",,,,,,,"SUB OUT by KINCAID,TAIVON",2
06:50,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
06:46,,37,,54 (+17),"GOOD JUMPER by WILLIAMS,JORDEN",Sewanee 37-54 (+17),,"GOOD JUMPER by WILLIAMS,JORDEN",2
06:46,"TURNOVER  by MCMILLEN,JORDAN",,,,,,,"TURNOVER  by MCMILLEN,JORDAN",2
06:46,,,,,"STEAL  by STONE,BRODY",,,"STEAL  by STONE,BRODY",2
06:46,"SUB IN by HICKS,HENRY",,,,,,,"SUB IN by HICKS,HENRY",2
06:46,"SUB OUT by JR,DAMON GOODLOE",,,,,,,"SUB OUT by JR,DAMON GOODLOE",2
06:43,"FOUL  by MAESTRANZI,JAKE",,,,,,,"FOUL  by MAESTRANZI,JAKE",2
06:43,"SUB IN by PIERANTONI,UGO",,,,,,,"SUB IN by PIERANTONI,UGO",2
06:43,"SUB IN by STONE,CHRIS",,,,,,,"SUB IN by STONE,CHRIS",2
06:43,"SUB OUT by MCMILLEN,JORDAN",,,,,,,"SUB OUT by MCMILLEN,JORDAN",2
06:43,"SUB OUT by MOORE,JAMIE",,,,,,,"SUB OUT by MOORE,JAMIE",2
06:40,,37,,55 (+18),"GOOD FT by JONES,CODY",Sewanee 37-55 (+18),,"GOOD FT by JONES,CODY",2
06:40,,37,,56 (+19),"GOOD FT by JONES,CODY",Sewanee 37-56 (+19),,"GOOD FT by JONES,CODY",2
06:40,"SUB IN by RUSTEN,REED",,,,,,,"SUB IN by RUSTEN,REED",2
06:40,"SUB OUT by MANUEL,DEANDRE",,,,,,,"SUB OUT by MANUEL,DEANDRE",2
06:34,"GOOD 3PTR by RUSTEN,REED",40,,56 (+16),,Black 40-56 (+16),,"GOOD 3PTR by RUSTEN,REED",2
--,"ASSIST  by HICKS,HENRY",,,,,,,"ASSIST  by HICKS,HENRY",2
06:03,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
05:47,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
05:23,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",2
05:23,"BLOCK  by HICKS,HENRY",,,,,,,"BLOCK  by HICKS,HENRY",2
--,"REBOUND DEF by MAESTRANZI,JAKE",,,,,,,"REBOUND DEF by MAESTRANZI,JAKE",2
05:15,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",2
05:15,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
05:15,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",2
05:05,"TURNOVER  by HICKS,HENRY",,,,,,,"TURNOVER  by HICKS,HENRY",2
05:04,,,,,"STEAL  by MCCULLOUGH,JACOB",,,"STEAL  by MCCULLOUGH,JACOB",2
05:02,,40,,57 (+17),"GOOD FT by MCCULLOUGH,JACOB",Sewanee 40-57 (+17),,"GOOD FT by MCCULLOUGH,JACOB",2
05:02,"FOUL  by STONE,CHRIS",,,,,,,"FOUL  by STONE,CHRIS",2
05:02,,40,,58 (+18),"GOOD FT by MCCULLOUGH,JACOB",Sewanee 40-58 (+18),,"GOOD FT by MCCULLOUGH,JACOB",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
05:02,"SUB IN by MCMILLEN,JORDAN",,,,,,,"SUB IN by MCMILLEN,JORDAN",2
05:02,"SUB OUT by STONE,CHRIS",,,,,,,"SUB OUT by STONE,CHRIS",2
04:45,"MISS 3PTR by RUSTEN,REED",,,,,,,"MISS 3PTR by RUSTEN,REED",2
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",2
04:38,,40,,60 (+20),"GOOD JUMPER by CARTER,KESHONN",Sewanee 40-60 (+20),,"GOOD JUMPER by CARTER,KESHONN",2
--,,,,,"ASSIST  by MCCULLOUGH,JACOB",,,"ASSIST  by MCCULLOUGH,JACOB",2
04:21,,,,,"FOUL  by MCCULLOUGH,JACOB",,,"FOUL  by MCCULLOUGH,JACOB",2
04:21,"GOOD FT by HICKS,HENRY",41,,60 (+19),,Black 41-60 (+19),,"GOOD FT by HICKS,HENRY",2
04:21,"GOOD FT by HICKS,HENRY",42,,60 (+18),,Black 42-60 (+18),,"GOOD FT by HICKS,HENRY",2
04:21,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
04:21,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
04:21,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
04:21,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",2
04:07,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",2
04:06,"STEAL  by RUSTEN,REED",,,,,,,"STEAL  by RUSTEN,REED",2
04:00,"GOOD JUMPER by HICKS,HENRY",44,,60 (+16),,Black 44-60 (+16),,"GOOD JUMPER by HICKS,HENRY",2
--,"ASSIST  by MAESTRANZI,JAKE",,,,,,,"ASSIST  by MAESTRANZI,JAKE",2
03:58,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
03:58,"SUB IN by ORANGE,WILLIE",,,,,,,"SUB IN by ORANGE,WILLIE",2
03:58,"SUB IN by MOORE,JAMIE",,,,,,,"SUB IN by MOORE,JAMIE",2
03:58,"SUB IN by MANUEL,DEANDRE",,,,,,,"SUB IN by MANUEL,DEANDRE",2
03:58,"SUB OUT by MCMILLEN,JORDAN",,,,,,,"SUB OUT by MCMILLEN,JORDAN",2
03:58,"SUB OUT by PIERANTONI,UGO",,,,,,,"SUB OUT by PIERANTONI,UGO",2
03:58,"SUB OUT by RUSTEN,REED",,,,,,,"SUB OUT by RUSTEN,REED",2
03:58,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",2
03:58,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
03:44,"FOUL  by MAESTRANZI,JAKE",,,,,,,"FOUL  by MAESTRANZI,JAKE",2
03:44,,44,,61 (+17),"GOOD FT by WILLIAMS,JORDEN",Sewanee 44-61 (+17),,"GOOD FT by WILLIAMS,JORDEN",2
03:44,,44,,62 (+18),"GOOD FT by WILLIAMS,JORDEN",Sewanee 44-62 (+18),,"GOOD FT by WILLIAMS,JORDEN",2
03:44,"SUB IN by MCMILLEN,JORDAN",,,,,,,"SUB IN by MCMILLEN,JORDAN",2
03:44,"SUB IN by RUSTEN,REED",,,,,,,"SUB IN by RUSTEN,REED",2
03:44,"SUB OUT by MANUEL,DEANDRE",,,,,,,"SUB OUT by MANUEL,DEANDRE",2
03:44,"SUB OUT by ORANGE,WILLIE",,,,,,,"SUB OUT by ORANGE,WILLIE",2
03:44,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
03:44,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
03:32,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",2
03:32,"GOOD FT by HICKS,HENRY",45,,62 (+17),,Black 45-62 (+17),,"GOOD FT by HICKS,HENRY",2
03:32,"GOOD FT by HICKS,HENRY",46,,62 (+16),,Black 46-62 (+16),,"GOOD FT by HICKS,HENRY",2
03:32,"SUB IN by MANUEL,DEANDRE",,,,,,,"SUB IN by MANUEL,DEANDRE",2
03:32,"SUB OUT by HICKS,HENRY",,,,,,,"SUB OUT by HICKS,HENRY",2
03:12,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",2
03:11,"STEAL  by MCMILLEN,JORDAN",,,,,,,"STEAL  by MCMILLEN,JORDAN",2
03:05,"GOOD JUMPER by MCMILLEN,JORDAN",48,,62 (+14),,Black 48-62 (+14),,"GOOD JUMPER by MCMILLEN,JORDAN",2
--,"ASSIST  by RUSTEN,REED",,,,,,,"ASSIST  by RUSTEN,REED",2
02:46,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND DEF by MCMILLEN,JORDAN",,,,,,,"REBOUND DEF by MCMILLEN,JORDAN",2
02:37,"GOOD JUMPER by MANUEL,DEANDRE(in the paint)",50,,62 (+12),,Black 50-62 (+12),,"GOOD JUMPER by MANUEL,DEANDRE(in the paint)",2
02:37,,,,,"FOUL  by MCCULLOUGH,JACOB",,,"FOUL  by MCCULLOUGH,JACOB",2
02:37,"MISS FT by MANUEL,DEANDRE",,,,,,,"MISS FT by MANUEL,DEANDRE",2
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",2
02:37,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
02:37,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
02:22,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
02:19,"FOUL  by MOORE,JAMIE",,,,,,,"FOUL  by MOORE,JAMIE",2
02:19,,50,,63 (+13),"GOOD FT by STONE,BRODY",Sewanee 50-63 (+13),,"GOOD FT by STONE,BRODY",2
02:19,,50,,64 (+14),"GOOD FT by STONE,BRODY",Sewanee 50-64 (+14),,"GOOD FT by STONE,BRODY",2
02:19,"SUB IN by HICKS,HENRY",,,,,,,"SUB IN by HICKS,HENRY",2
02:19,"SUB OUT by RUSTEN,REED",,,,,,,"SUB OUT by RUSTEN,REED",2
02:19,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",2
02:19,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",2
02:05,"MISS JUMPER by HICKS,HENRY",,,,,,,"MISS JUMPER by HICKS,HENRY",2
--,,,,,"REBOUND DEF by JONES,CODY",,,"REBOUND DEF by JONES,CODY",2
01:49,"FOUL  by MAESTRANZI,JAKE",,,,,,,"FOUL  by MAESTRANZI,JAKE",2
01:49,,,,,"MISS FT by BORN,CLAY",,,"MISS FT by BORN,CLAY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:49,,50,,65 (+15),"GOOD FT by BORN,CLAY",Sewanee 50-65 (+15),,"GOOD FT by BORN,CLAY",2
01:30,"MISS 3PTR by MANUEL,DEANDRE",,,,,,,"MISS 3PTR by MANUEL,DEANDRE",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
01:27,"FOUL  by MOORE,JAMIE",,,,,,,"FOUL  by MOORE,JAMIE",2
01:27,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:27,,50,,66 (+16),"GOOD FT by STONE,BRODY",Sewanee 50-66 (+16),,"GOOD FT by STONE,BRODY",2
01:27,,,,,"SUB IN by SLOVER,GRAYSON",,,"SUB IN by SLOVER,GRAYSON",2
01:27,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
01:15,"MISS JUMPER by MAESTRANZI,JAKE",,,,,,,"MISS JUMPER by MAESTRANZI,JAKE",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
00:55,,50,,68 (+18),"GOOD JUMPER by JONES,CODY(in the paint)",Sewanee 50-68 (+18),,"GOOD JUMPER by JONES,CODY(in the paint)",2
00:46,"TURNOVER  by MCMILLEN,JORDAN",,,,,,,"TURNOVER  by MCMILLEN,JORDAN",2
00:45,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",2
00:21,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",2
--,,,,,"REBOUND OFF by BORN,CLAY",,,"REBOUND OFF by BORN,CLAY",2
