Time Remaining,SEW-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
13:16,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
13:16,,,,,"SUB IN by SPALDING,TANNER",,,"SUB IN by SPALDING,TANNER",1
13:16,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",1
13:02,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND OFF by BUESCHER,HUNTER",,,,,,,"REBOUND OFF by BUESCHER,HUNTER",1
12:44,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
12:44,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
12:44,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
12:44,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
12:29,,,,,"MISS JUMPER by JOHNSON,CALEB",,,"MISS JUMPER by JOHNSON,CALEB",1
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",1
12:05,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
12:05,,,,,"SUB IN by SCHERRMAN,BLAKE",,,"SUB IN by SCHERRMAN,BLAKE",1
12:05,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
11:59,"GOOD LAYUP by BROWN,SETH(in the paint)",10 (+6),,4,,SEW-M 10-4 (+6),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,"ASSIST  by JONES,CODY",,,,,,,"ASSIST  by JONES,CODY",1
11:34,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
11:07,"GOOD JUMPER by CARTER,KESHONN",12 (+8),,4,,SEW-M 12-4 (+8),,"GOOD JUMPER by CARTER,KESHONN",1
--,"ASSIST  by BROWN,SETH",,,,,,,"ASSIST  by BROWN,SETH",1
10:51,,,,,"MISS JUMPER by SPALDING,TANNER",,,"MISS JUMPER by SPALDING,TANNER",1
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",1
10:38,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",1
10:38,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",1
10:38,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
10:38,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
10:38,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
10:38,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
10:38,,,,,"SUB IN by SCHICK,BRANDON",,,"SUB IN by SCHICK,BRANDON",1
10:38,,,,,"SUB IN by SCHICK,BRANDON",,,"SUB IN by SCHICK,BRANDON",1
10:38,,,,,"SUB OUT by SCHICK,BRANDON",,,"SUB OUT by SCHICK,BRANDON",1
10:38,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",1
10:37,,12 (+5),,7,"GOOD 3PTR by SCHERRMAN,BLAKE",BCM 12-7 (+5),,"GOOD 3PTR by SCHERRMAN,BLAKE",1
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",1
10:11,"GOOD LAYUP by CARTER,KESHONN(in the paint)",14 (+7),,7,,SEW-M 14-7 (+7),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
09:58,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
09:24,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
09:23,,,,,"FOUL  by MCCLOUD,ALTON",,,"FOUL  by MCCLOUD,ALTON",1
09:23,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:23,"GOOD FT by CARTER,KESHONN",15 (+8),,7,,SEW-M 15-7 (+8),,"GOOD FT by CARTER,KESHONN",1
09:23,,,,,"MISS LAYUP by MCCLOUD,ALTON",,,"MISS LAYUP by MCCLOUD,ALTON",1
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",1
09:23,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
09:23,"GOOD 3PTR by BORN,CLAY",18 (+11),,7,,SEW-M 18-7 (+11),,"GOOD 3PTR by BORN,CLAY",1
09:23,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
09:23,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
09:23,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",1
09:23,,,,,"SUB IN by FENTON,CLINT",,,"SUB IN by FENTON,CLINT",1
09:23,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
09:23,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",1
08:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
08:21,,,,,"MISS LAYUP by FENTON,CLINT",,,"MISS LAYUP by FENTON,CLINT",1
08:21,"BLOCK  by CALDWELL,CAM",,,,,,,"BLOCK  by CALDWELL,CAM",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:21,,18 (+9),,9,"GOOD LAYUP by SPALDING,TANNER(in the paint)",BCM 18-9 (+9),,"GOOD LAYUP by SPALDING,TANNER(in the paint)",1
08:21,"GOOD 3PTR by MCCULLOUGH,JACOB",21 (+12),,9,,SEW-M 21-9 (+12),,"GOOD 3PTR by MCCULLOUGH,JACOB",1
--,"ASSIST  by CALDWELL,CAM",,,,,,,"ASSIST  by CALDWELL,CAM",1
08:21,,,,,"TURNOVER  by SCHERRMAN,BLAKE",,,"TURNOVER  by SCHERRMAN,BLAKE",1
08:19,"STEAL  by MCCULLOUGH,JACOB",,,,,,,"STEAL  by MCCULLOUGH,JACOB",1
08:18,,,,,"FOUL  by SPALDING,TANNER",,,"FOUL  by SPALDING,TANNER",1
07:25,"GOOD FT by MCCULLOUGH,JACOB",22 (+13),,9,,SEW-M 22-9 (+13),,"GOOD FT by MCCULLOUGH,JACOB",1
07:25,"GOOD FT by MCCULLOUGH,JACOB",23 (+14),,9,,SEW-M 23-9 (+14),,"GOOD FT by MCCULLOUGH,JACOB",1
07:25,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
07:25,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
07:25,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
07:25,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
07:25,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",1
07:25,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
07:25,,,,,"SUB OUT by SPALDING,TANNER",,,"SUB OUT by SPALDING,TANNER",1
07:25,,,,,"SUB OUT by SCHERRMAN,BLAKE",,,"SUB OUT by SCHERRMAN,BLAKE",1
07:00,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
07:00,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",1
