Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,MUMB,Game Score,Team Indicator,Play,Period
11:19,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
11:19,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
11:19,,,,,"SUB IN by BROWN,JABARI",,,"SUB IN by BROWN,JABARI",1
11:19,,,,,"SUB IN by DAVIS,BLAKE",,,"SUB IN by DAVIS,BLAKE",1
11:19,,,,,"SUB OUT by AUGHBURNS,IRVING",,,"SUB OUT by AUGHBURNS,IRVING",1
11:19,,,,,"SUB OUT by MONK,BRANDON",,,"SUB OUT by MONK,BRANDON",1
11:10,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",1
11:10,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
11:10,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
11:10,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
11:10,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
11:10,,,,,"SUB IN by REESE,TROYNELL",,,"SUB IN by REESE,TROYNELL",1
11:10,,,,,"SUB OUT by WHITLEY,JACKSON",,,"SUB OUT by WHITLEY,JACKSON",1
10:42,,,,,"MISS 3PTR by AYABARRENO,DAVION",,,"MISS 3PTR by AYABARRENO,DAVION",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:39,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
10:39,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
10:16,,,,,"MISS JUMPER by REESE,TROYNELL",,,"MISS JUMPER by REESE,TROYNELL",1
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",1
09:57,"MISS LAYUP by JONES,CODY",,,,,,,"MISS LAYUP by JONES,CODY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:56,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
09:56,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
09:56,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
09:27,,,,,"MISS JUMPER by HILLIARD,TABIAS",,,"MISS JUMPER by HILLIARD,TABIAS",1
--,,,,,"REBOUND OFF by REESE,TROYNELL",,,"REBOUND OFF by REESE,TROYNELL",1
09:11,,,,,"MISS LAYUP by DAVIS,BLAKE",,,"MISS LAYUP by DAVIS,BLAKE",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
08:39,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by DAVIS,BLAKE",,,"REBOUND DEF by DAVIS,BLAKE",1
08:17,,18 (+5),,13,"GOOD 3PTR by HILLIARD,TABIAS",MUMB 18-13 (+5),,"GOOD 3PTR by HILLIARD,TABIAS",1
07:59,"GOOD LAYUP by CARTER,KESHONN(in the paint)",20 (+7),,13,,SEWANE~1 20-13 (+7),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
07:37,,,,,"TURNOVER  by REESE,TROYNELL",,,"TURNOVER  by REESE,TROYNELL",1
07:36,"STEAL  by WILLIAMS,JORDEN",,,,,,,"STEAL  by WILLIAMS,JORDEN",1
07:28,"GOOD 3PTR by WILLIAMS,JORDEN",23 (+10),,13,,SEWANE~1 23-13 (+10),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
07:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:03,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
07:03,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
07:03,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
07:03,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
07:03,,,,,"SUB IN by WHITLEY,JACKSON",,,"SUB IN by WHITLEY,JACKSON",1
07:03,,,,,"SUB IN by MONK,BRANDON",,,"SUB IN by MONK,BRANDON",1
07:03,,,,,"SUB IN by AUGHBURNS,IRVING",,,"SUB IN by AUGHBURNS,IRVING",1
07:03,,,,,"SUB OUT by REESE,TROYNELL",,,"SUB OUT by REESE,TROYNELL",1
07:03,,,,,"SUB OUT by AYABARRENO,DAVION",,,"SUB OUT by AYABARRENO,DAVION",1
07:03,,,,,"SUB OUT by BROWN,JABARI",,,"SUB OUT by BROWN,JABARI",1
07:03,,,,,"SUB OUT by DAVIS,BLAKE",,,"SUB OUT by DAVIS,BLAKE",1
07:02,,23 (+8),,15,"GOOD DUNK by WHITLEY,JACKSON(in the paint)",MUMB 23-15 (+8),,"GOOD DUNK by WHITLEY,JACKSON(in the paint)",1
--,,,,,"ASSIST  by HILLIARD,TABIAS",,,"ASSIST  by HILLIARD,TABIAS",1
06:39,"TURNOVER  by LEE,MATTHEW",,,,,,,"TURNOVER  by LEE,MATTHEW",1
06:38,,,,,"STEAL  by DAVIS,BLAKE",,,"STEAL  by DAVIS,BLAKE",1
06:29,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
06:29,,23 (+7),,16,"GOOD FT by MONK,BRANDON",MUMB 23-16 (+7),,"GOOD FT by MONK,BRANDON",1
06:29,,,,,"MISS FT by MONK,BRANDON",,,"MISS FT by MONK,BRANDON",1
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",1
06:29,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
06:29,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
06:29,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
06:29,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
06:29,,,,,"SUB IN by HARPER,JOSH",,,"SUB IN by HARPER,JOSH",1
06:29,,,,,"SUB OUT by HILLIARD,TABIAS",,,"SUB OUT by HILLIARD,TABIAS",1
06:10,"GOOD 3PTR by WILLIAMS,JORDEN",26 (+10),,16,,SEWANE~1 26-16 (+10),,"GOOD 3PTR by WILLIAMS,JORDEN",1
05:54,,,,,"MISS JUMPER by WHITLEY,JACKSON",,,"MISS JUMPER by WHITLEY,JACKSON",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
05:42,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by HARPER,JOSH",,,"REBOUND DEF by HARPER,JOSH",1
05:21,,26 (+8),,18,"GOOD LAYUP by MONK,BRANDON(in the paint)",MUMB 26-18 (+8),,"GOOD LAYUP by MONK,BRANDON(in the paint)",1
--,,,,,"ASSIST  by WHITLEY,JACKSON",,,"ASSIST  by WHITLEY,JACKSON",1
05:21,"FOUL  by MCCULLOUGH,JACOB",,,,,,,"FOUL  by MCCULLOUGH,JACOB",1
05:21,,26 (+7),,19,"GOOD FT by MONK,BRANDON",MUMB 26-19 (+7),,"GOOD FT by MONK,BRANDON",1
05:21,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
05:21,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
05:21,"SUB IN by SLOVER,GRAYSON",,,,,,,"SUB IN by SLOVER,GRAYSON",1
05:21,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
05:21,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
05:21,,,,,"SUB IN by BAGGETT,WILL",,,"SUB IN by BAGGETT,WILL",1
05:21,,,,,"SUB OUT by AUGHBURNS,IRVING",,,"SUB OUT by AUGHBURNS,IRVING",1
05:16,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
05:16,,,,,"BLOCK  by WHITLEY,JACKSON",,,"BLOCK  by WHITLEY,JACKSON",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
05:07,,,,,"FOUL  by MONK,BRANDON",,,"FOUL  by MONK,BRANDON",1
05:01,"GOOD 3PTR by WILLIAMS,JORDEN",29 (+10),,19,,SEWANE~1 29-19 (+10),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
