Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,Sewanee,Game Score,Team Indicator,Play,Period
01:13,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",2
01:13,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",2
01:13,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",2
01:13,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
01:13,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
01:13,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",2
01:13,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",2
01:13,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",2
01:13,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
01:06,,70,,89 (+19),"GOOD JUMPER by JONES,CODY",Sewanee 70-89 (+19),,"GOOD JUMPER by JONES,CODY",2
00:48,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
00:48,"GOOD FT by LIVINGSTON,TREY",71,,89 (+18),,Hunt 71-89 (+18),,"GOOD FT by LIVINGSTON,TREY",2
00:48,"GOOD FT by LIVINGSTON,TREY",72,,89 (+17),,Hunt 72-89 (+17),,"GOOD FT by LIVINGSTON,TREY",2
00:31,,,,,"MISS 3PTR by HOWELL,TAYLOR",,,"MISS 3PTR by HOWELL,TAYLOR",2
--,,,,,"REBOUND OFF by BUESCHER,HUNTER",,,"REBOUND OFF by BUESCHER,HUNTER",2
00:26,,72,,91 (+19),"GOOD LAYUP by CALDWELL,CAM(in the paint)",Sewanee 72-91 (+19),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
00:13,"TURNOVER  by CHADWICK,SCOTTY",,,,,,,"TURNOVER  by CHADWICK,SCOTTY",2
00:12,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",2
00:11,,72,,93 (+21),"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",Sewanee 72-93 (+21),,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",2
00:05,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",2
00:05,"MISS FT by CASTEEL,JONAH",,,,,,,"MISS FT by CASTEEL,JONAH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:05,"GOOD FT by CASTEEL,JONAH",73,,93 (+20),,Hunt 73-93 (+20),,"GOOD FT by CASTEEL,JONAH",2
00:05,"FOUL  by LIVINGSTON,TREY",,,,,,,"FOUL  by LIVINGSTON,TREY",2
00:05,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:05,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",2
--,"REBOUND DEF by MCLEAN,BRANDON",,,,,,,"REBOUND DEF by MCLEAN,BRANDON",2
