Time Remaining,HOPE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
16:50,"GOOD 3PTR by HALBERT,JAXON",39,,43 (+4),,HOPE 39-43 (+4),,"GOOD 3PTR by HALBERT,JAXON",2
--,"ASSIST  by STEEG,SAM VER",,,,,,,"ASSIST  by STEEG,SAM VER",2
16:24,,39,,45 (+6),"GOOD JUMPER by CONRAD,ALEX(in the paint)",HENDRIX 39-45 (+6),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",2
16:07,"MISS JUMPER by STEEG,SAM VER",,,,,,,"MISS JUMPER by STEEG,SAM VER",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
15:48,"FOUL  by HEDRICK,NOAH",,,,,,,"FOUL  by HEDRICK,NOAH",2
15:48,,39,,46 (+7),"GOOD FT by STANLEY,SETH",HENDRIX 39-46 (+7),,"GOOD FT by STANLEY,SETH",2
15:48,,39,,47 (+8),"GOOD FT by STANLEY,SETH",HENDRIX 39-47 (+8),,"GOOD FT by STANLEY,SETH",2
15:48,,39,,48 (+9),"GOOD FT by STANLEY,SETH",HENDRIX 39-48 (+9),,"GOOD FT by STANLEY,SETH",2
15:48,"SUB IN by CHEANEY,DEVIN",,,,,,,"SUB IN by CHEANEY,DEVIN",2
15:48,"SUB IN by SWINEHART,BRADY",,,,,,,"SUB IN by SWINEHART,BRADY",2
15:48,"SUB OUT by STEEG,SAM VER",,,,,,,"SUB OUT by STEEG,SAM VER",2
15:48,"SUB OUT by BIKUS,JEFF",,,,,,,"SUB OUT by BIKUS,JEFF",2
15:21,"GOOD 3PTR by HALBERT,JAXON",42,,48 (+6),,HOPE 42-48 (+6),,"GOOD 3PTR by HALBERT,JAXON",2
--,"ASSIST  by GEORGE,TYLER",,,,,,,"ASSIST  by GEORGE,TYLER",2
15:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:55,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",2
14:55,"STEAL  by HEDRICK,NOAH",,,,,,,"STEAL  by HEDRICK,NOAH",2
14:49,"MISS 3PTR by SWINEHART,BRADY",,,,,,,"MISS 3PTR by SWINEHART,BRADY",2
--,"REBOUND OFF by CHEANEY,DEVIN",,,,,,,"REBOUND OFF by CHEANEY,DEVIN",2
14:43,"TURNOVER  by HEDRICK,NOAH",,,,,,,"TURNOVER  by HEDRICK,NOAH",2
14:43,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",2
14:37,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
--,"REBOUND DEF by HEDRICK,NOAH",,,,,,,"REBOUND DEF by HEDRICK,NOAH",2
14:18,"TURNOVER  by CHEANEY,DEVIN",,,,,,,"TURNOVER  by CHEANEY,DEVIN",2
14:18,,,,,"MISS LAYUP by RYAN,JONATHAN",,,"MISS LAYUP by RYAN,JONATHAN",2
--,,,,,"REBOUND OFF by RYAN,JONATHAN",,,"REBOUND OFF by RYAN,JONATHAN",2
14:18,,42,,50 (+8),"GOOD LAYUP by RYAN,JONATHAN(in the paint)",HENDRIX 42-50 (+8),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",2
14:18,"FOUL  by GEORGE,TYLER",,,,,,,"FOUL  by GEORGE,TYLER",2
14:18,,42,,51 (+9),"GOOD FT by RYAN,JONATHAN",HENDRIX 42-51 (+9),,"GOOD FT by RYAN,JONATHAN",2
14:18,"SUB IN by BIKUS,JEFF",,,,,,,"SUB IN by BIKUS,JEFF",2
14:18,"SUB IN by STEEG,SAM VER",,,,,,,"SUB IN by STEEG,SAM VER",2
14:18,"SUB OUT by CHEANEY,DEVIN",,,,,,,"SUB OUT by CHEANEY,DEVIN",2
14:18,"SUB OUT by SWINEHART,BRADY",,,,,,,"SUB OUT by SWINEHART,BRADY",2
14:18,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
14:18,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
14:05,"MISS JUMPER by HEDRICK,NOAH",,,,,,,"MISS JUMPER by HEDRICK,NOAH",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
13:46,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",2
13:46,"BLOCK  by BIKUS,JEFF",,,,,,,"BLOCK  by BIKUS,JEFF",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:44,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",2
--,"REBOUND DEF by HALBERT,JAXON",,,,,,,"REBOUND DEF by HALBERT,JAXON",2
13:33,"TURNOVER  by HALBERT,JAXON",,,,,,,"TURNOVER  by HALBERT,JAXON",2
13:33,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",2
13:21,"FOUL  by HEDRICK,NOAH",,,,,,,"FOUL  by HEDRICK,NOAH",2
13:21,,42,,52 (+10),"GOOD FT by COMAN,SEAN",HENDRIX 42-52 (+10),,"GOOD FT by COMAN,SEAN",2
13:21,,,,,"MISS FT by COMAN,SEAN",,,"MISS FT by COMAN,SEAN",2
13:21,"SUB IN by MCKENZIE,TJ",,,,,,,"SUB IN by MCKENZIE,TJ",2
13:21,"SUB OUT by HEDRICK,NOAH",,,,,,,"SUB OUT by HEDRICK,NOAH",2
13:21,,,,,"SUB IN by ,DARVIS RASBERRY JR",,,"SUB IN by ,DARVIS RASBERRY JR",2
13:21,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
13:21,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
13:21,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
--,"REBOUND DEF by HALBERT,JAXON",,,,,,,"REBOUND DEF by HALBERT,JAXON",2
13:08,"MISS JUMPER by STEEG,SAM VER",,,,,,,"MISS JUMPER by STEEG,SAM VER",2
--,,,,,"REBOUND DEF by RYAN,JONATHAN",,,"REBOUND DEF by RYAN,JONATHAN",2
12:55,,42,,54 (+12),"GOOD LAYUP by RYAN,JONATHAN(in the paint)",HENDRIX 42-54 (+12),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",2
12:44,"GOOD 3PTR by BIKUS,JEFF",45,,54 (+9),,HOPE 45-54 (+9),,"GOOD 3PTR by BIKUS,JEFF",2
--,"ASSIST  by GEORGE,TYLER",,,,,,,"ASSIST  by GEORGE,TYLER",2
12:41,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:41,"SUB IN by HEDRICK,NOAH",,,,,,,"SUB IN by HEDRICK,NOAH",2
12:41,"SUB OUT by STEEG,SAM VER",,,,,,,"SUB OUT by STEEG,SAM VER",2
12:41,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",2
12:41,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
12:18,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",,,"MISS LAYUP by ,DARVIS RASBERRY JR",2
--,"REBOUND DEF by MCKENZIE,TJ",,,,,,,"REBOUND DEF by MCKENZIE,TJ",2
12:10,"TURNOVER  by MCKENZIE,TJ",,,,,,,"TURNOVER  by MCKENZIE,TJ",2
12:10,,,,,"STEAL  by RYAN,JONATHAN",,,"STEAL  by RYAN,JONATHAN",2
12:08,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
12:02,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",2
12:02,,,,,"TURNOVER  by RYAN,JONATHAN",,,"TURNOVER  by RYAN,JONATHAN",2
12:02,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",2
12:02,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",2
11:48,"MISS 3PTR by MCKENZIE,TJ",,,,,,,"MISS 3PTR by MCKENZIE,TJ",2
--,"REBOUND OFF by HALBERT,JAXON",,,,,,,"REBOUND OFF by HALBERT,JAXON",2
11:36,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",2
11:36,"GOOD FT by HEDRICK,NOAH",46,,54 (+8),,HOPE 46-54 (+8),,"GOOD FT by HEDRICK,NOAH",2
11:36,"GOOD FT by HEDRICK,NOAH",47,,54 (+7),,HOPE 47-54 (+7),,"GOOD FT by HEDRICK,NOAH",2
11:27,,,,,"MISS LAYUP by PARKS,JACKSON",,,"MISS LAYUP by PARKS,JACKSON",2
--,"REBOUND DEF by HALBERT,JAXON",,,,,,,"REBOUND DEF by HALBERT,JAXON",2
11:18,"GOOD LAYUP by BIKUS,JEFF(in the paint)",49,,54 (+5),,HOPE 49-54 (+5),,"GOOD LAYUP by BIKUS,JEFF(in the paint)",2
--,"ASSIST  by MCKENZIE,TJ",,,,,,,"ASSIST  by MCKENZIE,TJ",2
11:01,,,,,"MISS LAYUP by DEITHLOFF,TYLER",,,"MISS LAYUP by DEITHLOFF,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:57,"SUB IN by LILJA,JOSHUA",,,,,,,"SUB IN by LILJA,JOSHUA",2
10:57,"SUB OUT by MCKENZIE,TJ",,,,,,,"SUB OUT by MCKENZIE,TJ",2
10:57,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
10:57,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
10:57,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
10:57,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",2
10:57,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",2
10:57,,,,,"SUB OUT by ,DARVIS RASBERRY JR",,,"SUB OUT by ,DARVIS RASBERRY JR",2
10:57,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
10:57,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
10:56,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by LILJA,JOSHUA",,,,,,,"REBOUND DEF by LILJA,JOSHUA",2
10:37,"MISS JUMPER by BIKUS,JEFF",,,,,,,"MISS JUMPER by BIKUS,JEFF",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
10:19,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by BIKUS,JEFF",,,,,,,"REBOUND DEF by BIKUS,JEFF",2
09:59,"MISS JUMPER by BIKUS,JEFF",,,,,,,"MISS JUMPER by BIKUS,JEFF",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
09:33,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:26,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
09:26,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
09:26,"SUB IN by WIEGERINK,TANNER",,,,,,,"SUB IN by WIEGERINK,TANNER",2
09:26,"SUB IN by STEEG,SAM VER",,,,,,,"SUB IN by STEEG,SAM VER",2
09:26,"SUB OUT by HALBERT,JAXON",,,,,,,"SUB OUT by HALBERT,JAXON",2
09:26,"SUB OUT by HEDRICK,NOAH",,,,,,,"SUB OUT by HEDRICK,NOAH",2
09:17,"SUB IN by CHEANEY,DEVIN",,,,,,,"SUB IN by CHEANEY,DEVIN",2
09:17,"SUB OUT by BIKUS,JEFF",,,,,,,"SUB OUT by BIKUS,JEFF",2
09:08,,49,,56 (+7),"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIX 49-56 (+7),,"GOOD JUMPER by STANLEY,SETH(in the paint)",2
09:08,"FOUL  by GEORGE,TYLER",,,,,,,"FOUL  by GEORGE,TYLER",2
09:08,,49,,57 (+8),"GOOD FT by STANLEY,SETH",HENDRIX 49-57 (+8),,"GOOD FT by STANLEY,SETH",2
09:08,"SUB IN by SWINEHART,BRADY",,,,,,,"SUB IN by SWINEHART,BRADY",2
09:08,"SUB OUT by GEORGE,TYLER",,,,,,,"SUB OUT by GEORGE,TYLER",2
08:54,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",2
08:44,"MISS 3PTR by LILJA,JOSHUA",,,,,,,"MISS 3PTR by LILJA,JOSHUA",2
--,"REBOUND OFF by CHEANEY,DEVIN",,,,,,,"REBOUND OFF by CHEANEY,DEVIN",2
08:36,"TURNOVER  by WIEGERINK,TANNER",,,,,,,"TURNOVER  by WIEGERINK,TANNER",2
08:36,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",2
08:31,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",2
08:31,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",2
08:15,"GOOD LAYUP by CHEANEY,DEVIN(in the paint)",51,,57 (+6),,HOPE 51-57 (+6),,"GOOD LAYUP by CHEANEY,DEVIN(in the paint)",2
--,"ASSIST  by WIEGERINK,TANNER",,,,,,,"ASSIST  by WIEGERINK,TANNER",2
07:42,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,"REBOUND DEF by SWINEHART,BRADY",,,,,,,"REBOUND DEF by SWINEHART,BRADY",2
07:34,"MISS 3PTR by STEEG,SAM VER",,,,,,,"MISS 3PTR by STEEG,SAM VER",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
07:15,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",2
07:15,"STEAL  by SWINEHART,BRADY",,,,,,,"STEAL  by SWINEHART,BRADY",2
07:07,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
07:07,"GOOD FT by WIEGERINK,TANNER(fastbreak)",52,,57 (+5),,HOPE 52-57 (+5),,"GOOD FT by WIEGERINK,TANNER(fastbreak)",2
07:07,"GOOD FT by WIEGERINK,TANNER(fastbreak)",53,,57 (+4),,HOPE 53-57 (+4),,"GOOD FT by WIEGERINK,TANNER(fastbreak)",2
07:07,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",2
07:07,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
07:07,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",2
07:07,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
06:54,,,,,"MISS JUMPER by MCMULLIN,COLTON",,,"MISS JUMPER by MCMULLIN,COLTON",2
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",2
06:48,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by LILJA,JOSHUA",,,,,,,"REBOUND DEF by LILJA,JOSHUA",2
06:36,"TURNOVER  by LILJA,JOSHUA",,,,,,,"TURNOVER  by LILJA,JOSHUA",2
06:36,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:36,"SUB IN by GEORGE,TYLER",,,,,,,"SUB IN by GEORGE,TYLER",2
06:36,"SUB IN by HEDRICK,NOAH",,,,,,,"SUB IN by HEDRICK,NOAH",2
06:36,"SUB OUT by SWINEHART,BRADY",,,,,,,"SUB OUT by SWINEHART,BRADY",2
06:36,"SUB OUT by CHEANEY,DEVIN",,,,,,,"SUB OUT by CHEANEY,DEVIN",2
06:20,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,"REBOUND DEF by WIEGERINK,TANNER",,,,,,,"REBOUND DEF by WIEGERINK,TANNER",2
05:59,"GOOD LAYUP by WIEGERINK,TANNER(in the paint)",55,,57 (+2),,HOPE 55-57 (+2),,"GOOD LAYUP by WIEGERINK,TANNER(in the paint)",2
05:35,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by GEORGE,TYLER",,,,,,,"REBOUND DEF by GEORGE,TYLER",2
05:18,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",2
05:18,"MISS FT by GEORGE,TYLER",,,,,,,"MISS FT by GEORGE,TYLER",2
05:18,"SUB IN by HALBERT,JAXON",,,,,,,"SUB IN by HALBERT,JAXON",2
05:18,"SUB OUT by WIEGERINK,TANNER",,,,,,,"SUB OUT by WIEGERINK,TANNER",2
05:18,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
05:18,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
05:06,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:49,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
04:49,"MISS FT by LILJA,JOSHUA",,,,,,,"MISS FT by LILJA,JOSHUA",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
04:48,"FOUL  by LILJA,JOSHUA",,,,,,,"FOUL  by LILJA,JOSHUA",2
04:48,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
04:48,"SUB IN by BIKUS,JEFF",,,,,,,"SUB IN by BIKUS,JEFF",2
04:48,"SUB OUT by LILJA,JOSHUA",,,,,,,"SUB OUT by LILJA,JOSHUA",2
--,"REBOUND DEF by HALBERT,JAXON",,,,,,,"REBOUND DEF by HALBERT,JAXON",2
04:26,"MISS LAYUP by STEEG,SAM VER",,,,,,,"MISS LAYUP by STEEG,SAM VER",2
04:26,,,,,"BLOCK  by STANLEY,SETH",,,"BLOCK  by STANLEY,SETH",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
04:18,"FOUL  by HEDRICK,NOAH",,,,,,,"FOUL  by HEDRICK,NOAH",2
04:18,,55,,58 (+3),"GOOD FT by STANLEY,SETH(fastbreak)",HENDRIX 55-58 (+3),,"GOOD FT by STANLEY,SETH(fastbreak)",2
04:18,,55,,59 (+4),"GOOD FT by STANLEY,SETH(fastbreak)",HENDRIX 55-59 (+4),,"GOOD FT by STANLEY,SETH(fastbreak)",2
04:04,"MISS 3PTR by HALBERT,JAXON",,,,,,,"MISS 3PTR by HALBERT,JAXON",2
--,"REBOUND OFF by STEEG,SAM VER",,,,,,,"REBOUND OFF by STEEG,SAM VER",2
03:53,"MISS LAYUP by HEDRICK,NOAH",,,,,,,"MISS LAYUP by HEDRICK,NOAH",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
03:35,,,,,"TURNOVER  by MCMULLIN,COLTON",,,"TURNOVER  by MCMULLIN,COLTON",2
03:35,"STEAL  by HEDRICK,NOAH",,,,,,,"STEAL  by HEDRICK,NOAH",2
03:18,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
03:18,"GOOD FT by BIKUS,JEFF",56,,59 (+3),,HOPE 56-59 (+3),,"GOOD FT by BIKUS,JEFF",2
03:18,"GOOD FT by BIKUS,JEFF",57,,59 (+2),,HOPE 57-59 (+2),,"GOOD FT by BIKUS,JEFF",2
03:18,"SUB IN by WIEGERINK,TANNER",,,,,,,"SUB IN by WIEGERINK,TANNER",2
03:18,"SUB OUT by STEEG,SAM VER",,,,,,,"SUB OUT by STEEG,SAM VER",2
03:01,"FOUL  by HALBERT,JAXON",,,,,,,"FOUL  by HALBERT,JAXON",2
03:01,,57,,60 (+3),"GOOD FT by FITCH,CARL",HENDRIX 57-60 (+3),,"GOOD FT by FITCH,CARL",2
03:01,,57,,61 (+4),"GOOD FT by FITCH,CARL",HENDRIX 57-61 (+4),,"GOOD FT by FITCH,CARL",2
03:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:45,"MISS LAYUP by GEORGE,TYLER",,,,,,,"MISS LAYUP by GEORGE,TYLER",2
--,"REBOUND OFF by HALBERT,JAXON",,,,,,,"REBOUND OFF by HALBERT,JAXON",2
02:39,"GOOD 3PTR by BIKUS,JEFF",60,,61 (+1),,HOPE 60-61 (+1),,"GOOD 3PTR by BIKUS,JEFF",2
--,"ASSIST  by HALBERT,JAXON",,,,,,,"ASSIST  by HALBERT,JAXON",2
02:24,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,"REBOUND DEF by HEDRICK,NOAH",,,,,,,"REBOUND DEF by HEDRICK,NOAH",2
02:05,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
02:05,"MISS FT by BIKUS,JEFF",,,,,,,"MISS FT by BIKUS,JEFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:05,"GOOD FT by BIKUS,JEFF",61,,61,,HOPE 61-61 (0),,"GOOD FT by BIKUS,JEFF",2
02:05,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",2
02:05,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
02:05,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",2
02:05,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
01:41,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by BIKUS,JEFF",,,,,,,"REBOUND DEF by BIKUS,JEFF",2
01:26,"TURNOVER  by BIKUS,JEFF",,,,,,,"TURNOVER  by BIKUS,JEFF",2
01:26,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",2
01:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:00,,61,,63 (+2),"GOOD JUMPER by PARKS,JACKSON",HENDRIX 61-63 (+2),,"GOOD JUMPER by PARKS,JACKSON",2
00:50,"GOOD LAYUP by HEDRICK,NOAH(in the paint)",63,,63,,HOPE 63-63 (0),,"GOOD LAYUP by HEDRICK,NOAH(in the paint)",2
00:38,,,,,"MISS LAYUP by PARKS,JACKSON",,,"MISS LAYUP by PARKS,JACKSON",2
--,"REBOUND DEF by BIKUS,JEFF",,,,,,,"REBOUND DEF by BIKUS,JEFF",2
00:30,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:07,"MISS 3PTR by GEORGE,TYLER",,,,,,,"MISS 3PTR by GEORGE,TYLER",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
00:02,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",2
00:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:00,"MISS 3PTR by GEORGE,TYLER",,,,,,,"MISS 3PTR by GEORGE,TYLER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:00,"SUB OUT by WIEGERINK,TANNER",,,,,,,"SUB OUT by WIEGERINK,TANNER",3
04:46,"MISS 3PTR by BIKUS,JEFF",,,,,,,"MISS 3PTR by BIKUS,JEFF",3
--,"REBOUND OFF by LILJA,JOSHUA",,,,,,,"REBOUND OFF by LILJA,JOSHUA",3
04:30,"MISS JUMPER by HEDRICK,NOAH",,,,,,,"MISS JUMPER by HEDRICK,NOAH",3
--,"REBOUND OFF by HALBERT,JAXON",,,,,,,"REBOUND OFF by HALBERT,JAXON",3
04:24,"GOOD LAYUP by HALBERT,JAXON(in the paint)",65 (+2),,63,,HOPE 65-63 (-2),,"GOOD LAYUP by HALBERT,JAXON(in the paint)",3
03:55,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",3
--,"REBOUND DEF by LILJA,JOSHUA",,,,,,,"REBOUND DEF by LILJA,JOSHUA",3
03:43,"MISS 3PTR by BIKUS,JEFF",,,,,,,"MISS 3PTR by BIKUS,JEFF",3
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,3
03:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,3
03:20,"GOOD LAYUP by HEDRICK,NOAH(in the paint)",67 (+4),,63,,HOPE 67-63 (-4),,"GOOD LAYUP by HEDRICK,NOAH(in the paint)",3
03:11,"FOUL  by LILJA,JOSHUA",,,,,,,"FOUL  by LILJA,JOSHUA",3
03:11,,67 (+3),,64,"GOOD FT by PARKS,JACKSON",HENDRIX 67-64 (-3),,"GOOD FT by PARKS,JACKSON",3
03:11,,67 (+2),,65,"GOOD FT by PARKS,JACKSON",HENDRIX 67-65 (-2),,"GOOD FT by PARKS,JACKSON",3
03:11,"SUB IN by WIEGERINK,TANNER",,,,,,,"SUB IN by WIEGERINK,TANNER",3
03:11,"SUB OUT by LILJA,JOSHUA",,,,,,,"SUB OUT by LILJA,JOSHUA",3
02:55,"MISS LAYUP by WIEGERINK,TANNER",,,,,,,"MISS LAYUP by WIEGERINK,TANNER",3
02:55,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",3
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",3
02:45,,67,,67,"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 67-67 (0),,"GOOD LAYUP by STANLEY,SETH(in the paint)",3
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",3
02:19,"GOOD 3PTR by HEDRICK,NOAH",70 (+3),,67,,HOPE 70-67 (-3),,"GOOD 3PTR by HEDRICK,NOAH",3
--,"ASSIST  by WIEGERINK,TANNER",,,,,,,"ASSIST  by WIEGERINK,TANNER",3
02:09,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",3
--,"REBOUND DEF by HEDRICK,NOAH",,,,,,,"REBOUND DEF by HEDRICK,NOAH",3
01:37,"MISS JUMPER by HEDRICK,NOAH",,,,,,,"MISS JUMPER by HEDRICK,NOAH",3
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",3
01:14,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",3
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",3
