Time Remaining,DALLAS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
01:44,,,,,"TURNOVER  by BOWER,CARSON",,,"TURNOVER  by BOWER,CARSON",2
01:24,"MISS JUMPER by HOLLOWAY,MATT",,,,,,,"MISS JUMPER by HOLLOWAY,MATT",2
--,"REBOUND OFF by HOLLOWAY,MATT",,,,,,,"REBOUND OFF by HOLLOWAY,MATT",2
01:12,"MISS 3PTR by WASHINGTON,UNIIKYE",,,,,,,"MISS 3PTR by WASHINGTON,UNIIKYE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:11,,,,,"FOUL  by HURT,SEVAN",,,"FOUL  by HURT,SEVAN",2
01:11,"GOOD FT by WILLIAMS,TJ",55,,74 (+19),,DALLAS 55-74 (+19),,"GOOD FT by WILLIAMS,TJ",2
01:11,"GOOD FT by WILLIAMS,TJ",56,,74 (+18),,DALLAS 56-74 (+18),,"GOOD FT by WILLIAMS,TJ",2
00:57,,56,,76 (+20),"GOOD LAYUP by BOWER,CARSON(in the paint)",HENDRIX 56-76 (+20),,"GOOD LAYUP by BOWER,CARSON(in the paint)",2
00:42,"GOOD LAYUP by WASHINGTON,UNIIKYE(in the paint)",58,,76 (+18),,DALLAS 58-76 (+18),,"GOOD LAYUP by WASHINGTON,UNIIKYE(in the paint)",2
00:28,"FOUL  by DWYER,BLAKE",,,,,,,"FOUL  by DWYER,BLAKE",2
00:28,,58,,77 (+19),"GOOD FT by WEAVER,BRADEN",HENDRIX 58-77 (+19),,"GOOD FT by WEAVER,BRADEN",2
00:28,,58,,78 (+20),"GOOD FT by WEAVER,BRADEN",HENDRIX 58-78 (+20),,"GOOD FT by WEAVER,BRADEN",2
00:14,,,,,"FOUL  by GIBSON,JASON",,,"FOUL  by GIBSON,JASON",2
00:14,"MISS FT by WASHINGTON,UNIIKYE",,,,,,,"MISS FT by WASHINGTON,UNIIKYE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:14,"GOOD FT by WASHINGTON,UNIIKYE",59,,78 (+19),,DALLAS 59-78 (+19),,"GOOD FT by WASHINGTON,UNIIKYE",2
