Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,ATU,Game Score,Team Indicator,Play,Period
13:27,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",2
13:27,,,,,"STEAL  by KENNEDY,CAM",,,"STEAL  by KENNEDY,CAM",2
13:20,,,,,"MISS JUMPER by PETER,TAELON",,,"MISS JUMPER by PETER,TAELON",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
13:14,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",2
13:14,,,,,"STEAL  by JOHNSON,BJ",,,"STEAL  by JOHNSON,BJ",2
12:55,,,,,"MISS LAYUP by PERRY,CZAR",,,"MISS LAYUP by PERRY,CZAR",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
12:45,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",2
12:45,,,,,"STEAL  by PETER,TAELON",,,"STEAL  by PETER,TAELON",2
12:38,,27,,41 (+14),"GOOD DUNK by PETER,TAELON(fastbreak)(in the paint)",ATU 27-41 (-14),,"GOOD DUNK by PETER,TAELON(fastbreak)(in the paint)",2
12:18,"MISS LAYUP by PARKS,JACKSON",,,,,,,"MISS LAYUP by PARKS,JACKSON",2
--,,,,,"REBOUND DEF by GOSNELL,NIKO",,,"REBOUND DEF by GOSNELL,NIKO",2
12:06,,,,,"MISS JUMPER by KENNEDY,CAM",,,"MISS JUMPER by KENNEDY,CAM",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
11:58,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by JOHNSON,BJ",,,"REBOUND DEF by JOHNSON,BJ",2
11:48,,,,,"MISS JUMPER by PERRY,CZAR",,,"MISS JUMPER by PERRY,CZAR",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
11:17,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",2
11:12,,,,,"FOUL  by GOSNELL,NIKO",,,"FOUL  by GOSNELL,NIKO",2
11:07,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:07,"GOOD FT by CONRAD,ALEX",28,,41 (+13),,HENDRIX 28-41 (-13),,"GOOD FT by CONRAD,ALEX",2
11:07,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by HALE,CADEN",,,"REBOUND DEF by HALE,CADEN",2
11:07,,,,,"MISS JUMPER by HALL,TONY",,,"MISS JUMPER by HALL,TONY",2
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",2
11:07,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",2
11:07,,,,,"STEAL  by KENNEDY,CAM",,,"STEAL  by KENNEDY,CAM",2
11:07,,28,,44 (+16),"GOOD 3PTR by HALE,CADEN",ATU 28-44 (-16),,"GOOD 3PTR by HALE,CADEN",2
--,,,,,"ASSIST  by KENNEDY,CAM",,,"ASSIST  by KENNEDY,CAM",2
11:07,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
11:07,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",2
11:07,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",2
11:07,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",2
11:07,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",2
11:07,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
11:07,,,,,"SUB IN by HALE,CADEN",,,"SUB IN by HALE,CADEN",2
11:07,,,,,"SUB IN by HOWARD,KEVIN",,,"SUB IN by HOWARD,KEVIN",2
11:07,,,,,"SUB IN by HALL,TONY",,,"SUB IN by HALL,TONY",2
11:07,,,,,"SUB IN by ALLEN,CALVIN",,,"SUB IN by ALLEN,CALVIN",2
11:07,,,,,"SUB OUT by JOHNSON,BJ",,,"SUB OUT by JOHNSON,BJ",2
11:07,,,,,"SUB OUT by PETER,TAELON",,,"SUB OUT by PETER,TAELON",2
11:07,,,,,"SUB OUT by PERRY,CZAR",,,"SUB OUT by PERRY,CZAR",2
11:07,,,,,"SUB OUT by GOSNELL,NIKO",,,"SUB OUT by GOSNELL,NIKO",2
09:55,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,,,,,"REBOUND DEF by ALLEN,CALVIN",,,"REBOUND DEF by ALLEN,CALVIN",2
09:46,,,,,"MISS JUMPER by ALLEN,CALVIN",,,"MISS JUMPER by ALLEN,CALVIN",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
09:18,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND DEF by ALLEN,CALVIN",,,"REBOUND DEF by ALLEN,CALVIN",2
09:09,,,,,"MISS JUMPER by HALE,CADEN",,,"MISS JUMPER by HALE,CADEN",2
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",2
08:52,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",2
08:52,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
08:39,"MISS 3PTR by ,DARVIS RASBERRY JR",,,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:34,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",2
08:34,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
08:34,,,,,"SUB IN by RAGLAND,ISAAC",,,"SUB IN by RAGLAND,ISAAC",2
08:34,,,,,"SUB OUT by KENNEDY,CAM",,,"SUB OUT by KENNEDY,CAM",2
08:33,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",2
--,,,,,"REBOUND DEF by HALE,CADEN",,,"REBOUND DEF by HALE,CADEN",2
08:13,,,,,"TURNOVER  by RAGLAND,ISAAC",,,"TURNOVER  by RAGLAND,ISAAC",2
08:13,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
08:06,,,,,"SUB IN by JOHNSON,BJ",,,"SUB IN by JOHNSON,BJ",2
08:06,,,,,"SUB IN by PERRY,CZAR",,,"SUB IN by PERRY,CZAR",2
08:06,,,,,"SUB OUT by HALE,CADEN",,,"SUB OUT by HALE,CADEN",2
08:06,,,,,"SUB OUT by ALLEN,CALVIN",,,"SUB OUT by ALLEN,CALVIN",2
07:51,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",2
07:51,,,,,"BLOCK  by RAGLAND,ISAAC",,,"BLOCK  by RAGLAND,ISAAC",2
--,,,,,"REBOUND DEF by PERRY,CZAR",,,"REBOUND DEF by PERRY,CZAR",2
07:30,,,,,"MISS 3PTR by RAGLAND,ISAAC",,,"MISS 3PTR by RAGLAND,ISAAC",2
--,,,,,"REBOUND OFF by HOWARD,KEVIN",,,"REBOUND OFF by HOWARD,KEVIN",2
07:23,,28,,46 (+18),"GOOD LAYUP by HOWARD,KEVIN(in the paint)",ATU 28-46 (-18),,"GOOD LAYUP by HOWARD,KEVIN(in the paint)",2
07:13,"GOOD 3PTR by EATON,JACK",31,,46 (+15),,HENDRIX 31-46 (-15),,"GOOD 3PTR by EATON,JACK",2
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",2
07:01,,,,,"MISS 3PTR by JOHNSON,BJ",,,"MISS 3PTR by JOHNSON,BJ",2
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",2
06:54,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",33,,46 (+13),,HENDRIX 33-46 (-13),,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",2
--,"ASSIST  by RYAN,JONATHAN",,,,,,,"ASSIST  by RYAN,JONATHAN",2
06:29,,33,,49 (+16),"GOOD 3PTR by RAGLAND,ISAAC",ATU 33-49 (-16),,"GOOD 3PTR by RAGLAND,ISAAC",2
--,,,,,"ASSIST  by PERRY,CZAR",,,"ASSIST  by PERRY,CZAR",2
06:07,"MISS JUMPER by RYAN,JONATHAN",,,,,,,"MISS JUMPER by RYAN,JONATHAN",2
--,,,,,"REBOUND DEF by JOHNSON,BJ",,,"REBOUND DEF by JOHNSON,BJ",2
05:39,,33,,51 (+18),"GOOD LAYUP by RAGLAND,ISAAC(in the paint)",ATU 33-51 (-18),,"GOOD LAYUP by RAGLAND,ISAAC(in the paint)",2
05:37,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",2
05:37,,33,,52 (+19),"GOOD FT by RAGLAND,ISAAC",ATU 33-52 (-19),,"GOOD FT by RAGLAND,ISAAC",2
05:37,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
05:37,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",2
05:37,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",2
05:37,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",2
05:37,,,,,"SUB IN by GOSNELL,NIKO",,,"SUB IN by GOSNELL,NIKO",2
05:37,,,,,"SUB IN by PETER,TAELON",,,"SUB IN by PETER,TAELON",2
05:37,,,,,"SUB OUT by HOWARD,KEVIN",,,"SUB OUT by HOWARD,KEVIN",2
05:37,,,,,"SUB OUT by RAGLAND,ISAAC",,,"SUB OUT by RAGLAND,ISAAC",2
05:30,"GOOD 3PTR by STANLEY,SETH",36,,52 (+16),,HENDRIX 36-52 (-16),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by ,DARVIS RASBERRY JR",,,,,,,"ASSIST  by ,DARVIS RASBERRY JR",2
05:00,,,,,"MISS JUMPER by PERRY,CZAR",,,"MISS JUMPER by PERRY,CZAR",2
05:00,"BLOCK  by PARKS,JACKSON",,,,,,,"BLOCK  by PARKS,JACKSON",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
04:47,,,,,"FOUL  by JOHNSON,BJ",,,"FOUL  by JOHNSON,BJ",2
04:21,"GOOD FT by STANLEY,SETH",37,,52 (+15),,HENDRIX 37-52 (-15),,"GOOD FT by STANLEY,SETH",2
04:08,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",2
04:08,,,,,"FOUL TECH by PERRY,CZAR",,,"FOUL TECH by PERRY,CZAR",2
04:08,,,,,"FOUL  by PERRY,CZAR",,,"FOUL  by PERRY,CZAR",2
04:08,,,,,"TURNOVER  by PERRY,CZAR",,,"TURNOVER  by PERRY,CZAR",2
04:08,"GOOD FT by STANLEY,SETH",38,,52 (+14),,HENDRIX 38-52 (-14),,"GOOD FT by STANLEY,SETH",2
04:08,"GOOD FT by STANLEY,SETH",39,,52 (+13),,HENDRIX 39-52 (-13),,"GOOD FT by STANLEY,SETH",2
04:08,"FOUL TECH by PARKS,JACKSON",,,,,,,"FOUL TECH by PARKS,JACKSON",2
04:08,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",2
04:08,,,,,"FOUL TECH by PETER,TAELON",,,"FOUL TECH by PETER,TAELON",2
04:08,,,,,"FOUL  by PETER,TAELON",,,"FOUL  by PETER,TAELON",2
04:08,,,,,"TURNOVER  by PETER,TAELON",,,"TURNOVER  by PETER,TAELON",2
04:07,"GOOD FT by STANLEY,SETH",40,,52 (+12),,HENDRIX 40-52 (-12),,"GOOD FT by STANLEY,SETH",2
03:59,"GOOD JUMPER by STANLEY,SETH",42,,52 (+10),,HENDRIX 42-52 (-10),,"GOOD JUMPER by STANLEY,SETH",2
03:35,,,,,"MISS 3PTR by HALL,TONY",,,"MISS 3PTR by HALL,TONY",2
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",2
03:27,"GOOD JUMPER by STANLEY,SETH(in the paint)",44,,52 (+8),,HENDRIX 44-52 (-8),,"GOOD JUMPER by STANLEY,SETH(in the paint)",2
03:17,,,,,"FOUL  by PERRY,CZAR",,,"FOUL  by PERRY,CZAR",2
03:12,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:12,"GOOD FT by STANLEY,SETH",45,,52 (+7),,HENDRIX 45-52 (-7),,"GOOD FT by STANLEY,SETH",2
03:06,,,,,"MISS JUMPER by PETER,TAELON",,,"MISS JUMPER by PETER,TAELON",2
--,,,,,"REBOUND OFF by JOHNSON,BJ",,,"REBOUND OFF by JOHNSON,BJ",2
02:58,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
02:58,,45,,53 (+8),"GOOD FT by JOHNSON,BJ",ATU 45-53 (-8),,"GOOD FT by JOHNSON,BJ",2
02:58,,45,,54 (+9),"GOOD FT by JOHNSON,BJ",ATU 45-54 (-9),,"GOOD FT by JOHNSON,BJ",2
02:42,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",2
--,"REBOUND OFF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",2
02:36,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND OFF by PARKS,JACKSON",,,,,,,"REBOUND OFF by PARKS,JACKSON",2
02:30,"GOOD JUMPER by ,DARVIS RASBERRY JR(in the paint)",47,,54 (+7),,HENDRIX 47-54 (-7),,"GOOD JUMPER by ,DARVIS RASBERRY JR(in the paint)",2
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",2
02:02,,,,,"MISS 3PTR by HALL,TONY",,,"MISS 3PTR by HALL,TONY",2
--,,,,,"REBOUND OFF by JOHNSON,BJ",,,"REBOUND OFF by JOHNSON,BJ",2
01:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
01:46,,,,,"MISS JUMPER by PERRY,CZAR",,,"MISS JUMPER by PERRY,CZAR",2
--,,,,,"REBOUND OFF by JOHNSON,BJ",,,"REBOUND OFF by JOHNSON,BJ",2
01:37,"FOUL  by ,DARVIS RASBERRY JR",,,,,,,"FOUL  by ,DARVIS RASBERRY JR",2
01:32,,,,,"MISS FT by GOSNELL,NIKO",,,"MISS FT by GOSNELL,NIKO",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:32,,,,,"MISS FT by GOSNELL,NIKO",,,"MISS FT by GOSNELL,NIKO",2
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",2
01:29,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by GOSNELL,NIKO",,,"REBOUND DEF by GOSNELL,NIKO",2
01:15,,,,,"MISS 3PTR by PETER,TAELON",,,"MISS 3PTR by PETER,TAELON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:58,"MISS 3PTR by FITCH,CARL",,,,,,,"MISS 3PTR by FITCH,CARL",2
--,"REBOUND OFF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",2
00:52,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",49,,54 (+5),,HENDRIX 49-54 (-5),,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",2
00:51,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:50,,,,,"FOUL  by HOWARD,KEVIN",,,"FOUL  by HOWARD,KEVIN",2
00:50,"MISS FT by ,DARVIS RASBERRY JR",,,,,,,"MISS FT by ,DARVIS RASBERRY JR",2
--,,,,,"REBOUND DEF by HOWARD,KEVIN",,,"REBOUND DEF by HOWARD,KEVIN",2
00:50,,,,,"SUB IN by HOWARD,KEVIN",,,"SUB IN by HOWARD,KEVIN",2
00:50,,,,,"SUB OUT by GOSNELL,NIKO",,,"SUB OUT by GOSNELL,NIKO",2
00:30,,49,,56 (+7),"GOOD LAYUP by PERRY,CZAR(in the paint)",ATU 49-56 (-7),,"GOOD LAYUP by PERRY,CZAR(in the paint)",2
00:24,,,,,"FOUL  by PERRY,CZAR",,,"FOUL  by PERRY,CZAR",2
00:21,"GOOD FT by EATON,JACK(fastbreak)",50,,56 (+6),,HENDRIX 50-56 (-6),,"GOOD FT by EATON,JACK(fastbreak)",2
00:21,"GOOD FT by EATON,JACK(fastbreak)",51,,56 (+5),,HENDRIX 51-56 (-5),,"GOOD FT by EATON,JACK(fastbreak)",2
00:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:21,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:15,,,,,"MISS JUMPER by JOHNSON,BJ",,,"MISS JUMPER by JOHNSON,BJ",2
--,,,,,"REBOUND OFF by HOWARD,KEVIN",,,"REBOUND OFF by HOWARD,KEVIN",2
00:12,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
00:12,,51,,57 (+6),"GOOD FT by PERRY,CZAR",ATU 51-57 (-6),,"GOOD FT by PERRY,CZAR",2
00:12,,51,,58 (+7),"GOOD FT by PERRY,CZAR",ATU 51-58 (-7),,"GOOD FT by PERRY,CZAR",2
00:07,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by PETER,TAELON",,,"REBOUND DEF by PETER,TAELON",2
