Time Remaining,AUSTIN,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by RASBERRY JR.,DARVIS",,,"REBOUND DEF by RASBERRY JR.,DARVIS",2
03:58,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:56,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
03:56,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",2
03:47,"MISS LAYUP by JASON JONES,JR",,,,,,,"MISS LAYUP by JASON JONES,JR",2
--,"REBOUND OFF by GOODMAN,CHANSTON",,,,,,,"REBOUND OFF by GOODMAN,CHANSTON",2
03:41,"GOOD LAYUP by GOODMAN,CHANSTON(in the paint)",69,,86 (+17),,AUSTIN 69-86 (+17),,"GOOD LAYUP by GOODMAN,CHANSTON(in the paint)",2
03:28,,69,,88 (+19),"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",HENDRIX 69-88 (+19),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",2
03:09,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",2
03:09,"MISS FT by BENNETT,KALEB",,,,,,,"MISS FT by BENNETT,KALEB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:09,"GOOD FT by BENNETT,KALEB",70,,88 (+18),,AUSTIN 70-88 (+18),,"GOOD FT by BENNETT,KALEB",2
03:09,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
03:09,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
02:58,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS",,,"MISS JUMPER by RASBERRY JR.,DARVIS",2
--,"REBOUND DEF by GOODMAN,CHANSTON",,,,,,,"REBOUND DEF by GOODMAN,CHANSTON",2
02:48,"GOOD JUMPER by ANTOSCA,CHASE",72,,88 (+16),,AUSTIN 72-88 (+16),,"GOOD JUMPER by ANTOSCA,CHASE",2
--,"ASSIST  by BENNETT,KALEB",,,,,,,"ASSIST  by BENNETT,KALEB",2
02:30,,72,,90 (+18),"GOOD JUMPER by RASBERRY JR.,DARVIS",HENDRIX 72-90 (+18),,"GOOD JUMPER by RASBERRY JR.,DARVIS",2
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",2
02:17,"MISS JUMPER by BENNETT,KALEB",,,,,,,"MISS JUMPER by BENNETT,KALEB",2
--,,,,,"REBOUND DEF by RYAN,JONATHAN",,,"REBOUND DEF by RYAN,JONATHAN",2
02:05,,72,,92 (+20),"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",HENDRIX 72-92 (+20),,"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",2
01:34,"MISS 3PTR by GOODMAN,CHANSTON",,,,,,,"MISS 3PTR by GOODMAN,CHANSTON",2
--,"REBOUND OFF by BENNETT,KALEB",,,,,,,"REBOUND OFF by BENNETT,KALEB",2
01:28,"GOOD LAYUP by BENNETT,KALEB(in the paint)",74,,92 (+18),,AUSTIN 74-92 (+18),,"GOOD LAYUP by BENNETT,KALEB(in the paint)",2
01:10,"BLOCK  by JASON JONES,JR",,,,,,,"BLOCK  by JASON JONES,JR",2
01:10,,,,,"MISS JUMPER by WEAVER,BRADEN",,,"MISS JUMPER by WEAVER,BRADEN",2
--,,,,,"REBOUND OFF by RYAN,JONATHAN",,,"REBOUND OFF by RYAN,JONATHAN",2
01:03,,,,,"MISS JUMPER by RYAN,JONATHAN",,,"MISS JUMPER by RYAN,JONATHAN",2
--,,,,,"REBOUND OFF by RASBERRY JR.,DARVIS",,,"REBOUND OFF by RASBERRY JR.,DARVIS",2
01:00,,74,,94 (+20),"GOOD LAYUP by RASBERRY JR.,DARVIS(in the paint)",HENDRIX 74-94 (+20),,"GOOD LAYUP by RASBERRY JR.,DARVIS(in the paint)",2
01:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:00,"SUB IN by LAWRENCE,JOHNATHAN",,,,,,,"SUB IN by LAWRENCE,JOHNATHAN",2
01:00,"SUB OUT by ANTOSCA,CHASE",,,,,,,"SUB OUT by ANTOSCA,CHASE",2
01:00,,,,,"SUB IN by GIBSON,JASON",,,"SUB IN by GIBSON,JASON",2
01:00,,,,,"SUB IN by HURT,SEVAN",,,"SUB IN by HURT,SEVAN",2
01:00,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
01:00,,,,,"SUB OUT by RASBERRY JR.,DARVIS",,,"SUB OUT by RASBERRY JR.,DARVIS",2
00:40,"MISS 3PTR by BENNETT,KALEB",,,,,,,"MISS 3PTR by BENNETT,KALEB",2
--,"REBOUND OFF by RENNIE,JACKSON",,,,,,,"REBOUND OFF by RENNIE,JACKSON",2
00:34,"GOOD JUMPER by RENNIE,JACKSON",76,,94 (+18),,AUSTIN 76-94 (+18),,"GOOD JUMPER by RENNIE,JACKSON",2
00:19,,,,,"TURNOVER  by BOWER,CARSON",,,"TURNOVER  by BOWER,CARSON",2
00:18,"STEAL  by LAWRENCE,JOHNATHAN",,,,,,,"STEAL  by LAWRENCE,JOHNATHAN",2
00:02,"MISS 3PTR by RENNIE,JACKSON",,,,,,,"MISS 3PTR by RENNIE,JACKSON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
