Time Remaining,WC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
09:00,"MISS LAYUP by SOW,BILAL",,,,,,,"MISS LAYUP by SOW,BILAL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:58,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
08:58,"SUB IN by BIRD,BRYCE",,,,,,,"SUB IN by BIRD,BRYCE",1
08:58,"SUB IN by MANSFIELD,JEFFERY",,,,,,,"SUB IN by MANSFIELD,JEFFERY",1
08:58,"SUB OUT by LARKIN,TODD",,,,,,,"SUB OUT by LARKIN,TODD",1
08:58,"SUB OUT by LEWIS,JAYDEN",,,,,,,"SUB OUT by LEWIS,JAYDEN",1
08:58,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
08:58,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
08:58,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
08:58,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
08:56,"TURNOVER  by SOW,BILAL",,,,,,,"TURNOVER  by SOW,BILAL",1
08:56,,,,,"STEAL  by RYAN,JONATHAN",,,"STEAL  by RYAN,JONATHAN",1
08:54,"FOUL  by SOW,BILAL",,,,,,,"FOUL  by SOW,BILAL",1
08:54,,17 (+3),,14,"GOOD FT by CONRAD,ALEX(fastbreak)",HENDRIX 17-14 (-3),,"GOOD FT by CONRAD,ALEX(fastbreak)",1
08:54,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by MANSFIELD,JEFFERY",,,,,,,"REBOUND DEF by MANSFIELD,JEFFERY",1
08:36,"MISS JUMPER by MANSFIELD,JEFFERY",,,,,,,"MISS JUMPER by MANSFIELD,JEFFERY",1
--,,,,,"REBOUND DEF by RYAN,JONATHAN",,,"REBOUND DEF by RYAN,JONATHAN",1
08:29,,17 (+1),,16,"GOOD JUMPER by RYAN,JONATHAN(fastbreak)(in the paint)",HENDRIX 17-16 (-1),,"GOOD JUMPER by RYAN,JONATHAN(fastbreak)(in the paint)",1
08:04,"MISS 3PTR by SOW,BILAL",,,,,,,"MISS 3PTR by SOW,BILAL",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
07:51,,17,,18 (+1),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 17-18 (+1),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",1
07:43,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:43,"SUB IN by AARON,COLLMANN",,,,,,,"SUB IN by AARON,COLLMANN",1
07:43,"SUB IN by FREEMAN,ANTHONY",,,,,,,"SUB IN by FREEMAN,ANTHONY",1
07:43,"SUB OUT by CLARK,ANDREW",,,,,,,"SUB OUT by CLARK,ANDREW",1
07:43,"SUB OUT by SOW,BILAL",,,,,,,"SUB OUT by SOW,BILAL",1
07:43,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
07:43,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
07:32,"GOOD 3PTR by AARON,COLLMANN",20 (+2),,18,,WC 20-18 (-2),,"GOOD 3PTR by AARON,COLLMANN",1
--,"ASSIST  by MANSFIELD,JEFFERY",,,,,,,"ASSIST  by MANSFIELD,JEFFERY",1
07:05,"FOUL  by ACHIREM,OBED",,,,,,,"FOUL  by ACHIREM,OBED",1
07:05,,,,,"MISS FT by RYAN,JONATHAN",,,"MISS FT by RYAN,JONATHAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:05,,20 (+1),,19,"GOOD FT by RYAN,JONATHAN",HENDRIX 20-19 (-1),,"GOOD FT by RYAN,JONATHAN",1
06:38,"GOOD JUMPER by MANSFIELD,JEFFERY(in the paint)",22 (+3),,19,,WC 22-19 (-3),,"GOOD JUMPER by MANSFIELD,JEFFERY(in the paint)",1
06:14,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND DEF by ACHIREM,OBED",,,,,,,"REBOUND DEF by ACHIREM,OBED",1
06:04,"MISS 3PTR by FREEMAN,ANTHONY",,,,,,,"MISS 3PTR by FREEMAN,ANTHONY",1
--,,,,,"REBOUND DEF by RYAN,JONATHAN",,,"REBOUND DEF by RYAN,JONATHAN",1
05:57,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,"REBOUND DEF by AARON,COLLMANN",,,,,,,"REBOUND DEF by AARON,COLLMANN",1
05:45,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
05:45,"GOOD FT by MANSFIELD,JEFFERY",23 (+4),,19,,WC 23-19 (-4),,"GOOD FT by MANSFIELD,JEFFERY",1
05:45,"GOOD FT by MANSFIELD,JEFFERY",24 (+5),,19,,WC 24-19 (-5),,"GOOD FT by MANSFIELD,JEFFERY",1
05:45,"SUB IN by LEWIS,JAYDEN",,,,,,,"SUB IN by LEWIS,JAYDEN",1
05:45,"SUB OUT by FREEMAN,ANTHONY",,,,,,,"SUB OUT by FREEMAN,ANTHONY",1
05:45,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
05:45,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
05:31,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
05:31,"BLOCK  by AARON,COLLMANN",,,,,,,"BLOCK  by AARON,COLLMANN",1
--,"REBOUND DEF by MANSFIELD,JEFFERY",,,,,,,"REBOUND DEF by MANSFIELD,JEFFERY",1
05:25,"TURNOVER  by LEWIS,JAYDEN",,,,,,,"TURNOVER  by LEWIS,JAYDEN",1
05:25,,,,,"STEAL  by EATON,JACK",,,"STEAL  by EATON,JACK",1
05:05,,24 (+3),,21,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",HENDRIX 24-21 (-3),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",1
04:55,"GOOD JUMPER by LEWIS,JAYDEN(in the paint)",26 (+5),,21,,WC 26-21 (-5),,"GOOD JUMPER by LEWIS,JAYDEN(in the paint)",1
--,"ASSIST  by BIRD,BRYCE",,,,,,,"ASSIST  by BIRD,BRYCE",1
04:38,"FOUL  by AARON,COLLMANN",,,,,,,"FOUL  by AARON,COLLMANN",1
04:38,,26 (+4),,22,"GOOD FT by CONRAD,ALEX",HENDRIX 26-22 (-4),,"GOOD FT by CONRAD,ALEX",1
04:38,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
04:38,"SUB IN by SOW,BILAL",,,,,,,"SUB IN by SOW,BILAL",1
04:38,"SUB IN by MITCHELL,TRAVIS",,,,,,,"SUB IN by MITCHELL,TRAVIS",1
04:38,"SUB IN by CLARK,ANDREW",,,,,,,"SUB IN by CLARK,ANDREW",1
04:38,"SUB OUT by AARON,COLLMANN",,,,,,,"SUB OUT by AARON,COLLMANN",1
04:38,"SUB OUT by BIRD,BRYCE",,,,,,,"SUB OUT by BIRD,BRYCE",1
04:38,"SUB OUT by ACHIREM,OBED",,,,,,,"SUB OUT by ACHIREM,OBED",1
04:38,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
04:38,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
04:38,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
04:38,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
--,"REBOUND DEF by CLARK,ANDREW",,,,,,,"REBOUND DEF by CLARK,ANDREW",1
04:21,"MISS LAYUP by LEWIS,JAYDEN",,,,,,,"MISS LAYUP by LEWIS,JAYDEN",1
04:21,,,,,"BLOCK  by STANLEY,SETH",,,"BLOCK  by STANLEY,SETH",1
