Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
05:31,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
05:31,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
05:31,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
05:31,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
05:31,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
05:24,,21 (+1),,20,"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 21-20 (-1),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
05:03,"GOOD 3PTR by ROELKE,KAMREN",24 (+4),,20,,OZARKS 24-20 (-4),,"GOOD 3PTR by ROELKE,KAMREN",1
--,"ASSIST  by JANGA,ELVIS",,,,,,,"ASSIST  by JANGA,ELVIS",1
05:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:50,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
04:38,"MISS 3PTR by FINLEY,GARRET",,,,,,,"MISS 3PTR by FINLEY,GARRET",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
04:27,,,,,"MISS LAYUP by RYAN,JONATHAN",,,"MISS LAYUP by RYAN,JONATHAN",1
--,"REBOUND DEF by JANGA,ELVIS",,,,,,,"REBOUND DEF by JANGA,ELVIS",1
04:20,"TURNOVER  by NIX,GRAYSON",,,,,,,"TURNOVER  by NIX,GRAYSON",1
04:20,"FOUL  by NIX,GRAYSON",,,,,,,"FOUL  by NIX,GRAYSON",1
04:20,"SUB IN by POWELL,KYRON",,,,,,,"SUB IN by POWELL,KYRON",1
04:20,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",1
04:06,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
04:02,,24 (+2),,22,"GOOD TIPIN by FITCH,CARL(in the paint)",HENDRIX 24-22 (-2),,"GOOD TIPIN by FITCH,CARL(in the paint)",1
