Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
14:06,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
14:01,,,,,"MISS JUMPER by FITCH,CARL",,,"MISS JUMPER by FITCH,CARL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:55,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
13:55,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
13:46,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",4,,18 (+14),,RHODES 4-18 (+14),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",1
13:16,,4,,21 (+17),"GOOD 3PTR by COMAN,SEAN",HENDRIX 4-21 (+17),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by RYAN,JONATHAN",,,"ASSIST  by RYAN,JONATHAN",1
13:03,"MISS 3PTR by WHITE,ELIJAH",,,,,,,"MISS 3PTR by WHITE,ELIJAH",1
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
12:58,"FOUL  by WILLIAMS,JAYSON",,,,,,,"FOUL  by WILLIAMS,JAYSON",1
12:58,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
12:58,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
12:58,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
12:58,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
12:48,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
12:48,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
