Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,DALLAS,Game Score,Team Indicator,Play,Period
18:24,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",49 (+18),,31,,HENDRIX 49-31 (+18),,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",2
18:16,,,,,"MISS LAYUP by HYDE,CAMERAN",,,"MISS LAYUP by HYDE,CAMERAN",2
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",2
18:08,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by HYDE,CAMERAN",,,"REBOUND DEF by HYDE,CAMERAN",2
18:02,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
18:02,,49 (+17),,32,"GOOD FT by JR,LOUIS CHRISTIFANO(fastbreak)",DALLAS 49-32 (+17),,"GOOD FT by JR,LOUIS CHRISTIFANO(fastbreak)",2
18:02,,49 (+16),,33,"GOOD FT by JR,LOUIS CHRISTIFANO(fastbreak)",DALLAS 49-33 (+16),,"GOOD FT by JR,LOUIS CHRISTIFANO(fastbreak)",2
17:44,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by JUAREZ,MARCUS",,,"REBOUND DEF by JUAREZ,MARCUS",2
17:31,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",2
17:31,,,,,"MISS FT by HYDE,CAMERAN",,,"MISS FT by HYDE,CAMERAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:31,,49 (+15),,34,"GOOD FT by HYDE,CAMERAN",DALLAS 49-34 (+15),,"GOOD FT by HYDE,CAMERAN",2
17:31,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",2
17:31,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
17:16,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",2
17:16,,,,,"STEAL  by JUAREZ,MARCUS",,,"STEAL  by JUAREZ,MARCUS",2
17:12,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
17:09,,,,,"MISS LAYUP by HYDE,CAMERAN",,,"MISS LAYUP by HYDE,CAMERAN",2
--,,,,,"REBOUND OFF by JR,LOUIS CHRISTIFANO",,,"REBOUND OFF by JR,LOUIS CHRISTIFANO",2
16:59,,,,,"MISS 3PTR by LOVE,JAI",,,"MISS 3PTR by LOVE,JAI",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
16:48,"GOOD LAYUP by FITCH,CARL(in the paint)",51 (+17),,34,,HENDRIX 51-34 (+17),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
