Time Remaining,BERRY,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
01:19,,42 (+11),,31,"GOOD TIPIN by CONRAD,ALEX(in the paint)",HENDRIX 42-31 (-11),,"GOOD TIPIN by CONRAD,ALEX(in the paint)",1
00:58,"TURNOVER  by JOHNSON,MICHAEL",,,,,,,"TURNOVER  by JOHNSON,MICHAEL",1
00:45,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",,,"TURNOVER  by ,DARVIS RASBERRY JR",1
00:32,"MISS LAYUP by JOHNSON,MICHAEL",,,,,,,"MISS LAYUP by JOHNSON,MICHAEL",1
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
00:05,,,,,"TURNOVER  by WEAKLEY,CARTER",,,"TURNOVER  by WEAKLEY,CARTER",1
00:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:01,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
00:01,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
00:01,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
00:00,"MISS 3PTR by COSTAS,RILEY",,,,,,,"MISS 3PTR by COSTAS,RILEY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:45,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",2
--,"REBOUND OFF by JOHNSON,MICHAEL",,,,,,,"REBOUND OFF by JOHNSON,MICHAEL",2
19:29,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",2
--,"REBOUND OFF by COSTAS,RILEY",,,,,,,"REBOUND OFF by COSTAS,RILEY",2
