Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,WASHU,Game Score,Team Indicator,Play,Period
18:31,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
18:18,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
18:18,,,,,"MISS FT by DAVET,KEVIN",,,"MISS FT by DAVET,KEVIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:18,,,,,"MISS FT by DAVET,KEVIN",,,"MISS FT by DAVET,KEVIN",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
18:02,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",2
--,,,,,"REBOUND DEF by JACOB,CHARLIE",,,"REBOUND DEF by JACOB,CHARLIE",2
17:58,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
17:43,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
17:36,,23,,47 (+24),"GOOD JUMPER by NOLAN,JACK",WASHU 23-47 (-24),,"GOOD JUMPER by NOLAN,JACK",2
--,,,,,"ASSIST  by DOYLE,HAYDEN",,,"ASSIST  by DOYLE,HAYDEN",2
17:10,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",2
17:10,,,,,"STEAL  by DOYLE,HAYDEN",,,"STEAL  by DOYLE,HAYDEN",2
17:05,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
17:05,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
17:05,,23,,48 (+25),"GOOD FT by HARDY,JUSTIN",WASHU 23-48 (-25),,"GOOD FT by HARDY,JUSTIN",2
17:05,,,,,"MISS FT by HARDY,JUSTIN",,,"MISS FT by HARDY,JUSTIN",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
17:05,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",2
17:05,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
17:05,,,,,"SUB IN by WINDLEY,DAVID",,,"SUB IN by WINDLEY,DAVID",2
17:05,,,,,"SUB OUT by JACOB,CHARLIE",,,"SUB OUT by JACOB,CHARLIE",2
17:02,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",2
--,,,,,"REBOUND DEF by NOLAN,JACK",,,"REBOUND DEF by NOLAN,JACK",2
16:38,,,,,"MISS LAYUP by DOYLE,HAYDEN",,,"MISS LAYUP by DOYLE,HAYDEN",2
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",2
16:15,,,,,"FOUL  by DOYLE,HAYDEN",,,"FOUL  by DOYLE,HAYDEN",2
16:15,"MISS FT by DEITHLOFF,TYLER",,,,,,,"MISS FT by DEITHLOFF,TYLER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:15,"GOOD FT by DEITHLOFF,TYLER",24,,48 (+24),,HENDRIX 24-48 (-24),,"GOOD FT by DEITHLOFF,TYLER",2
16:15,,,,,"SUB IN by WOLF,JAKE",,,"SUB IN by WOLF,JAKE",2
16:15,,,,,"SUB IN by GONZALO,MATT",,,"SUB IN by GONZALO,MATT",2
16:15,,,,,"SUB IN by MACK,KAMERON",,,"SUB IN by MACK,KAMERON",2
16:15,,,,,"SUB OUT by DOYLE,HAYDEN",,,"SUB OUT by DOYLE,HAYDEN",2
16:15,,,,,"SUB OUT by HARDY,JUSTIN",,,"SUB OUT by HARDY,JUSTIN",2
16:15,,,,,"SUB OUT by DAVET,KEVIN",,,"SUB OUT by DAVET,KEVIN",2
15:45,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
15:36,,,,,"FOUL  by MACK,KAMERON",,,"FOUL  by MACK,KAMERON",2
15:36,"GOOD FT by PARKS,JACKSON",25,,48 (+23),,HENDRIX 25-48 (-23),,"GOOD FT by PARKS,JACKSON",2
15:36,"GOOD FT by PARKS,JACKSON",26,,48 (+22),,HENDRIX 26-48 (-22),,"GOOD FT by PARKS,JACKSON",2
15:26,,,,,"MISS 3PTR by WINDLEY,DAVID",,,"MISS 3PTR by WINDLEY,DAVID",2
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",2
15:21,,,,,"FOUL  by WOLF,JAKE",,,"FOUL  by WOLF,JAKE",2
15:11,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",2
--,,,,,"REBOUND DEF by NOLAN,JACK",,,"REBOUND DEF by NOLAN,JACK",2
14:52,,,,,"TURNOVER  by GONZALO,MATT",,,"TURNOVER  by GONZALO,MATT",2
14:52,"STEAL  by ,DARVIS RASBERRY JR",,,,,,,"STEAL  by ,DARVIS RASBERRY JR",2
14:39,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",2
14:39,,,,,"BLOCK  by WOLF,JAKE",,,"BLOCK  by WOLF,JAKE",2
--,"REBOUND OFF by COMAN,SEAN",,,,,,,"REBOUND OFF by COMAN,SEAN",2
14:32,"GOOD LAYUP by COMAN,SEAN(in the paint)",28,,48 (+20),,HENDRIX 28-48 (-20),,"GOOD LAYUP by COMAN,SEAN(in the paint)",2
14:19,,,,,"MISS 3PTR by GONZALO,MATT",,,"MISS 3PTR by GONZALO,MATT",2
--,,,,,"REBOUND OFF by NOLAN,JACK",,,"REBOUND OFF by NOLAN,JACK",2
14:13,,28,,50 (+22),"GOOD JUMPER by NOLAN,JACK(in the paint)",WASHU 28-50 (-22),,"GOOD JUMPER by NOLAN,JACK(in the paint)",2
13:59,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:56,,,,,"SUB IN by DOYLE,HAYDEN",,,"SUB IN by DOYLE,HAYDEN",2
13:56,,,,,"SUB IN by DAVET,KEVIN",,,"SUB IN by DAVET,KEVIN",2
13:56,,,,,"SUB OUT by WOLF,JAKE",,,"SUB OUT by WOLF,JAKE",2
13:56,,,,,"SUB OUT by GONZALO,MATT",,,"SUB OUT by GONZALO,MATT",2
13:47,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",30,,50 (+20),,HENDRIX 30-50 (-20),,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",2
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",2
13:38,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",2
13:38,,30,,51 (+21),"GOOD FT by DOYLE,HAYDEN",WASHU 30-51 (-21),,"GOOD FT by DOYLE,HAYDEN",2
13:38,,,,,"MISS FT by DOYLE,HAYDEN",,,"MISS FT by DOYLE,HAYDEN",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
13:38,"MISS LAYUP by COMAN,SEAN",,,,,,,"MISS LAYUP by COMAN,SEAN",2
13:38,,,,,"BLOCK  by DAVET,KEVIN",,,"BLOCK  by DAVET,KEVIN",2
--,,,,,"REBOUND DEF by WINDLEY,DAVID",,,"REBOUND DEF by WINDLEY,DAVID",2
13:38,,30,,54 (+24),"GOOD 3PTR by NOLAN,JACK(fastbreak)",WASHU 30-54 (-24),,"GOOD 3PTR by NOLAN,JACK(fastbreak)",2
13:38,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",32,,54 (+22),,HENDRIX 32-54 (-22),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",2
13:38,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",2
13:38,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",2
13:38,,,,,"SUB IN by HARDY,JUSTIN",,,"SUB IN by HARDY,JUSTIN",2
13:38,,,,,"SUB OUT by MACK,KAMERON",,,"SUB OUT by MACK,KAMERON",2
13:31,,32,,56 (+24),"GOOD DUNK by DAVET,KEVIN(in the paint)",WASHU 32-56 (-24),,"GOOD DUNK by DAVET,KEVIN(in the paint)",2
12:39,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:30,"MISS 3PTR by ,DARVIS RASBERRY JR",,,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",2
--,,,,,"REBOUND DEF by DOYLE,HAYDEN",,,"REBOUND DEF by DOYLE,HAYDEN",2
12:14,,32,,58 (+26),"GOOD JUMPER by NOLAN,JACK",WASHU 32-58 (-26),,"GOOD JUMPER by NOLAN,JACK",2
11:51,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND DEF by HARDY,JUSTIN",,,"REBOUND DEF by HARDY,JUSTIN",2
11:47,,,,,"FOUL  by HARDY,JUSTIN",,,"FOUL  by HARDY,JUSTIN",2
11:39,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:25,"GOOD JUMPER by STANLEY,SETH",34,,58 (+24),,HENDRIX 34-58 (-24),,"GOOD JUMPER by STANLEY,SETH",2
--,"ASSIST  by RYAN,JONATHAN",,,,,,,"ASSIST  by RYAN,JONATHAN",2
11:20,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
11:20,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",2
11:05,,34,,61 (+27),"GOOD 3PTR by DOYLE,HAYDEN",WASHU 34-61 (-27),,"GOOD 3PTR by DOYLE,HAYDEN",2
--,,,,,"ASSIST  by HARDY,JUSTIN",,,"ASSIST  by HARDY,JUSTIN",2
10:50,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",2
10:50,,,,,"STEAL  by DAVET,KEVIN",,,"STEAL  by DAVET,KEVIN",2
10:34,,,,,"MISS LAYUP by WINDLEY,DAVID",,,"MISS LAYUP by WINDLEY,DAVID",2
10:34,"BLOCK  by STANLEY,SETH",,,,,,,"BLOCK  by STANLEY,SETH",2
--,,,,,"REBOUND OFF by WINDLEY,DAVID",,,"REBOUND OFF by WINDLEY,DAVID",2
10:24,,,,,"MISS 3PTR by DOYLE,HAYDEN",,,"MISS 3PTR by DOYLE,HAYDEN",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
10:13,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
10:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:12,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",2
10:12,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
10:12,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",2
10:12,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",2
10:12,,,,,"SUB IN by JACOB,CHARLIE",,,"SUB IN by JACOB,CHARLIE",2
10:12,,,,,"SUB IN by WOLF,JAKE",,,"SUB IN by WOLF,JAKE",2
10:12,,,,,"SUB IN by MACK,KAMERON",,,"SUB IN by MACK,KAMERON",2
10:12,,,,,"SUB OUT by DAVET,KEVIN",,,"SUB OUT by DAVET,KEVIN",2
10:12,,,,,"SUB OUT by HARDY,JUSTIN",,,"SUB OUT by HARDY,JUSTIN",2
10:12,,,,,"SUB OUT by WINDLEY,DAVID",,,"SUB OUT by WINDLEY,DAVID",2
--,,,,,"REBOUND DEF by WINDLEY,DAVID",,,"REBOUND DEF by WINDLEY,DAVID",2
09:54,,,,,"TURNOVER  by MACK,KAMERON",,,"TURNOVER  by MACK,KAMERON",2
09:54,,,,,"SUB IN by GONZALO,MATT",,,"SUB IN by GONZALO,MATT",2
09:54,,,,,"SUB OUT by DOYLE,HAYDEN",,,"SUB OUT by DOYLE,HAYDEN",2
09:43,"MISS LAYUP by PARKS,JACKSON",,,,,,,"MISS LAYUP by PARKS,JACKSON",2
--,,,,,"REBOUND DEF by WOLF,JAKE",,,"REBOUND DEF by WOLF,JAKE",2
09:37,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
09:37,,34,,62 (+28),"GOOD FT by JACOB,CHARLIE(fastbreak)",WASHU 34-62 (-28),,"GOOD FT by JACOB,CHARLIE(fastbreak)",2
09:37,,34,,63 (+29),"GOOD FT by JACOB,CHARLIE(fastbreak)",WASHU 34-63 (-29),,"GOOD FT by JACOB,CHARLIE(fastbreak)",2
09:37,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",2
09:37,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
09:36,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",2
09:36,,,,,"STEAL  by GONZALO,MATT",,,"STEAL  by GONZALO,MATT",2
09:27,,,,,"TURNOVER  by NOLAN,JACK",,,"TURNOVER  by NOLAN,JACK",2
09:08,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",2
08:57,,,,,"FOUL  by NOLAN,JACK",,,"FOUL  by NOLAN,JACK",2
08:57,,,,,"TURNOVER  by NOLAN,JACK",,,"TURNOVER  by NOLAN,JACK",2
08:57,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",2
08:57,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
08:57,,,,,"SUB IN by WINDLEY,DAVID",,,"SUB IN by WINDLEY,DAVID",2
08:57,,,,,"SUB OUT by NOLAN,JACK",,,"SUB OUT by NOLAN,JACK",2
08:43,,,,,"FOUL  by GONZALO,MATT",,,"FOUL  by GONZALO,MATT",2
08:43,"GOOD FT by PARKS,JACKSON",35,,63 (+28),,HENDRIX 35-63 (-28),,"GOOD FT by PARKS,JACKSON",2
08:43,"GOOD FT by PARKS,JACKSON",36,,63 (+27),,HENDRIX 36-63 (-27),,"GOOD FT by PARKS,JACKSON",2
08:43,,,,,"SUB IN by DOYLE,HAYDEN",,,"SUB IN by DOYLE,HAYDEN",2
08:43,,,,,"SUB OUT by GONZALO,MATT",,,"SUB OUT by GONZALO,MATT",2
08:26,,,,,"TURNOVER  by MACK,KAMERON",,,"TURNOVER  by MACK,KAMERON",2
08:16,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",2
08:16,,,,,"STEAL  by WINDLEY,DAVID",,,"STEAL  by WINDLEY,DAVID",2
08:09,,,,,"MISS 3PTR by WINDLEY,DAVID",,,"MISS 3PTR by WINDLEY,DAVID",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:52,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",2
--,,,,,"REBOUND DEF by MACK,KAMERON",,,"REBOUND DEF by MACK,KAMERON",2
07:45,,36,,66 (+30),"GOOD 3PTR by JACOB,CHARLIE(fastbreak)",WASHU 36-66 (-30),,"GOOD 3PTR by JACOB,CHARLIE(fastbreak)",2
--,,,,,"ASSIST  by DOYLE,HAYDEN",,,"ASSIST  by DOYLE,HAYDEN",2
07:26,,,,,"FOUL  by DOYLE,HAYDEN",,,"FOUL  by DOYLE,HAYDEN",2
07:26,"GOOD FT by PARKS,JACKSON",37,,66 (+29),,HENDRIX 37-66 (-29),,"GOOD FT by PARKS,JACKSON",2
07:26,"GOOD FT by PARKS,JACKSON",38,,66 (+28),,HENDRIX 38-66 (-28),,"GOOD FT by PARKS,JACKSON",2
07:26,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",2
07:26,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",2
07:26,,,,,"SUB IN by NOLAN,JACK",,,"SUB IN by NOLAN,JACK",2
07:26,,,,,"SUB OUT by WINDLEY,DAVID",,,"SUB OUT by WINDLEY,DAVID",2
07:18,,,,,"MISS LAYUP by WOLF,JAKE",,,"MISS LAYUP by WOLF,JAKE",2
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",2
07:11,"TURNOVER  by MCMULLIN,COLTON",,,,,,,"TURNOVER  by MCMULLIN,COLTON",2
07:11,,,,,"STEAL  by JACOB,CHARLIE",,,"STEAL  by JACOB,CHARLIE",2
07:05,,,,,"TURNOVER  by JACOB,CHARLIE",,,"TURNOVER  by JACOB,CHARLIE",2
07:05,"STEAL  by MCMULLIN,COLTON",,,,,,,"STEAL  by MCMULLIN,COLTON",2
07:03,,,,,"FOUL  by NOLAN,JACK",,,"FOUL  by NOLAN,JACK",2
07:03,"GOOD FT by MCMULLIN,COLTON(fastbreak)",39,,66 (+27),,HENDRIX 39-66 (-27),,"GOOD FT by MCMULLIN,COLTON(fastbreak)",2
07:03,"GOOD FT by MCMULLIN,COLTON(fastbreak)",40,,66 (+26),,HENDRIX 40-66 (-26),,"GOOD FT by MCMULLIN,COLTON(fastbreak)",2
07:03,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
07:03,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",2
06:51,,,,,"MISS LAYUP by WOLF,JAKE",,,"MISS LAYUP by WOLF,JAKE",2
--,,,,,"REBOUND OFF by WOLF,JAKE",,,"REBOUND OFF by WOLF,JAKE",2
06:44,,,,,"MISS 3PTR by NOLAN,JACK",,,"MISS 3PTR by NOLAN,JACK",2
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",2
06:33,,,,,"FOUL  by MACK,KAMERON",,,"FOUL  by MACK,KAMERON",2
06:33,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:33,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",2
06:33,,,,,"SUB IN by KINDSVATER,DRAKE",,,"SUB IN by KINDSVATER,DRAKE",2
06:33,,,,,"SUB IN by HARDY,JUSTIN",,,"SUB IN by HARDY,JUSTIN",2
06:33,,,,,"SUB OUT by WOLF,JAKE",,,"SUB OUT by WOLF,JAKE",2
06:33,,,,,"SUB OUT by MACK,KAMERON",,,"SUB OUT by MACK,KAMERON",2
--,,,,,"REBOUND DEF by HARDY,JUSTIN",,,"REBOUND DEF by HARDY,JUSTIN",2
06:23,,,,,"TURNOVER  by KINDSVATER,DRAKE",,,"TURNOVER  by KINDSVATER,DRAKE",2
06:08,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,,,,,"REBOUND DEF by KINDSVATER,DRAKE",,,"REBOUND DEF by KINDSVATER,DRAKE",2
05:58,,,,,"TURNOVER  by HARDY,JUSTIN",,,"TURNOVER  by HARDY,JUSTIN",2
05:58,,,,,"SUB IN by WINDLEY,DAVID",,,"SUB IN by WINDLEY,DAVID",2
05:58,,,,,"SUB OUT by JACOB,CHARLIE",,,"SUB OUT by JACOB,CHARLIE",2
05:46,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",2
--,,,,,"REBOUND DEF by DOYLE,HAYDEN",,,"REBOUND DEF by DOYLE,HAYDEN",2
05:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:23,,,,,"MISS JUMPER by NOLAN,JACK",,,"MISS JUMPER by NOLAN,JACK",2
--,,,,,"REBOUND OFF by KINDSVATER,DRAKE",,,"REBOUND OFF by KINDSVATER,DRAKE",2
05:15,,40,,68 (+28),"GOOD LAYUP by KINDSVATER,DRAKE(in the paint)",WASHU 40-68 (-28),,"GOOD LAYUP by KINDSVATER,DRAKE(in the paint)",2
04:57,"GOOD JUMPER by EATON,JACK(in the paint)",42,,68 (+26),,HENDRIX 42-68 (-26),,"GOOD JUMPER by EATON,JACK(in the paint)",2
04:44,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",2
04:44,,,,,"MISS FT by HARDY,JUSTIN",,,"MISS FT by HARDY,JUSTIN",2
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",2
04:44,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",2
04:44,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
04:44,,,,,"SUB IN by GONZALO,MATT",,,"SUB IN by GONZALO,MATT",2
04:44,,,,,"SUB IN by CARLSON,TYLER",,,"SUB IN by CARLSON,TYLER",2
04:44,,,,,"SUB OUT by DOYLE,HAYDEN",,,"SUB OUT by DOYLE,HAYDEN",2
04:44,,,,,"SUB OUT by NOLAN,JACK",,,"SUB OUT by NOLAN,JACK",2
04:40,"TURNOVER  by ,DARVIS RASBERRY JR",,,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",2
04:40,,,,,"SUB IN by CHIPHE,JABARI",,,"SUB IN by CHIPHE,JABARI",2
04:40,,,,,"SUB OUT by HARDY,JUSTIN",,,"SUB OUT by HARDY,JUSTIN",2
04:10,,,,,"MISS JUMPER by GONZALO,MATT",,,"MISS JUMPER by GONZALO,MATT",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
04:01,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",2
--,,,,,"REBOUND DEF by KINDSVATER,DRAKE",,,"REBOUND DEF by KINDSVATER,DRAKE",2
03:47,"FOUL  by ,DARVIS RASBERRY JR",,,,,,,"FOUL  by ,DARVIS RASBERRY JR",2
03:47,,42,,69 (+27),"GOOD FT by WINDLEY,DAVID",WASHU 42-69 (-27),,"GOOD FT by WINDLEY,DAVID",2
03:47,,,,,"MISS FT by WINDLEY,DAVID",,,"MISS FT by WINDLEY,DAVID",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
03:41,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",2
03:41,,,,,"STEAL  by WINDLEY,DAVID",,,"STEAL  by WINDLEY,DAVID",2
03:37,"FOUL  by RYAN,JONATHAN",,,,,,,"FOUL  by RYAN,JONATHAN",2
03:37,,,,,"MISS FT by WINDLEY,DAVID",,,"MISS FT by WINDLEY,DAVID",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:37,,42,,70 (+28),"GOOD FT by WINDLEY,DAVID(fastbreak)",WASHU 42-70 (-28),,"GOOD FT by WINDLEY,DAVID(fastbreak)",2
03:37,,,,,"SUB IN by BAIRD,TANNER",,,"SUB IN by BAIRD,TANNER",2
03:37,,,,,"SUB OUT by WINDLEY,DAVID",,,"SUB OUT by WINDLEY,DAVID",2
03:29,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",2
03:29,,,,,"STEAL  by GONZALO,MATT",,,"STEAL  by GONZALO,MATT",2
03:22,,42,,72 (+30),"GOOD LAYUP by GONZALO,MATT(fastbreak)(in the paint)",WASHU 42-72 (-30),,"GOOD LAYUP by GONZALO,MATT(fastbreak)(in the paint)",2
03:15,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:58,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",44,,72 (+28),,HENDRIX 44-72 (-28),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",2
02:50,,,,,"MISS LAYUP by KINDSVATER,DRAKE",,,"MISS LAYUP by KINDSVATER,DRAKE",2
02:50,"BLOCK  by ,DARVIS RASBERRY JR",,,,,,,"BLOCK  by ,DARVIS RASBERRY JR",2
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",2
02:35,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",2
--,"REBOUND OFF by EATON,JACK",,,,,,,"REBOUND OFF by EATON,JACK",2
02:28,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",46,,72 (+26),,HENDRIX 46-72 (-26),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",2
02:15,,46,,74 (+28),"GOOD LAYUP by CHIPHE,JABARI(in the paint)",WASHU 46-74 (-28),,"GOOD LAYUP by CHIPHE,JABARI(in the paint)",2
02:13,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:13,,,,,"SUB IN by BEEDON,KYLE",,,"SUB IN by BEEDON,KYLE",2
02:13,,,,,"SUB IN by EEKEREN,TYLER VAN",,,"SUB IN by EEKEREN,TYLER VAN",2
02:13,,,,,"SUB OUT by GONZALO,MATT",,,"SUB OUT by GONZALO,MATT",2
02:13,,,,,"SUB OUT by KINDSVATER,DRAKE",,,"SUB OUT by KINDSVATER,DRAKE",2
02:02,"MISS LAYUP by DEITHLOFF,TYLER",,,,,,,"MISS LAYUP by DEITHLOFF,TYLER",2
--,,,,,"REBOUND DEF by EEKEREN,TYLER VAN",,,"REBOUND DEF by EEKEREN,TYLER VAN",2
01:48,,46,,77 (+31),"GOOD 3PTR by CARLSON,TYLER",WASHU 46-77 (-31),,"GOOD 3PTR by CARLSON,TYLER",2
--,,,,,"ASSIST  by BAIRD,TANNER",,,"ASSIST  by BAIRD,TANNER",2
01:25,"MISS LAYUP by RYAN,JONATHAN",,,,,,,"MISS LAYUP by RYAN,JONATHAN",2
--,,,,,"REBOUND DEF by EEKEREN,TYLER VAN",,,"REBOUND DEF by EEKEREN,TYLER VAN",2
01:17,,,,,"MISS 3PTR by CARLSON,TYLER",,,"MISS 3PTR by CARLSON,TYLER",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
01:07,,,,,"FOUL  by CHIPHE,JABARI",,,"FOUL  by CHIPHE,JABARI",2
01:07,"MISS FT by EATON,JACK",,,,,,,"MISS FT by EATON,JACK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:07,"MISS FT by EATON,JACK",,,,,,,"MISS FT by EATON,JACK",2
--,,,,,"REBOUND DEF by DILLON,LIAM",,,"REBOUND DEF by DILLON,LIAM",2
01:07,,,,,"SUB IN by DILLON,LIAM",,,"SUB IN by DILLON,LIAM",2
01:07,,,,,"SUB OUT by CARLSON,TYLER",,,"SUB OUT by CARLSON,TYLER",2
00:42,,46,,80 (+34),"GOOD 3PTR by CHIPHE,JABARI",WASHU 46-80 (-34),,"GOOD 3PTR by CHIPHE,JABARI",2
--,,,,,"ASSIST  by BAIRD,TANNER",,,"ASSIST  by BAIRD,TANNER",2
00:23,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",2
