Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
01:26,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",2
01:26,"STEAL  by FORSTER,MICHAEL",,,,,,,"STEAL  by FORSTER,MICHAEL",2
01:23,"GOOD DUNK by FORSTER,MICHAEL(in the paint)",65,,67 (+2),,UTD 65-67 (+2),,"GOOD DUNK by FORSTER,MICHAEL(in the paint)",2
01:14,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:04,,65,,69 (+4),"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",Mill 65-69 (+4),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",2
01:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:02,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",2
01:02,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",2
00:48,"FOUL  by WEBER,JALEN",,,,,,,"FOUL  by WEBER,JALEN",2
00:48,"TURNOVER  by WEBER,JALEN",,,,,,,"TURNOVER  by WEBER,JALEN",2
00:48,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
00:48,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",2
00:48,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
00:48,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",2
00:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:48,"SUB OUT by ISAAC,WILL",,,,,,,"SUB OUT by ISAAC,WILL",2
00:48,"SUB IN by STEVENS,HUNTER",,,,,,,"SUB IN by STEVENS,HUNTER",2
00:47,"FOUL  by FERRELL,XAVIER",,,,,,,"FOUL  by FERRELL,XAVIER",2
00:47,,65,,70 (+5),"GOOD FT by MCLAURIN,RYAN(fastbreak)",Mill 65-70 (+5),,"GOOD FT by MCLAURIN,RYAN(fastbreak)",2
00:47,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
00:47,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",2
00:47,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
00:47,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",2
00:47,,65,,71 (+6),"GOOD FT by MCLAURIN,RYAN(fastbreak)",Mill 65-71 (+6),,"GOOD FT by MCLAURIN,RYAN(fastbreak)",2
00:36,"MISS 3PTR by PRUITT,KELDEN",,,,,,,"MISS 3PTR by PRUITT,KELDEN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:32,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
00:32,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",2
00:32,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
00:32,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",2
00:31,"FOUL  by STEVENS,HUNTER",,,,,,,"FOUL  by STEVENS,HUNTER",2
00:31,,65,,72 (+7),"GOOD FT by JENKINS,KALEB(fastbreak)",Mill 65-72 (+7),,"GOOD FT by JENKINS,KALEB(fastbreak)",2
00:31,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",2
00:31,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
00:31,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
00:31,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",2
00:31,,65,,73 (+8),"GOOD FT by JENKINS,KALEB(fastbreak)",Mill 65-73 (+8),,"GOOD FT by JENKINS,KALEB(fastbreak)",2
00:13,"MISS 3PTR by STEVENS,HUNTER",,,,,,,"MISS 3PTR by STEVENS,HUNTER",2
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",2
00:08,"FOUL  by FORSTER,MICHAEL",,,,,,,"FOUL  by FORSTER,MICHAEL",2
00:08,,65,,74 (+9),"GOOD FT by GRANT,SHE'CHEM(fastbreak)",Mill 65-74 (+9),,"GOOD FT by GRANT,SHE'CHEM(fastbreak)",2
00:08,,65,,75 (+10),"GOOD FT by GRANT,SHE'CHEM(fastbreak)",Mill 65-75 (+10),,"GOOD FT by GRANT,SHE'CHEM(fastbreak)",2
00:01,"MISS 3PTR by FERRELL,XAVIER",,,,,,,"MISS 3PTR by FERRELL,XAVIER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
