Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
14:59,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
14:59,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
14:59,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
14:49,,38 (+6),,32,"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 38-32 (+6),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
14:20,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",2
14:13,,38 (+4),,34,"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 38-34 (+4),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
14:09,"MISS LAYUP by JENKINS,KALEB",,,,,,,"MISS LAYUP by JENKINS,KALEB",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
14:04,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",2
14:04,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:40,,38 (+1),,37,"GOOD 3PTR by FITCH,CARL",HENDRIXM 38-37 (+1),,"GOOD 3PTR by FITCH,CARL",2
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",2
13:10,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
13:10,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
13:10,,38,,39 (+1),"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",HENDRIXM 38-39 (-1),,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",2
13:10,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
13:10,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
12:54,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",2
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",2
12:50,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",2
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",2
12:47,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",2
12:47,,,,,"BLOCK  by STANLEY,SETH",,,"BLOCK  by STANLEY,SETH",2
--,"REBOUND OFF by JENKINS,KALEB",,,,,,,"REBOUND OFF by JENKINS,KALEB",2
12:39,"FOUL  by PELT,JUSTIN VAN",,,,,,,"FOUL  by PELT,JUSTIN VAN",2
12:39,"TURNOVER  by PELT,JUSTIN VAN",,,,,,,"TURNOVER  by PELT,JUSTIN VAN",2
12:39,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",2
12:39,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",2
12:39,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
12:39,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
12:21,,38,,41 (+3),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 38-41 (-3),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
11:58,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
11:55,"FOUL  by PELT,JUSTIN VAN",,,,,,,"FOUL  by PELT,JUSTIN VAN",2
11:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:44,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
11:44,,38,,42 (+4),"GOOD FT by LINK,JACOB",HENDRIXM 38-42 (-4),,"GOOD FT by LINK,JACOB",2
11:44,,38,,43 (+5),"GOOD FT by LINK,JACOB",HENDRIXM 38-43 (-5),,"GOOD FT by LINK,JACOB",2
11:35,"MISS LAYUP by JENKINS,KALEB",,,,,,,"MISS LAYUP by JENKINS,KALEB",2
--,"REBOUND OFF by GILLIHAN,NEWLON",,,,,,,"REBOUND OFF by GILLIHAN,NEWLON",2
11:25,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
11:10,"TURNOVER  by JENKINS,KALEB",,,,,,,"TURNOVER  by JENKINS,KALEB",2
11:03,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
11:03,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",2
10:57,"TURNOVER  by JENKINS,KALEB",,,,,,,"TURNOVER  by JENKINS,KALEB",2
10:55,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
10:53,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
10:53,,,,,"MISS FT by EATON,JACK",,,"MISS FT by EATON,JACK",2
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",2
10:53,"SUB IN by PELT,JUSTIN VAN",,,,,,,"SUB IN by PELT,JUSTIN VAN",2
10:53,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
10:53,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",2
10:53,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
10:53,"SUB OUT by JENKINS,KALEB",,,,,,,"SUB OUT by JENKINS,KALEB",2
10:53,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",2
10:39,"GOOD 3PTR by GRANT,SHE'CHEM",41,,43 (+2),,MIL 41-43 (-2),,"GOOD 3PTR by GRANT,SHE'CHEM",2
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",2
10:30,"FOUL  by GRANT,SHE'CHEM",,,,,,,"FOUL  by GRANT,SHE'CHEM",2
10:30,"FOUL TECH by GRANT,SHE'CHEM",,,,,,,"FOUL TECH by GRANT,SHE'CHEM",2
10:30,,41,,44 (+3),"GOOD FT by STANLEY,SETH",HENDRIXM 41-44 (-3),,"GOOD FT by STANLEY,SETH",2
10:30,,41,,45 (+4),"GOOD FT by STANLEY,SETH",HENDRIXM 41-45 (-4),,"GOOD FT by STANLEY,SETH",2
10:16,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
10:16,"BLOCK  by PELT,JUSTIN VAN",,,,,,,"BLOCK  by PELT,JUSTIN VAN",2
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",2
10:08,"MISS 3PTR by HUGHES,ANTHONY",,,,,,,"MISS 3PTR by HUGHES,ANTHONY",2
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",2
10:04,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
09:59,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
09:58,"STEAL  by MCLAURIN,RYAN",,,,,,,"STEAL  by MCLAURIN,RYAN",2
09:47,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
09:37,"FOUL  by HUGHES,ANTHONY",,,,,,,"FOUL  by HUGHES,ANTHONY",2
09:37,,41,,46 (+5),"GOOD FT by LINK,JACOB",HENDRIXM 41-46 (-5),,"GOOD FT by LINK,JACOB",2
09:37,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",2
09:16,"MISS LAYUP by HUGHES,ANTHONY",,,,,,,"MISS LAYUP by HUGHES,ANTHONY",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
09:02,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
09:02,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",2
08:46,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",2
08:44,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",2
08:26,,41,,48 (+7),"GOOD JUMPER by EATON,JACK(in the paint)",HENDRIXM 41-48 (-7),,"GOOD JUMPER by EATON,JACK(in the paint)",2
08:06,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",2
08:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:39,,41,,50 (+9),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 41-50 (-9),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",2
07:25,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
07:25,"GOOD FT by HUGHES,ANTHONY",42,,50 (+8),,MIL 42-50 (-8),,"GOOD FT by HUGHES,ANTHONY",2
07:25,"GOOD FT by HUGHES,ANTHONY",43,,50 (+7),,MIL 43-50 (-7),,"GOOD FT by HUGHES,ANTHONY",2
07:10,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",2
06:56,"GOOD JUMPER by HUGHES,ANTHONY",45,,50 (+5),,MIL 45-50 (-5),,"GOOD JUMPER by HUGHES,ANTHONY",2
06:35,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",2
06:35,,45,,51 (+6),"GOOD FT by COMAN,SEAN",HENDRIXM 45-51 (-6),,"GOOD FT by COMAN,SEAN",2
06:35,,,,,"MISS FT by COMAN,SEAN",,,"MISS FT by COMAN,SEAN",2
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",2
06:35,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
06:35,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
06:23,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",2
--,"REBOUND OFF by HUGHES,ANTHONY",,,,,,,"REBOUND OFF by HUGHES,ANTHONY",2
06:20,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",47,,51 (+4),,MIL 47-51 (-4),,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",2
06:00,,47,,54 (+7),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 47-54 (-7),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
05:44,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
05:44,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
05:30,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",49,,54 (+5),,MIL 49-54 (-5),,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",2
05:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:28,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
05:28,"FOUL  by MCLAURIN,RYAN",,,,,,,"FOUL  by MCLAURIN,RYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:28,,49,,55 (+6),"GOOD FT by STANLEY,SETH",HENDRIXM 49-55 (-6),,"GOOD FT by STANLEY,SETH",2
05:18,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
05:10,,49,,58 (+9),"GOOD 3PTR by LINK,JACOB",HENDRIXM 49-58 (-9),,"GOOD 3PTR by LINK,JACOB",2
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",2
04:55,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
04:55,"GOOD FT by PELT,JUSTIN VAN",50,,58 (+8),,MIL 50-58 (-8),,"GOOD FT by PELT,JUSTIN VAN",2
04:55,"MISS FT by PELT,JUSTIN VAN",,,,,,,"MISS FT by PELT,JUSTIN VAN",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
04:55,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",2
04:55,,50,,59 (+9),"GOOD FT by STANLEY,SETH",HENDRIXM 50-59 (-9),,"GOOD FT by STANLEY,SETH",2
04:55,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",2
04:55,"SUB IN by PELT,JUSTIN VAN",,,,,,,"SUB IN by PELT,JUSTIN VAN",2
04:55,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",2
04:55,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",2
04:55,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
04:55,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",2
04:55,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",2
04:55,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
04:55,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
04:51,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
04:51,"GOOD FT by PELT,JUSTIN VAN",51,,59 (+8),,MIL 51-59 (-8),,"GOOD FT by PELT,JUSTIN VAN",2
04:51,"GOOD FT by PELT,JUSTIN VAN",52,,59 (+7),,MIL 52-59 (-7),,"GOOD FT by PELT,JUSTIN VAN",2
04:45,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
04:45,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
04:40,"MISS LAYUP by JENKINS,KALEB",,,,,,,"MISS LAYUP by JENKINS,KALEB",2
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",2
04:36,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",54,,59 (+5),,MIL 54-59 (-5),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",2
03:53,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",2
03:46,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
03:20,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",2
03:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:08,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
03:08,"MISS FT by JENKINS,KALEB",,,,,,,"MISS FT by JENKINS,KALEB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:08,"GOOD FT by JENKINS,KALEB",55,,59 (+4),,MIL 55-59 (-4),,"GOOD FT by JENKINS,KALEB",2
02:58,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
02:37,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
02:37,"BLOCK  by PELT,JUSTIN VAN",,,,,,,"BLOCK  by PELT,JUSTIN VAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:33,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",2
02:25,"GOOD JUMPER by PELT,JUSTIN VAN",57,,59 (+2),,MIL 57-59 (-2),,"GOOD JUMPER by PELT,JUSTIN VAN",2
02:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:01,,57,,62 (+5),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 57-62 (-5),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
01:38,"MISS LAYUP by HUGHES,ANTHONY",,,,,,,"MISS LAYUP by HUGHES,ANTHONY",2
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",2
01:34,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",59,,62 (+3),,MIL 59-62 (-3),,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",2
01:34,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
01:34,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
01:27,"FOUL  by PELT,JUSTIN VAN",,,,,,,"FOUL  by PELT,JUSTIN VAN",2
01:27,,59,,63 (+4),"GOOD FT by LINK,JACOB",HENDRIXM 59-63 (-4),,"GOOD FT by LINK,JACOB",2
01:27,,59,,64 (+5),"GOOD FT by LINK,JACOB",HENDRIXM 59-64 (-5),,"GOOD FT by LINK,JACOB",2
01:27,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
01:27,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",2
01:27,"SUB OUT by PELT,JUSTIN VAN",,,,,,,"SUB OUT by PELT,JUSTIN VAN",2
01:27,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",2
01:27,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
01:27,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
01:13,"MISS LAYUP by HUGHES,ANTHONY",,,,,,,"MISS LAYUP by HUGHES,ANTHONY",2
--,"REBOUND OFF by GILLIHAN,NEWLON",,,,,,,"REBOUND OFF by GILLIHAN,NEWLON",2
01:04,"MISS LAYUP by MCLAURIN,RYAN",,,,,,,"MISS LAYUP by MCLAURIN,RYAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:57,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",2
--,"REBOUND OFF by GRANT,SHE'CHEM",,,,,,,"REBOUND OFF by GRANT,SHE'CHEM",2
00:42,"MISS LAYUP by GRANT,SHE'CHEM",,,,,,,"MISS LAYUP by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
00:39,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
00:39,,59,,65 (+6),"GOOD FT by CONRAD,ALEX",HENDRIXM 59-65 (-6),,"GOOD FT by CONRAD,ALEX",2
00:39,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",2
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",2
00:39,"SUB IN by YOUNG,DILLON",,,,,,,"SUB IN by YOUNG,DILLON",2
00:39,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
00:28,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
00:28,"MISS FT by YOUNG,DILLON",,,,,,,"MISS FT by YOUNG,DILLON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:28,"GOOD FT by YOUNG,DILLON",60,,65 (+5),,MIL 60-65 (-5),,"GOOD FT by YOUNG,DILLON",2
00:28,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",2
00:28,"SUB OUT by YOUNG,DILLON",,,,,,,"SUB OUT by YOUNG,DILLON",2
00:28,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
00:28,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
00:26,"FOUL TECH by JENKINS,KALEB",,,,,,,"FOUL TECH by JENKINS,KALEB",2
00:26,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",2
00:26,,60,,66 (+6),"GOOD FT by STANLEY,SETH",HENDRIXM 60-66 (-6),,"GOOD FT by STANLEY,SETH",2
00:26,,60,,67 (+7),"GOOD FT by STANLEY,SETH",HENDRIXM 60-67 (-7),,"GOOD FT by STANLEY,SETH",2
00:26,,60,,68 (+8),"GOOD FT by FITCH,CARL",HENDRIXM 60-68 (-8),,"GOOD FT by FITCH,CARL",2
00:26,,60,,69 (+9),"GOOD FT by FITCH,CARL",HENDRIXM 60-69 (-9),,"GOOD FT by FITCH,CARL",2
00:26,"SUB IN by YOUNG,DILLON",,,,,,,"SUB IN by YOUNG,DILLON",2
00:26,"SUB OUT by JENKINS,KALEB",,,,,,,"SUB OUT by JENKINS,KALEB",2
00:22,"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",62,,69 (+7),,MIL 62-69 (-7),,"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",2
00:16,"FOUL  by YOUNG,DILLON",,,,,,,"FOUL  by YOUNG,DILLON",2
00:16,,62,,70 (+8),"GOOD FT by EATON,JACK",HENDRIXM 62-70 (-8),,"GOOD FT by EATON,JACK",2
00:16,,62,,71 (+9),"GOOD FT by EATON,JACK",HENDRIXM 62-71 (-9),,"GOOD FT by EATON,JACK",2
00:09,"GOOD LAYUP by BECKER,SAXTON(fastbreak)(in the paint)",64,,71 (+7),,MIL 64-71 (-7),,"GOOD LAYUP by BECKER,SAXTON(fastbreak)(in the paint)",2
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",2
00:07,"FOUL  by GIVENS,DONOVAN",,,,,,,"FOUL  by GIVENS,DONOVAN",2
00:07,,64,,72 (+8),"GOOD FT by COMAN,SEAN",HENDRIXM 64-72 (-8),,"GOOD FT by COMAN,SEAN",2
00:07,,64,,73 (+9),"GOOD FT by COMAN,SEAN",HENDRIXM 64-73 (-9),,"GOOD FT by COMAN,SEAN",2
00:02,"GOOD LAYUP by MCLAURIN,RYAN(in the paint)",66,,73 (+7),,MIL 66-73 (-7),,"GOOD LAYUP by MCLAURIN,RYAN(in the paint)",2
