Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
07:59,"STEAL  by GRANT,SHE'CHEM",,,,,,,"STEAL  by GRANT,SHE'CHEM",1
07:47,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",1
07:32,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
07:13,"GOOD JUMPER by PELT,JUSTIN VAN(in the paint)",21 (+4),,17,,MC 21-17 (+4),,"GOOD JUMPER by PELT,JUSTIN VAN(in the paint)",1
--,"ASSIST  by GRANT,SHE'CHEM",,,,,,,"ASSIST  by GRANT,SHE'CHEM",1
06:57,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
06:39,"TURNOVER  by YOUNG,DILLON",,,,,,,"TURNOVER  by YOUNG,DILLON",1
06:38,,,,,"STEAL  by JENEI,RYAN",,,"STEAL  by JENEI,RYAN",1
06:34,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
06:34,"BLOCK  by PELT,JUSTIN VAN",,,,,,,"BLOCK  by PELT,JUSTIN VAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:30,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
06:30,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
06:30,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
06:30,"SUB OUT by PELT,JUSTIN VAN",,,,,,,"SUB OUT by PELT,JUSTIN VAN",1
06:30,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
