Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
20:00,"SUB OUT by MOULTRIE,JONTE",,,,,,,"SUB OUT by MOULTRIE,JONTE",2
20:00,"SUB OUT by KIMMONS,BRIEN",,,,,,,"SUB OUT by KIMMONS,BRIEN",2
20:00,"SUB IN by HARRIS,KEITH",,,,,,,"SUB IN by HARRIS,KEITH",2
20:00,"SUB IN by JONES,TAVONTA",,,,,,,"SUB IN by JONES,TAVONTA",2
20:00,"SUB IN by WILKERSON,CARLOS",,,,,,,"SUB IN by WILKERSON,CARLOS",2
19:41,"MISS 3PTR by PINKSTON,TRE",,,,,,,"MISS 3PTR by PINKSTON,TRE",2
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",2
19:28,,26,,28 (+2),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 26-28 (+2),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",2
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",2
19:11,"TURNOVER  by JONES,TAVONTA",,,,,,,"TURNOVER  by JONES,TAVONTA",2
18:59,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",2
18:59,"STEAL  by WILKERSON,CARLOS",,,,,,,"STEAL  by WILKERSON,CARLOS",2
18:55,"GOOD LAYUP by HARRIS,KEITH(fastbreak)(in the paint)",28,,28,,MUW 28-28 (0),,"GOOD LAYUP by HARRIS,KEITH(fastbreak)(in the paint)",2
--,"ASSIST  by WILKERSON,CARLOS",,,,,,,"ASSIST  by WILKERSON,CARLOS",2
18:33,,28,,31 (+3),"GOOD 3PTR by JENKINS,KALEB",Mill 28-31 (+3),,"GOOD 3PTR by JENKINS,KALEB",2
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",2
18:04,"TURNOVER  by PINKSTON,TRE",,,,,,,"TURNOVER  by PINKSTON,TRE",2
18:04,,,,,"STEAL  by MILLER,JOSHUA",,,"STEAL  by MILLER,JOSHUA",2
18:04,"FOUL  by PINKSTON,TRE",,,,,,,"FOUL  by PINKSTON,TRE",2
18:04,"SUB OUT by PINKSTON,TRE",,,,,,,"SUB OUT by PINKSTON,TRE",2
18:04,"SUB IN by ZERADJANIN,MILOS",,,,,,,"SUB IN by ZERADJANIN,MILOS",2
17:57,,,,,"MISS LAYUP by MILLER,JOSHUA(in the paint)",,,"MISS LAYUP by MILLER,JOSHUA(in the paint)",2
17:57,"BLOCK  by HINES,JAQUAN",,,,,,,"BLOCK  by HINES,JAQUAN",2
--,"REBOUND DEF by HARRIS,KEITH",,,,,,,"REBOUND DEF by HARRIS,KEITH",2
17:41,"GOOD JUMPER by WILKERSON,CARLOS(in the paint)",30,,31 (+1),,MUW 30-31 (+1),,"GOOD JUMPER by WILKERSON,CARLOS(in the paint)",2
--,"ASSIST  by HINES,JAQUAN",,,,,,,"ASSIST  by HINES,JAQUAN",2
17:24,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",2
17:24,"BLOCK  by HINES,JAQUAN",,,,,,,"BLOCK  by HINES,JAQUAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
17:21,,30,,33 (+3),"GOOD JUMPER by HUGHES,ANTHONY",Mill 30-33 (+3),,"GOOD JUMPER by HUGHES,ANTHONY",2
17:06,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",2
17:06,"GOOD FT by ZERADJANIN,MILOS",31,,33 (+2),,MUW 31-33 (+2),,"GOOD FT by ZERADJANIN,MILOS",2
17:06,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
17:06,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",2
17:06,"GOOD FT by ZERADJANIN,MILOS",32,,33 (+1),,MUW 32-33 (+1),,"GOOD FT by ZERADJANIN,MILOS",2
17:02,,,,,"MISS 3PTR by YOUNG,DILLON",,,"MISS 3PTR by YOUNG,DILLON",2
--,"REBOUND DEF by HINES,JAQUAN",,,,,,,"REBOUND DEF by HINES,JAQUAN",2
16:52,"MISS LAYUP by HARRIS,KEITH(in the paint)",,,,,,,"MISS LAYUP by HARRIS,KEITH(in the paint)",2
16:52,,,,,"BLOCK  by TULLOS,ZACHARY",,,"BLOCK  by TULLOS,ZACHARY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:41,"MISS JUMPER by JONES,TAVONTA(in the paint)",,,,,,,"MISS JUMPER by JONES,TAVONTA(in the paint)",2
--,"REBOUND OFF by HINES,JAQUAN",,,,,,,"REBOUND OFF by HINES,JAQUAN",2
16:38,"GOOD LAYUP by HINES,JAQUAN(in the paint)",34 (+1),,33,,MUW 34-33 (-1),,"GOOD LAYUP by HINES,JAQUAN(in the paint)",2
16:30,,34,,35 (+1),"GOOD JUMPER by JENKINS,KALEB",Mill 34-35 (+1),,"GOOD JUMPER by JENKINS,KALEB",2
16:11,,,,,"FOUL  by JENKINS,KALEB",,,"FOUL  by JENKINS,KALEB",2
15:59,"GOOD JUMPER by HARRIS,KEITH",36 (+1),,35,,MUW 36-35 (-1),,"GOOD JUMPER by HARRIS,KEITH",2
15:47,,,,,"MISS LAYUP by JENKINS,KALEB(in the paint)",,,"MISS LAYUP by JENKINS,KALEB(in the paint)",2
15:47,"BLOCK  by WILKERSON,CARLOS",,,,,,,"BLOCK  by WILKERSON,CARLOS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:41,,,,,"MISS JUMPER by YOUNG,DILLON",,,"MISS JUMPER by YOUNG,DILLON",2
--,"REBOUND DEF by ZERADJANIN,MILOS",,,,,,,"REBOUND DEF by ZERADJANIN,MILOS",2
15:18,"GOOD JUMPER by HARRIS,KEITH(in the paint)",38 (+3),,35,,MUW 38-35 (-3),,"GOOD JUMPER by HARRIS,KEITH(in the paint)",2
15:16,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",2
15:16,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",2
15:16,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
15:16,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",2
14:58,,38 (+1),,37,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",Mill 38-37 (-1),,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",2
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",2
14:29,"MISS JUMPER by WILKERSON,CARLOS",,,,,,,"MISS JUMPER by WILKERSON,CARLOS",2
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",2
14:20,,,,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",2
--,,,,,"REBOUND OFF by HUGHES,ANTHONY",,,"REBOUND OFF by HUGHES,ANTHONY",2
14:16,,38,,39 (+1),"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",Mill 38-39 (+1),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",2
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",2
14:00,"MISS JUMPER by HARRIS,KEITH",,,,,,,"MISS JUMPER by HARRIS,KEITH",2
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",2
13:53,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",2
13:53,"SUB OUT by HARRIS,KEITH",,,,,,,"SUB OUT by HARRIS,KEITH",2
13:53,"SUB OUT by HINES,JAQUAN",,,,,,,"SUB OUT by HINES,JAQUAN",2
13:53,"SUB IN by MOULTRIE,JONTE",,,,,,,"SUB IN by MOULTRIE,JONTE",2
13:53,"SUB IN by JACKSON,TYLER",,,,,,,"SUB IN by JACKSON,TYLER",2
13:38,"MISS 3PTR by ZERADJANIN,MILOS",,,,,,,"MISS 3PTR by ZERADJANIN,MILOS",2
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",2
13:31,,38,,41 (+3),"GOOD JUMPER by HUGHES,ANTHONY(fastbreak)(in the paint)",Mill 38-41 (+3),,"GOOD JUMPER by HUGHES,ANTHONY(fastbreak)(in the paint)",2
13:07,"MISS JUMPER by JACKSON,TYLER(in the paint)",,,,,,,"MISS JUMPER by JACKSON,TYLER(in the paint)",2
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",2
13:01,"SUB OUT by WILKERSON,CARLOS",,,,,,,"SUB OUT by WILKERSON,CARLOS",2
13:01,"SUB IN by WILLIAMS,QUIN",,,,,,,"SUB IN by WILLIAMS,QUIN",2
12:42,,38,,43 (+5),"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",Mill 38-43 (+5),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",2
12:24,,,,,"FOUL  by GRANT,SHE'CHEM",,,"FOUL  by GRANT,SHE'CHEM",2
12:23,"MISS LAYUP by MOULTRIE,JONTE(in the paint)",,,,,,,"MISS LAYUP by MOULTRIE,JONTE(in the paint)",2
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",2
12:09,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",2
--,"REBOUND DEF by JONES,TAVONTA",,,,,,,"REBOUND DEF by JONES,TAVONTA",2
11:58,"GOOD 3PTR by MOULTRIE,JONTE",41,,43 (+2),,MUW 41-43 (+2),,"GOOD 3PTR by MOULTRIE,JONTE",2
--,"ASSIST  by WILLIAMS,QUIN",,,,,,,"ASSIST  by WILLIAMS,QUIN",2
11:27,,41,,46 (+5),"GOOD 3PTR by HUGHES,ANTHONY",Mill 41-46 (+5),,"GOOD 3PTR by HUGHES,ANTHONY",2
10:58,"TURNOVER  by ZERADJANIN,MILOS",,,,,,,"TURNOVER  by ZERADJANIN,MILOS",2
10:58,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",2
10:49,,,,,"TURNOVER  by TULLOS,ZACHARY",,,"TURNOVER  by TULLOS,ZACHARY",2
10:49,"STEAL  by MOULTRIE,JONTE",,,,,,,"STEAL  by MOULTRIE,JONTE",2
10:44,"FOUL  by WILLIAMS,QUIN",,,,,,,"FOUL  by WILLIAMS,QUIN",2
10:44,"TURNOVER  by WILLIAMS,QUIN",,,,,,,"TURNOVER  by WILLIAMS,QUIN",2
10:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:44,"SUB OUT by ZERADJANIN,MILOS",,,,,,,"SUB OUT by ZERADJANIN,MILOS",2
10:44,"SUB OUT by JONES,TAVONTA",,,,,,,"SUB OUT by JONES,TAVONTA",2
10:44,"SUB IN by PINKSTON,TRE",,,,,,,"SUB IN by PINKSTON,TRE",2
10:44,"SUB IN by KIMMONS,BRIEN",,,,,,,"SUB IN by KIMMONS,BRIEN",2
10:27,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",2
10:27,"BLOCK  by JACKSON,TYLER",,,,,,,"BLOCK  by JACKSON,TYLER",2
--,"REBOUND DEF by KIMMONS,BRIEN",,,,,,,"REBOUND DEF by KIMMONS,BRIEN",2
10:03,"TURNOVER  by WILLIAMS,QUIN",,,,,,,"TURNOVER  by WILLIAMS,QUIN",2
10:03,,,,,"STEAL  by HUGHES,ANTHONY",,,"STEAL  by HUGHES,ANTHONY",2
10:03,"FOUL  by JACKSON,TYLER",,,,,,,"FOUL  by JACKSON,TYLER",2
10:03,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",2
10:03,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
09:51,,41,,49 (+8),"GOOD 3PTR by BECKER,SAXTON",Mill 41-49 (+8),,"GOOD 3PTR by BECKER,SAXTON",2
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",2
09:29,"MISS 3PTR by PINKSTON,TRE",,,,,,,"MISS 3PTR by PINKSTON,TRE",2
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",2
09:24,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",2
09:24,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",2
09:24,"SUB OUT by JACKSON,TYLER",,,,,,,"SUB OUT by JACKSON,TYLER",2
09:24,"SUB IN by HARRIS,KEITH",,,,,,,"SUB IN by HARRIS,KEITH",2
09:08,,,,,"MISS JUMPER by TURNER,JAMES(in the paint)",,,"MISS JUMPER by TURNER,JAMES(in the paint)",2
--,"REBOUND DEF by PINKSTON,TRE",,,,,,,"REBOUND DEF by PINKSTON,TRE",2
09:00,"GOOD JUMPER by HARRIS,KEITH(fastbreak)(in the paint)",43,,49 (+6),,MUW 43-49 (+6),,"GOOD JUMPER by HARRIS,KEITH(fastbreak)(in the paint)",2
08:44,,43,,51 (+8),"GOOD JUMPER by HUGHES,ANTHONY",Mill 43-51 (+8),,"GOOD JUMPER by HUGHES,ANTHONY",2
08:33,"MISS 3PTR by MOULTRIE,JONTE",,,,,,,"MISS 3PTR by MOULTRIE,JONTE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:30,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
08:30,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",2
08:30,"SUB OUT by MOULTRIE,JONTE",,,,,,,"SUB OUT by MOULTRIE,JONTE",2
08:30,"SUB IN by HINES,JAQUAN",,,,,,,"SUB IN by HINES,JAQUAN",2
08:03,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",2
--,"REBOUND DEF by KIMMONS,BRIEN",,,,,,,"REBOUND DEF by KIMMONS,BRIEN",2
07:35,"MISS JUMPER by HINES,JAQUAN(in the paint)",,,,,,,"MISS JUMPER by HINES,JAQUAN(in the paint)",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
07:22,"FOUL  by WILLIAMS,QUIN",,,,,,,"FOUL  by WILLIAMS,QUIN",2
07:22,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:22,,,,,"MISS FT by HUGHES,ANTHONY",,,"MISS FT by HUGHES,ANTHONY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:22,,,,,"MISS FT by HUGHES,ANTHONY",,,"MISS FT by HUGHES,ANTHONY",2
--,"REBOUND DEF by HINES,JAQUAN",,,,,,,"REBOUND DEF by HINES,JAQUAN",2
06:57,"GOOD 3PTR by HARRIS,KEITH",46,,51 (+5),,MUW 46-51 (+5),,"GOOD 3PTR by HARRIS,KEITH",2
06:44,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",2
--,"REBOUND DEF by PINKSTON,TRE",,,,,,,"REBOUND DEF by PINKSTON,TRE",2
06:44,"BLOCK  by HINES,JAQUAN",,,,,,,"BLOCK  by HINES,JAQUAN",2
06:32,"GOOD 3PTR by HARRIS,KEITH",49,,51 (+2),,MUW 49-51 (+2),,"GOOD 3PTR by HARRIS,KEITH",2
06:15,,49,,54 (+5),"GOOD 3PTR by BECKER,SAXTON",Mill 49-54 (+5),,"GOOD 3PTR by BECKER,SAXTON",2
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",2
05:52,"MISS LAYUP by WILKERSON,CARLOS(in the paint)",,,,,,,"MISS LAYUP by WILKERSON,CARLOS(in the paint)",2
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",2
05:39,"SUB OUT by WILLIAMS,QUIN",,,,,,,"SUB OUT by WILLIAMS,QUIN",2
05:39,"SUB IN by WILKERSON,CARLOS",,,,,,,"SUB IN by WILKERSON,CARLOS",2
05:38,,,,,"MISS 3PTR by GILLIHAN,NEWLON",,,"MISS 3PTR by GILLIHAN,NEWLON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
05:36,"SUB OUT by KIMMONS,BRIEN",,,,,,,"SUB OUT by KIMMONS,BRIEN",2
05:36,"SUB IN by JONES,TAVONTA",,,,,,,"SUB IN by JONES,TAVONTA",2
05:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
05:36,,,,,"SUB OUT by HUGHES,ANTHONY",,,"SUB OUT by HUGHES,ANTHONY",2
05:36,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",2
05:14,"MISS 3PTR by PINKSTON,TRE",,,,,,,"MISS 3PTR by PINKSTON,TRE",2
--,"REBOUND OFF by WILKERSON,CARLOS",,,,,,,"REBOUND OFF by WILKERSON,CARLOS",2
05:08,"MISS JUMPER by WILKERSON,CARLOS(in the paint)",,,,,,,"MISS JUMPER by WILKERSON,CARLOS(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:53,"MISS 3PTR by HARRIS,KEITH",,,,,,,"MISS 3PTR by HARRIS,KEITH",2
--,"REBOUND OFF by PINKSTON,TRE",,,,,,,"REBOUND OFF by PINKSTON,TRE",2
04:48,"MISS 3PTR by JONES,TAVONTA",,,,,,,"MISS 3PTR by JONES,TAVONTA",2
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",2
04:31,,,,,"TURNOVER  by VAN PELT,JUSTIN",,,"TURNOVER  by VAN PELT,JUSTIN",2
04:14,"MISS 3PTR by HARRIS,KEITH",,,,,,,"MISS 3PTR by HARRIS,KEITH",2
--,"REBOUND OFF by HINES,JAQUAN",,,,,,,"REBOUND OFF by HINES,JAQUAN",2
04:08,"MISS LAYUP by JONES,TAVONTA(in the paint)",,,,,,,"MISS LAYUP by JONES,TAVONTA(in the paint)",2
04:08,,,,,"BLOCK  by VAN PELT,JUSTIN",,,"BLOCK  by VAN PELT,JUSTIN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:57,"MISS JUMPER by JONES,TAVONTA(in the paint)",,,,,,,"MISS JUMPER by JONES,TAVONTA(in the paint)",2
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",2
03:52,,49,,57 (+8),"GOOD 3PTR by BECKER,SAXTON(fastbreak)",Mill 49-57 (+8),,"GOOD 3PTR by BECKER,SAXTON(fastbreak)",2
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",2
03:36,"TURNOVER  by HARRIS,KEITH",,,,,,,"TURNOVER  by HARRIS,KEITH",2
03:36,,,,,"STEAL  by VAN PELT,JUSTIN",,,"STEAL  by VAN PELT,JUSTIN",2
03:29,"FOUL  by HARRIS,KEITH",,,,,,,"FOUL  by HARRIS,KEITH",2
03:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:29,,49,,58 (+9),"GOOD FT by JENKINS,KALEB(fastbreak)",Mill 49-58 (+9),,"GOOD FT by JENKINS,KALEB(fastbreak)",2
03:29,,49,,59 (+10),"GOOD FT by JENKINS,KALEB(fastbreak)",Mill 49-59 (+10),,"GOOD FT by JENKINS,KALEB(fastbreak)",2
03:13,"GOOD JUMPER by HARRIS,KEITH",51,,59 (+8),,MUW 51-59 (+8),,"GOOD JUMPER by HARRIS,KEITH",2
--,"ASSIST  by JONES,TAVONTA",,,,,,,"ASSIST  by JONES,TAVONTA",2
03:05,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",2
03:05,"STEAL  by PINKSTON,TRE",,,,,,,"STEAL  by PINKSTON,TRE",2
03:02,"GOOD JUMPER by PINKSTON,TRE(fastbreak)(in the paint)",53,,59 (+6),,MUW 53-59 (+6),,"GOOD JUMPER by PINKSTON,TRE(fastbreak)(in the paint)",2
02:52,"FOUL  by PINKSTON,TRE",,,,,,,"FOUL  by PINKSTON,TRE",2
02:52,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
02:52,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",2
02:42,,53,,62 (+9),"GOOD 3PTR by BECKER,SAXTON",Mill 53-62 (+9),,"GOOD 3PTR by BECKER,SAXTON",2
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",2
02:31,"MISS 3PTR by HARRIS,KEITH",,,,,,,"MISS 3PTR by HARRIS,KEITH",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:19,,53,,65 (+12),"GOOD 3PTR by JENKINS,KALEB",Mill 53-65 (+12),,"GOOD 3PTR by JENKINS,KALEB",2
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",2
02:03,"MISS 3PTR by WILKERSON,CARLOS",,,,,,,"MISS 3PTR by WILKERSON,CARLOS",2
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",2
01:34,,,,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",2
01:34,"BLOCK  by HINES,JAQUAN",,,,,,,"BLOCK  by HINES,JAQUAN",2
--,"REBOUND DEF by JONES,TAVONTA",,,,,,,"REBOUND DEF by JONES,TAVONTA",2
01:26,,,,,"FOUL  by HUGHES,ANTHONY",,,"FOUL  by HUGHES,ANTHONY",2
01:18,"FOUL  by HARRIS,KEITH",,,,,,,"FOUL  by HARRIS,KEITH",2
01:18,"TURNOVER  by HARRIS,KEITH",,,,,,,"TURNOVER  by HARRIS,KEITH",2
01:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:18,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",2
01:18,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",2
01:18,"SUB OUT by HINES,JAQUAN",,,,,,,"SUB OUT by HINES,JAQUAN",2
01:18,"SUB IN by JACKSON,TYLER",,,,,,,"SUB IN by JACKSON,TYLER",2
01:17,"FOUL  by JACKSON,TYLER",,,,,,,"FOUL  by JACKSON,TYLER",2
01:17,"SUB OUT by WILKERSON,CARLOS",,,,,,,"SUB OUT by WILKERSON,CARLOS",2
01:17,"SUB IN by ZERADJANIN,MILOS",,,,,,,"SUB IN by ZERADJANIN,MILOS",2
01:17,,53,,66 (+13),"GOOD FT by JENKINS,KALEB(fastbreak)",Mill 53-66 (+13),,"GOOD FT by JENKINS,KALEB(fastbreak)",2
01:17,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",2
01:17,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
01:17,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
01:17,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",2
01:17,,53,,67 (+14),"GOOD FT by JENKINS,KALEB(fastbreak)",Mill 53-67 (+14),,"GOOD FT by JENKINS,KALEB(fastbreak)",2
01:06,"MISS 3PTR by JACKSON,TYLER",,,,,,,"MISS 3PTR by JACKSON,TYLER",2
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",2
00:47,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",2
00:47,"STEAL  by JACKSON,TYLER",,,,,,,"STEAL  by JACKSON,TYLER",2
00:43,"GOOD LAYUP by HARRIS,KEITH(fastbreak)(in the paint)",55,,67 (+12),,MUW 55-67 (+12),,"GOOD LAYUP by HARRIS,KEITH(fastbreak)(in the paint)",2
--,"ASSIST  by JACKSON,TYLER",,,,,,,"ASSIST  by JACKSON,TYLER",2
00:43,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",2
00:43,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
00:43,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",2
00:43,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",2
00:43,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
00:43,"MISS FT by HARRIS,KEITH(fastbreak)",,,,,,,"MISS FT by HARRIS,KEITH(fastbreak)",2
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",2
00:25,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",2
--,"REBOUND DEF by JACKSON,TYLER",,,,,,,"REBOUND DEF by JACKSON,TYLER",2
00:23,,,,,"FOUL  by GILLIHAN,NEWLON",,,"FOUL  by GILLIHAN,NEWLON",2
00:23,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",2
00:23,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
00:23,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
00:23,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",2
00:19,"GOOD 3PTR by JACKSON,TYLER",58,,67 (+9),,MUW 58-67 (+9),,"GOOD 3PTR by JACKSON,TYLER",2
--,"ASSIST  by JONES,TAVONTA",,,,,,,"ASSIST  by JONES,TAVONTA",2
00:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:18,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
00:18,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",2
00:18,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",2
00:18,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
00:13,"FOUL  by JONES,TAVONTA",,,,,,,"FOUL  by JONES,TAVONTA",2
00:13,,58,,68 (+10),"GOOD FT by YOUNG,DILLON(fastbreak)",Mill 58-68 (+10),,"GOOD FT by YOUNG,DILLON(fastbreak)",2
00:13,,58,,69 (+11),"GOOD FT by YOUNG,DILLON(fastbreak)",Mill 58-69 (+11),,"GOOD FT by YOUNG,DILLON(fastbreak)",2
