Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
--,"ASSIST  by JAMES,TRAI",,,,,,,"ASSIST  by JAMES,TRAI",1
12:00,,11,,18 (+7),"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",Mill 11-18 (+7),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",1
11:42,,,,,"FOUL  by HUGHES,ANTHONY",,,"FOUL  by HUGHES,ANTHONY",1
11:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:42,"MISS FT by PRUITT,KELVIN",,,,,,,"MISS FT by PRUITT,KELVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:42,"GOOD FT by PRUITT,KELVIN",12,,18 (+6),,BU 12-18 (+6),,"GOOD FT by PRUITT,KELVIN",1
11:31,,12,,20 (+8),"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",Mill 12-20 (+8),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
11:15,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",1
11:15,"GOOD FT by DUPREE,RYAN",13,,20 (+7),,BU 13-20 (+7),,"GOOD FT by DUPREE,RYAN",1
11:15,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",1
11:15,,,,,"SUB OUT by HUGHES,ANTHONY",,,"SUB OUT by HUGHES,ANTHONY",1
11:15,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
11:15,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
11:15,"SUB OUT by ROBERTS,JOSHUA",,,,,,,"SUB OUT by ROBERTS,JOSHUA",1
11:15,"SUB IN by YOUNG,QUESHOD",,,,,,,"SUB IN by YOUNG,QUESHOD",1
11:15,"MISS FT by DUPREE,RYAN",,,,,,,"MISS FT by DUPREE,RYAN",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
10:45,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
10:45,"STEAL  by JAMES,TRAI",,,,,,,"STEAL  by JAMES,TRAI",1
10:41,"GOOD LAYUP by YOUNG,QUESHOD(fastbreak)(in the paint)",15,,20 (+5),,BU 15-20 (+5),,"GOOD LAYUP by YOUNG,QUESHOD(fastbreak)(in the paint)",1
--,"ASSIST  by JAMES,TRAI",,,,,,,"ASSIST  by JAMES,TRAI",1
10:24,,,,,"MISS JUMPER by BECKER,SAXTON(in the paint)",,,"MISS JUMPER by BECKER,SAXTON(in the paint)",1
--,"REBOUND DEF by JAMES,TRAI",,,,,,,"REBOUND DEF by JAMES,TRAI",1
10:13,"MISS JUMPER by PRUITT,KELVIN(in the paint)",,,,,,,"MISS JUMPER by PRUITT,KELVIN(in the paint)",1
--,"REBOUND OFF by COOKS,BROSNAN",,,,,,,"REBOUND OFF by COOKS,BROSNAN",1
10:08,"GOOD 3PTR by YOUNG,QUESHOD",18,,20 (+2),,BU 18-20 (+2),,"GOOD 3PTR by YOUNG,QUESHOD",1
--,"ASSIST  by COOKS,BROSNAN",,,,,,,"ASSIST  by COOKS,BROSNAN",1
09:47,,18,,22 (+4),"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",Mill 18-22 (+4),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",1
