Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
08:12,,,,,"FOUL  by CHIEN,KEVIN",,,"FOUL  by CHIEN,KEVIN",1
08:12,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:12,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
08:12,"MISS LAYUP by AFFRONTI,LEWIS",,,,,,,"MISS LAYUP by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
08:12,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",23,,26 (+3),,SEW 23-26 (-3),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",1
08:12,,23,,29 (+6),"GOOD 3PTR by CHIEN,KEVIN",RCMBB12 23-29 (-6),,"GOOD 3PTR by CHIEN,KEVIN",1
08:00,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
07:44,,23,,32 (+9),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 23-32 (-9),,"GOOD 3PTR by DUNAVANT,JOHN",1
07:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:48,"GOOD 3PTR by AFFRONTI,LEWIS",26,,32 (+6),,SEW 26-32 (-6),,"GOOD 3PTR by AFFRONTI,LEWIS",1
05:41,,,,,"MISS JUMPER by HARTWELL,THEO",,,"MISS JUMPER by HARTWELL,THEO",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
05:41,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
05:41,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",1
05:41,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
05:41,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
05:41,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
