Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
08:57,,48,,59 (+11),"GOOD LAYUP by CHANEY,DAMIEN(in the paint)",CCM 48-59 (-11),,"GOOD LAYUP by CHANEY,DAMIEN(in the paint)",2
--,,,,,"ASSIST  by DANEK,JOEY",,,"ASSIST  by DANEK,JOEY",2
08:26,,,,,"FOUL  by MCGRIFF,COLTON",,,"FOUL  by MCGRIFF,COLTON",2
08:26,"GOOD FT by BRYANT,VALENTINO",49,,59 (+10),,SEW 49-59 (-10),,"GOOD FT by BRYANT,VALENTINO",2
08:26,"GOOD FT by BRYANT,VALENTINO",50,,59 (+9),,SEW 50-59 (-9),,"GOOD FT by BRYANT,VALENTINO",2
08:15,,,,,"TURNOVER  by LAKEY,ZAROME",,,"TURNOVER  by LAKEY,ZAROME",2
08:13,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",2
08:07,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by DEVRIES,JON",,,"REBOUND DEF by DEVRIES,JON",2
07:59,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
07:36,,50,,61 (+11),"GOOD LAYUP by DANEK,JOEY(in the paint)",CCM 50-61 (-11),,"GOOD LAYUP by DANEK,JOEY(in the paint)",2
--,,,,,"ASSIST  by LAKEY,ZAROME",,,"ASSIST  by LAKEY,ZAROME",2
07:13,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
07:13,,,,,"FOUL  by COX,TJ",,,"FOUL  by COX,TJ",2
07:13,,,,,"FOUL  by DEVRIES,JON",,,"FOUL  by DEVRIES,JON",2
06:58,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
06:56,,,,,"STEAL  by DANEK,JOEY",,,"STEAL  by DANEK,JOEY",2
06:48,,,,,"MISS JUMPER by DANEK,JOEY",,,"MISS JUMPER by DANEK,JOEY",2
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",2
06:36,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",2
06:34,,,,,"STEAL  by COX,TJ",,,"STEAL  by COX,TJ",2
06:34,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",2
06:22,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by DEVRIES,JON",,,"REBOUND DEF by DEVRIES,JON",2
06:11,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",2
06:11,,50,,62 (+12),"GOOD FT by COX,TJ",CCM 50-62 (-12),,"GOOD FT by COX,TJ",2
06:11,,50,,63 (+13),"GOOD FT by COX,TJ",CCM 50-63 (-13),,"GOOD FT by COX,TJ",2
05:54,,,,,"FOUL  by DANEK,JOEY",,,"FOUL  by DANEK,JOEY",2
05:54,"GOOD FT by MARTIN,SAM",51,,63 (+12),,SEW 51-63 (-12),,"GOOD FT by MARTIN,SAM",2
05:54,"MISS FT by MARTIN,SAM",,,,,,,"MISS FT by MARTIN,SAM",2
--,,,,,"REBOUND DEF by ENGBERS,BRYANT",,,"REBOUND DEF by ENGBERS,BRYANT",2
05:47,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",2
05:46,"STEAL  by BROWN,TYLER",,,,,,,"STEAL  by BROWN,TYLER",2
05:20,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
05:14,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
05:09,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",2
--,,,,,"REBOUND DEF by COX,TJ",,,"REBOUND DEF by COX,TJ",2
05:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:36,,,,,"MISS 3PTR by MUTCHERSON,ROSBIE",,,"MISS 3PTR by MUTCHERSON,ROSBIE",2
--,,,,,"REBOUND OFF by ENGBERS,BRYANT",,,"REBOUND OFF by ENGBERS,BRYANT",2
04:21,,,,,"TURNOVER  by CHANEY,DAMIEN",,,"TURNOVER  by CHANEY,DAMIEN",2
04:21,"STEAL  by WILLIAMS,TRENT",,,,,,,"STEAL  by WILLIAMS,TRENT",2
04:21,,,,,"FOUL  by CHANEY,DAMIEN",,,"FOUL  by CHANEY,DAMIEN",2
04:10,,,,,"FOUL  by COX,TJ",,,"FOUL  by COX,TJ",2
04:10,"GOOD FT by BRYANT,VALENTINO",52,,63 (+11),,SEW 52-63 (-11),,"GOOD FT by BRYANT,VALENTINO",2
04:10,"GOOD FT by BRYANT,VALENTINO",53,,63 (+10),,SEW 53-63 (-10),,"GOOD FT by BRYANT,VALENTINO",2
04:01,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",2
03:50,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by DANEK,JOEY",,,"REBOUND DEF by DANEK,JOEY",2
03:44,,53,,65 (+12),"GOOD LAYUP by LAKEY,ZAROME(fastbreak)(in the paint)",CCM 53-65 (-12),,"GOOD LAYUP by LAKEY,ZAROME(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",2
03:29,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:22,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND OFF by WILLIAMS,TRENT",,,,,,,"REBOUND OFF by WILLIAMS,TRENT",2
03:19,,,,,"FOUL  by DEVRIES,JON",,,"FOUL  by DEVRIES,JON",2
03:19,"GOOD FT by WILLIAMS,TRENT",54,,65 (+11),,SEW 54-65 (-11),,"GOOD FT by WILLIAMS,TRENT",2
03:19,"MISS FT by WILLIAMS,TRENT",,,,,,,"MISS FT by WILLIAMS,TRENT",2
--,,,,,"REBOUND DEF by DEVRIES,JON",,,"REBOUND DEF by DEVRIES,JON",2
03:16,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
03:16,,54,,66 (+12),"GOOD FT by DEVRIES,JON",CCM 54-66 (-12),,"GOOD FT by DEVRIES,JON",2
03:16,,54,,67 (+13),"GOOD FT by DEVRIES,JON",CCM 54-67 (-13),,"GOOD FT by DEVRIES,JON",2
03:06,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",56,,67 (+11),,SEW 56-67 (-11),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",2
03:01,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",2
03:01,,56,,68 (+12),"GOOD FT by COX,TJ",CCM 56-68 (-12),,"GOOD FT by COX,TJ",2
03:01,,56,,69 (+13),"GOOD FT by COX,TJ",CCM 56-69 (-13),,"GOOD FT by COX,TJ",2
02:54,"GOOD 3PTR by AFFRONTI,LEWIS",59,,69 (+10),,SEW 59-69 (-10),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by WILLIAMS,TRENT",,,,,,,"ASSIST  by WILLIAMS,TRENT",2
02:45,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
02:45,,59,,70 (+11),"GOOD FT by COX,TJ",CCM 59-70 (-11),,"GOOD FT by COX,TJ",2
02:45,,59,,71 (+12),"GOOD FT by COX,TJ",CCM 59-71 (-12),,"GOOD FT by COX,TJ",2
02:35,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",2
02:32,"GOOD LAYUP by NELSON,ANVIL(in the paint)",61,,71 (+10),,SEW 61-71 (-10),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
02:16,,,,,"MISS DUNK by DANEK,JOEY",,,"MISS DUNK by DANEK,JOEY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:59,"TURNOVER  by BOULDIN,BRETT",,,,,,,"TURNOVER  by BOULDIN,BRETT",2
01:58,,,,,"STEAL  by DANEK,JOEY",,,"STEAL  by DANEK,JOEY",2
01:53,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",2
01:53,,61,,72 (+11),"GOOD FT by COX,TJ",CCM 61-72 (-11),,"GOOD FT by COX,TJ",2
01:53,,61,,73 (+12),"GOOD FT by COX,TJ",CCM 61-73 (-12),,"GOOD FT by COX,TJ",2
01:47,"GOOD JUMPER by BRYANT,VALENTINO",63,,73 (+10),,SEW 63-73 (-10),,"GOOD JUMPER by BRYANT,VALENTINO",2
01:37,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",2
01:37,,,,,"MISS FT by DANEK,JOEY",,,"MISS FT by DANEK,JOEY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:37,,63,,74 (+11),"GOOD FT by DANEK,JOEY",CCM 63-74 (-11),,"GOOD FT by DANEK,JOEY",2
01:31,"GOOD 3PTR by BRYANT,VALENTINO",66,,74 (+8),,SEW 66-74 (-8),,"GOOD 3PTR by BRYANT,VALENTINO",2
01:26,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:19,,66,,76 (+10),"GOOD LAYUP by SEARS,CALLUM(in the paint)",CCM 66-76 (-10),,"GOOD LAYUP by SEARS,CALLUM(in the paint)",2
--,,,,,"ASSIST  by MCGRIFF,COLTON",,,"ASSIST  by MCGRIFF,COLTON",2
01:08,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,"REBOUND OFF by BRYANT,VALENTINO",,,,,,,"REBOUND OFF by BRYANT,VALENTINO",2
01:07,,,,,"FOUL  by ENGBERS,BRYANT",,,"FOUL  by ENGBERS,BRYANT",2
01:06,"GOOD FT by BRYANT,VALENTINO",67,,76 (+9),,SEW 67-76 (-9),,"GOOD FT by BRYANT,VALENTINO",2
01:06,"GOOD FT by BRYANT,VALENTINO",68,,76 (+8),,SEW 68-76 (-8),,"GOOD FT by BRYANT,VALENTINO",2
01:04,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",2
01:04,,68,,77 (+9),"GOOD FT by ENGBERS,BRYANT",CCM 68-77 (-9),,"GOOD FT by ENGBERS,BRYANT",2
01:04,,68,,78 (+10),"GOOD FT by ENGBERS,BRYANT",CCM 68-78 (-10),,"GOOD FT by ENGBERS,BRYANT",2
00:59,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND OFF by BEVIACQUA,BRYAN",,,,,,,"REBOUND OFF by BEVIACQUA,BRYAN",2
00:51,"GOOD 3PTR by BEVIACQUA,BRYAN",71,,78 (+7),,SEW 71-78 (-7),,"GOOD 3PTR by BEVIACQUA,BRYAN",2
00:47,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
00:47,,71,,79 (+8),"GOOD FT by CHANEY,DAMIEN",CCM 71-79 (-8),,"GOOD FT by CHANEY,DAMIEN",2
00:47,,71,,80 (+9),"GOOD FT by CHANEY,DAMIEN",CCM 71-80 (-9),,"GOOD FT by CHANEY,DAMIEN",2
00:43,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
00:43,,,,,"BLOCK  by DEVRIES,JON",,,"BLOCK  by DEVRIES,JON",2
--,,,,,"REBOUND DEF by DEVRIES,JON",,,"REBOUND DEF by DEVRIES,JON",2
00:40,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
00:40,,71,,81 (+10),"GOOD FT by DEVRIES,JON",CCM 71-81 (-10),,"GOOD FT by DEVRIES,JON",2
00:40,,,,,"MISS FT by DEVRIES,JON",,,"MISS FT by DEVRIES,JON",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
00:32,"MISS 3PTR by BEVIACQUA,BRYAN",,,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
00:24,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,"REBOUND OFF by WILLIAMS,TRENT",,,,,,,"REBOUND OFF by WILLIAMS,TRENT",2
00:20,"MISS 3PTR by BEVIACQUA,BRYAN",,,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
