Time Remaining,LAGRANGE,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",2
08:49,"FOUL  by O'HARA,ROSS",,,,,,,"FOUL  by O'HARA,ROSS",2
08:36,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",2
08:33,"STEAL  by ANDERSON,KYRON",,,,,,,"STEAL  by ANDERSON,KYRON",2
08:31,"GOOD LAYUP by ANDERSON,KYRON(fastbreak)(in the paint)",47,,64 (+17),,LAGRANGE 47-64 (+17),,"GOOD LAYUP by ANDERSON,KYRON(fastbreak)(in the paint)",2
08:12,,47,,66 (+19),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 47-66 (+19),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",2
07:54,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",49,,66 (+17),,LAGRANGE 49-66 (+17),,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",2
--,"ASSIST  by ANDERKAVICH,JOEY",,,,,,,"ASSIST  by ANDERKAVICH,JOEY",2
07:36,,49,,68 (+19),"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEW 49-68 (+19),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
07:00,"MISS 3PTR by ANDERSON,KYRON",,,,,,,"MISS 3PTR by ANDERSON,KYRON",2
--,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",,,"REBOUND DEF by BEVIACQUA,BRYAN",2
06:46,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND DEF by VAUGHN,MARCUS",,,,,,,"REBOUND DEF by VAUGHN,MARCUS",2
06:31,"MISS 3PTR by POWER,AARON",,,,,,,"MISS 3PTR by POWER,AARON",2
--,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",,,"REBOUND DEF by BEVIACQUA,BRYAN",2
06:10,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",2
--,"REBOUND DEF by ANDERSON,KYRON",,,,,,,"REBOUND DEF by ANDERSON,KYRON",2
06:03,,,,,"FOUL  by WILLIAMS,TRENT",,,"FOUL  by WILLIAMS,TRENT",2
06:03,"GOOD FT by POWER,AARON",50,,68 (+18),,LAGRANGE 50-68 (+18),,"GOOD FT by POWER,AARON",2
06:03,"GOOD FT by POWER,AARON",51,,68 (+17),,LAGRANGE 51-68 (+17),,"GOOD FT by POWER,AARON",2
06:01,,51,,70 (+19),"GOOD LAYUP by BEVIACQUA,BRYAN(in the paint)",SEW 51-70 (+19),,"GOOD LAYUP by BEVIACQUA,BRYAN(in the paint)",2
05:52,FOUL  by TEAM,,,,,,,FOUL  by TEAM,2
05:44,,51,,71 (+20),"GOOD FT by BEVIACQUA,BRYAN",SEW 51-71 (+20),,"GOOD FT by BEVIACQUA,BRYAN",2
05:36,"MISS JUMPER by MACLIN,CATRELL",,,,,,,"MISS JUMPER by MACLIN,CATRELL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:09,,51,,73 (+22),"GOOD LAYUP by MARTIN,SAM(in the paint)",SEW 51-73 (+22),,"GOOD LAYUP by MARTIN,SAM(in the paint)",2
04:55,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",2
04:55,"GOOD FT by VAUGHN,MARCUS",52,,73 (+21),,LAGRANGE 52-73 (+21),,"GOOD FT by VAUGHN,MARCUS",2
04:55,"GOOD FT by VAUGHN,MARCUS",53,,73 (+20),,LAGRANGE 53-73 (+20),,"GOOD FT by VAUGHN,MARCUS",2
04:23,,,,,"TURNOVER  by MARTIN,SAM",,,"TURNOVER  by MARTIN,SAM",2
04:21,"STEAL  by MACLIN,CATRELL",,,,,,,"STEAL  by MACLIN,CATRELL",2
04:13,"MISS JUMPER by O'HARA,ROSS",,,,,,,"MISS JUMPER by O'HARA,ROSS",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
04:03,,,,,"MISS JUMPER by VEAL,ROBERT",,,"MISS JUMPER by VEAL,ROBERT",2
--,"REBOUND DEF by O'HARA,ROSS",,,,,,,"REBOUND DEF by O'HARA,ROSS",2
03:57,"MISS LAYUP by HOWARD,JEROD",,,,,,,"MISS LAYUP by HOWARD,JEROD",2
--,"REBOUND OFF by VAUGHN,MARCUS",,,,,,,"REBOUND OFF by VAUGHN,MARCUS",2
03:50,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",55,,73 (+18),,LAGRANGE 55-73 (+18),,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",2
03:16,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
03:00,"MISS 3PTR by CRAFT,BLAKE",,,,,,,"MISS 3PTR by CRAFT,BLAKE",2
--,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",,,"REBOUND DEF by BEVIACQUA,BRYAN",2
02:35,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
02:23,"MISS JUMPER by MACLIN,CATRELL",,,,,,,"MISS JUMPER by MACLIN,CATRELL",2
--,,,,,"REBOUND DEF by KIRKPATRICK,TODD",,,"REBOUND DEF by KIRKPATRICK,TODD",2
02:23,,55,,75 (+20),"GOOD DUNK by MARTIN,SAM(in the paint)",SEW 55-75 (+20),,"GOOD DUNK by MARTIN,SAM(in the paint)",2
02:23,"MISS 3PTR by HOWARD,JEROD",,,,,,,"MISS 3PTR by HOWARD,JEROD",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:58,"GOOD 3PTR by POWER,AARON",58,,75 (+17),,LAGRANGE 58-75 (+17),,"GOOD 3PTR by POWER,AARON",2
--,"ASSIST  by ANDERSON,KYRON",,,,,,,"ASSIST  by ANDERSON,KYRON",2
01:51,,,,,"TURNOVER  by BEVIACQUA,BRYAN",,,"TURNOVER  by BEVIACQUA,BRYAN",2
01:51,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
01:40,"TURNOVER  by CRAFT,BLAKE",,,,,,,"TURNOVER  by CRAFT,BLAKE",2
01:40,,,,,"STEAL  by KIRKPATRICK,TODD",,,"STEAL  by KIRKPATRICK,TODD",2
01:40,"FOUL  by CRAFT,BLAKE",,,,,,,"FOUL  by CRAFT,BLAKE",2
01:40,,58,,76 (+18),"GOOD FT by BEVIACQUA,BRYAN",SEW 58-76 (+18),,"GOOD FT by BEVIACQUA,BRYAN",2
01:40,,,,,"MISS FT by BEVIACQUA,BRYAN",,,"MISS FT by BEVIACQUA,BRYAN",2
--,"REBOUND DEF by O'HARA,ROSS",,,,,,,"REBOUND DEF by O'HARA,ROSS",2
01:13,"MISS 3PTR by CRAFT,BLAKE",,,,,,,"MISS 3PTR by CRAFT,BLAKE",2
--,,,,,"REBOUND DEF by GRACE,WES",,,"REBOUND DEF by GRACE,WES",2
01:01,,,,,"MISS LAYUP by LEIBRANDT,ERIC",,,"MISS LAYUP by LEIBRANDT,ERIC",2
01:01,"BLOCK  by HOWARD,JEROD",,,,,,,"BLOCK  by HOWARD,JEROD",2
--,"REBOUND DEF by LEWIS,DARON",,,,,,,"REBOUND DEF by LEWIS,DARON",2
00:52,"GOOD 3PTR by HOWARD,JEROD",61,,76 (+15),,LAGRANGE 61-76 (+15),,"GOOD 3PTR by HOWARD,JEROD",2
00:45,"FOUL  by CRAFT,BLAKE",,,,,,,"FOUL  by CRAFT,BLAKE",2
00:45,,61,,77 (+16),"GOOD FT by KIRKPATRICK,TODD",SEW 61-77 (+16),,"GOOD FT by KIRKPATRICK,TODD",2
00:45,,,,,"MISS FT by KIRKPATRICK,TODD",,,"MISS FT by KIRKPATRICK,TODD",2
--,"REBOUND DEF by O'HARA,ROSS",,,,,,,"REBOUND DEF by O'HARA,ROSS",2
00:36,"MISS 3PTR by HOWARD,JEROD",,,,,,,"MISS 3PTR by HOWARD,JEROD",2
--,,,,,"REBOUND DEF by GRACE,WES",,,"REBOUND DEF by GRACE,WES",2
00:27,,,,,"TURNOVER  by ABELES,ZACH",,,"TURNOVER  by ABELES,ZACH",2
00:22,"MISS 3PTR by MACLIN,CATRELL",,,,,,,"MISS 3PTR by MACLIN,CATRELL",2
--,,,,,"REBOUND DEF by KIRKPATRICK,TODD",,,"REBOUND DEF by KIRKPATRICK,TODD",2
00:17,,,,,"TURNOVER  by KIRKPATRICK,TODD",,,"TURNOVER  by KIRKPATRICK,TODD",2
00:15,"STEAL  by CRAFT,BLAKE",,,,,,,"STEAL  by CRAFT,BLAKE",2
00:14,"GOOD LAYUP by HOWARD,JEROD(in the paint)",63,,77 (+14),,LAGRANGE 63-77 (+14),,"GOOD LAYUP by HOWARD,JEROD(in the paint)",2
00:14,,,,,"FOUL  by KIRKPATRICK,TODD",,,"FOUL  by KIRKPATRICK,TODD",2
00:14,"GOOD FT by HOWARD,JEROD",64,,77 (+13),,LAGRANGE 64-77 (+13),,"GOOD FT by HOWARD,JEROD",2
00:09,,,,,"TURNOVER  by WARREN,NATHAN",,,"TURNOVER  by WARREN,NATHAN",2
00:05,"MISS 3PTR by HOWARD,JEROD",,,,,,,"MISS 3PTR by HOWARD,JEROD",2
--,,,,,"REBOUND DEF by ABELES,ZACH",,,"REBOUND DEF by ABELES,ZACH",2
