Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,FRAN,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by THOMAS,KLEINSCHNITZ",,,"REBOUND DEF by THOMAS,KLEINSCHNITZ",2
17:46,,,,,"TURNOVER  by THOMAS,KLEINSCHNITZ",,,"TURNOVER  by THOMAS,KLEINSCHNITZ",2
17:45,"STEAL  by PRICE,PATRICK",,,,,,,"STEAL  by PRICE,PATRICK",2
17:44,"TURNOVER  by PRICE,PATRICK",,,,,,,"TURNOVER  by PRICE,PATRICK",2
17:12,,53 (+18),,35,"GOOD LAYUP by SEAN,WAYNE(in the paint)",FRAN 53-35 (+18),,"GOOD LAYUP by SEAN,WAYNE(in the paint)",2
17:06,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND DEF by SEAN,WAYNE",,,"REBOUND DEF by SEAN,WAYNE",2
16:54,,,,,"TURNOVER  by THOMAS,KLEINSCHNITZ",,,"TURNOVER  by THOMAS,KLEINSCHNITZ",2
16:53,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
16:47,"GOOD 3PTR by PRICE,PATRICK",56 (+21),,35,,BSC 56-35 (+21),,"GOOD 3PTR by PRICE,PATRICK",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
16:29,,,,,"MISS LAYUP by SEAN,WAYNE",,,"MISS LAYUP by SEAN,WAYNE",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
16:10,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by CONNOR,FLANAGAN",,,"REBOUND DEF by CONNOR,FLANAGAN",2
16:02,,,,,"MISS 3PTR by CONNOR,FLANAGAN",,,"MISS 3PTR by CONNOR,FLANAGAN",2
--,,,,,"REBOUND OFF by CONNOR,FLANAGAN",,,"REBOUND OFF by CONNOR,FLANAGAN",2
15:55,,,,,"MISS LAYUP by CONNOR,FLANAGAN",,,"MISS LAYUP by CONNOR,FLANAGAN",2
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",2
15:47,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",58 (+23),,35,,BSC 58-35 (+23),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
15:31,,,,,"TURNOVER  by CONNOR,FLANAGAN",,,"TURNOVER  by CONNOR,FLANAGAN",2
15:30,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
15:28,"GOOD LAYUP by WHITE,BLAISE(in the paint)",60 (+25),,35,,BSC 60-35 (+25),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",2
15:25,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",2
15:25,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
15:25,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
15:25,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",2
15:25,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
15:25,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
15:25,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
15:25,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",2
15:25,"SUB OUT by AHUMADA,HART",,,,,,,"SUB OUT by AHUMADA,HART",2
15:25,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
15:25,,,,,"SUB IN by DAN,KROENING",,,"SUB IN by DAN,KROENING",2
15:25,,,,,"SUB OUT by CONNOR,FLANAGAN",,,"SUB OUT by CONNOR,FLANAGAN",2
15:24,,,,,"TURNOVER  by FRANK,MURRAY",,,"TURNOVER  by FRANK,MURRAY",2
15:23,"STEAL  by SHEMANSKI,RICKY",,,,,,,"STEAL  by SHEMANSKI,RICKY",2
15:19,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",2
14:59,"GOOD 3PTR by KEGARISE,KEVIN",63 (+28),,35,,BSC 63-35 (+28),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by DOATY,ISIAH",,,,,,,"ASSIST  by DOATY,ISIAH",2
14:41,"FOUL  by DOATY,ISIAH",,,,,,,"FOUL  by DOATY,ISIAH",2
14:41,,63 (+27),,36,"GOOD FT by DAN,KROENING",FRAN 63-36 (+27),,"GOOD FT by DAN,KROENING",2
14:41,,63 (+26),,37,"GOOD FT by DAN,KROENING",FRAN 63-37 (+26),,"GOOD FT by DAN,KROENING",2
14:41,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by DAN,KROENING",,,"REBOUND DEF by DAN,KROENING",2
13:46,,,,,"TURNOVER  by DAN,KROENING",,,"TURNOVER  by DAN,KROENING",2
13:45,"STEAL  by DOATY,ISIAH",,,,,,,"STEAL  by DOATY,ISIAH",2
13:43,"TURNOVER  by DOATY,ISIAH",,,,,,,"TURNOVER  by DOATY,ISIAH",2
13:41,,,,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",2
--,,,,,"REBOUND OFF by FRANK,MURRAY",,,"REBOUND OFF by FRANK,MURRAY",2
13:41,,,,,"TURNOVER  by FRANK,MURRAY",,,"TURNOVER  by FRANK,MURRAY",2
13:41,"STEAL  by DOATY,ISIAH",,,,,,,"STEAL  by DOATY,ISIAH",2
13:41,"GOOD 3PTR by KEGARISE,KEVIN",66 (+29),,37,,BSC 66-37 (+29),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",2
13:41,,,,,"MISS LAYUP by THOMAS,KLEINSCHNITZ",,,"MISS LAYUP by THOMAS,KLEINSCHNITZ",2
--,,,,,"REBOUND OFF by THOMAS,KLEINSCHNITZ",,,"REBOUND OFF by THOMAS,KLEINSCHNITZ",2
13:41,,66 (+27),,39,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 66-39 (+27),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",2
13:41,"GOOD LAYUP by LEE,CALEB(in the paint)",68 (+29),,39,,BSC 68-39 (+29),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
--,"ASSIST  by SHEMANSKI,RICKY",,,,,,,"ASSIST  by SHEMANSKI,RICKY",2
13:41,,,,,"MISS 3PTR by NATE,STANTON",,,"MISS 3PTR by NATE,STANTON",2
--,"REBOUND DEF by SHEMANSKI,RICKY",,,,,,,"REBOUND DEF by SHEMANSKI,RICKY",2
13:38,,,,,"FOUL  by SHANE,CRUMP",,,"FOUL  by SHANE,CRUMP",2
13:30,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
13:30,"SUB IN by RODGERS,PHILLIP",,,,,,,"SUB IN by RODGERS,PHILLIP",2
13:30,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",2
13:30,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
13:30,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",2
13:30,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
13:30,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",2
13:30,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
13:30,,,,,"SUB IN by CONNOR,FLANAGAN",,,"SUB IN by CONNOR,FLANAGAN",2
13:30,,,,,"SUB OUT by NATE,STANTON",,,"SUB OUT by NATE,STANTON",2
13:30,,,,,"SUB OUT by FRANK,MURRAY",,,"SUB OUT by FRANK,MURRAY",2
11:36,,,,,"FOUL  by SHANE,CRUMP",,,"FOUL  by SHANE,CRUMP",2
11:36,"GOOD FT by RODGERS,PHILLIP",69 (+30),,39,,BSC 69-39 (+30),,"GOOD FT by RODGERS,PHILLIP",2
11:36,"GOOD FT by RODGERS,PHILLIP",70 (+31),,39,,BSC 70-39 (+31),,"GOOD FT by RODGERS,PHILLIP",2
11:36,,,,,"SUB IN by DAVID,RAINWATER",,,"SUB IN by DAVID,RAINWATER",2
11:20,"FOUL  by MURPHY,NICK",,,,,,,"FOUL  by MURPHY,NICK",2
11:20,,70 (+30),,40,"GOOD FT by DAN,KROENING",FRAN 70-40 (+30),,"GOOD FT by DAN,KROENING",2
11:20,,70 (+29),,41,"GOOD FT by DAN,KROENING",FRAN 70-41 (+29),,"GOOD FT by DAN,KROENING",2
11:10,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",2
10:48,,70 (+26),,44,"GOOD 3PTR by CONNOR,FLANAGAN",FRAN 70-44 (+26),,"GOOD 3PTR by CONNOR,FLANAGAN",2
--,,,,,"ASSIST  by DAN,KROENING",,,"ASSIST  by DAN,KROENING",2
10:36,,,,,"FOUL  by DAVID,RAINWATER",,,"FOUL  by DAVID,RAINWATER",2
10:34,"GOOD LAYUP by PRICE,PATRICK(in the paint)",72 (+28),,44,,BSC 72-44 (+28),,"GOOD LAYUP by PRICE,PATRICK(in the paint)",2
10:08,,,,,"MISS LAYUP by DAN,KROENING",,,"MISS LAYUP by DAN,KROENING",2
10:08,"BLOCK  by LEE,CALEB",,,,,,,"BLOCK  by LEE,CALEB",2
--,,,,,"REBOUND OFF by SEAN,WAYNE",,,"REBOUND OFF by SEAN,WAYNE",2
10:04,,,,,"MISS JUMPER by SEAN,WAYNE",,,"MISS JUMPER by SEAN,WAYNE",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
09:50,"GOOD LAYUP by PRICE,PATRICK(in the paint)",74 (+30),,44,,BSC 74-44 (+30),,"GOOD LAYUP by PRICE,PATRICK(in the paint)",2
09:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:40,"SUB IN by AHUMADA,HART",,,,,,,"SUB IN by AHUMADA,HART",2
09:40,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
09:40,,,,,"SUB IN by NATE,STANTON",,,"SUB IN by NATE,STANTON",2
09:40,,,,,"SUB IN by FRANK,MURRAY",,,"SUB IN by FRANK,MURRAY",2
09:40,,,,,"SUB OUT by SEAN,WAYNE",,,"SUB OUT by SEAN,WAYNE",2
09:40,,,,,"SUB OUT by DAN,KROENING",,,"SUB OUT by DAN,KROENING",2
09:19,,,,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",2
--,"REBOUND DEF by AHUMADA,HART",,,,,,,"REBOUND DEF by AHUMADA,HART",2
09:09,"MISS 3PTR by HOLLAND,JASON",,,,,,,"MISS 3PTR by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by NATE,STANTON",,,"REBOUND DEF by NATE,STANTON",2
08:47,,74 (+28),,46,"GOOD LAYUP by FRANK,MURRAY(in the paint)",FRAN 74-46 (+28),,"GOOD LAYUP by FRANK,MURRAY(in the paint)",2
08:39,"GOOD 3PTR by PRICE,PATRICK",77 (+31),,46,,BSC 77-46 (+31),,"GOOD 3PTR by PRICE,PATRICK",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
08:06,,,,,"MISS 3PTR by CONNOR,FLANAGAN",,,"MISS 3PTR by CONNOR,FLANAGAN",2
--,"REBOUND DEF by AHUMADA,HART",,,,,,,"REBOUND DEF by AHUMADA,HART",2
07:57,"TURNOVER  by AHUMADA,HART",,,,,,,"TURNOVER  by AHUMADA,HART",2
07:55,,,,,"STEAL  by FRANK,MURRAY",,,"STEAL  by FRANK,MURRAY",2
07:48,"FOUL  by RODGERS,PHILLIP",,,,,,,"FOUL  by RODGERS,PHILLIP",2
07:48,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
07:48,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
07:48,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
07:48,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
07:48,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
07:48,"SUB OUT by AHUMADA,HART",,,,,,,"SUB OUT by AHUMADA,HART",2
07:48,"SUB OUT by RODGERS,PHILLIP",,,,,,,"SUB OUT by RODGERS,PHILLIP",2
07:48,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
07:48,,,,,"SUB IN by SHANE,CRUMP",,,"SUB IN by SHANE,CRUMP",2
07:48,,,,,"SUB OUT by DAVID,RAINWATER",,,"SUB OUT by DAVID,RAINWATER",2
07:45,,,,,"MISS JUMPER by THOMAS,KLEINSCHNITZ",,,"MISS JUMPER by THOMAS,KLEINSCHNITZ",2
--,,,,,"REBOUND OFF by SHANE,CRUMP",,,"REBOUND OFF by SHANE,CRUMP",2
07:40,,,,,"MISS JUMPER by SHANE,CRUMP",,,"MISS JUMPER by SHANE,CRUMP",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
07:32,"MISS 3PTR by PRICE,PATRICK",,,,,,,"MISS 3PTR by PRICE,PATRICK",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
07:27,"GOOD LAYUP by PRICE,PATRICK(in the paint)",79 (+33),,46,,BSC 79-46 (+33),,"GOOD LAYUP by PRICE,PATRICK(in the paint)",2
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",2
07:02,,,,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
06:52,"MISS 3PTR by PRICE,PATRICK",,,,,,,"MISS 3PTR by PRICE,PATRICK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:49,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
06:49,,,,,"SUB IN by SEAN,WAYNE",,,"SUB IN by SEAN,WAYNE",2
06:49,,,,,"SUB OUT by SHANE,CRUMP",,,"SUB OUT by SHANE,CRUMP",2
06:39,,,,,"TURNOVER  by CONNOR,FLANAGAN",,,"TURNOVER  by CONNOR,FLANAGAN",2
06:39,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
06:39,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",2
06:25,"GOOD JUMPER by WHITE,BLAISE",81 (+35),,46,,BSC 81-46 (+35),,"GOOD JUMPER by WHITE,BLAISE",2
06:14,,,,,"MISS 3PTR by FRANK,MURRAY",,,"MISS 3PTR by FRANK,MURRAY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:46,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND DEF by CONNOR,FLANAGAN",,,"REBOUND DEF by CONNOR,FLANAGAN",2
05:39,,,,,"TURNOVER  by CONNOR,FLANAGAN",,,"TURNOVER  by CONNOR,FLANAGAN",2
05:37,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",2
05:30,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
05:30,,,,,"SUB IN by ROBERT,ERICKSON",,,"SUB IN by ROBERT,ERICKSON",2
05:30,,,,,"SUB IN by JOHN,TRABBIC",,,"SUB IN by JOHN,TRABBIC",2
05:30,,,,,"SUB OUT by NATE,STANTON",,,"SUB OUT by NATE,STANTON",2
05:30,,,,,"SUB OUT by FRANK,MURRAY",,,"SUB OUT by FRANK,MURRAY",2
05:18,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
05:18,,,,,"MISS FT by CONNOR,FLANAGAN",,,"MISS FT by CONNOR,FLANAGAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:18,,81 (+34),,47,"GOOD FT by CONNOR,FLANAGAN",FRAN 81-47 (+34),,"GOOD FT by CONNOR,FLANAGAN",2
05:04,"GOOD 3PTR by KEGARISE,KEVIN",84 (+37),,47,,BSC 84-47 (+37),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
04:49,,,,,"MISS 3PTR by ROBERT,ERICKSON",,,"MISS 3PTR by ROBERT,ERICKSON",2
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",2
04:39,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND DEF by CONNOR,FLANAGAN",,,"REBOUND DEF by CONNOR,FLANAGAN",2
04:29,,,,,"MISS JUMPER by CONNOR,FLANAGAN",,,"MISS JUMPER by CONNOR,FLANAGAN",2
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",2
04:23,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:19,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
04:19,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",2
04:19,"SUB IN by AHUMADA,HART",,,,,,,"SUB IN by AHUMADA,HART",2
04:19,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",2
04:19,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
04:19,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
04:19,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
04:19,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
03:57,,,,,"MISS LAYUP by CONNOR,FLANAGAN",,,"MISS LAYUP by CONNOR,FLANAGAN",2
--,"REBOUND DEF by SHEMANSKI,RICKY",,,,,,,"REBOUND DEF by SHEMANSKI,RICKY",2
03:30,"GOOD 3PTR by DOATY,ISIAH",87 (+40),,47,,BSC 87-47 (+40),,"GOOD 3PTR by DOATY,ISIAH",2
--,"ASSIST  by AHUMADA,HART",,,,,,,"ASSIST  by AHUMADA,HART",2
03:06,"FOUL  by DOATY,ISIAH",,,,,,,"FOUL  by DOATY,ISIAH",2
03:06,,87 (+39),,48,"GOOD FT by THOMAS,KLEINSCHNITZ",FRAN 87-48 (+39),,"GOOD FT by THOMAS,KLEINSCHNITZ",2
03:06,,87 (+38),,49,"GOOD FT by THOMAS,KLEINSCHNITZ",FRAN 87-49 (+38),,"GOOD FT by THOMAS,KLEINSCHNITZ",2
03:06,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
03:06,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
03:06,,,,,"SUB IN by PETER,MOONEY",,,"SUB IN by PETER,MOONEY",2
03:06,,,,,"SUB IN by DAN,KROENING",,,"SUB IN by DAN,KROENING",2
03:06,,,,,"SUB OUT by THOMAS,KLEINSCHNITZ",,,"SUB OUT by THOMAS,KLEINSCHNITZ",2
03:06,,,,,"SUB OUT by SEAN,WAYNE",,,"SUB OUT by SEAN,WAYNE",2
02:50,"MISS 3PTR by DOATY,ISIAH",,,,,,,"MISS 3PTR by DOATY,ISIAH",2
--,,,,,"REBOUND DEF by CONNOR,FLANAGAN",,,"REBOUND DEF by CONNOR,FLANAGAN",2
02:28,,,,,"MISS JUMPER by CONNOR,FLANAGAN",,,"MISS JUMPER by CONNOR,FLANAGAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:26,"SUB IN by RODGERS,PHILLIP",,,,,,,"SUB IN by RODGERS,PHILLIP",2
02:26,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
02:26,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
02:26,"SUB OUT by AHUMADA,HART",,,,,,,"SUB OUT by AHUMADA,HART",2
02:26,,,,,"SUB IN by DAVID,RAINWATER",,,"SUB IN by DAVID,RAINWATER",2
02:26,,,,,"SUB OUT by CONNOR,FLANAGAN",,,"SUB OUT by CONNOR,FLANAGAN",2
02:06,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",2
--,,,,,"REBOUND DEF by DAN,KROENING",,,"REBOUND DEF by DAN,KROENING",2
01:37,,87 (+36),,51,"GOOD LAYUP by PETER,MOONEY(in the paint)",FRAN 87-51 (+36),,"GOOD LAYUP by PETER,MOONEY(in the paint)",2
01:20,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",2
--,"REBOUND OFF by RODGERS,PHILLIP",,,,,,,"REBOUND OFF by RODGERS,PHILLIP",2
01:16,"GOOD JUMPER by RODGERS,PHILLIP",89 (+38),,51,,BSC 89-51 (+38),,"GOOD JUMPER by RODGERS,PHILLIP",2
00:56,,,,,"MISS LAYUP by ROBERT,ERICKSON",,,"MISS LAYUP by ROBERT,ERICKSON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:56,,,,,"MISS 3PTR by JOHN,TRABBIC",,,"MISS 3PTR by JOHN,TRABBIC",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
00:32,"GOOD 3PTR by DOATY,ISIAH",92 (+41),,51,,BSC 92-51 (+41),,"GOOD 3PTR by DOATY,ISIAH",2
00:18,,,,,"MISS 3PTR by ROBERT,ERICKSON",,,"MISS 3PTR by ROBERT,ERICKSON",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
