Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
00:26,,,,,"FOUL  by ROBINSON,DENZEL",,,"FOUL  by ROBINSON,DENZEL",2
00:26,"MISS FT by HOLLAND,JASON",,,,,,,"MISS FT by HOLLAND,JASON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:26,"MISS FT by HOLLAND,JASON",,,,,,,"MISS FT by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by ROBINSON,DENZEL",,,"REBOUND DEF by ROBINSON,DENZEL",2
00:11,,,,,"TURNOVER  by TUCK,STEPHEN",,,"TURNOVER  by TUCK,STEPHEN",2
00:10,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",2
00:05,"GOOD LAYUP by RODGERS,PHILLIP(in the paint)",78 (+24),,54,,BSC-M 78-54 (+24),,"GOOD LAYUP by RODGERS,PHILLIP(in the paint)",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
00:00,,,,,"MISS 3PTR by HOWARD,JEROD",,,"MISS 3PTR by HOWARD,JEROD",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
