Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
06:53,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by HEATHSCOTT,NICK",,,"REBOUND DEF by HEATHSCOTT,NICK",1
06:53,,,,,"SUB IN by PRIMM,COLTON",,,"SUB IN by PRIMM,COLTON",1
06:53,,,,,"SUB OUT by RIZOS,RYAN",,,"SUB OUT by RIZOS,RYAN",1
06:29,,,,,"MISS JUMPER by HEATHSCOTT,NICK",,,"MISS JUMPER by HEATHSCOTT,NICK",1
--,"REBOUND DEF by PRICE,PATRICK",,,,,,,"REBOUND DEF by PRICE,PATRICK",1
06:13,"GOOD LAYUP by MESSENGER,MARK(in the paint)",38 (+18),,20,,BSC-M 38-20 (+18),,"GOOD LAYUP by MESSENGER,MARK(in the paint)",1
06:04,,,,,"TURNOVER  by PRIMM,COLTON",,,"TURNOVER  by PRIMM,COLTON",1
06:02,"STEAL  by PRICE,PATRICK",,,,,,,"STEAL  by PRICE,PATRICK",1
06:02,,,,,"FOUL  by EWING,JAMES",,,"FOUL  by EWING,JAMES",1
06:02,"MISS FT by PRICE,PATRICK",,,,,,,"MISS FT by PRICE,PATRICK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:02,"GOOD FT by PRICE,PATRICK",39 (+19),,20,,BSC-M 39-20 (+19),,"GOOD FT by PRICE,PATRICK",1
06:02,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",1
06:02,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
05:47,,39 (+16),,23,"GOOD 3PTR by GOODMAN,CHRIS",HCM 39-23 (+16),,"GOOD 3PTR by GOODMAN,CHRIS",1
--,,,,,"ASSIST  by RILEY,JAREN",,,"ASSIST  by RILEY,JAREN",1
05:09,"GOOD 3PTR by WHITE,BLAISE",42 (+19),,23,,BSC-M 42-23 (+19),,"GOOD 3PTR by WHITE,BLAISE",1
04:28,,42 (+16),,26,"GOOD 3PTR by EWING,JAMES",HCM 42-26 (+16),,"GOOD 3PTR by EWING,JAMES",1
--,,,,,"ASSIST  by GOODMAN,CHRIS",,,"ASSIST  by GOODMAN,CHRIS",1
04:14,,,,,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",1
04:14,"GOOD FT by JONUS,JASEN",43 (+17),,26,,BSC-M 43-26 (+17),,"GOOD FT by JONUS,JASEN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
04:14,"GOOD FT by JONUS,JASEN",44 (+18),,26,,BSC-M 44-26 (+18),,"GOOD FT by JONUS,JASEN",1
04:14,"MISS FT by JONUS,JASEN",,,,,,,"MISS FT by JONUS,JASEN",1
--,"REBOUND OFF by SHEMANSKI,RICKY",,,,,,,"REBOUND OFF by SHEMANSKI,RICKY",1
04:14,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
04:14,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
04:14,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",1
04:14,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
04:14,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",1
04:14,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",1
04:14,,,,,"SUB IN by NIELSEN,DANE",,,"SUB IN by NIELSEN,DANE",1
04:14,,,,,"SUB IN by GRAHAM,JOSH",,,"SUB IN by GRAHAM,JOSH",1
04:14,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",1
04:14,,,,,"SUB OUT by GOODMAN,CHRIS",,,"SUB OUT by GOODMAN,CHRIS",1
04:00,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
04:00,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
03:50,"MISS JUMPER by SHEMANSKI,RICKY",,,,,,,"MISS JUMPER by SHEMANSKI,RICKY",1
--,,,,,"REBOUND DEF by HEATHSCOTT,NICK",,,"REBOUND DEF by HEATHSCOTT,NICK",1
03:19,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
03:19,,,,,"MISS FT by HEATHSCOTT,NICK",,,"MISS FT by HEATHSCOTT,NICK",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
03:04,,,,,"FOUL  by HEATHSCOTT,NICK",,,"FOUL  by HEATHSCOTT,NICK",1
03:04,"GOOD FT by HENRY,COLIN",45 (+19),,26,,BSC-M 45-26 (+19),,"GOOD FT by HENRY,COLIN",1
03:04,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",1
--,,,,,"REBOUND DEF by NIELSEN,DANE",,,"REBOUND DEF by NIELSEN,DANE",1
02:46,,,,,"TURNOVER  by GRAHAM,JOSH",,,"TURNOVER  by GRAHAM,JOSH",1
02:45,"STEAL  by SHEMANSKI,RICKY",,,,,,,"STEAL  by SHEMANSKI,RICKY",1
02:18,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by SHEMANSKI,RICKY",,,,,,,"REBOUND OFF by SHEMANSKI,RICKY",1
02:12,"GOOD JUMPER by SHEMANSKI,RICKY(in the paint)",47 (+21),,26,,BSC-M 47-26 (+21),,"GOOD JUMPER by SHEMANSKI,RICKY(in the paint)",1
02:12,,,,,"FOUL  by NIELSEN,DANE",,,"FOUL  by NIELSEN,DANE",1
02:12,"GOOD FT by SHEMANSKI,RICKY",48 (+22),,26,,BSC-M 48-26 (+22),,"GOOD FT by SHEMANSKI,RICKY",1
02:12,"SUB IN by RODGERS,PHILLIP",,,,,,,"SUB IN by RODGERS,PHILLIP",1
02:12,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",1
02:12,,,,,"SUB IN by MARTIN,AMMON",,,"SUB IN by MARTIN,AMMON",1
02:12,,,,,"SUB OUT by EWING,JAMES",,,"SUB OUT by EWING,JAMES",1
01:39,,,,,"MISS 3PTR by MARTIN,AMMON",,,"MISS 3PTR by MARTIN,AMMON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:37,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
01:37,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
01:37,,,,,"SUB IN by GOODMAN,CHRIS",,,"SUB IN by GOODMAN,CHRIS",1
01:37,,,,,"SUB OUT by NIELSEN,DANE",,,"SUB OUT by NIELSEN,DANE",1
01:22,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",1
01:22,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
01:22,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
01:22,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",1
01:08,,48 (+19),,29,"GOOD 3PTR by GOODMAN,CHRIS",HCM 48-29 (+19),,"GOOD 3PTR by GOODMAN,CHRIS",1
--,,,,,"ASSIST  by GRAHAM,JOSH",,,"ASSIST  by GRAHAM,JOSH",1
00:46,"GOOD LAYUP by RODGERS,PHILLIP(in the paint)",50 (+21),,29,,BSC-M 50-29 (+21),,"GOOD LAYUP by RODGERS,PHILLIP(in the paint)",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
00:05,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
20:00,,,,,"SUB IN by GOODMAN,CHRIS",,,"SUB IN by GOODMAN,CHRIS",2
20:00,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",2
19:45,,,,,"TURNOVER  by GOODMAN,CHRIS",,,"TURNOVER  by GOODMAN,CHRIS",2
19:37,"MISS LAYUP by PRICE,PATRICK",,,,,,,"MISS LAYUP by PRICE,PATRICK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:35,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
19:07,,,,,"MISS JUMPER by EWING,JAMES",,,"MISS JUMPER by EWING,JAMES",2
--,,,,,"REBOUND OFF by MARTIN,AMMON",,,"REBOUND OFF by MARTIN,AMMON",2
19:02,"FOUL  by PRICE,PATRICK",,,,,,,"FOUL  by PRICE,PATRICK",2
19:02,,,,,"MISS FT by MARTIN,AMMON",,,"MISS FT by MARTIN,AMMON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:02,,,,,"MISS FT by MARTIN,AMMON",,,"MISS FT by MARTIN,AMMON",2
