Time Remaining,COVENANT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
06:55,,24,,31 (+7),"GOOD LAYUP by RODGERS,PHILLIP(in the paint)",BSC 24-31 (+7),,"GOOD LAYUP by RODGERS,PHILLIP(in the paint)",1
06:55,"FOUL  by FOSTER,CHASE",,,,,,,"FOUL  by FOSTER,CHASE",1
06:55,,,,,"MISS FT by RODGERS,PHILLIP",,,"MISS FT by RODGERS,PHILLIP",1
--,"REBOUND DEF by MUTCHERSON,ROSBIE",,,,,,,"REBOUND DEF by MUTCHERSON,ROSBIE",1
06:55,"SUB IN by WERKEMA,PAUL",,,,,,,"SUB IN by WERKEMA,PAUL",1
06:55,"SUB OUT by DEVRIES,JON",,,,,,,"SUB OUT by DEVRIES,JON",1
06:28,"MISS JUMPER by CHAMBERS,KACEY",,,,,,,"MISS JUMPER by CHAMBERS,KACEY",1
--,,,,,"REBOUND DEF by RODGERS,PHILLIP",,,"REBOUND DEF by RODGERS,PHILLIP",1
06:19,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by FOSTER,CHASE",,,,,,,"REBOUND DEF by FOSTER,CHASE",1
06:11,"GOOD LAYUP by FOSTER,CHASE(in the paint)",26,,31 (+5),,COVENANT 26-31 (+5),,"GOOD LAYUP by FOSTER,CHASE(in the paint)",1
05:54,,,,,"MISS JUMPER by PRICE,PATRICK",,,"MISS JUMPER by PRICE,PATRICK",1
--,"REBOUND DEF by JOHNSON,STEPHEN",,,,,,,"REBOUND DEF by JOHNSON,STEPHEN",1
05:20,"MISS JUMPER by MUTCHERSON,ROSBIE",,,,,,,"MISS JUMPER by MUTCHERSON,ROSBIE",1
--,,,,,"REBOUND DEF by RODGERS,PHILLIP",,,"REBOUND DEF by RODGERS,PHILLIP",1
05:08,"FOUL  by FOSTER,CHASE",,,,,,,"FOUL  by FOSTER,CHASE",1
05:04,,26,,32 (+6),"GOOD FT by PRICE,PATRICK",BSC 26-32 (+6),,"GOOD FT by PRICE,PATRICK",1
