Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,ELMIRA,Game Score,Team Indicator,Play,Period
02:41,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
02:41,,,,,"SUB IN by MULLANE,JOHN",,,"SUB IN by MULLANE,JOHN",1
02:41,,,,,"SUB OUT by BORELLI,DAVID",,,"SUB OUT by BORELLI,DAVID",1
02:33,"GOOD DUNK by SCINTA,BLAKE(fastbreak)(in the paint)",41 (+16),,25,,CENTRE_M 41-25 (+16),,"GOOD DUNK by SCINTA,BLAKE(fastbreak)(in the paint)",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
02:12,,,,,"MISS LAYUP by DIBBLE,TYLER",,,"MISS LAYUP by DIBBLE,TYLER",1
02:12,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
01:59,"TURNOVER  by REPISHTI,BRYAN",,,,,,,"TURNOVER  by REPISHTI,BRYAN",1
01:41,,,,,"TURNOVER  by LEONARDI,GINO",,,"TURNOVER  by LEONARDI,GINO",1
01:39,"STEAL  by GEEGAN,MIKE",,,,,,,"STEAL  by GEEGAN,MIKE",1
01:35,"GOOD 3PTR by REPISHTI,BRYAN(fastbreak)",44 (+19),,25,,CENTRE_M 44-25 (+19),,"GOOD 3PTR by REPISHTI,BRYAN(fastbreak)",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
01:06,,44 (+17),,27,"GOOD LAYUP by MULLANE,JOHN(in the paint)",ELMIRA 44-27 (+17),,"GOOD LAYUP by MULLANE,JOHN(in the paint)",1
--,,,,,"ASSIST  by LEONARDI,GINO",,,"ASSIST  by LEONARDI,GINO",1
00:31,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND OFF by GEEGAN,MIKE",,,,,,,"REBOUND OFF by GEEGAN,MIKE",1
00:13,,,,,"FOUL  by MULLANE,JOHN",,,"FOUL  by MULLANE,JOHN",1
00:13,"GOOD FT by REPISHTI,BRYAN",45 (+18),,27,,CENTRE_M 45-27 (+18),,"GOOD FT by REPISHTI,BRYAN",1
00:13,"GOOD FT by REPISHTI,BRYAN",46 (+19),,27,,CENTRE_M 46-27 (+19),,"GOOD FT by REPISHTI,BRYAN",1
00:13,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
00:13,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
00:13,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
00:13,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
00:13,,,,,"SUB IN by BADMOS,OLADAPO",,,"SUB IN by BADMOS,OLADAPO",1
00:13,,,,,"SUB OUT by MULLANE,JOHN",,,"SUB OUT by MULLANE,JOHN",1
00:02,,,,,"TURNOVER  by BADMOS,OLADAPO",,,"TURNOVER  by BADMOS,OLADAPO",1
00:00,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:35,"GOOD 3PTR by STEGGEMAN,ANDREW",49 (+22),,27,,CENTRE_M 49-27 (+22),,"GOOD 3PTR by STEGGEMAN,ANDREW",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
19:15,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
19:15,,49 (+21),,28,"GOOD FT by HARKINS,HAYDEN",ELMIRA 49-28 (+21),,"GOOD FT by HARKINS,HAYDEN",2
19:15,,49 (+20),,29,"GOOD FT by HARKINS,HAYDEN",ELMIRA 49-29 (+20),,"GOOD FT by HARKINS,HAYDEN",2
