Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,MACM,Game Score,Team Indicator,Play,Period
18:37,,,,,"MISS JUMPER by SUTTON,HUNTER",,,"MISS JUMPER by SUTTON,HUNTER",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
18:31,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",2
18:30,,,,,"STEAL  by SUTTON,HUNTER",,,"STEAL  by SUTTON,HUNTER",2
18:19,,,,,"TURNOVER  by GUTHRIE,DYLAN",,,"TURNOVER  by GUTHRIE,DYLAN",2
18:18,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",2
18:16,"GOOD LAYUP by STEGGEMAN,ANDREW(fastbreak)(in the paint)",43 (+16),,27,,CCM 43-27 (+16),,"GOOD LAYUP by STEGGEMAN,ANDREW(fastbreak)(in the paint)",2
18:01,,,,,"TURNOVER  by WILLIAMS,JAMES",,,"TURNOVER  by WILLIAMS,JAMES",2
18:01,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",2
18:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
17:50,,,,,"FOUL  by WHITLOCK,CLAYTON",,,"FOUL  by WHITLOCK,CLAYTON",2
17:37,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",2
17:37,,,,,"BLOCK  by SUTTON,HUNTER",,,"BLOCK  by SUTTON,HUNTER",2
--,,,,,"REBOUND DEF by KELTNER,KOLLIN",,,"REBOUND DEF by KELTNER,KOLLIN",2
17:25,,,,,"MISS 3PTR by SUTTON,HUNTER",,,"MISS 3PTR by SUTTON,HUNTER",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
17:23,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
17:23,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
17:23,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
17:23,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
17:17,,,,,"MISS JUMPER by WHITLOCK,CLAYTON",,,"MISS JUMPER by WHITLOCK,CLAYTON",2
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",2
16:43,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
16:41,,,,,"FOUL  by WHITLOCK,CLAYTON",,,"FOUL  by WHITLOCK,CLAYTON",2
16:41,,,,,"SUB IN by LONG,BRENT",,,"SUB IN by LONG,BRENT",2
16:41,,,,,"SUB IN by JOHNSON,DEAVIS",,,"SUB IN by JOHNSON,DEAVIS",2
16:41,,,,,"SUB OUT by WHITLOCK,CLAYTON",,,"SUB OUT by WHITLOCK,CLAYTON",2
16:41,,,,,"SUB OUT by SUTTON,HUNTER",,,"SUB OUT by SUTTON,HUNTER",2
16:16,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by LONG,BRENT",,,"REBOUND DEF by LONG,BRENT",2
15:58,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
15:58,,,,,"MISS FT by JOHNSON,DEAVIS",,,"MISS FT by JOHNSON,DEAVIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:58,,,,,"MISS FT by JOHNSON,DEAVIS",,,"MISS FT by JOHNSON,DEAVIS",2
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",2
15:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:25,,,,,"FOUL  by WILLIAMS,JAMES",,,"FOUL  by WILLIAMS,JAMES",2
15:17,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by JOHNSON,DEAVIS",,,"REBOUND DEF by JOHNSON,DEAVIS",2
15:03,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",2
15:03,,43 (+15),,28,"GOOD FT by WILLIAMS,JAMES",MACM 43-28 (+15),,"GOOD FT by WILLIAMS,JAMES",2
15:03,,43 (+14),,29,"GOOD FT by WILLIAMS,JAMES",MACM 43-29 (+14),,"GOOD FT by WILLIAMS,JAMES",2
15:03,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",2
15:03,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
15:03,,,,,"SUB IN by HUBBLE,CASH",,,"SUB IN by HUBBLE,CASH",2
15:03,,,,,"SUB OUT by GUTHRIE,DYLAN",,,"SUB OUT by GUTHRIE,DYLAN",2
14:33,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
14:33,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",2
14:33,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
14:21,,,,,"MISS JUMPER by LONG,BRENT",,,"MISS JUMPER by LONG,BRENT",2
14:21,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND OFF by KELTNER,KOLLIN",,,"REBOUND OFF by KELTNER,KOLLIN",2
14:14,,,,,"MISS 3PTR by KELTNER,KOLLIN",,,"MISS 3PTR by KELTNER,KOLLIN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
14:02,,,,,"MISS 3PTR by WILLIAMS,JAMES",,,"MISS 3PTR by WILLIAMS,JAMES",2
--,,,,,"REBOUND OFF by JOHNSON,DEAVIS",,,"REBOUND OFF by JOHNSON,DEAVIS",2
13:51,,43 (+12),,31,"GOOD JUMPER by LONG,BRENT(in the paint)",MACM 43-31 (+12),,"GOOD JUMPER by LONG,BRENT(in the paint)",2
--,,,,,"ASSIST  by HUBBLE,CASH",,,"ASSIST  by HUBBLE,CASH",2
13:23,"GOOD 3PTR by GEEGAN,MIKE",46 (+15),,31,,CCM 46-31 (+15),,"GOOD 3PTR by GEEGAN,MIKE",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
13:07,,,,,"MISS 3PTR by WILLIAMS,JAMES",,,"MISS 3PTR by WILLIAMS,JAMES",2
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",2
12:55,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
12:54,,,,,"STEAL  by WILLIAMS,JAMES",,,"STEAL  by WILLIAMS,JAMES",2
12:52,,46 (+12),,34,"GOOD 3PTR by WILLIAMS,JAMES(fastbreak)",MACM 46-34 (+12),,"GOOD 3PTR by WILLIAMS,JAMES(fastbreak)",2
12:26,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by WILLIAMS,JAMES",,,"REBOUND DEF by WILLIAMS,JAMES",2
12:14,,,,,"MISS JUMPER by HUBBLE,CASH",,,"MISS JUMPER by HUBBLE,CASH",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
11:40,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",2
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",2
11:37,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",2
--,,,,,"REBOUND DEF by JOHNSON,DEAVIS",,,"REBOUND DEF by JOHNSON,DEAVIS",2
11:24,,,,,"TURNOVER  by JOHNSON,DEAVIS",,,"TURNOVER  by JOHNSON,DEAVIS",2
11:23,"STEAL  by SCHMUCKER,ZACH",,,,,,,"STEAL  by SCHMUCKER,ZACH",2
11:07,,,,,"FOUL  by LONG,BRENT",,,"FOUL  by LONG,BRENT",2
11:07,"GOOD FT by WESLEY,TYLER",47 (+13),,34,,CCM 47-34 (+13),,"GOOD FT by WESLEY,TYLER",2
11:07,"GOOD FT by WESLEY,TYLER",48 (+14),,34,,CCM 48-34 (+14),,"GOOD FT by WESLEY,TYLER",2
11:07,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",2
11:07,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
11:07,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
11:07,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
11:07,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
11:07,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
11:07,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
11:07,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",2
11:07,,,,,"SUB IN by WHITLOCK,CLAYTON",,,"SUB IN by WHITLOCK,CLAYTON",2
11:07,,,,,"SUB IN by BUHLIG,LANCE",,,"SUB IN by BUHLIG,LANCE",2
11:07,,,,,"SUB IN by SUTTON,HUNTER",,,"SUB IN by SUTTON,HUNTER",2
11:07,,,,,"SUB OUT by LONG,BRENT",,,"SUB OUT by LONG,BRENT",2
11:07,,,,,"SUB OUT by WILLIAMS,JAMES",,,"SUB OUT by WILLIAMS,JAMES",2
11:07,,,,,"SUB OUT by KELTNER,KOLLIN",,,"SUB OUT by KELTNER,KOLLIN",2
10:53,,,,,"TURNOVER  by BUHLIG,LANCE",,,"TURNOVER  by BUHLIG,LANCE",2
10:52,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",2
10:49,,,,,"FOUL  by HUBBLE,CASH",,,"FOUL  by HUBBLE,CASH",2
10:49,"GOOD FT by STEGGEMAN,ANDREW",49 (+15),,34,,CCM 49-34 (+15),,"GOOD FT by STEGGEMAN,ANDREW",2
10:49,"GOOD FT by STEGGEMAN,ANDREW",50 (+16),,34,,CCM 50-34 (+16),,"GOOD FT by STEGGEMAN,ANDREW",2
10:49,,,,,"SUB IN by GUTHRIE,DYLAN",,,"SUB IN by GUTHRIE,DYLAN",2
10:49,,,,,"SUB OUT by HUBBLE,CASH",,,"SUB OUT by HUBBLE,CASH",2
10:39,,50 (+14),,36,"GOOD LAYUP by GUTHRIE,DYLAN(in the paint)",MACM 50-36 (+14),,"GOOD LAYUP by GUTHRIE,DYLAN(in the paint)",2
10:01,"GOOD 3PTR by KARSNER,JOSH",53 (+17),,36,,CCM 53-36 (+17),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
09:51,"FOUL  by ARNETT,MICHAEL",,,,,,,"FOUL  by ARNETT,MICHAEL",2
09:46,,,,,"MISS 3PTR by SUTTON,HUNTER",,,"MISS 3PTR by SUTTON,HUNTER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:35,"FOUL  by ARNETT,MICHAEL",,,,,,,"FOUL  by ARNETT,MICHAEL",2
09:35,,53 (+16),,37,"GOOD FT by GUTHRIE,DYLAN",MACM 53-37 (+16),,"GOOD FT by GUTHRIE,DYLAN",2
09:35,,53 (+15),,38,"GOOD FT by GUTHRIE,DYLAN",MACM 53-38 (+15),,"GOOD FT by GUTHRIE,DYLAN",2
09:35,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
09:35,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
09:10,"MISS 3PTR by STEGGEMAN,ANDREW",,,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",2
--,"REBOUND OFF by ARNETT,MICHAEL",,,,,,,"REBOUND OFF by ARNETT,MICHAEL",2
09:07,"MISS LAYUP by ARNETT,MICHAEL",,,,,,,"MISS LAYUP by ARNETT,MICHAEL",2
--,,,,,"REBOUND DEF by JOHNSON,DEAVIS",,,"REBOUND DEF by JOHNSON,DEAVIS",2
08:59,,,,,"TURNOVER  by SUTTON,HUNTER",,,"TURNOVER  by SUTTON,HUNTER",2
08:59,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",2
08:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:33,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
08:33,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
08:28,"GOOD JUMPER by GUMP,MATT",55 (+17),,38,,CCM 55-38 (+17),,"GOOD JUMPER by GUMP,MATT",2
08:18,,,,,"MISS LAYUP by GUTHRIE,DYLAN",,,"MISS LAYUP by GUTHRIE,DYLAN",2
08:18,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:18,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
08:18,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",2
08:11,,,,,"MISS JUMPER by JOHNSON,DEAVIS",,,"MISS JUMPER by JOHNSON,DEAVIS",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
07:41,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
07:41,,,,,"STEAL  by GUTHRIE,DYLAN",,,"STEAL  by GUTHRIE,DYLAN",2
07:37,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
07:37,,,,,"MISS FT by BUHLIG,LANCE",,,"MISS FT by BUHLIG,LANCE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
07:37,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
07:37,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",2
07:35,,,,,"SUB IN by WILLIAMS,JAMES",,,"SUB IN by WILLIAMS,JAMES",2
07:35,,,,,"SUB IN by KELTNER,KOLLIN",,,"SUB IN by KELTNER,KOLLIN",2
07:35,,,,,"SUB OUT by BUHLIG,LANCE",,,"SUB OUT by BUHLIG,LANCE",2
07:35,,,,,"SUB OUT by SUTTON,HUNTER",,,"SUB OUT by SUTTON,HUNTER",2
07:17,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
07:17,,55 (+16),,39,"GOOD FT by WHITLOCK,CLAYTON",MACM 55-39 (+16),,"GOOD FT by WHITLOCK,CLAYTON",2
07:17,,55 (+15),,40,"GOOD FT by WHITLOCK,CLAYTON",MACM 55-40 (+15),,"GOOD FT by WHITLOCK,CLAYTON",2
06:53,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",57 (+17),,40,,CCM 57-40 (+17),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
06:30,,,,,"MISS LAYUP by WHITLOCK,CLAYTON",,,"MISS LAYUP by WHITLOCK,CLAYTON",2
06:30,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",2
06:24,,,,,"FOUL  by GUTHRIE,DYLAN",,,"FOUL  by GUTHRIE,DYLAN",2
06:24,"GOOD FT by STEGGEMAN,ANDREW",58 (+18),,40,,CCM 58-40 (+18),,"GOOD FT by STEGGEMAN,ANDREW",2
06:24,"GOOD FT by STEGGEMAN,ANDREW",59 (+19),,40,,CCM 59-40 (+19),,"GOOD FT by STEGGEMAN,ANDREW",2
06:24,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",2
06:24,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
06:05,,,,,"MISS JUMPER by WHITLOCK,CLAYTON",,,"MISS JUMPER by WHITLOCK,CLAYTON",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
06:03,,,,,"FOUL  by WHITLOCK,CLAYTON",,,"FOUL  by WHITLOCK,CLAYTON",2
06:03,"GOOD FT by KARSNER,JOSH",60 (+20),,40,,CCM 60-40 (+20),,"GOOD FT by KARSNER,JOSH",2
06:03,"GOOD FT by KARSNER,JOSH",61 (+21),,40,,CCM 61-40 (+21),,"GOOD FT by KARSNER,JOSH",2
06:03,,,,,"SUB IN by LONG,BRENT",,,"SUB IN by LONG,BRENT",2
06:03,,,,,"SUB OUT by WHITLOCK,CLAYTON",,,"SUB OUT by WHITLOCK,CLAYTON",2
05:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:52,,,,,"MISS 3PTR by WILLIAMS,JAMES",,,"MISS 3PTR by WILLIAMS,JAMES",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
05:25,,,,,"FOUL  by JOHNSON,DEAVIS",,,"FOUL  by JOHNSON,DEAVIS",2
05:25,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:25,"GOOD FT by WESLEY,TYLER",62 (+22),,40,,CCM 62-40 (+22),,"GOOD FT by WESLEY,TYLER",2
05:25,,,,,"SUB IN by SUTTON,HUNTER",,,"SUB IN by SUTTON,HUNTER",2
05:25,,,,,"SUB OUT by JOHNSON,DEAVIS",,,"SUB OUT by JOHNSON,DEAVIS",2
05:13,,62 (+20),,42,"GOOD JUMPER by LONG,BRENT",MACM 62-42 (+20),,"GOOD JUMPER by LONG,BRENT",2
--,,,,,"ASSIST  by SUTTON,HUNTER",,,"ASSIST  by SUTTON,HUNTER",2
04:46,"GOOD 3PTR by KARSNER,JOSH",65 (+23),,42,,CCM 65-42 (+23),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
04:32,,65 (+21),,44,"GOOD JUMPER by SUTTON,HUNTER",MACM 65-44 (+21),,"GOOD JUMPER by SUTTON,HUNTER",2
--,,,,,"ASSIST  by WILLIAMS,JAMES",,,"ASSIST  by WILLIAMS,JAMES",2
04:01,"MISS 3PTR by GEEGAN,MIKE",,,,,,,"MISS 3PTR by GEEGAN,MIKE",2
--,,,,,"REBOUND DEF by KELTNER,KOLLIN",,,"REBOUND DEF by KELTNER,KOLLIN",2
03:46,,,,,"MISS 3PTR by WILLIAMS,JAMES",,,"MISS 3PTR by WILLIAMS,JAMES",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
03:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:38,,,,,"SUB IN by SNARSKI,BROCK",,,"SUB IN by SNARSKI,BROCK",2
03:38,,,,,"SUB OUT by KELTNER,KOLLIN",,,"SUB OUT by KELTNER,KOLLIN",2
03:14,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND DEF by SUTTON,HUNTER",,,"REBOUND DEF by SUTTON,HUNTER",2
03:04,,65 (+19),,46,"GOOD JUMPER by WILLIAMS,JAMES",MACM 65-46 (+19),,"GOOD JUMPER by WILLIAMS,JAMES",2
--,,,,,"ASSIST  by SNARSKI,BROCK",,,"ASSIST  by SNARSKI,BROCK",2
02:31,"GOOD LAYUP by GEEGAN,MIKE(in the paint)",67 (+21),,46,,CCM 67-46 (+21),,"GOOD LAYUP by GEEGAN,MIKE(in the paint)",2
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",2
02:24,,,,,"MISS 3PTR by SUTTON,HUNTER",,,"MISS 3PTR by SUTTON,HUNTER",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
02:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:00,"SUB IN by SANDOVAL,MARK",,,,,,,"SUB IN by SANDOVAL,MARK",2
02:00,"SUB IN by MAGUIRE,WILL",,,,,,,"SUB IN by MAGUIRE,WILL",2
02:00,"SUB IN by MANN,KYLE",,,,,,,"SUB IN by MANN,KYLE",2
02:00,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
02:00,"SUB IN by MILLER,GUNNAR",,,,,,,"SUB IN by MILLER,GUNNAR",2
02:00,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
02:00,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
02:00,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",2
02:00,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
02:00,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
02:00,,,,,"SUB IN by BUHLIG,LANCE",,,"SUB IN by BUHLIG,LANCE",2
02:00,,,,,"SUB IN by BOTT,ALEX",,,"SUB IN by BOTT,ALEX",2
02:00,,,,,"SUB IN by HUBBLE,CASH",,,"SUB IN by HUBBLE,CASH",2
02:00,,,,,"SUB OUT by WILLIAMS,JAMES",,,"SUB OUT by WILLIAMS,JAMES",2
02:00,,,,,"SUB OUT by SUTTON,HUNTER",,,"SUB OUT by SUTTON,HUNTER",2
02:00,,,,,"SUB OUT by GUTHRIE,DYLAN",,,"SUB OUT by GUTHRIE,DYLAN",2
01:51,"MISS LAYUP by GRUBER,SAM",,,,,,,"MISS LAYUP by GRUBER,SAM",2
--,,,,,"REBOUND DEF by LONG,BRENT",,,"REBOUND DEF by LONG,BRENT",2
01:29,,67 (+19),,48,"GOOD LAYUP by LONG,BRENT(in the paint)",MACM 67-48 (+19),,"GOOD LAYUP by LONG,BRENT(in the paint)",2
--,,,,,"ASSIST  by HUBBLE,CASH",,,"ASSIST  by HUBBLE,CASH",2
01:06,,,,,"FOUL  by SNARSKI,BROCK",,,"FOUL  by SNARSKI,BROCK",2
01:06,"MISS FT by MANN,KYLE",,,,,,,"MISS FT by MANN,KYLE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:06,"GOOD FT by MANN,KYLE",68 (+20),,48,,CCM 68-48 (+20),,"GOOD FT by MANN,KYLE",2
01:06,"SUB IN by JONES,BRETT",,,,,,,"SUB IN by JONES,BRETT",2
01:06,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",2
00:57,,,,,"MISS LAYUP by BUHLIG,LANCE",,,"MISS LAYUP by BUHLIG,LANCE",2
--,"REBOUND DEF by SANDOVAL,MARK",,,,,,,"REBOUND DEF by SANDOVAL,MARK",2
00:39,"TURNOVER  by MAGUIRE,WILL",,,,,,,"TURNOVER  by MAGUIRE,WILL",2
00:24,,,,,"MISS JUMPER by LONG,BRENT",,,"MISS JUMPER by LONG,BRENT",2
--,"REBOUND DEF by JONES,BRETT",,,,,,,"REBOUND DEF by JONES,BRETT",2
00:20,,,,,"FOUL  by LONG,BRENT",,,"FOUL  by LONG,BRENT",2
00:20,"GOOD FT by JONES,BRETT",69 (+21),,48,,CCM 69-48 (+21),,"GOOD FT by JONES,BRETT",2
00:20,"GOOD FT by JONES,BRETT",70 (+22),,48,,CCM 70-48 (+22),,"GOOD FT by JONES,BRETT",2
00:14,,,,,"MISS 3PTR by HUBBLE,CASH",,,"MISS 3PTR by HUBBLE,CASH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
