Time Remaining,FC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
16:11,"SUB OUT by MACE,JIM",,,,,,,"SUB OUT by MACE,JIM",2
16:11,"SUB OUT by NIEHOFF,MATT",,,,,,,"SUB OUT by NIEHOFF,MATT",2
16:11,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
16:11,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
16:10,"GOOD LAYUP by MANN,AARON(in the paint)",34,,52 (+18),,FC 34-52 (+18),,"GOOD LAYUP by MANN,AARON(in the paint)",2
15:39,"FOUL  by PRATHER,ROBBIE",,,,,,,"FOUL  by PRATHER,ROBBIE",2
15:37,"SUB IN by SCRUGGS,BRANDON",,,,,,,"SUB IN by SCRUGGS,BRANDON",2
15:37,"SUB OUT by PRATHER,ROBBIE",,,,,,,"SUB OUT by PRATHER,ROBBIE",2
15:24,"FOUL  by SCRUGGS,BRANDON",,,,,,,"FOUL  by SCRUGGS,BRANDON",2
15:24,,34,,53 (+19),"GOOD FT by GUMP,MATT",CENTRE_M 34-53 (+19),,"GOOD FT by GUMP,MATT",2
15:24,,34,,54 (+20),"GOOD FT by GUMP,MATT",CENTRE_M 34-54 (+20),,"GOOD FT by GUMP,MATT",2
15:24,"SUB IN by BOLES,TREY",,,,,,,"SUB IN by BOLES,TREY",2
15:24,"SUB OUT by SCRUGGS,BRANDON",,,,,,,"SUB OUT by SCRUGGS,BRANDON",2
15:21,,34,,56 (+22),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 34-56 (+22),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
--,,,,,"ASSIST  by ARNETT,MICHAEL",,,"ASSIST  by ARNETT,MICHAEL",2
15:08,"TURNOVER  by BOLES,TREY",,,,,,,"TURNOVER  by BOLES,TREY",2
15:08,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",2
15:08,,34,,58 (+24),"GOOD JUMPER by WESLEY,TYLER",CENTRE_M 34-58 (+24),,"GOOD JUMPER by WESLEY,TYLER",2
14:48,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:48,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",2
14:48,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
14:31,"GOOD JUMPER by BEINEKE,JOHN",36,,58 (+22),,FC 36-58 (+22),,"GOOD JUMPER by BEINEKE,JOHN",2
--,"ASSIST  by MANN,AARON",,,,,,,"ASSIST  by MANN,AARON",2
14:11,,,,,"TURNOVER  by STEGGEMAN,ANDREW",,,"TURNOVER  by STEGGEMAN,ANDREW",2
14:08,"STEAL  by WASHINGTON,TRAE",,,,,,,"STEAL  by WASHINGTON,TRAE",2
14:00,"MISS 3PTR by MANN,AARON",,,,,,,"MISS 3PTR by MANN,AARON",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
13:32,"FOUL  by BOLES,TREY",,,,,,,"FOUL  by BOLES,TREY",2
13:32,"SUB IN by SCRUGGS,BRANDON",,,,,,,"SUB IN by SCRUGGS,BRANDON",2
13:32,"SUB OUT by BOLES,TREY",,,,,,,"SUB OUT by BOLES,TREY",2
13:32,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",2
13:32,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
13:31,,36,,60 (+24),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 36-60 (+24),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
13:18,"MISS 3PTR by MANN,AARON",,,,,,,"MISS 3PTR by MANN,AARON",2
--,,,,,"REBOUND DEF by GEEGAN,MIKE",,,"REBOUND DEF by GEEGAN,MIKE",2
13:12,"FOUL  by SCRUGGS,BRANDON",,,,,,,"FOUL  by SCRUGGS,BRANDON",2
13:12,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",2
13:12,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
13:12,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
13:12,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",2
12:29,,36,,63 (+27),"GOOD 3PTR by SCINTA,BLAKE",CENTRE_M 36-63 (+27),,"GOOD 3PTR by SCINTA,BLAKE",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
12:20,"TURNOVER  by WASHINGTON,TRAE",,,,,,,"TURNOVER  by WASHINGTON,TRAE",2
12:20,,,,,"STEAL  by GEEGAN,MIKE",,,"STEAL  by GEEGAN,MIKE",2
11:46,,,,,"MISS LAYUP by BURNS,DREW",,,"MISS LAYUP by BURNS,DREW",2
--,,,,,"REBOUND OFF by BURNS,DREW",,,"REBOUND OFF by BURNS,DREW",2
11:39,"FOUL  by BEINEKE,JOHN",,,,,,,"FOUL  by BEINEKE,JOHN",2
11:39,,,,,"MISS FT by BURNS,DREW",,,"MISS FT by BURNS,DREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:39,,,,,"MISS FT by BURNS,DREW",,,"MISS FT by BURNS,DREW",2
--,"REBOUND DEF by MCCORY,BRETT",,,,,,,"REBOUND DEF by MCCORY,BRETT",2
11:39,"SUB IN by MACE,JIM",,,,,,,"SUB IN by MACE,JIM",2
11:39,"SUB IN by MCCORY,BRETT",,,,,,,"SUB IN by MCCORY,BRETT",2
11:39,"SUB IN by PRATHER,ROBBIE",,,,,,,"SUB IN by PRATHER,ROBBIE",2
11:39,"SUB OUT by WHITSON,ETHAN",,,,,,,"SUB OUT by WHITSON,ETHAN",2
11:39,"SUB OUT by BEINEKE,JOHN",,,,,,,"SUB OUT by BEINEKE,JOHN",2
11:39,"SUB OUT by SCRUGGS,BRANDON",,,,,,,"SUB OUT by SCRUGGS,BRANDON",2
11:39,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
11:39,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
11:38,"GOOD LAYUP by MCCORY,BRETT(in the paint)",38,,63 (+25),,FC 38-63 (+25),,"GOOD LAYUP by MCCORY,BRETT(in the paint)",2
11:10,"FOUL  by MACE,JIM",,,,,,,"FOUL  by MACE,JIM",2
11:10,,38,,64 (+26),"GOOD FT by SCINTA,BLAKE",CENTRE_M 38-64 (+26),,"GOOD FT by SCINTA,BLAKE",2
11:10,,38,,65 (+27),"GOOD FT by SCINTA,BLAKE",CENTRE_M 38-65 (+27),,"GOOD FT by SCINTA,BLAKE",2
11:10,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
11:10,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
11:10,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
11:10,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",2
10:46,"FOUL  by MACE,JIM",,,,,,,"FOUL  by MACE,JIM",2
10:46,"TURNOVER  by MACE,JIM",,,,,,,"TURNOVER  by MACE,JIM",2
10:46,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
10:46,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
10:46,"SUB IN by NIEHOFF,MATT",,,,,,,"SUB IN by NIEHOFF,MATT",2
10:46,"SUB OUT by MACE,JIM",,,,,,,"SUB OUT by MACE,JIM",2
10:24,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
10:24,"GOOD LAYUP by NIEHOFF,MATT(in the paint)",40,,65 (+25),,FC 40-65 (+25),,"GOOD LAYUP by NIEHOFF,MATT(in the paint)",2
10:01,,40,,67 (+27),"GOOD JUMPER by KARSNER,JOSH",CENTRE_M 40-67 (+27),,"GOOD JUMPER by KARSNER,JOSH",2
09:10,,,,,"FOUL  by GEEGAN,MIKE",,,"FOUL  by GEEGAN,MIKE",2
09:10,"GOOD LAYUP by MCCORY,BRETT(in the paint)",42,,67 (+25),,FC 42-67 (+25),,"GOOD LAYUP by MCCORY,BRETT(in the paint)",2
09:10,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",2
09:10,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
09:10,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
09:10,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
09:10,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
09:10,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",2
09:07,,42,,69 (+27),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 42-69 (+27),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by REPISHTI,BRYAN",,,"ASSIST  by REPISHTI,BRYAN",2
08:54,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:54,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",2
08:54,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
08:44,"MISS LAYUP by MCCORY,BRETT",,,,,,,"MISS LAYUP by MCCORY,BRETT",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
08:14,"FOUL  by PRATHER,ROBBIE",,,,,,,"FOUL  by PRATHER,ROBBIE",2
08:14,,42,,70 (+28),"GOOD FT by SCINTA,BLAKE",CENTRE_M 42-70 (+28),,"GOOD FT by SCINTA,BLAKE",2
08:14,,42,,71 (+29),"GOOD FT by SCINTA,BLAKE",CENTRE_M 42-71 (+29),,"GOOD FT by SCINTA,BLAKE",2
08:14,"SUB IN by SCRUGGS,BRANDON",,,,,,,"SUB IN by SCRUGGS,BRANDON",2
08:14,"SUB OUT by PRATHER,ROBBIE",,,,,,,"SUB OUT by PRATHER,ROBBIE",2
08:00,"MISS JUMPER by WASHINGTON,TRAE",,,,,,,"MISS JUMPER by WASHINGTON,TRAE",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
07:49,"FOUL  by MCCORY,BRETT",,,,,,,"FOUL  by MCCORY,BRETT",2
07:49,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:49,,42,,72 (+30),"GOOD FT by GUMP,MATT",CENTRE_M 42-72 (+30),,"GOOD FT by GUMP,MATT",2
07:49,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
07:49,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",2
07:38,"MISS JUMPER by MCCORY,BRETT",,,,,,,"MISS JUMPER by MCCORY,BRETT",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
07:02,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",2
--,"REBOUND DEF by MANN,AARON",,,,,,,"REBOUND DEF by MANN,AARON",2
06:40,"MISS JUMPER by NIEHOFF,MATT",,,,,,,"MISS JUMPER by NIEHOFF,MATT",2
06:40,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
06:33,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
06:13,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:13,"SUB IN by BEINEKE,JOHN",,,,,,,"SUB IN by BEINEKE,JOHN",2
06:13,"SUB OUT by NIEHOFF,MATT",,,,,,,"SUB OUT by NIEHOFF,MATT",2
06:13,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",2
06:13,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
06:13,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
06:13,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
06:01,,,,,"TURNOVER  by ARNETT,MICHAEL",,,"TURNOVER  by ARNETT,MICHAEL",2
05:59,"STEAL  by WASHINGTON,TRAE",,,,,,,"STEAL  by WASHINGTON,TRAE",2
05:42,"MISS JUMPER by MANN,AARON",,,,,,,"MISS JUMPER by MANN,AARON",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
05:19,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",,,"MISS 3PTR by STEGGEMAN,ANDREW",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
05:13,"FOUL  by WASHINGTON,TRAE",,,,,,,"FOUL  by WASHINGTON,TRAE",2
05:13,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
05:13,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
05:13,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",2
05:13,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
05:13,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
05:13,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
05:04,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by MCCORY,BRETT",,,,,,,"REBOUND DEF by MCCORY,BRETT",2
05:00,,,,,"FOUL  by ARNETT,MICHAEL",,,"FOUL  by ARNETT,MICHAEL",2
04:56,"GOOD LAYUP by MANN,AARON(in the paint)",44,,72 (+28),,FC 44-72 (+28),,"GOOD LAYUP by MANN,AARON(in the paint)",2
04:42,,,,,"TURNOVER  by REPISHTI,BRYAN",,,"TURNOVER  by REPISHTI,BRYAN",2
04:39,"SUB IN by PRATHER,ROBBIE",,,,,,,"SUB IN by PRATHER,ROBBIE",2
04:39,"SUB OUT by SCRUGGS,BRANDON",,,,,,,"SUB OUT by SCRUGGS,BRANDON",2
04:25,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",46,,72 (+26),,FC 46-72 (+26),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",2
04:09,,,,,"TURNOVER  by ARNETT,MICHAEL",,,"TURNOVER  by ARNETT,MICHAEL",2
04:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:09,"SUB IN by MACE,JIM",,,,,,,"SUB IN by MACE,JIM",2
04:09,"SUB OUT by MCCORY,BRETT",,,,,,,"SUB OUT by MCCORY,BRETT",2
03:59,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
03:59,"MISS FT by MANN,AARON",,,,,,,"MISS FT by MANN,AARON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:59,"GOOD FT by MANN,AARON",47,,72 (+25),,FC 47-72 (+25),,"GOOD FT by MANN,AARON",2
03:39,,,,,"TURNOVER  by REPISHTI,BRYAN",,,"TURNOVER  by REPISHTI,BRYAN",2
03:26,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
03:26,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
03:26,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
03:18,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
03:18,"GOOD FT by BEINEKE,JOHN",48,,72 (+24),,FC 48-72 (+24),,"GOOD FT by BEINEKE,JOHN",2
03:18,"MISS FT by BEINEKE,JOHN",,,,,,,"MISS FT by BEINEKE,JOHN",2
--,"REBOUND OFF by MANN,AARON",,,,,,,"REBOUND OFF by MANN,AARON",2
03:14,,,,,"FOUL  by ARNETT,MICHAEL",,,"FOUL  by ARNETT,MICHAEL",2
03:14,"GOOD FT by MANN,AARON",49,,72 (+23),,FC 49-72 (+23),,"GOOD FT by MANN,AARON",2
03:14,"GOOD FT by MANN,AARON",50,,72 (+22),,FC 50-72 (+22),,"GOOD FT by MANN,AARON",2
03:14,"SUB IN by NIEHOFF,MATT",,,,,,,"SUB IN by NIEHOFF,MATT",2
03:14,"SUB OUT by MACE,JIM",,,,,,,"SUB OUT by MACE,JIM",2
03:14,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
03:14,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
03:14,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",2
03:14,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
03:14,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",2
03:14,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
02:45,"FOUL  by BEINEKE,JOHN",,,,,,,"FOUL  by BEINEKE,JOHN",2
02:45,,50,,73 (+23),"GOOD FT by SCINTA,BLAKE",CENTRE_M 50-73 (+23),,"GOOD FT by SCINTA,BLAKE",2
02:45,,50,,74 (+24),"GOOD FT by SCINTA,BLAKE",CENTRE_M 50-74 (+24),,"GOOD FT by SCINTA,BLAKE",2
02:45,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
02:45,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
02:32,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
02:32,"GOOD FT by MANN,AARON",51,,74 (+23),,FC 51-74 (+23),,"GOOD FT by MANN,AARON",2
02:32,"GOOD FT by MANN,AARON",52,,74 (+22),,FC 52-74 (+22),,"GOOD FT by MANN,AARON",2
02:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:10,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",2
02:10,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
02:10,,,,,"SUB IN by MANN,KYLE",,,"SUB IN by MANN,KYLE",2
02:10,,,,,"SUB IN by MILLER,GUNNAR",,,"SUB IN by MILLER,GUNNAR",2
02:10,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
02:10,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",2
02:10,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",2
02:10,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
02:01,,,,,"TURNOVER  by MANN,KYLE",,,"TURNOVER  by MANN,KYLE",2
02:00,,,,,"FOUL  by MILLER,GUNNAR",,,"FOUL  by MILLER,GUNNAR",2
02:00,"GOOD FT by WASHINGTON,TRAE",53,,74 (+21),,FC 53-74 (+21),,"GOOD FT by WASHINGTON,TRAE",2
02:00,"MISS FT by WASHINGTON,TRAE",,,,,,,"MISS FT by WASHINGTON,TRAE",2
--,,,,,"REBOUND DEF by JONES,BRETT",,,"REBOUND DEF by JONES,BRETT",2
02:00,,,,,"SUB IN by JONES,BRETT",,,"SUB IN by JONES,BRETT",2
02:00,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
01:44,,,,,"MISS 3PTR by JONES,BRETT",,,"MISS 3PTR by JONES,BRETT",2
--,"REBOUND DEF by MANN,AARON",,,,,,,"REBOUND DEF by MANN,AARON",2
01:29,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",55,,74 (+19),,FC 55-74 (+19),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",2
01:23,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",2
01:22,"MISS FT by BEINEKE,JOHN",,,,,,,"MISS FT by BEINEKE,JOHN",2
--,,,,,"REBOUND DEF by SANDOVAL,MARK",,,"REBOUND DEF by SANDOVAL,MARK",2
01:22,,,,,"SUB IN by SANDOVAL,MARK",,,"SUB IN by SANDOVAL,MARK",2
01:22,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",2
01:05,,,,,"TURNOVER  by MILLER,GUNNAR",,,"TURNOVER  by MILLER,GUNNAR",2
01:05,"MISS LAYUP by BEINEKE,JOHN",,,,,,,"MISS LAYUP by BEINEKE,JOHN",2
01:05,,,,,"BLOCK  by SCHMUCKER,ZACH",,,"BLOCK  by SCHMUCKER,ZACH",2
--,,,,,"REBOUND DEF by JONES,BRETT",,,"REBOUND DEF by JONES,BRETT",2
01:05,,,,,"MISS 3PTR by MANN,KYLE",,,"MISS 3PTR by MANN,KYLE",2
--,"REBOUND DEF by MANN,AARON",,,,,,,"REBOUND DEF by MANN,AARON",2
00:56,"GOOD LAYUP by MANN,AARON(in the paint)",57,,74 (+17),,FC 57-74 (+17),,"GOOD LAYUP by MANN,AARON(in the paint)",2
00:56,,,,,"FOUL  by MAGUIRE,WILL",,,"FOUL  by MAGUIRE,WILL",2
00:56,"GOOD FT by MANN,AARON",58,,74 (+16),,FC 58-74 (+16),,"GOOD FT by MANN,AARON",2
00:17,,,,,"MISS 3PTR by MAGUIRE,WILL",,,"MISS 3PTR by MAGUIRE,WILL",2
--,"REBOUND DEF by PRATHER,ROBBIE",,,,,,,"REBOUND DEF by PRATHER,ROBBIE",2
00:09,"GOOD LAYUP by PRATHER,ROBBIE(in the paint)",60,,74 (+14),,FC 60-74 (+14),,"GOOD LAYUP by PRATHER,ROBBIE(in the paint)",2
