Time Remaining,HDNM,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
08:13,"GOOD LAYUP by WASHINGTON,DANTAVIUS(in the paint)",20,,26 (+6),,HDNM 20-26 (+6),,"GOOD LAYUP by WASHINGTON,DANTAVIUS(in the paint)",1
--,"ASSIST  by BERRY,RAHEEM",,,,,,,"ASSIST  by BERRY,RAHEEM",1
07:59,,20,,29 (+9),"GOOD 3PTR by GRUBER,SAM(fastbreak)",CCM 20-29 (+9),,"GOOD 3PTR by GRUBER,SAM(fastbreak)",1
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",1
07:46,"SUB IN by HUGHES,TAYLOR",,,,,,,"SUB IN by HUGHES,TAYLOR",1
07:46,"SUB OUT by BERRY,RAHEEM",,,,,,,"SUB OUT by BERRY,RAHEEM",1
07:46,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
07:46,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
07:38,"MISS LAYUP by LAYSON,ALEX",,,,,,,"MISS LAYUP by LAYSON,ALEX",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
07:28,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by ASHLEY,ANDRE",,,,,,,"REBOUND DEF by ASHLEY,ANDRE",1
07:26,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
07:26,"SUB IN by BROOKS,JOSEPH",,,,,,,"SUB IN by BROOKS,JOSEPH",1
07:26,"SUB IN by JONES,RJ",,,,,,,"SUB IN by JONES,RJ",1
07:26,"SUB OUT by WASHINGTON,DANTAVIUS",,,,,,,"SUB OUT by WASHINGTON,DANTAVIUS",1
07:26,"SUB OUT by LAYSON,ALEX",,,,,,,"SUB OUT by LAYSON,ALEX",1
07:26,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
07:26,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
07:26,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
07:26,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
07:26,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
07:26,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
07:10,"GOOD 3PTR by HUGHES,TAYLOR",23,,29 (+6),,HDNM 23-29 (+6),,"GOOD 3PTR by HUGHES,TAYLOR",1
--,"ASSIST  by JONES,RJ",,,,,,,"ASSIST  by JONES,RJ",1
06:51,,23,,31 (+8),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CCM 23-31 (+8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
06:37,"TURNOVER  by DAVIS,JEROME",,,,,,,"TURNOVER  by DAVIS,JEROME",1
06:36,,,,,"STEAL  by GEEGAN,MIKE",,,"STEAL  by GEEGAN,MIKE",1
06:26,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
06:25,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
06:25,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
06:25,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
06:08,,,,,"FOUL  by ARNETT,MICHAEL",,,"FOUL  by ARNETT,MICHAEL",1
06:08,"GOOD FT by ASHLEY,ANDRE",24,,31 (+7),,HDNM 24-31 (+7),,"GOOD FT by ASHLEY,ANDRE",1
06:08,"GOOD FT by ASHLEY,ANDRE",25,,31 (+6),,HDNM 25-31 (+6),,"GOOD FT by ASHLEY,ANDRE",1
06:08,"SUB IN by POPOVICH,WYATT",,,,,,,"SUB IN by POPOVICH,WYATT",1
06:08,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",1
06:08,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
06:08,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
05:39,,25,,34 (+9),"GOOD 3PTR by SCINTA,BLAKE",CCM 25-34 (+9),,"GOOD 3PTR by SCINTA,BLAKE",1
--,,,,,"ASSIST  by GEEGAN,MIKE",,,"ASSIST  by GEEGAN,MIKE",1
05:19,"TURNOVER  by POPOVICH,WYATT",,,,,,,"TURNOVER  by POPOVICH,WYATT",1
05:17,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",1
05:06,,25,,37 (+12),"GOOD 3PTR by GEEGAN,MIKE",CCM 25-37 (+12),,"GOOD 3PTR by GEEGAN,MIKE",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
04:50,"GOOD 3PTR by JONES,RJ",28,,37 (+9),,HDNM 28-37 (+9),,"GOOD 3PTR by JONES,RJ",1
--,"ASSIST  by HUGHES,TAYLOR",,,,,,,"ASSIST  by HUGHES,TAYLOR",1
04:25,"SUB IN by WASHINGTON,DANTAVIUS",,,,,,,"SUB IN by WASHINGTON,DANTAVIUS",1
04:25,"SUB IN by ASHLEY,ANDRE",,,,,,,"SUB IN by ASHLEY,ANDRE",1
04:25,"SUB OUT by POPOVICH,WYATT",,,,,,,"SUB OUT by POPOVICH,WYATT",1
04:25,"SUB OUT by BROOKS,JOSEPH",,,,,,,"SUB OUT by BROOKS,JOSEPH",1
04:25,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
04:25,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
04:14,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND DEF by ASHLEY,ANDRE",,,,,,,"REBOUND DEF by ASHLEY,ANDRE",1
03:58,"TURNOVER  by WASHINGTON,DANTAVIUS",,,,,,,"TURNOVER  by WASHINGTON,DANTAVIUS",1
03:58,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
03:58,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
03:27,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",,,"MISS 3PTR by STEGGEMAN,ANDREW",1
--,"REBOUND DEF by WASHINGTON,DANTAVIUS",,,,,,,"REBOUND DEF by WASHINGTON,DANTAVIUS",1
03:24,"SUB IN by BROOKS,JOSEPH",,,,,,,"SUB IN by BROOKS,JOSEPH",1
03:24,"SUB IN by BERRY,RAHEEM",,,,,,,"SUB IN by BERRY,RAHEEM",1
03:24,"SUB OUT by DAVIS,JEROME",,,,,,,"SUB OUT by DAVIS,JEROME",1
03:24,"SUB OUT by HUGHES,TAYLOR",,,,,,,"SUB OUT by HUGHES,TAYLOR",1
03:22,"GOOD JUMPER by ASHLEY,ANDRE",30,,37 (+7),,HDNM 30-37 (+7),,"GOOD JUMPER by ASHLEY,ANDRE",1
02:52,"FOUL  by BROOKS,HUNTER",,,,,,,"FOUL  by BROOKS,HUNTER",1
02:40,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
02:40,"BLOCK  by ASHLEY,ANDRE",,,,,,,"BLOCK  by ASHLEY,ANDRE",1
--,"REBOUND DEF by ASHLEY,ANDRE",,,,,,,"REBOUND DEF by ASHLEY,ANDRE",1
02:39,"SUB IN by LAYSON,ALEX",,,,,,,"SUB IN by LAYSON,ALEX",1
02:39,"SUB OUT by JONES,RJ",,,,,,,"SUB OUT by JONES,RJ",1
02:39,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
02:39,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
02:23,"MISS JUMPER by BERRY,RAHEEM",,,,,,,"MISS JUMPER by BERRY,RAHEEM",1
--,"REBOUND OFF by LAYSON,ALEX",,,,,,,"REBOUND OFF by LAYSON,ALEX",1
02:20,"MISS TIPIN by LAYSON,ALEX",,,,,,,"MISS TIPIN by LAYSON,ALEX",1
--,"REBOUND OFF by WASHINGTON,DANTAVIUS",,,,,,,"REBOUND OFF by WASHINGTON,DANTAVIUS",1
02:15,"GOOD TIPIN by WASHINGTON,DANTAVIUS(in the paint)",32,,37 (+5),,HDNM 32-37 (+5),,"GOOD TIPIN by WASHINGTON,DANTAVIUS(in the paint)",1
02:02,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",1
01:48,,32,,40 (+8),"GOOD 3PTR by ARNETT,MICHAEL",CCM 32-40 (+8),,"GOOD 3PTR by ARNETT,MICHAEL",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
01:33,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
01:33,"GOOD FT by LAYSON,ALEX",33,,40 (+7),,HDNM 33-40 (+7),,"GOOD FT by LAYSON,ALEX",1
01:33,"MISS FT by LAYSON,ALEX",,,,,,,"MISS FT by LAYSON,ALEX",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
01:33,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
01:33,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
01:16,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",1
01:06,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by LAYSON,ALEX",,,,,,,"REBOUND DEF by LAYSON,ALEX",1
00:53,"MISS JUMPER by WASHINGTON,DANTAVIUS",,,,,,,"MISS JUMPER by WASHINGTON,DANTAVIUS",1
--,"REBOUND OFF by WASHINGTON,DANTAVIUS",,,,,,,"REBOUND OFF by WASHINGTON,DANTAVIUS",1
00:49,,,,,"FOUL  by ARNETT,MICHAEL",,,"FOUL  by ARNETT,MICHAEL",1
00:49,"GOOD FT by WASHINGTON,DANTAVIUS",34,,40 (+6),,HDNM 34-40 (+6),,"GOOD FT by WASHINGTON,DANTAVIUS",1
00:49,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
00:49,"SUB IN by POPOVICH,WYATT",,,,,,,"SUB IN by POPOVICH,WYATT",1
00:49,"SUB IN by DAVIS,JEROME",,,,,,,"SUB IN by DAVIS,JEROME",1
00:49,"SUB OUT by WASHINGTON,DANTAVIUS",,,,,,,"SUB OUT by WASHINGTON,DANTAVIUS",1
00:49,"SUB OUT by BERRY,RAHEEM",,,,,,,"SUB OUT by BERRY,RAHEEM",1
00:49,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
00:49,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
00:43,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",1
--,"REBOUND DEF by LAYSON,ALEX",,,,,,,"REBOUND DEF by LAYSON,ALEX",1
