Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HANOVER,Game Score,Team Indicator,Play,Period
10:51,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
10:44,"GOOD 3PTR by GEEGAN,MIKE",15 (+3),,12,,CENTRE 15-12 (+3),,"GOOD 3PTR by GEEGAN,MIKE",1
10:27,,,,,"MISS 3PTR by HORNBEAK,JAREN",,,"MISS 3PTR by HORNBEAK,JAREN",1
--,"REBOUND DEF by BURNS,DREW",,,,,,,"REBOUND DEF by BURNS,DREW",1
10:06,"GOOD LAYUP by BURNS,DREW(in the paint)",17 (+5),,12,,CENTRE 17-12 (+5),,"GOOD LAYUP by BURNS,DREW(in the paint)",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
09:49,"FOUL  by BURNS,DREW",,,,,,,"FOUL  by BURNS,DREW",1
09:49,,,,,"SUB IN by MCKINNEY,WES",,,"SUB IN by MCKINNEY,WES",1
09:49,,,,,"SUB IN by JAMES,KYLE",,,"SUB IN by JAMES,KYLE",1
09:49,,,,,"SUB OUT by BUCK,LEVI",,,"SUB OUT by BUCK,LEVI",1
09:49,,,,,"SUB OUT by CHRISTIE,KEVIN",,,"SUB OUT by CHRISTIE,KEVIN",1
09:40,,,,,"TURNOVER  by JAMES,KYLE",,,"TURNOVER  by JAMES,KYLE",1
09:39,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",1
09:36,"GOOD LAYUP by STEGGEMAN,ANDREW(fastbreak)(in the paint)",19 (+7),,12,,CENTRE 19-12 (+7),,"GOOD LAYUP by STEGGEMAN,ANDREW(fastbreak)(in the paint)",1
09:23,,19 (+4),,15,"GOOD 3PTR by JAMES,KYLE",HANOVER 19-15 (+4),,"GOOD 3PTR by JAMES,KYLE",1
--,,,,,"ASSIST  by HORNBEAK,JAREN",,,"ASSIST  by HORNBEAK,JAREN",1
09:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:19,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
09:19,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
09:19,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
09:19,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
09:19,,,,,"SUB IN by BILLUPS,VJ",,,"SUB IN by BILLUPS,VJ",1
09:19,,,,,"SUB OUT by BINGHAM,EVAN",,,"SUB OUT by BINGHAM,EVAN",1
09:01,"MISS 3PTR by STEGGEMAN,ANDREW",,,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:46,,,,,"MISS JUMPER by BILLUPS,VJ",,,"MISS JUMPER by BILLUPS,VJ",1
08:46,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",1
08:37,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",21 (+6),,15,,CENTRE 21-15 (+6),,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",1
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",1
08:18,,,,,"MISS 3PTR by HORNBEAK,JAREN",,,"MISS 3PTR by HORNBEAK,JAREN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
07:58,"GOOD JUMPER by SCINTA,BLAKE",23 (+8),,15,,CENTRE 23-15 (+8),,"GOOD JUMPER by SCINTA,BLAKE",1
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",1
07:45,,,,,"TURNOVER  by BILLUPS,VJ",,,"TURNOVER  by BILLUPS,VJ",1
07:44,"STEAL  by WESLEY,TYLER",,,,,,,"STEAL  by WESLEY,TYLER",1
07:39,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",25 (+10),,15,,CENTRE 25-15 (+10),,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",1
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",1
07:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:35,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
07:35,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
07:35,,,,,"SUB IN by MUCHMORE,COREY",,,"SUB IN by MUCHMORE,COREY",1
07:35,,,,,"SUB IN by STEINHART,JACOB",,,"SUB IN by STEINHART,JACOB",1
07:35,,,,,"SUB IN by MCDONALD,NIC",,,"SUB IN by MCDONALD,NIC",1
07:35,,,,,"SUB OUT by KLEUNEN,MICHAEL VAN",,,"SUB OUT by KLEUNEN,MICHAEL VAN",1
07:35,,,,,"SUB OUT by BILLUPS,VJ",,,"SUB OUT by BILLUPS,VJ",1
07:35,,,,,"SUB OUT by HORNBEAK,JAREN",,,"SUB OUT by HORNBEAK,JAREN",1
07:21,,,,,"MISS 3PTR by MCKINNEY,WES",,,"MISS 3PTR by MCKINNEY,WES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:19,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
07:19,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
07:19,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
07:12,,,,,"TURNOVER  by STEINHART,JACOB",,,"TURNOVER  by STEINHART,JACOB",1
07:11,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",1
06:47,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",1
--,,,,,"REBOUND DEF by MUCHMORE,COREY",,,"REBOUND DEF by MUCHMORE,COREY",1
06:36,,25 (+8),,17,"GOOD JUMPER by JAMES,KYLE(in the paint)",HANOVER 25-17 (+8),,"GOOD JUMPER by JAMES,KYLE(in the paint)",1
06:12,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by JAMES,KYLE",,,"REBOUND DEF by JAMES,KYLE",1
06:01,,25 (+6),,19,"GOOD JUMPER by JAMES,KYLE",HANOVER 25-19 (+6),,"GOOD JUMPER by JAMES,KYLE",1
05:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:59,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
05:59,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
05:59,,,,,"SUB IN by BINGHAM,EVAN",,,"SUB IN by BINGHAM,EVAN",1
05:59,,,,,"SUB OUT by STEINHART,JACOB",,,"SUB OUT by STEINHART,JACOB",1
05:32,"TURNOVER  by ARNETT,MICHAEL",,,,,,,"TURNOVER  by ARNETT,MICHAEL",1
05:15,,,,,"MISS LAYUP by JAMES,KYLE",,,"MISS LAYUP by JAMES,KYLE",1
--,,,,,"REBOUND OFF by MUCHMORE,COREY",,,"REBOUND OFF by MUCHMORE,COREY",1
05:09,,,,,"MISS LAYUP by MUCHMORE,COREY",,,"MISS LAYUP by MUCHMORE,COREY",1
--,"REBOUND DEF by ARNETT,MICHAEL",,,,,,,"REBOUND DEF by ARNETT,MICHAEL",1
04:58,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by JAMES,KYLE",,,"REBOUND DEF by JAMES,KYLE",1
04:40,,,,,"MISS 3PTR by MCKINNEY,WES",,,"MISS 3PTR by MCKINNEY,WES",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
04:23,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
04:23,,,,,"BLOCK  by MCKINNEY,WES",,,"BLOCK  by MCKINNEY,WES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:22,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
04:22,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
04:22,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
04:22,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
04:19,"GOOD 3PTR by STEGGEMAN,ANDREW",28 (+9),,19,,CENTRE 28-19 (+9),,"GOOD 3PTR by STEGGEMAN,ANDREW",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
04:04,,,,,"MISS 3PTR by JAMES,KYLE",,,"MISS 3PTR by JAMES,KYLE",1
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",1
03:57,,,,,"FOUL  by BINGHAM,EVAN",,,"FOUL  by BINGHAM,EVAN",1
03:57,"GOOD FT by GEEGAN,MIKE",29 (+10),,19,,CENTRE 29-19 (+10),,"GOOD FT by GEEGAN,MIKE",1
03:57,"GOOD FT by GEEGAN,MIKE",30 (+11),,19,,CENTRE 30-19 (+11),,"GOOD FT by GEEGAN,MIKE",1
03:57,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
03:57,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
03:57,,,,,"SUB IN by KLEUNEN,MICHAEL VAN",,,"SUB IN by KLEUNEN,MICHAEL VAN",1
