Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SUMB14,Game Score,Team Indicator,Play,Period
17:30,,,,,"TURNOVER  by MOORE,RENALDO",,,"TURNOVER  by MOORE,RENALDO",2
17:29,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
17:25,"MISS LAYUP by GALFSKY,ANDER",,,,,,,"MISS LAYUP by GALFSKY,ANDER",2
--,,,,,"REBOUND DEF by MOORE,RENALDO",,,"REBOUND DEF by MOORE,RENALDO",2
17:14,,45 (+12),,33,"GOOD 3PTR by GABRIEL,BRANDON",SUMB14 45-33 (+12),,"GOOD 3PTR by GABRIEL,BRANDON",2
17:01,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
17:01,,,,,"BLOCK  by ABRAMS,JAMES",,,"BLOCK  by ABRAMS,JAMES",2
--,,,,,"REBOUND DEF by MOORE,RENALDO",,,"REBOUND DEF by MOORE,RENALDO",2
16:52,,,,,"MISS JUMPER by GABRIEL,BRANDON",,,"MISS JUMPER by GABRIEL,BRANDON",2
--,,,,,"REBOUND OFF by GABRIEL,BRANDON",,,"REBOUND OFF by GABRIEL,BRANDON",2
16:49,,,,,"MISS JUMPER by GABRIEL,BRANDON",,,"MISS JUMPER by GABRIEL,BRANDON",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
16:30,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",2
16:29,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",2
16:26,,,,,"MISS 3PTR by GOEING,BRANDON",,,"MISS 3PTR by GOEING,BRANDON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:58,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
15:47,,,,,"MISS JUMPER by GABRIEL,BRANDON",,,"MISS JUMPER by GABRIEL,BRANDON",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
15:36,"GOOD 3PTR by THOMAS,LARRY",48 (+15),,33,,BSC 48-33 (+15),,"GOOD 3PTR by THOMAS,LARRY",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
15:26,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
15:26,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",2
15:26,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
15:26,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",2
15:26,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
15:26,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
15:26,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
15:26,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
15:26,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",2
15:26,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
15:26,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
15:26,,,,,"SUB IN by COSBY,VICTOR",,,"SUB IN by COSBY,VICTOR",2
15:26,,,,,"SUB IN by LEWIS,DONNIE",,,"SUB IN by LEWIS,DONNIE",2
15:26,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
15:26,,,,,"SUB OUT by GABRIEL,BRANDON",,,"SUB OUT by GABRIEL,BRANDON",2
15:04,,,,,"MISS 3PTR by COSBY,VICTOR",,,"MISS 3PTR by COSBY,VICTOR",2
--,,,,,"REBOUND OFF by MOORE,RENALDO",,,"REBOUND OFF by MOORE,RENALDO",2
14:48,,48 (+13),,35,"GOOD JUMPER by COSBY,VICTOR",SUMB14 48-35 (+13),,"GOOD JUMPER by COSBY,VICTOR",2
--,,,,,"ASSIST  by MOORE,RENALDO",,,"ASSIST  by MOORE,RENALDO",2
14:39,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",2
14:30,,48 (+10),,38,"GOOD 3PTR by GOEING,BRANDON",SUMB14 48-38 (+10),,"GOOD 3PTR by GOEING,BRANDON",2
--,,,,,"ASSIST  by LEWIS,DONNIE",,,"ASSIST  by LEWIS,DONNIE",2
14:24,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",2
14:23,,,,,"STEAL  by GOEING,BRANDON",,,"STEAL  by GOEING,BRANDON",2
14:21,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
14:21,,48 (+9),,39,"GOOD FT by GOEING,BRANDON",SUMB14 48-39 (+9),,"GOOD FT by GOEING,BRANDON",2
14:21,,,,,"MISS FT by GOEING,BRANDON",,,"MISS FT by GOEING,BRANDON",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
14:21,,,,,"SUB IN by SELLARS,CHAD",,,"SUB IN by SELLARS,CHAD",2
14:21,,,,,"SUB IN by LEON,CHRIS",,,"SUB IN by LEON,CHRIS",2
14:21,,,,,"SUB OUT by ABRAMS,JAMES",,,"SUB OUT by ABRAMS,JAMES",2
14:21,,,,,"SUB OUT by MOORE,RENALDO",,,"SUB OUT by MOORE,RENALDO",2
14:12,"GOOD 3PTR by CRAIN,JOHN",51 (+12),,39,,BSC 51-39 (+12),,"GOOD 3PTR by CRAIN,JOHN",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
13:53,"FOUL  by HARDIMAN,BEN",,,,,,,"FOUL  by HARDIMAN,BEN",2
13:53,,51 (+11),,40,"GOOD FT by LEON,CHRIS",SUMB14 51-40 (+11),,"GOOD FT by LEON,CHRIS",2
13:53,,51 (+10),,41,"GOOD FT by LEON,CHRIS",SUMB14 51-41 (+10),,"GOOD FT by LEON,CHRIS",2
13:31,"MISS JUMPER by CRAIN,JOHN",,,,,,,"MISS JUMPER by CRAIN,JOHN",2
--,,,,,"REBOUND DEF by LEWIS,DONNIE",,,"REBOUND DEF by LEWIS,DONNIE",2
13:25,,51 (+8),,43,"GOOD JUMPER by SELLARS,CHAD",SUMB14 51-43 (+8),,"GOOD JUMPER by SELLARS,CHAD",2
--,,,,,"ASSIST  by LEWIS,DONNIE",,,"ASSIST  by LEWIS,DONNIE",2
13:05,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",53 (+10),,43,,BSC 53-43 (+10),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
12:31,,,,,"TURNOVER  by LEON,CHRIS",,,"TURNOVER  by LEON,CHRIS",2
12:11,"GOOD 3PTR by CRAIN,JOHN",56 (+13),,43,,BSC 56-43 (+13),,"GOOD 3PTR by CRAIN,JOHN",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
11:45,,,,,"MISS JUMPER by GOEING,BRANDON",,,"MISS JUMPER by GOEING,BRANDON",2
--,,,,,"REBOUND OFF by LEON,CHRIS",,,"REBOUND OFF by LEON,CHRIS",2
11:41,,,,,"MISS JUMPER by COSBY,VICTOR",,,"MISS JUMPER by COSBY,VICTOR",2
--,"REBOUND DEF by HOLLE,MASON",,,,,,,"REBOUND DEF by HOLLE,MASON",2
11:34,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",2
11:33,,,,,"STEAL  by COSBY,VICTOR",,,"STEAL  by COSBY,VICTOR",2
11:29,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
11:29,,,,,"MISS FT by COSBY,VICTOR",,,"MISS FT by COSBY,VICTOR",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:29,,,,,"MISS FT by COSBY,VICTOR",,,"MISS FT by COSBY,VICTOR",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
11:29,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",2
11:29,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",2
11:29,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
11:29,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
11:29,"SUB IN by HAYES,CONNER",,,,,,,"SUB IN by HAYES,CONNER",2
11:29,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",2
11:29,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
11:29,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",2
11:29,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
11:29,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
11:29,,,,,"SUB IN by MOORE,RENALDO",,,"SUB IN by MOORE,RENALDO",2
11:29,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
11:29,,,,,"SUB IN by GABRIEL,BRANDON",,,"SUB IN by GABRIEL,BRANDON",2
11:29,,,,,"SUB OUT by SELLARS,CHAD",,,"SUB OUT by SELLARS,CHAD",2
11:29,,,,,"SUB OUT by LEWIS,DONNIE",,,"SUB OUT by LEWIS,DONNIE",2
11:29,,,,,"SUB OUT by GOEING,BRANDON",,,"SUB OUT by GOEING,BRANDON",2
11:24,"MISS JUMPER by MARTIN,SAM",,,,,,,"MISS JUMPER by MARTIN,SAM",2
--,,,,,"REBOUND DEF by GABRIEL,BRANDON",,,"REBOUND DEF by GABRIEL,BRANDON",2
11:17,,,,,"MISS JUMPER by GABRIEL,BRANDON",,,"MISS JUMPER by GABRIEL,BRANDON",2
--,"REBOUND DEF by MARTIN,SAM",,,,,,,"REBOUND DEF by MARTIN,SAM",2
11:04,"MISS 3PTR by HAYES,CONNER",,,,,,,"MISS 3PTR by HAYES,CONNER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:01,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",2
10:48,,,,,"SUB IN by ABRAMS,JAMES",,,"SUB IN by ABRAMS,JAMES",2
10:48,,,,,"SUB IN by LAVENDAR,JOVANTE",,,"SUB IN by LAVENDAR,JOVANTE",2
10:48,,,,,"SUB OUT by LEON,CHRIS",,,"SUB OUT by LEON,CHRIS",2
10:48,,,,,"SUB OUT by COSBY,VICTOR",,,"SUB OUT by COSBY,VICTOR",2
10:35,,56 (+10),,46,"GOOD 3PTR by LAVENDAR,JOVANTE",SUMB14 56-46 (+10),,"GOOD 3PTR by LAVENDAR,JOVANTE",2
--,,,,,"ASSIST  by GABRIEL,BRANDON",,,"ASSIST  by GABRIEL,BRANDON",2
10:21,"MISS 3PTR by MARTIN,SAM",,,,,,,"MISS 3PTR by MARTIN,SAM",2
--,,,,,"REBOUND DEF by ABRAMS,JAMES",,,"REBOUND DEF by ABRAMS,JAMES",2
09:48,,,,,"TURNOVER  by LAVENDAR,JOVANTE",,,"TURNOVER  by LAVENDAR,JOVANTE",2
09:41,,,,,"FOUL  by ABRAMS,JAMES",,,"FOUL  by ABRAMS,JAMES",2
09:35,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
09:31,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND DEF by BARRON,MAC",,,,,,,"REBOUND DEF by BARRON,MAC",2
09:26,,,,,"FOUL  by ABRAMS,JAMES",,,"FOUL  by ABRAMS,JAMES",2
09:26,"GOOD FT by BARRON,MAC",57 (+11),,46,,BSC 57-46 (+11),,"GOOD FT by BARRON,MAC",2
09:26,"MISS FT by BARRON,MAC",,,,,,,"MISS FT by BARRON,MAC",2
--,,,,,"REBOUND DEF by LAVENDAR,JOVANTE",,,"REBOUND DEF by LAVENDAR,JOVANTE",2
09:10,,,,,"MISS JUMPER by TURNER,JAMES",,,"MISS JUMPER by TURNER,JAMES",2
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",2
09:06,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",2
09:06,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
09:06,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",2
09:06,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
09:06,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
09:06,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",2
09:06,"SUB OUT by MARTIN,SAM",,,,,,,"SUB OUT by MARTIN,SAM",2
09:06,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
09:06,"SUB OUT by HAYES,CONNER",,,,,,,"SUB OUT by HAYES,CONNER",2
08:35,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
08:25,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
08:25,,,,,"MISS FT by LAVENDAR,JOVANTE",,,"MISS FT by LAVENDAR,JOVANTE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:25,,57 (+10),,47,"GOOD FT by LAVENDAR,JOVANTE",SUMB14 57-47 (+10),,"GOOD FT by LAVENDAR,JOVANTE",2
08:07,,,,,"FOUL  by GABRIEL,BRANDON",,,"FOUL  by GABRIEL,BRANDON",2
08:07,"GOOD FT by THOM,IAN",58 (+11),,47,,BSC 58-47 (+11),,"GOOD FT by THOM,IAN",2
08:07,"MISS FT by THOM,IAN",,,,,,,"MISS FT by THOM,IAN",2
--,,,,,"REBOUND DEF by GABRIEL,BRANDON",,,"REBOUND DEF by GABRIEL,BRANDON",2
08:07,,,,,"SUB IN by GOEING,BRANDON",,,"SUB IN by GOEING,BRANDON",2
08:07,,,,,"SUB OUT by ABRAMS,JAMES",,,"SUB OUT by ABRAMS,JAMES",2
07:54,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
07:38,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:38,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",2
07:38,,,,,"MISS FT by LAVENDAR,JOVANTE",,,"MISS FT by LAVENDAR,JOVANTE",2
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",2
07:38,,,,,"SUB IN by SELLARS,CHAD",,,"SUB IN by SELLARS,CHAD",2
07:38,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
07:18,"GOOD JUMPER by AVERY,ALEX",60 (+13),,47,,BSC 60-47 (+13),,"GOOD JUMPER by AVERY,ALEX",2
07:10,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
07:10,,60 (+12),,48,"GOOD FT by GOEING,BRANDON",SUMB14 60-48 (+12),,"GOOD FT by GOEING,BRANDON",2
07:10,,60 (+11),,49,"GOOD FT by GOEING,BRANDON",SUMB14 60-49 (+11),,"GOOD FT by GOEING,BRANDON",2
07:10,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
07:10,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
07:10,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",2
07:10,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
07:10,,,,,"SUB IN by COSBY,VICTOR",,,"SUB IN by COSBY,VICTOR",2
07:10,,,,,"SUB OUT by LAVENDAR,JOVANTE",,,"SUB OUT by LAVENDAR,JOVANTE",2
07:05,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",2
07:03,,,,,"STEAL  by COSBY,VICTOR",,,"STEAL  by COSBY,VICTOR",2
07:01,,,,,"MISS JUMPER by SELLARS,CHAD",,,"MISS JUMPER by SELLARS,CHAD",2
--,,,,,"REBOUND OFF by MOORE,RENALDO",,,"REBOUND OFF by MOORE,RENALDO",2
06:57,,60 (+9),,51,"GOOD JUMPER by MOORE,RENALDO",SUMB14 60-51 (+9),,"GOOD JUMPER by MOORE,RENALDO",2
06:50,,,,,"FOUL  by GABRIEL,BRANDON",,,"FOUL  by GABRIEL,BRANDON",2
06:50,"GOOD FT by LEWIS,EVAN",61 (+10),,51,,BSC 61-51 (+10),,"GOOD FT by LEWIS,EVAN",2
06:50,"GOOD FT by LEWIS,EVAN",62 (+11),,51,,BSC 62-51 (+11),,"GOOD FT by LEWIS,EVAN",2
06:50,,,,,"SUB IN by ABRAMS,JAMES",,,"SUB IN by ABRAMS,JAMES",2
06:50,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
06:50,,,,,"SUB OUT by MOORE,RENALDO",,,"SUB OUT by MOORE,RENALDO",2
06:50,,,,,"SUB OUT by GABRIEL,BRANDON",,,"SUB OUT by GABRIEL,BRANDON",2
06:25,,,,,"TURNOVER  by SELLARS,CHAD",,,"TURNOVER  by SELLARS,CHAD",2
06:23,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
06:14,"GOOD LAYUP by THOMAS,LARRY(in the paint)",64 (+13),,51,,BSC 64-51 (+13),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
06:05,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",2
06:03,"STEAL  by AVERY,ALEX",,,,,,,"STEAL  by AVERY,ALEX",2
05:58,"GOOD 3PTR by CRAIN,JOHN(fastbreak)",67 (+16),,51,,BSC 67-51 (+16),,"GOOD 3PTR by CRAIN,JOHN(fastbreak)",2
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",2
05:51,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:51,,,,,"SUB IN by MOORE,RENALDO",,,"SUB IN by MOORE,RENALDO",2
05:51,,,,,"SUB IN by GABRIEL,BRANDON",,,"SUB IN by GABRIEL,BRANDON",2
05:51,,,,,"SUB OUT by SELLARS,CHAD",,,"SUB OUT by SELLARS,CHAD",2
05:51,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
05:26,,,,,"MISS JUMPER by GABRIEL,BRANDON",,,"MISS JUMPER by GABRIEL,BRANDON",2
05:26,"BLOCK  by THOMAS,LARRY",,,,,,,"BLOCK  by THOMAS,LARRY",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
04:59,"GOOD JUMPER by AVERY,ALEX",69 (+18),,51,,BSC 69-51 (+18),,"GOOD JUMPER by AVERY,ALEX",2
04:33,,,,,"MISS JUMPER by COSBY,VICTOR",,,"MISS JUMPER by COSBY,VICTOR",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
04:27,"GOOD LAYUP by LEWIS,EVAN(fastbreak)(in the paint)",71 (+20),,51,,BSC 71-51 (+20),,"GOOD LAYUP by LEWIS,EVAN(fastbreak)(in the paint)",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
04:11,,,,,"MISS 3PTR by GOEING,BRANDON",,,"MISS 3PTR by GOEING,BRANDON",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
03:51,,,,,"FOUL  by MOORE,RENALDO",,,"FOUL  by MOORE,RENALDO",2
03:51,"GOOD FT by AVERY,ALEX",72 (+21),,51,,BSC 72-51 (+21),,"GOOD FT by AVERY,ALEX",2
03:51,"GOOD FT by AVERY,ALEX",73 (+22),,51,,BSC 73-51 (+22),,"GOOD FT by AVERY,ALEX",2
03:51,,,,,"SUB IN by LEON,CHRIS",,,"SUB IN by LEON,CHRIS",2
03:51,,,,,"SUB IN by HUMPHREY,ZACK",,,"SUB IN by HUMPHREY,ZACK",2
03:51,,,,,"SUB OUT by MOORE,RENALDO",,,"SUB OUT by MOORE,RENALDO",2
03:51,,,,,"SUB OUT by COSBY,VICTOR",,,"SUB OUT by COSBY,VICTOR",2
03:33,,,,,"MISS JUMPER by GABRIEL,BRANDON",,,"MISS JUMPER by GABRIEL,BRANDON",2
03:33,"BLOCK  by AVERY,ALEX",,,,,,,"BLOCK  by AVERY,ALEX",2
--,,,,,"REBOUND OFF by GABRIEL,BRANDON",,,"REBOUND OFF by GABRIEL,BRANDON",2
03:26,,73 (+19),,54,"GOOD 3PTR by HUMPHREY,ZACK",SUMB14 73-54 (+19),,"GOOD 3PTR by HUMPHREY,ZACK",2
--,,,,,"ASSIST  by GABRIEL,BRANDON",,,"ASSIST  by GABRIEL,BRANDON",2
03:07,"GOOD 3PTR by AVERY,ALEX",76 (+22),,54,,BSC 76-54 (+22),,"GOOD 3PTR by AVERY,ALEX",2
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",2
03:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:02,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
03:02,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",2
03:02,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",2
03:02,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",2
03:02,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
03:02,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
03:02,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
03:02,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
03:02,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
03:02,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
03:02,,,,,"SUB IN by SELLARS,CHAD",,,"SUB IN by SELLARS,CHAD",2
03:02,,,,,"SUB IN by MUMPHREY,OWEN",,,"SUB IN by MUMPHREY,OWEN",2
03:02,,,,,"SUB IN by LEWIS,DONNIE",,,"SUB IN by LEWIS,DONNIE",2
03:02,,,,,"SUB OUT by ABRAMS,JAMES",,,"SUB OUT by ABRAMS,JAMES",2
03:02,,,,,"SUB OUT by GABRIEL,BRANDON",,,"SUB OUT by GABRIEL,BRANDON",2
03:02,,,,,"SUB OUT by GOEING,BRANDON",,,"SUB OUT by GOEING,BRANDON",2
02:27,,76 (+20),,56,"GOOD LAYUP by LEWIS,DONNIE(in the paint)",SUMB14 76-56 (+20),,"GOOD LAYUP by LEWIS,DONNIE(in the paint)",2
01:57,"GOOD LAYUP by HARDIMAN,BEN(in the paint)",78 (+22),,56,,BSC 78-56 (+22),,"GOOD LAYUP by HARDIMAN,BEN(in the paint)",2
--,"ASSIST  by MCLEAN,JAMES",,,,,,,"ASSIST  by MCLEAN,JAMES",2
01:42,,78 (+19),,59,"GOOD 3PTR by LEWIS,DONNIE",SUMB14 78-59 (+19),,"GOOD 3PTR by LEWIS,DONNIE",2
--,,,,,"ASSIST  by HUMPHREY,ZACK",,,"ASSIST  by HUMPHREY,ZACK",2
01:08,"MISS JUMPER by HOLLE,MASON",,,,,,,"MISS JUMPER by HOLLE,MASON",2
--,"REBOUND OFF by MCLEAN,JAMES",,,,,,,"REBOUND OFF by MCLEAN,JAMES",2
00:36,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",2
00:36,,,,,"BLOCK  by SELLARS,CHAD",,,"BLOCK  by SELLARS,CHAD",2
--,,,,,"REBOUND DEF by LEON,CHRIS",,,"REBOUND DEF by LEON,CHRIS",2
00:29,"SUB IN by REBIC,ANTE",,,,,,,"SUB IN by REBIC,ANTE",2
00:29,"SUB IN by MCKAY,COLLIN",,,,,,,"SUB IN by MCKAY,COLLIN",2
00:29,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
00:29,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",2
00:14,,,,,"MISS JUMPER by SELLARS,CHAD",,,"MISS JUMPER by SELLARS,CHAD",2
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",2
