Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,BATM15,Game Score,Team Indicator,Play,Period
00:55,,70 (+4),,66,"GOOD 3PTR by SAFFORD,GRAHAM",BATM15 70-66 (+4),,"GOOD 3PTR by SAFFORD,GRAHAM",2
00:25,"GOOD LAYUP by AVERY,ALEX(in the paint)",72 (+6),,66,,BSC 72-66 (+6),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
00:24,,,,,"SUB IN by BOORNAZIAN,MIKE",,,"SUB IN by BOORNAZIAN,MIKE",2
00:24,,,,,"SUB OUT by NEWTON,MIKE",,,"SUB OUT by NEWTON,MIKE",2
00:18,,72 (+3),,69,"GOOD 3PTR by PHILPOTT,ADAM",BATM15 72-69 (+3),,"GOOD 3PTR by PHILPOTT,ADAM",2
--,,,,,"ASSIST  by SAFFORD,GRAHAM",,,"ASSIST  by SAFFORD,GRAHAM",2
00:15,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
00:15,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
00:15,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
00:15,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
00:13,,,,,"FOUL  by DELPECHE,MARCUS",,,"FOUL  by DELPECHE,MARCUS",2
00:13,"GOOD FT by THOMAS,LARRY",73 (+4),,69,,BSC 73-69 (+4),,"GOOD FT by THOMAS,LARRY",2
00:13,"GOOD FT by THOMAS,LARRY",74 (+5),,69,,BSC 74-69 (+5),,"GOOD FT by THOMAS,LARRY",2
00:13,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
00:13,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
00:10,,,,,"TURNOVER  by SAFFORD,GRAHAM",,,"TURNOVER  by SAFFORD,GRAHAM",2
00:09,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",2
00:05,"GOOD FT by THOMAS,LARRY",75 (+6),,69,,BSC 75-69 (+6),,"GOOD FT by THOMAS,LARRY",2
00:05,"GOOD FT by THOMAS,LARRY",76 (+7),,69,,BSC 76-69 (+7),,"GOOD FT by THOMAS,LARRY",2
00:05,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
00:05,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",2
00:05,,,,,"SUB IN by NEWTON,MIKE",,,"SUB IN by NEWTON,MIKE",2
00:05,,,,,"SUB OUT by DELPECHE,MARCUS",,,"SUB OUT by DELPECHE,MARCUS",2
00:01,,76 (+4),,72,"GOOD 3PTR by BOORNAZIAN,MIKE",BATM15 76-72 (+4),,"GOOD 3PTR by BOORNAZIAN,MIKE",2
00:00,,,,,"FOUL  by DELPECHE,MALCOLM",,,"FOUL  by DELPECHE,MALCOLM",2
00:00,,,,,"FOUL  by EATON,MAX",,,"FOUL  by EATON,MAX",2
