Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
12:01,,,,,"SUB IN by FEIDER,JP",,,"SUB IN by FEIDER,JP",1
12:01,,,,,"SUB OUT by MCKENZIE,NATHAN",,,"SUB OUT by MCKENZIE,NATHAN",1
11:54,,,,,"MISS LAYUP by MERCADEL,JUSTICE",,,"MISS LAYUP by MERCADEL,JUSTICE",1
--,"REBOUND DEF by CARVELLI,CAMERON",,,,,,,"REBOUND DEF by CARVELLI,CAMERON",1
11:47,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,"REBOUND OFF by BURNETT,DREW",,,,,,,"REBOUND OFF by BURNETT,DREW",1
11:43,"TURNOVER  by BURNETT,DREW",,,,,,,"TURNOVER  by BURNETT,DREW",1
11:43,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
11:43,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
11:35,,,,,"MISS 3PTR by CLEAMONS,JAYLYN",,,"MISS 3PTR by CLEAMONS,JAYLYN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:09,"GOOD JUMPER by CARVELLI,CAMERON(in the paint)",16,,18 (+2),,MIL 16-18 (-2),,"GOOD JUMPER by CARVELLI,CAMERON(in the paint)",1
11:01,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",1
11:01,,16,,19 (+3),"GOOD FT by ROLAND,DEVIN",ACM 16-19 (-3),,"GOOD FT by ROLAND,DEVIN",1
11:01,,16,,20 (+4),"GOOD FT by ROLAND,DEVIN",ACM 16-20 (-4),,"GOOD FT by ROLAND,DEVIN",1
11:01,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
11:01,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",1
10:47,"GOOD LAYUP by TURNER,JAMES(in the paint)",18,,20 (+2),,MIL 18-20 (-2),,"GOOD LAYUP by TURNER,JAMES(in the paint)",1
--,"ASSIST ASSIST by MCLAURIN,RYAN",,,,,,,"ASSIST ASSIST by MCLAURIN,RYAN",1
10:43,,,,,"TURNOVER  by ROLAND,DEVIN",,,"TURNOVER  by ROLAND,DEVIN",1
10:43,,,,,"SUB IN by MERCADEL,JUSTICE",,,"SUB IN by MERCADEL,JUSTICE",1
10:43,,,,,"SUB IN by HOGAN,KAM",,,"SUB IN by HOGAN,KAM",1
10:43,,,,,"SUB OUT by LOCKMAN,DEREK",,,"SUB OUT by LOCKMAN,DEREK",1
10:43,,,,,"SUB OUT by ROLAND,DEVIN",,,"SUB OUT by ROLAND,DEVIN",1
10:37,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by FEIDER,JP",,,"REBOUND DEF by FEIDER,JP",1
10:25,,18,,23 (+5),"GOOD 3PTR by HOGAN,KAM",ACM 18-23 (-5),,"GOOD 3PTR by HOGAN,KAM",1
--,,,,,"ASSIST ASSIST by CLEAMONS,JAYLYN",,,"ASSIST ASSIST by CLEAMONS,JAYLYN",1
10:04,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND OFF by MCLAURIN,RYAN",,,,,,,"REBOUND OFF by MCLAURIN,RYAN",1
10:00,"MISS JUMPER by SPIKES,KALVIN",,,,,,,"MISS JUMPER by SPIKES,KALVIN",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
09:52,"MISS JUMPER by BECKER,SAXTON",,,,,,,"MISS JUMPER by BECKER,SAXTON",1
--,"REBOUND OFF by SPIKES,KALVIN",,,,,,,"REBOUND OFF by SPIKES,KALVIN",1
09:34,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",20,,23 (+3),,MIL 20-23 (-3),,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",1
09:04,,,,,"MISS 3PTR by HOGAN,KAM",,,"MISS 3PTR by HOGAN,KAM",1
--,"REBOUND DEF by MCLAURIN,RYAN",,,,,,,"REBOUND DEF by MCLAURIN,RYAN",1
08:57,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,"REBOUND OFF by SPIKES,KALVIN",,,,,,,"REBOUND OFF by SPIKES,KALVIN",1
08:52,,,,,"FOUL  by FEIDER,JP",,,"FOUL  by FEIDER,JP",1
08:52,"MISS FT by SPIKES,KALVIN",,,,,,,"MISS FT by SPIKES,KALVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:52,"GOOD FT by SPIKES,KALVIN",21,,23 (+2),,MIL 21-23 (-2),,"GOOD FT by SPIKES,KALVIN",1
08:52,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
08:52,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",1
08:52,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
08:52,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
08:52,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
08:52,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
08:52,,,,,"SUB IN by HILL,KAMERON",,,"SUB IN by HILL,KAMERON",1
08:52,,,,,"SUB IN by BRUMBAUGH,LUKE",,,"SUB IN by BRUMBAUGH,LUKE",1
08:52,,,,,"SUB OUT by CLEAMONS,JAYLYN",,,"SUB OUT by CLEAMONS,JAYLYN",1
08:52,,,,,"SUB OUT by FEIDER,JP",,,"SUB OUT by FEIDER,JP",1
08:49,,,,,"TURNOVER  by HILL,KAMERON",,,"TURNOVER  by HILL,KAMERON",1
08:48,"STEAL  by BLANZ,BUCK",,,,,,,"STEAL  by BLANZ,BUCK",1
08:40,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1
08:39,,,,,"STEAL  by HOGAN,KAM",,,"STEAL  by HOGAN,KAM",1
08:35,,,,,"TURNOVER  by HILL,KAMERON",,,"TURNOVER  by HILL,KAMERON",1
08:16,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:09,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",1
08:00,,,,,"MISS LAYUP by HILL,KAMERON",,,"MISS LAYUP by HILL,KAMERON",1
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1
07:55,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",1
07:54,,,,,"STEAL  by HOGAN,KAM",,,"STEAL  by HOGAN,KAM",1
07:53,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
07:53,,21,,24 (+3),"GOOD FT by HOGAN,KAM",ACM 21-24 (-3),,"GOOD FT by HOGAN,KAM",1
