Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
00:46,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",2
00:46,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",2
00:46,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
00:46,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",2
00:46,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",2
00:46,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",2
00:32,,61,,65 (+4),"GOOD LAYUP by JONES,JUSTIN(in the paint)",BU 61-65 (-4),,"GOOD LAYUP by JONES,JUSTIN(in the paint)",2
--,,,,,"ASSIST  by COOKS,BROSNAN",,,"ASSIST  by COOKS,BROSNAN",2
00:22,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",2
--,,,,,"REBOUND DEF by WORKS,JOHN",,,"REBOUND DEF by WORKS,JOHN",2
00:17,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",2
00:17,,61,,66 (+5),"GOOD FT by HODUM,RICK",BU 61-66 (-5),,"GOOD FT by HODUM,RICK",2
00:17,,,,,"MISS FT by HODUM,RICK",,,"MISS FT by HODUM,RICK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:17,"FOUL  by BURNETT,DREW",,,,,,,"FOUL  by BURNETT,DREW",2
00:17,,61,,67 (+6),"GOOD FT by WORKS,JOHN",BU 61-67 (-6),,"GOOD FT by WORKS,JOHN",2
00:17,,,,,"MISS FT by WORKS,JOHN",,,"MISS FT by WORKS,JOHN",2
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",2
00:17,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",63,,67 (+4),,MIL 63-67 (-4),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
00:17,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",2
00:17,,,,,"SUB OUT by ROBERTS,JOSHUA",,,"SUB OUT by ROBERTS,JOSHUA",2
00:12,"FOUL  by MCLAURIN,RYAN",,,,,,,"FOUL  by MCLAURIN,RYAN",2
00:12,,,,,"MISS FT by HODUM,RICK",,,"MISS FT by HODUM,RICK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:12,,63,,68 (+5),"GOOD FT by HODUM,RICK(fastbreak)",BU 63-68 (-5),,"GOOD FT by HODUM,RICK(fastbreak)",2
00:12,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
00:12,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",2
00:07,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",2
00:05,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",2
00:05,,63,,69 (+6),"GOOD FT by COOKS,BROSNAN(fastbreak)",BU 63-69 (-6),,"GOOD FT by COOKS,BROSNAN(fastbreak)",2
00:05,,63,,70 (+7),"GOOD FT by COOKS,BROSNAN(fastbreak)",BU 63-70 (-7),,"GOOD FT by COOKS,BROSNAN(fastbreak)",2
00:05,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
00:05,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",2
00:00,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
