Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
03:12,"MISS 3PTR by MATTICH,BLAKE",,,,,,,"MISS 3PTR by MATTICH,BLAKE",2
--,"REBOUND OFF by MERCADEL,JUSTICE",,,,,,,"REBOUND OFF by MERCADEL,JUSTICE",2
03:10,,,,,"FOUL  by COLEMAN,DANIEL",,,"FOUL  by COLEMAN,DANIEL",2
03:10,"MISS FT by MERCADEL,JUSTICE",,,,,,,"MISS FT by MERCADEL,JUSTICE",2
--,,,,,"REBOUND DEF by COLEMAN,DANIEL",,,"REBOUND DEF by COLEMAN,DANIEL",2
03:03,,,,,"MISS LAYUP by MANNING,JOHNATHAN",,,"MISS LAYUP by MANNING,JOHNATHAN",2
03:03,"BLOCK  by FEIDER,JP",,,,,,,"BLOCK  by FEIDER,JP",2
--,,,,,"REBOUND DEF by MANNING,JOHNATHAN",,,"REBOUND DEF by MANNING,JOHNATHAN",2
02:50,"FOUL  by FEIDER,JP",,,,,,,"FOUL  by FEIDER,JP",2
02:50,,,,,"MISS FT by DEVALL,ANDREW",,,"MISS FT by DEVALL,ANDREW",2
--,"REBOUND DEF by MCKENZIE,NATHAN",,,,,,,"REBOUND DEF by MCKENZIE,NATHAN",2
02:47,"GOOD 3PTR by LOCKMAN,DEREK",68,,91 (+23),,ACM 68-91 (+23),,"GOOD 3PTR by LOCKMAN,DEREK",2
--,"ASSIST  by HOGAN,KAM",,,,,,,"ASSIST  by HOGAN,KAM",2
02:19,,,,,"MISS JUMPER by DEVALL,ANDREW",,,"MISS JUMPER by DEVALL,ANDREW",2
--,,,,,"REBOUND OFF by DEVALL,ANDREW",,,"REBOUND OFF by DEVALL,ANDREW",2
02:18,"FOUL  by MCKENZIE,NATHAN",,,,,,,"FOUL  by MCKENZIE,NATHAN",2
02:18,,68,,92 (+24),"GOOD FT by DEVALL,ANDREW",MIL 68-92 (+24),,"GOOD FT by DEVALL,ANDREW",2
02:18,,,,,"MISS FT by CARVELLI,CAMERON",,,"MISS FT by CARVELLI,CAMERON",2
--,"REBOUND DEF by GOODMAN,CHANSTON",,,,,,,"REBOUND DEF by GOODMAN,CHANSTON",2
02:08,"GOOD 3PTR by LOCKMAN,DEREK",71,,92 (+21),,ACM 71-92 (+21),,"GOOD 3PTR by LOCKMAN,DEREK",2
01:52,,,,,"TURNOVER  by COLEMAN,DANIEL",,,"TURNOVER  by COLEMAN,DANIEL",2
01:50,"STEAL  by GOODMAN,CHANSTON",,,,,,,"STEAL  by GOODMAN,CHANSTON",2
01:41,"MISS 3PTR by LOCKMAN,DEREK",,,,,,,"MISS 3PTR by LOCKMAN,DEREK",2
--,,,,,"REBOUND DEF by COLEMAN,DANIEL",,,"REBOUND DEF by COLEMAN,DANIEL",2
01:33,,71,,94 (+23),"GOOD LAYUP by MANNING,JOHNATHAN(fastbreak)(in the paint)",MIL 71-94 (+23),,"GOOD LAYUP by MANNING,JOHNATHAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by COLEMAN,DANIEL",,,"ASSIST  by COLEMAN,DANIEL",2
00:57,"TURNOVER  by ROLAND,DEVIN",,,,,,,"TURNOVER  by ROLAND,DEVIN",2
00:55,,71,,96 (+25),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",MIL 71-96 (+25),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",2
00:00,"GOOD 3PTR by GOODMAN,CHANSTON",74,,96 (+22),,ACM 74-96 (+22),,"GOOD 3PTR by GOODMAN,CHANSTON",2
