Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,HSC,Game Score,Team Indicator,Play,Period
18:07,,28,,47 (+19),"GOOD JUMPER by EVANS,ANDREW(fastbreak)",HSC 28-47 (-19),,"GOOD JUMPER by EVANS,ANDREW(fastbreak)",2
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",2
17:48,"GOOD 3PTR by WELCH,ROSS",31,,47 (+16),,BSC 31-47 (-16),,"GOOD 3PTR by WELCH,ROSS",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
17:39,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
17:39,,31,,48 (+17),"GOOD FT by MURRAY,MIKE",HSC 31-48 (-17),,"GOOD FT by MURRAY,MIKE",2
17:39,,31,,49 (+18),"GOOD FT by MURRAY,MIKE",HSC 31-49 (-18),,"GOOD FT by MURRAY,MIKE",2
17:23,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by MURRAY,MIKE",,,"REBOUND DEF by MURRAY,MIKE",2
17:15,,31,,52 (+21),"GOOD 3PTR by EVANS,ANDREW(fastbreak)",HSC 31-52 (-21),,"GOOD 3PTR by EVANS,ANDREW(fastbreak)",2
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",2
16:47,,,,,"FOUL  by EVANS,ANDREW",,,"FOUL  by EVANS,ANDREW",2
16:47,,,,,"FOUL  by GUIMARAES,GUILHERME",,,"FOUL  by GUIMARAES,GUILHERME",2
16:47,,,,,"SUB IN by SAMUELS,LOGAN",,,"SUB IN by SAMUELS,LOGAN",2
16:47,,,,,"SUB IN by OWENS,MITCH",,,"SUB IN by OWENS,MITCH",2
16:47,,,,,"SUB IN by REDDICK,JAVONTE",,,"SUB IN by REDDICK,JAVONTE",2
16:47,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",2
16:47,,,,,"SUB OUT by MURRAY,MIKE",,,"SUB OUT by MURRAY,MIKE",2
16:47,,,,,"SUB OUT by KATOWITZ,JOSH",,,"SUB OUT by KATOWITZ,JOSH",2
16:39,,,,,"FOUL  by REDDICK,JAVONTE",,,"FOUL  by REDDICK,JAVONTE",2
16:34,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",33,,52 (+19),,BSC 33-52 (-19),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",2
16:16,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",2
16:15,,,,,"TURNOVER  by DUNCAN,JAKE",,,"TURNOVER  by DUNCAN,JAKE",2
16:14,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",2
16:13,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",35,,52 (+17),,BSC 35-52 (-17),,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",2
15:53,,,,,"MISS LAYUP by DUNCAN,JAKE",,,"MISS LAYUP by DUNCAN,JAKE",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
15:43,"MISS LAYUP by DENEKA,HARRISON",,,,,,,"MISS LAYUP by DENEKA,HARRISON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:43,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
15:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:27,,,,,"MISS JUMPER by GUIMARAES,GUILHERME",,,"MISS JUMPER by GUIMARAES,GUILHERME",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
15:16,,,,,"FOUL  by OWENS,MITCH",,,"FOUL  by OWENS,MITCH",2
15:16,"GOOD FT by DENEKA,HARRISON",36,,52 (+16),,BSC 36-52 (-16),,"GOOD FT by DENEKA,HARRISON",2
15:16,"GOOD FT by DENEKA,HARRISON",37,,52 (+15),,BSC 37-52 (-15),,"GOOD FT by DENEKA,HARRISON",2
15:16,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
15:16,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
15:16,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
15:16,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
14:50,,,,,"MISS 3PTR by DUNCAN,JAKE",,,"MISS 3PTR by DUNCAN,JAKE",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
14:39,,,,,"FOUL  by GUIMARAES,GUILHERME",,,"FOUL  by GUIMARAES,GUILHERME",2
14:39,,,,,"SUB IN by REID,JUSTIN",,,"SUB IN by REID,JUSTIN",2
14:39,,,,,"SUB IN by MURRAY,MIKE",,,"SUB IN by MURRAY,MIKE",2
14:39,,,,,"SUB OUT by SAMUELS,LOGAN",,,"SUB OUT by SAMUELS,LOGAN",2
14:39,,,,,"SUB OUT by DUNCAN,JAKE",,,"SUB OUT by DUNCAN,JAKE",2
14:33,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",2
--,,,,,"REBOUND DEF by REID,JUSTIN",,,"REBOUND DEF by REID,JUSTIN",2
14:29,,,,,"TURNOVER  by REID,JUSTIN",,,"TURNOVER  by REID,JUSTIN",2
14:18,"GOOD JUMPER by RUDAK,MATTY",39,,52 (+13),,BSC 39-52 (-13),,"GOOD JUMPER by RUDAK,MATTY",2
13:53,,39,,55 (+16),"GOOD 3PTR by OWENS,MITCH",HSC 39-55 (-16),,"GOOD 3PTR by OWENS,MITCH",2
--,,,,,"ASSIST  by GUIMARAES,GUILHERME",,,"ASSIST  by GUIMARAES,GUILHERME",2
13:22,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",2
--,,,,,"REBOUND DEF by MURRAY,MIKE",,,"REBOUND DEF by MURRAY,MIKE",2
13:13,,,,,"MISS LAYUP by REDDICK,JAVONTE",,,"MISS LAYUP by REDDICK,JAVONTE",2
--,,,,,"REBOUND OFF by GUIMARAES,GUILHERME",,,"REBOUND OFF by GUIMARAES,GUILHERME",2
13:10,,,,,"TURNOVER  by GUIMARAES,GUILHERME",,,"TURNOVER  by GUIMARAES,GUILHERME",2
13:08,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",2
13:06,"MISS 3PTR by RUDAK,MATTY",,,,,,,"MISS 3PTR by RUDAK,MATTY",2
--,,,,,"REBOUND DEF by REDDICK,JAVONTE",,,"REBOUND DEF by REDDICK,JAVONTE",2
12:36,,39,,58 (+19),"GOOD 3PTR by OWENS,MITCH",HSC 39-58 (-19),,"GOOD 3PTR by OWENS,MITCH",2
--,,,,,"ASSIST  by REDDICK,JAVONTE",,,"ASSIST  by REDDICK,JAVONTE",2
12:06,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
12:06,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",2
12:06,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:06,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
12:06,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
12:06,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
12:06,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
12:06,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
12:06,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
12:06,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
12:06,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
12:06,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
12:06,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
12:06,,,,,"SUB IN by KUEHN,HUNTER",,,"SUB IN by KUEHN,HUNTER",2
12:06,,,,,"SUB IN by REID,JUSTIN",,,"SUB IN by REID,JUSTIN",2
12:06,,,,,"SUB IN by MURRAY,MIKE",,,"SUB IN by MURRAY,MIKE",2
12:06,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",2
12:06,,,,,"SUB IN by KATOWITZ,JOSH",,,"SUB IN by KATOWITZ,JOSH",2
12:06,,,,,"SUB OUT by GUIMARAES,GUILHERME",,,"SUB OUT by GUIMARAES,GUILHERME",2
12:06,,,,,"SUB OUT by REID,JUSTIN",,,"SUB OUT by REID,JUSTIN",2
12:06,,,,,"SUB OUT by MURRAY,MIKE",,,"SUB OUT by MURRAY,MIKE",2
12:06,,,,,"SUB OUT by OWENS,MITCH",,,"SUB OUT by OWENS,MITCH",2
12:06,,,,,"SUB OUT by REDDICK,JAVONTE",,,"SUB OUT by REDDICK,JAVONTE",2
11:50,,39,,60 (+21),"GOOD LAYUP by KATOWITZ,JOSH(in the paint)",HSC 39-60 (-21),,"GOOD LAYUP by KATOWITZ,JOSH(in the paint)",2
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",2
11:21,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
--,,,,,"REBOUND DEF by KATOWITZ,JOSH",,,"REBOUND DEF by KATOWITZ,JOSH",2
10:56,,,,,"MISS LAYUP by REID,JUSTIN",,,"MISS LAYUP by REID,JUSTIN",2
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",2
10:55,,,,,"FOUL  by REID,JUSTIN",,,"FOUL  by REID,JUSTIN",2
10:55,,,,,"FOUL TECH by REID,JUSTIN",,,"FOUL TECH by REID,JUSTIN",2
10:55,,,,,"FOUL  by REID,JUSTIN",,,"FOUL  by REID,JUSTIN",2
10:55,"GOOD FT by CRAIN,JOHN",40,,60 (+20),,BSC 40-60 (-20),,"GOOD FT by CRAIN,JOHN",2
10:55,"GOOD FT by CRAIN,JOHN",41,,60 (+19),,BSC 41-60 (-19),,"GOOD FT by CRAIN,JOHN",2
10:55,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
10:55,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
10:26,,,,,"FOUL  by MURRAY,MIKE",,,"FOUL  by MURRAY,MIKE",2
10:26,"MISS FT by WELCH,ROSS",,,,,,,"MISS FT by WELCH,ROSS",2
--,"REBOUND OFF by MCLEAN,JAMES",,,,,,,"REBOUND OFF by MCLEAN,JAMES",2
10:26,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
10:26,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
09:53,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND DEF by KATOWITZ,JOSH",,,"REBOUND DEF by KATOWITZ,JOSH",2
09:24,,,,,"MISS JUMPER by EVANS,ANDREW",,,"MISS JUMPER by EVANS,ANDREW",2
--,,,,,"REBOUND OFF by KATOWITZ,JOSH",,,"REBOUND OFF by KATOWITZ,JOSH",2
09:01,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
09:01,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
09:01,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
08:51,,,,,"TURNOVER  by EVANS,ANDREW",,,"TURNOVER  by EVANS,ANDREW",2
08:50,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",2
08:35,,,,,"FOUL  by KUEHN,HUNTER",,,"FOUL  by KUEHN,HUNTER",2
08:35,"GOOD FT by MCLEAN,JAMES",42,,60 (+18),,BSC 42-60 (-18),,"GOOD FT by MCLEAN,JAMES",2
08:35,"GOOD FT by MCLEAN,JAMES",43,,60 (+17),,BSC 43-60 (-17),,"GOOD FT by MCLEAN,JAMES",2
08:35,,,,,"SUB IN by CHASE,NICK",,,"SUB IN by CHASE,NICK",2
08:35,,,,,"SUB IN by MURRAY,MIKE",,,"SUB IN by MURRAY,MIKE",2
08:35,,,,,"SUB IN by OWENS,MITCH",,,"SUB IN by OWENS,MITCH",2
08:35,,,,,"SUB IN by CHEERS,GRAY",,,"SUB IN by CHEERS,GRAY",2
08:35,,,,,"SUB IN by DUNCAN,JAKE",,,"SUB IN by DUNCAN,JAKE",2
08:35,,,,,"SUB OUT by KUEHN,HUNTER",,,"SUB OUT by KUEHN,HUNTER",2
08:35,,,,,"SUB OUT by REID,JUSTIN",,,"SUB OUT by REID,JUSTIN",2
08:35,,,,,"SUB OUT by MURRAY,MIKE",,,"SUB OUT by MURRAY,MIKE",2
08:35,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",2
08:35,,,,,"SUB OUT by KATOWITZ,JOSH",,,"SUB OUT by KATOWITZ,JOSH",2
08:09,,,,,"MISS JUMPER by CHASE,NICK",,,"MISS JUMPER by CHASE,NICK",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:08,,,,,"MISS JUMPER by DUNCAN,JAKE",,,"MISS JUMPER by DUNCAN,JAKE",2
--,,,,,"REBOUND OFF by OWENS,MITCH",,,"REBOUND OFF by OWENS,MITCH",2
08:05,,,,,"MISS LAYUP by OWENS,MITCH",,,"MISS LAYUP by OWENS,MITCH",2
08:05,"BLOCK  by DENEKA,HARRISON",,,,,,,"BLOCK  by DENEKA,HARRISON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
07:57,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",2
07:57,,43,,61 (+18),"GOOD FT by DUNCAN,JAKE",HSC 43-61 (-18),,"GOOD FT by DUNCAN,JAKE",2
07:57,,43,,62 (+19),"GOOD FT by DUNCAN,JAKE",HSC 43-62 (-19),,"GOOD FT by DUNCAN,JAKE",2
07:57,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
07:57,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
07:39,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by OWENS,MITCH",,,"REBOUND DEF by OWENS,MITCH",2
07:29,,,,,"MISS LAYUP by CHASE,NICK",,,"MISS LAYUP by CHASE,NICK",2
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",2
07:12,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",2
--,,,,,"REBOUND DEF by OWENS,MITCH",,,"REBOUND DEF by OWENS,MITCH",2
07:05,,,,,"TURNOVER  by OWENS,MITCH",,,"TURNOVER  by OWENS,MITCH",2
07:04,"STEAL  by AVERY,ALEX",,,,,,,"STEAL  by AVERY,ALEX",2
07:03,"GOOD LAYUP by AVERY,ALEX(in the paint)",45,,62 (+17),,BSC 45-62 (-17),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
06:36,,,,,"MISS 3PTR by DUNCAN,JAKE",,,"MISS 3PTR by DUNCAN,JAKE",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
06:27,"GOOD 3PTR by CRAIN,JOHN",48,,62 (+14),,BSC 48-62 (-14),,"GOOD 3PTR by CRAIN,JOHN",2
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",2
05:52,,,,,"MISS 3PTR by OWENS,MITCH",,,"MISS 3PTR by OWENS,MITCH",2
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",2
05:33,"GOOD LAYUP by AVERY,ALEX(in the paint)",50,,62 (+12),,BSC 50-62 (-12),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
05:33,,,,,"FOUL  by OWENS,MITCH",,,"FOUL  by OWENS,MITCH",2
05:33,"GOOD FT by AVERY,ALEX",51,,62 (+11),,BSC 51-62 (-11),,"GOOD FT by AVERY,ALEX",2
05:33,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
05:33,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
05:33,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
05:33,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
05:33,,,,,"SUB IN by GUIMARAES,GUILHERME",,,"SUB IN by GUIMARAES,GUILHERME",2
05:33,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",2
05:33,,,,,"SUB OUT by CHASE,NICK",,,"SUB OUT by CHASE,NICK",2
05:33,,,,,"SUB OUT by CHEERS,GRAY",,,"SUB OUT by CHEERS,GRAY",2
05:17,,,,,"TURNOVER  by EVANS,ANDREW",,,"TURNOVER  by EVANS,ANDREW",2
05:15,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",2
05:10,"GOOD 3PTR by CRAIN,JOHN",54,,62 (+8),,BSC 54-62 (-8),,"GOOD 3PTR by CRAIN,JOHN",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
05:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:37,,,,,"MISS JUMPER by MURRAY,MIKE",,,"MISS JUMPER by MURRAY,MIKE",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
04:12,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",2
--,,,,,"REBOUND DEF by DUNCAN,JAKE",,,"REBOUND DEF by DUNCAN,JAKE",2
03:51,,54,,65 (+11),"GOOD 3PTR by MURRAY,MIKE",HSC 54-65 (-11),,"GOOD 3PTR by MURRAY,MIKE",2
03:26,,,,,"FOUL  by EVANS,ANDREW",,,"FOUL  by EVANS,ANDREW",2
03:26,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:26,"GOOD FT by AVERY,ALEX",55,,65 (+10),,BSC 55-65 (-10),,"GOOD FT by AVERY,ALEX",2
03:26,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
03:26,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
03:11,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",2
03:11,,55,,66 (+11),"GOOD FT by MURRAY,MIKE",HSC 55-66 (-11),,"GOOD FT by MURRAY,MIKE",2
03:11,,,,,"MISS FT by MURRAY,MIKE",,,"MISS FT by MURRAY,MIKE",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
03:01,,,,,"FOUL  by MURRAY,MIKE",,,"FOUL  by MURRAY,MIKE",2
03:01,"GOOD FT by MCLEAN,JAMES",56,,66 (+10),,BSC 56-66 (-10),,"GOOD FT by MCLEAN,JAMES",2
03:01,"GOOD FT by MCLEAN,JAMES",57,,66 (+9),,BSC 57-66 (-9),,"GOOD FT by MCLEAN,JAMES",2
03:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:01,,,,,"SUB IN by KATOWITZ,JOSH",,,"SUB IN by KATOWITZ,JOSH",2
03:01,,,,,"SUB OUT by OWENS,MITCH",,,"SUB OUT by OWENS,MITCH",2
02:43,,57,,68 (+11),"GOOD JUMPER by EVANS,ANDREW(in the paint)",HSC 57-68 (-11),,"GOOD JUMPER by EVANS,ANDREW(in the paint)",2
02:22,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",2
--,,,,,"REBOUND DEF by KATOWITZ,JOSH",,,"REBOUND DEF by KATOWITZ,JOSH",2
02:19,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",2
02:19,,,,,"MISS FT by KATOWITZ,JOSH",,,"MISS FT by KATOWITZ,JOSH",2
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",2
02:09,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND DEF by GUIMARAES,GUILHERME",,,"REBOUND DEF by GUIMARAES,GUILHERME",2
01:37,,57,,70 (+13),"GOOD LAYUP by MURRAY,MIKE(in the paint)",HSC 57-70 (-13),,"GOOD LAYUP by MURRAY,MIKE(in the paint)",2
01:37,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
01:37,,,,,"MISS FT by MURRAY,MIKE",,,"MISS FT by MURRAY,MIKE",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
01:15,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",2
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",2
01:13,"GOOD LAYUP by AVERY,ALEX(in the paint)",59,,70 (+11),,BSC 59-70 (-11),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
01:13,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:07,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
01:07,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
00:58,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",2
00:58,,59,,71 (+12),"GOOD FT by MURRAY,MIKE",HSC 59-71 (-12),,"GOOD FT by MURRAY,MIKE",2
00:58,,59,,72 (+13),"GOOD FT by MURRAY,MIKE",HSC 59-72 (-13),,"GOOD FT by MURRAY,MIKE",2
00:58,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
00:58,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
00:48,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",2
--,,,,,"REBOUND DEF by GUIMARAES,GUILHERME",,,"REBOUND DEF by GUIMARAES,GUILHERME",2
00:30,,59,,74 (+15),"GOOD LAYUP by GUIMARAES,GUILHERME(in the paint)",HSC 59-74 (-15),,"GOOD LAYUP by GUIMARAES,GUILHERME(in the paint)",2
--,,,,,"ASSIST  by KATOWITZ,JOSH",,,"ASSIST  by KATOWITZ,JOSH",2
00:27,"GOOD 3PTR by WELCH,ROSS",62,,74 (+12),,BSC 62-74 (-12),,"GOOD 3PTR by WELCH,ROSS",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
00:20,,62,,76 (+14),"GOOD DUNK by KATOWITZ,JOSH(fastbreak)(in the paint)",HSC 62-76 (-14),,"GOOD DUNK by KATOWITZ,JOSH(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",2
00:13,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
